RegionName,RegionType,State,Metro,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Los Angeles County,county,CA,"Los Angeles-Long Beach-Anaheim, CA",229566.0,251079.0,283949.0,336898.0,417666.0,509641.0,581051.0,576877.0,485889.0,400228.0,397488.0,376609.0,366707.0,421127.0,475370.0,501520.0,519876.0,564769.0,629759.0,652732.0,690416.0,791994.0,886732.0,879980.0,929119.0,935981.0
San Diego County,county,CA,"San Diego-Chula Vista-Carlsbad, CA",242096.0,280748.0,319840.0,382304.0,468736.0,552540.0,561103.0,524981.0,447846.0,380812.0,387029.0,366632.0,364887.0,420229.0,468630.0,502768.0,540254.0,579252.0,614618.0,620588.0,656934.0,779931.0,914982.0,919728.0,999856.0,1003556.0
Orange County,county,CA,"Los Angeles-Long Beach-Anaheim, CA",295467.0,333243.0,376859.0,446047.0,561747.0,661605.0,723052.0,693950.0,578656.0,513609.0,520733.0,491997.0,483084.0,557363.0,618494.0,642248.0,663345.0,719009.0,773431.0,775283.0,811848.0,928638.0,1097495.0,1120094.0,1239349.0,1288744.0
Riverside County,county,CA,"Riverside-San Bernardino-Ontario, CA",163258.0,182534.0,205146.0,241515.0,301344.0,379288.0,425272.0,411695.0,310831.0,221554.0,214941.0,209289.0,209668.0,250547.0,298803.0,320922.0,340224.0,361088.0,393576.0,405954.0,427756.0,514517.0,607098.0,602492.0,632743.0,634017.0
San Bernardino County,county,CA,"Riverside-San Bernardino-Ontario, CA",132716.0,145314.0,162844.0,192070.0,243926.0,316527.0,371270.0,369367.0,283207.0,194083.0,184188.0,178176.0,172900.0,204358.0,246590.0,266410.0,282530.0,310783.0,348395.0,359802.0,382109.0,457225.0,532345.0,532457.0,560511.0,564182.0
Santa Clara County,county,CA,"San Jose-Sunnyvale-Santa Clara, CA",449501.0,543178.0,537163.0,550536.0,601758.0,712308.0,760087.0,761878.0,679377.0,573051.0,581844.0,550595.0,585543.0,714804.0,809511.0,927065.0,989256.0,1018319.0,1255886.0,1256249.0,1277164.0,1461081.0,1678689.0,1599923.0,1756959.0,1811278.0
Alameda County,county,CA,"San Francisco-Oakland-Berkeley, CA",314771.0,382969.0,409114.0,444049.0,503999.0,608817.0,652392.0,629703.0,556653.0,466911.0,469235.0,435238.0,419815.0,509353.0,593751.0,675750.0,749922.0,799817.0,895259.0,889965.0,912011.0,1073964.0,1213663.0,1139222.0,1202059.0,1193562.0
Sacramento County,county,CA,"Sacramento-Roseville-Folsom, CA",158328.0,186497.0,215727.0,256048.0,306283.0,378047.0,400776.0,355534.0,276793.0,222982.0,209444.0,190991.0,186395.0,234868.0,276115.0,297303.0,326396.0,355966.0,385600.0,398176.0,422978.0,500259.0,565677.0,536414.0,552888.0,551150.0
Contra Costa County,county,CA,"San Francisco-Oakland-Berkeley, CA",295641.0,342128.0,384935.0,436481.0,524646.0,638789.0,692109.0,628517.0,494338.0,358745.0,333553.0,309720.0,322008.0,398623.0,467523.0,513783.0,561757.0,599157.0,644915.0,655904.0,683640.0,808970.0,893925.0,842047.0,860504.0,844889.0
Fresno County,county,CA,"Fresno, CA",115916.0,122729.0,138636.0,168068.0,209478.0,267096.0,309328.0,296853.0,239521.0,182825.0,172929.0,153314.0,153140.0,175542.0,198284.0,210670.0,226161.0,243919.0,266171.0,279829.0,294629.0,343593.0,396028.0,394613.0,411650.0,416595.0
Kern County,county,CA,"Bakersfield, CA",99182.0,103356.0,112088.0,129321.0,160341.0,217071.0,264267.0,263365.0,205466.0,147430.0,136635.0,126330.0,129166.0,151966.0,174383.0,186657.0,197670.0,206987.0,220563.0,232447.0,247560.0,288392.0,334484.0,340418.0,359625.0,367866.0
San Francisco County,county,CA,"San Francisco-Oakland-Berkeley, CA",457833.0,546297.0,565445.0,610648.0,690412.0,804796.0,834456.0,844204.0,802690.0,716826.0,705593.0,658519.0,692505.0,834245.0,958084.0,1128903.0,1216082.0,1273123.0,1413471.0,1411389.0,1465857.0,1536590.0,1605793.0,1415815.0,1407747.0,1423785.0
Ventura County,county,CA,"Oxnard-Thousand Oaks-Ventura, CA",291382.0,325188.0,364038.0,434912.0,536097.0,640479.0,695824.0,649213.0,535214.0,462758.0,463596.0,441436.0,412321.0,465298.0,520084.0,548832.0,582411.0,614686.0,645320.0,654160.0,679324.0,779749.0,877702.0,872407.0,922596.0,927766.0
San Joaquin County,county,CA,"Stockton, CA",172413.0,206754.0,237612.0,265883.0,313094.0,403608.0,453550.0,408991.0,264560.0,184151.0,184446.0,172207.0,171054.0,210575.0,260909.0,286715.0,316853.0,348210.0,381277.0,397886.0,417928.0,498586.0,564655.0,541204.0,556562.0,555234.0
San Mateo County,county,CA,"San Francisco-Oakland-Berkeley, CA",480542.0,566007.0,579532.0,615941.0,687486.0,797961.0,849989.0,851664.0,779213.0,684653.0,679619.0,632702.0,653302.0,789938.0,910090.0,1057946.0,1172462.0,1243794.0,1419053.0,1403098.0,1444660.0,1591688.0,1761890.0,1634113.0,1686416.0,1729293.0
Stanislaus County,county,CA,"Modesto, CA",150239.0,179086.0,207944.0,240233.0,282768.0,356769.0,411046.0,368430.0,242459.0,163550.0,154536.0,145767.0,142817.0,174245.0,216048.0,239164.0,262784.0,285805.0,311391.0,327623.0,348052.0,411226.0,463781.0,450416.0,470211.0,474499.0
Sonoma County,county,CA,"Santa Rosa-Petaluma, CA",299462.0,366048.0,401060.0,443392.0,513152.0,609608.0,644512.0,600859.0,512675.0,422954.0,412014.0,379655.0,361573.0,424944.0,492581.0,542871.0,593363.0,632135.0,692463.0,690227.0,697477.0,769748.0,829496.0,825239.0,840601.0,832970.0
