TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,783075.0,783558.0,796133.0,800592.0,807200.0,819358.0,878283.0,885825.0,888967.0,889625.0,860325.0,846483.0,856583.0,866300.0,866317.0,869886.0
  Civilian Employment,697000.0,704558.0,726683.0,742075.0,759592.0,780342.0,842175.0,854525.0,863033.0,864417.0,787358.0,796892.0,829125.0,833183.0,827717.0,830129.0
  Civilian Unemployment,86067.0,79008.0,69433.0,58517.0,47592.0,39025.0,36117.0,31308.0,25933.0,25208.0,72967.0,49600.0,27475.0,33133.0,38600.0,39743.0
"Total, All Industries",653592.0,662442.0,682800.0,701625.0,720633.0,749433.0,771908.0,790300.0,807450.0,815150.0,751950.0,777083.0,804900.0,813583.0,,
  Total Farm,733.0,700.0,658.0,550.0,500.0,450.0,475.0,608.0,617.0,667.0,725.0,967.0,850.0,792.0,,
  Total Nonfarm,652858.0,661742.0,682142.0,701075.0,720133.0,748983.0,771433.0,789692.0,806833.0,814483.0,751225.0,776117.0,804050.0,812792.0,,
    Goods Producing,90458.0,92975.0,95608.0,100192.0,105108.0,113342.0,118050.0,125867.0,133758.0,134625.0,130308.0,140517.0,146700.0,145142.0,,
"     Mining, Logging and Construction",30308.0,30833.0,33283.0,35550.0,37600.0,40875.0,43042.0,45925.0,49042.0,49592.0,46650.0,48675.0,48417.0,47392.0,,
      Manufacturing,60150.0,62142.0,62325.0,64642.0,67508.0,72467.0,75008.0,79942.0,84717.0,85033.0,83658.0,91842.0,98283.0,97750.0,,
        Durable Goods,42042.0,43142.0,43342.0,43717.0,46133.0,49942.0,51783.0,55525.0,60650.0,61342.0,62208.0,70775.0,76783.0,76492.0,,
        Nondurable Goods,18108.0,19000.0,18983.0,20925.0,21375.0,22525.0,23225.0,24417.0,24067.0,23692.0,21450.0,21067.0,21500.0,21258.0,,
    Service Providing,562400.0,568767.0,586533.0,600883.0,615025.0,635642.0,653383.0,663825.0,673075.0,679858.0,620917.0,635600.0,657350.0,667650.0,,
"      Trade, Transportation & Utilities",117800.0,119150.0,123250.0,127658.0,131300.0,135683.0,137900.0,138292.0,139733.0,138817.0,129367.0,134042.0,137208.0,137100.0,,
        Wholesale Trade,34292.0,34325.0,35558.0,36533.0,36967.0,38067.0,38650.0,38083.0,37767.0,36367.0,33642.0,33133.0,33325.0,32950.0,,
        Retail Trade,60717.0,61383.0,63525.0,67158.0,68908.0,70767.0,71767.0,71242.0,71658.0,70258.0,62475.0,64417.0,64042.0,64117.0,,
"        Transportation, Warehousing, and Utilities",22800.0,23450.0,24167.0,23975.0,25433.0,26850.0,27483.0,28967.0,30308.0,32192.0,33250.0,36492.0,39842.0,40033.0,,
      Information,14333.0,14167.0,14492.0,14067.0,14683.0,16642.0,18233.0,18792.0,19967.0,20533.0,19900.0,18792.0,19142.0,18617.0,,
      Financial Activities,23333.0,24492.0,26067.0,28033.0,29058.0,29283.0,30333.0,28733.0,28008.0,28350.0,27033.0,27092.0,27075.0,27283.0,,
        Finance & Insurance,14300.0,15658.0,16942.0,18475.0,19100.0,19400.0,20267.0,18458.0,17458.0,17542.0,17133.0,16817.0,16283.0,16333.0,,
        Real Estate & Rental & Leasing,9033.0,8833.0,9125.0,9558.0,9958.0,9883.0,10067.0,10275.0,10550.0,10808.0,9900.0,10275.0,10792.0,10950.0,,
      Professional and Business Services,108133.0,111025.0,117258.0,118350.0,120350.0,125667.0,128733.0,130383.0,134025.0,136625.0,128908.0,134358.0,137842.0,135008.0,,
"        Professional, Scientific & Technical Services",57250.0,58450.0,61792.0,62383.0,64092.0,68358.0,71933.0,69342.0,73467.0,76392.0,73850.0,76975.0,80250.0,80250.0,,
        Management of Companies & Enterprises,19400.0,20342.0,21633.0,19425.0,17908.0,15908.0,14275.0,17425.0,16942.0,16467.0,16100.0,16775.0,17000.0,16375.0,,
        Administrative and Support and Waste and Remediatio,31483.0,32233.0,33833.0,36542.0,38350.0,41400.0,42525.0,43617.0,43617.0,43767.0,38958.0,40608.0,40592.0,38383.0,,
      Private Education and Health Services,105017.0,104575.0,108283.0,111025.0,111625.0,114492.0,117558.0,122150.0,123592.0,125958.0,121783.0,125117.0,128508.0,135825.0,,
        Private Educational Services,13917.0,14067.0,14592.0,15592.0,16000.0,15558.0,15967.0,15758.0,15817.0,16408.0,13992.0,14300.0,15225.0,15342.0,,
        Health Care & Social Assistance,91100.0,90508.0,93692.0,95433.0,95625.0,98933.0,101592.0,106392.0,107775.0,109550.0,107792.0,110817.0,113283.0,120483.0,,
      Leisure and Hospitality,54467.0,55967.0,58333.0,61883.0,65767.0,68367.0,70917.0,74117.0,76425.0,78000.0,53025.0,57867.0,68617.0,71142.0,,
"         Arts, Entertainment, and Recreation",8983.0,9108.0,9100.0,9392.0,9767.0,9842.0,10092.0,10883.0,11542.0,12858.0,7242.0,7908.0,10517.0,11300.0,,
        Accommodation & Food Services,45483.0,46858.0,49233.0,52492.0,56000.0,58525.0,60825.0,63233.0,64883.0,65142.0,45783.0,49958.0,58100.0,59842.0,,
      Other Services,23192.0,23342.0,23992.0,24808.0,24958.0,25450.0,26225.0,27192.0,27458.0,27492.0,22475.0,23800.0,25775.0,27192.0,,
      Government,116117.0,116042.0,114858.0,115058.0,117275.0,120058.0,123483.0,124167.0,123867.0,124083.0,118425.0,114533.0,113183.0,115483.0,,
        Federal Government,10483.0,9733.0,9583.0,9300.0,9250.0,9100.0,9150.0,9025.0,8733.0,8708.0,9042.0,8583.0,8308.0,8442.0,,
          State Government,36892.0,37133.0,37258.0,37600.0,37992.0,38567.0,38367.0,37892.0,37875.0,38025.0,36542.0,34208.0,31492.0,32083.0,,
          Local Government,68742.0,69175.0,68017.0,68158.0,70033.0,72392.0,75967.0,77250.0,77258.0,77350.0,72842.0,71742.0,73383.0,74958.0,,
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,890080.7713182007,899177.8528200848,912765.831839655,926907.8381997322,941020.8126858276,952382.2309661955,958887.9666349002,964665.7071091919,970826.8135937555,971664.46536462,915186.7026995613,941415.2440155324,967944.7292323102,961771.9034976336,955443.5616523743,954296.3100912073
  Civilian Unemployment per mil,109909.01254669092,100832.35701760431,87212.8149442367,73092.1618002678,58959.3657086224,47628.753243392996,41122.28063164151,35343.32401998137,29172.06150509524,28335.534635380078,84813.29730043877,58595.38821216728,32075.11706396228,38246.56585478472,44556.43834762564,45687.59584589245
"Total, All Industries per mil",834648.0222200939,845428.1623057898,857645.6446347532,876382.7267821812,892756.4420218038,914658.7938361497,878883.0024035533,892162.6732142353,908301.4330115741,916284.9515245187,874030.163019789,918013.7108482982,939663.7570439759,939146.9467851783,,
  Total Farm per mil,936.0533793059413,893.360797796717,826.4950705472578,686.9916261966144,619.4251734390485,549.2104794241344,540.8279563648618,686.3658171760788,694.0640091251981,749.7541098777574,842.7047917937988,1142.3737984106,992.3148136257665,914.2329447073762,,
  Total Nonfarm per mil,833710.6918238994,844534.801507993,856819.149564206,875695.7351559845,892137.0168483647,914109.5833567256,878342.1744471884,891476.3073970592,907607.3690024489,915535.1974146409,873187.4582279953,916872.518408521,938671.4422303501,938233.868174997,,
    Goods Producing per mil,115516.39370430673,118657.45739307109,120090.48739343803,125147.39093071128,130213.08225966302,138330.2536864228,134409.97947130937,142090.1419580617,150464.5279296082,151327.80666010958,151463.69104698807,166000.9710767966,171261.8625398823,167542.42179383585,,
"     Mining, Logging and Construction per mil",38703.827858123426,39349.99068352311,41805.828925568974,44404.64056598117,46580.77304261645,49886.61854769222,49006.982942855546,51844.325910874046,55167.40216453479,55744.8363074329,54223.69453404237,57502.631476355695,56523.41921331616,54706.221863095925,,
      Manufacturing per mil,76812.56584618332,79307.46670954798,78284.65846786906,80742.75036473009,83632.30921704658,88443.63513873056,85402.99652845382,90245.81604718765,95298.25066622271,95582.97035267668,97239.9965129457,108498.33960044087,114738.44332656614,112836.19993073992,,
        Durable Goods per mil,53688.34402834977,55059.10219792281,54440.65250404141,54605.8416771589,57151.88305252726,60952.5994742225,58959.355925140306,62681.68091891739,68225.25470574273,68952.64858788816,72307.55819021881,83610.65727250282,89638.71568779675,88297.35657393513,,
        Nondurable Goods per mil,23124.221817833542,24248.36451162518,23844.00596382765,26136.9086875712,26480.426164519326,27491.03566450807,26443.64060331351,27564.135128270256,27072.995960479973,26631.445833918784,24932.438322726877,24887.682327938066,25099.72763876939,24538.843356804802,,
    Service Providing per mil,718194.2981195927,725877.3441149219,736727.4060992321,750548.3442252732,761923.9345887017,775780.550138035,743932.194975879,749386.1654389974,757142.8410728407,764207.3907545314,721723.7671810072,750871.5473317243,767409.5796904679,770691.4463811612,,
"      Trade, Transportation & Utilities per mil",150432.58947099574,152062.7700821126,154810.81678563758,159454.5036672862,162661.05054509416,165596.72328823298,157010.89512150412,156116.61445545114,157185.8122967444,156039.90445412393,150369.91834481157,158351.67392611547,160180.62464466374,158259.26353457232,,
        Wholesale Trade per mil,43791.46314210006,43806.584834817586,44663.391669482364,45632.48196334712,45796.58077304262,46459.54515608562,44006.31687053034,42991.56153867864,42484.14170604758,40879.02205985668,39103.82704210618,39141.95559745441,38904.577840092556,38035.32263650006,,
        Retail Trade per mil,77536.63442199022,78338.80835879412,79791.9443108124,83885.4247856586,85366.69970267592,86368.83999423939,81712.84198828852,80424.46307114836,80608.16655736377,78974.84895321062,72617.90602388632,76099.57908191896,74764.50034614276,74012.46681288237,,
"        Transportation, Warehousing, and Utilities per mil",29115.985058902403,29927.58672619002,30355.480805342824,29946.589523752424,31507.680872150646,32769.55860564003,31291.736262685263,32700.589845624134,34093.50403333307,36186.03344105663,38648.18527881905,43110.13924674211,46512.713887620936,46211.47408518988,,
      Information per mil,18303.483063563515,18080.346317694413,18202.98869661225,17570.747646741413,18190.0396432111,20311.02399683655,20759.823428211635,21214.122428244857,22460.901248302805,23080.511451454266,23130.793595443585,22200.09143715822,22346.929602852262,21490.24587325407,,
      Financial Activities per mil,29796.635060498673,31257.41808519599,32742.016723336423,35015.33864939944,35998.51337958375,35738.95659772651,34536.70400087444,32436.429317303082,31506.231389916607,31867.359842630325,31421.84639525761,32005.368093629764,31608.145386961918,31493.708876832505,,
        Finance & Insurance per mil,18261.34150624142,19983.204817001424,21280.363959288206,23076.67326178628,23662.041625371654,23677.074001840465,23075.705666624537,20837.07278525668,19638.52426468024,19718.420682871994,19914.567169383663,19866.908136371316,19009.249541492183,18853.745815537342,,
        Real Estate & Rental & Leasing per mil,11535.293554257254,11272.937038483431,11461.652764048218,11938.665387613166,12336.471754212092,12061.882595886047,11462.136919421187,11599.356532046399,11867.70712523637,12148.939159758325,11507.279225873943,12138.459957258445,12598.895845469733,12639.963061295164,,
      Professional and Business Services per mil,138087.66720939885,141693.403679115,147284.43614320722,147828.10720067148,149095.639246779,153372.51848398382,146573.48485624793,147188.21437642875,150764.87653647436,153575.94492061262,149836.39903524832,158724.98325424135,160920.7747527093,155844.39570587556,,
"        Professional, Scientific & Technical Services per mil",73109.2168693931,74595.62661602587,77615.17233929508,77921.088394588,79400.396432111,83428.73322772219,81901.8471267234,78279.56989247311,82643.11273646828,85869.88899817338,85839.65361927179,90935.08079902372,93686.19269819738,92635.34572319058,,
        Management of Companies & Enterprises per mil,24774.12763783801,25961.064783972597,27172.59553366083,24263.29516158043,22185.332011892966,19415.200681509185,16253.303320228219,19670.92823074535,19058.075271635505,18510.046367851624,18713.85813500712,19817.291073772303,19846.296272515334,18902.22786563546,,
        Administrative and Support and Waste and Remediatio per mil,40204.32270216774,41136.71227911654,42496.66827025133,45643.723644503065,47509.91080277502,50527.364107020374,48418.334409296316,49238.84514435695,49064.81342951988,49197.13362371786,45282.8872809694,47972.61138144535,47388.28578199661,44306.822117049516,,
      Private Education and Health Services per mil,134108.4825846822,133461.72204227382,136011.19410952693,138678.6278154166,138286.6699702676,139733.79157828446,133849.7955670325,137894.0535658849,139028.78284570744,141585.49950821974,141554.64504692995,147808.04812382528,150023.9906699059,156787.48701373657,,
        Private Educational Services per mil,17772.2440379274,17952.7233465806,18328.59585019086,19475.588064832024,19821.605550049553,18988.03697529041,18179.78943005842,17789.06668924449,17792.56147866006,18443.726289166785,16263.621305901841,16893.428456330486,17774.10945582623,17709.800300126975,,
        Health Care & Social Assistance per mil,116336.23854675477,115508.99869569324,117683.85433087185,119203.03975058456,118465.06442021804,120744.534135262,115671.14472214536,120104.98687664043,121236.22136704737,123141.77321905296,125292.18609246507,130914.61966749479,132249.88121407965,139077.68671360958,,
