TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,890080.7713182007,899177.8528200848,912765.831839655,926907.8381997322,941020.8126858276,952382.2309661955,958887.9666349002,964665.7071091919,970826.8135937555,971664.46536462,915186.7026995613,941415.2440155324,967944.7292323102,961771.9034976336,955443.5616523743,954296.3100912073
Civilian Unemployment per mil,109909.01254669092,100832.35701760431,87212.8149442367,73092.1618002678,58959.3657086224,47628.753243392996,41122.28063164151,35343.32401998137,29172.06150509524,28335.534635380078,84813.29730043877,58595.38821216728,32075.11706396228,38246.56585478472,44556.43834762564,45687.59584589245
"Total, All Industries per mil",834648.0222200939,845428.1623057898,857645.6446347532,876382.7267821812,892756.4420218038,914658.7938361497,878883.0024035533,892162.6732142353,908301.4330115741,916284.9515245187,874030.163019789,918013.7108482982,939663.7570439759,939146.9467851783,,
Total Farm per mil,936.0533793059413,893.360797796717,826.4950705472578,686.9916261966144,619.4251734390485,549.2104794241344,540.8279563648618,686.3658171760788,694.0640091251981,749.7541098777574,842.7047917937988,1142.3737984106,992.3148136257665,914.2329447073762,,
Total Nonfarm per mil,833710.6918238994,844534.801507993,856819.149564206,875695.7351559845,892137.0168483647,914109.5833567256,878342.1744471884,891476.3073970592,907607.3690024489,915535.1974146409,873187.4582279953,916872.518408521,938671.4422303501,938233.868174997,,
Goods Producing per mil,115516.39370430673,118657.45739307109,120090.48739343803,125147.39093071128,130213.08225966302,138330.2536864228,134409.97947130937,142090.1419580617,150464.5279296082,151327.80666010958,151463.69104698807,166000.9710767966,171261.8625398823,167542.42179383585,,
"Mining, Logging and Construction per mil",38703.827858123426,39349.99068352311,41805.828925568974,44404.64056598117,46580.77304261645,49886.61854769222,49006.982942855546,51844.325910874046,55167.40216453479,55744.8363074329,54223.69453404237,57502.631476355695,56523.41921331616,54706.221863095925,,
Manufacturing per mil,76812.56584618332,79307.46670954798,78284.65846786906,80742.75036473009,83632.30921704658,88443.63513873056,85402.99652845382,90245.81604718765,95298.25066622271,95582.97035267668,97239.9965129457,108498.33960044087,114738.44332656614,112836.19993073992,,
Durable Goods per mil,53688.34402834977,55059.10219792281,54440.65250404141,54605.8416771589,57151.88305252726,60952.5994742225,58959.355925140306,62681.68091891739,68225.25470574273,68952.64858788816,72307.55819021881,83610.65727250282,89638.71568779675,88297.35657393513,,
Nondurable Goods per mil,23124.221817833542,24248.36451162518,23844.00596382765,26136.9086875712,26480.426164519326,27491.03566450807,26443.64060331351,27564.135128270256,27072.995960479973,26631.445833918784,24932.438322726877,24887.682327938066,25099.72763876939,24538.843356804802,,
Service Providing per mil,718194.2981195927,725877.3441149219,736727.4060992321,750548.3442252732,761923.9345887017,775780.550138035,743932.194975879,749386.1654389974,757142.8410728407,764207.3907545314,721723.7671810072,750871.5473317243,767409.5796904679,770691.4463811612,,
"Trade, Transportation & Utilities per mil",150432.58947099574,152062.7700821126,154810.81678563758,159454.5036672862,162661.05054509416,165596.72328823298,157010.89512150412,156116.61445545114,157185.8122967444,156039.90445412393,150369.91834481157,158351.67392611547,160180.62464466374,158259.26353457232,,
Wholesale Trade per mil,43791.46314210006,43806.584834817586,44663.391669482364,45632.48196334712,45796.58077304262,46459.54515608562,44006.31687053034,42991.56153867864,42484.14170604758,40879.02205985668,39103.82704210618,39141.95559745441,38904.577840092556,38035.32263650006,,
Retail Trade per mil,77536.63442199022,78338.80835879412,79791.9443108124,83885.4247856586,85366.69970267592,86368.83999423939,81712.84198828852,80424.46307114836,80608.16655736377,78974.84895321062,72617.90602388632,76099.57908191896,74764.50034614276,74012.46681288237,,
"Transportation, Warehousing, and Utilities per mil",29115.985058902403,29927.58672619002,30355.480805342824,29946.589523752424,31507.680872150646,32769.55860564003,31291.736262685263,32700.589845624134,34093.50403333307,36186.03344105663,38648.18527881905,43110.13924674211,46512.713887620936,46211.47408518988,,
Information per mil,18303.483063563515,18080.346317694413,18202.98869661225,17570.747646741413,18190.0396432111,20311.02399683655,20759.823428211635,21214.122428244857,22460.901248302805,23080.511451454266,23130.793595443585,22200.09143715822,22346.929602852262,21490.24587325407,,
Financial Activities per mil,29796.635060498673,31257.41808519599,32742.016723336423,35015.33864939944,35998.51337958375,35738.95659772651,34536.70400087444,32436.429317303082,31506.231389916607,31867.359842630325,31421.84639525761,32005.368093629764,31608.145386961918,31493.708876832505,,
Finance & Insurance per mil,18261.34150624142,19983.204817001424,21280.363959288206,23076.67326178628,23662.041625371654,23677.074001840465,23075.705666624537,20837.07278525668,19638.52426468024,19718.420682871994,19914.567169383663,19866.908136371316,19009.249541492183,18853.745815537342,,
Real Estate & Rental & Leasing per mil,11535.293554257254,11272.937038483431,11461.652764048218,11938.665387613166,12336.471754212092,12061.882595886047,11462.136919421187,11599.356532046399,11867.70712523637,12148.939159758325,11507.279225873943,12138.459957258445,12598.895845469733,12639.963061295164,,
Professional and Business Services per mil,138087.66720939885,141693.403679115,147284.43614320722,147828.10720067148,149095.639246779,153372.51848398382,146573.48485624793,147188.21437642875,150764.87653647436,153575.94492061262,149836.39903524832,158724.98325424135,160920.7747527093,155844.39570587556,,
"Professional, Scientific & Technical Services per mil",73109.2168693931,74595.62661602587,77615.17233929508,77921.088394588,79400.396432111,83428.73322772219,81901.8471267234,78279.56989247311,82643.11273646828,85869.88899817338,85839.65361927179,90935.08079902372,93686.19269819738,92635.34572319058,,
Management of Companies & Enterprises per mil,24774.12763783801,25961.064783972597,27172.59553366083,24263.29516158043,22185.332011892966,19415.200681509185,16253.303320228219,19670.92823074535,19058.075271635505,18510.046367851624,18713.85813500712,19817.291073772303,19846.296272515334,18902.22786563546,,
Administrative and Support and Waste and Remediatio per mil,40204.32270216774,41136.71227911654,42496.66827025133,45643.723644503065,47509.91080277502,50527.364107020374,48418.334409296316,49238.84514435695,49064.81342951988,49197.13362371786,45282.8872809694,47972.61138144535,47388.28578199661,44306.822117049516,,
Private Education and Health Services per mil,134108.4825846822,133461.72204227382,136011.19410952693,138678.6278154166,138286.6699702676,139733.79157828446,133849.7955670325,137894.0535658849,139028.78284570744,141585.49950821974,141554.64504692995,147808.04812382528,150023.9906699059,156787.48701373657,,
Private Educational Services per mil,17772.2440379274,17952.7233465806,18328.59585019086,19475.588064832024,19821.605550049553,18988.03697529041,18179.78943005842,17789.06668924449,17792.56147866006,18443.726289166785,16263.621305901841,16893.428456330486,17774.10945582623,17709.800300126975,,
Health Care & Social Assistance per mil,116336.23854675477,115508.99869569324,117683.85433087185,119203.03975058456,118465.06442021804,120744.534135262,115671.14472214536,120104.98687664043,121236.22136704737,123141.77321905296,125292.18609246507,130914.61966749479,132249.88121407965,139077.68671360958,,
Leisure and Hospitality per mil,69555.27886856304,71426.7482432698,73270.42089701093,77296.55055259108,81475.47076313182,83439.71743731067,80745.04459268824,83670.02511782802,85970.57033613171,87677.39215961781,61633.68494464301,68361.6800337396,80105.48890183438,82121.66685905575,,
"Arts, Entertainment, and Recreation per mil",11471.442709829837,11623.900209046427,11430.250975653566,11731.318824070187,12099.851337958375,12011.843418871847,11490.60154870355,12285.722349222477,12983.609065353383,14453.28087677392,8417.749106442332,9342.18407221409,12277.852817531986,13043.98014544615,,
Accommodation & Food Services per mil,58082.55914184466,59801.57180451224,61840.16992135736,65566.4808042049,69375.61942517344,71427.87401843882,69254.44304398469,71383.17387745886,72986.96127077834,73224.11128284389,53215.93583820068,59018.314602892206,67827.6360843024,69077.6867136096,,
Other Services per mil,29616.575679213358,29789.753917387097,30135.668286580258,30987.069568519295,30919.226957383547,31060.90378076494,29859.396117196848,30696.808060282787,30887.535757795282,30902.908528874526,26123.848545607765,28116.33547277382,30090.487436710748,31388.66443495325,,
Government per mil,148283.3700475689,148096.24813989518,144269.86445732057,143716.15004896375,145286.17443012883,146526.914974895,140595.9127069521,140171.0270087207,139338.13066176808,139477.8698889982,137651.46892162846,135304.5483488741,132133.13829482955,133306.01408288124,,
Federal Government per mil,13386.968042652363,12421.543778507781,12036.933527438254,11616.403861142755,11459.365708622398,11106.256361688052,10418.054317344182,10188.242598707418,9823.761736937367,9788.393986230152,10509.981692964868,10139.601149698223,9699.001731297492,9744.892069721805,,
State Government per mil,47111.707052325764,47390.23786369356,46798.71328031874,46965.24571816855,47066.40237859266,47069.77902211244,43684.097267054014,42775.94332966444,42605.63103017322,42742.72867781369,42474.646209281374,40411.91612826247,36764.6801302384,37034.51460233176,,
Local Government per mil,87784.69495259075,88283.19026798272,85434.21764956358,85134.50046965246,86760.40634291378,88352.10005882655,86494.89970772518,87206.84108034884,86907.6129935082,86946.74722495434,84668.00337081918,84753.03107091342,85669.45643329369,86526.60741082765,,
