TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,543.0,590.0,543.0,524.0,510.0,550.0,418.0,413.0,408.0,403.0,385.0,379.0,360.0,418.0,461.0,477.0
  Civilian Employment,471.0,516.0,482.0,473.0,467.0,508.0,383.0,378.0,382.0,374.0,323.0,338.0,332.0,385.0,426.0,440.0
  Civilian Unemployment,70.0,76.0,61.0,51.0,42.0,41.0,39.0,36.0,26.0,31.0,60.0,45.0,31.0,33.0,36.0,37.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,685.0,803.0,716.0,684.0,688.0,779.0,813.0,802.0,819.0,799.0,690.0,723.0,703.0,858.0,977.0,1001.0
  Total Farm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Total Nonfarm,685.0,803.0,716.0,684.0,688.0,779.0,813.0,802.0,819.0,799.0,690.0,723.0,703.0,858.0,977.0,1001.0
    Total Private,405.0,482.0,407.0,367.0,361.0,443.0,493.0,488.0,513.0,496.0,408.0,458.0,443.0,577.0,681.0,699.0
    Goods Producing,16.0,10.0,17.0,12.0,22.0,33.0,22.0,15.0,16.0,13.0,13.0,17.0,13.0,11.0,10.0,10.0
Service-Providing,669.0,793.0,699.0,672.0,665.0,746.0,792.0,788.0,804.0,787.0,676.0,709.0,690.0,848.0,968.0,994.0
Private Service Providing,389.0,472.0,390.0,354.0,338.0,410.0,475.0,475.0,500.0,482.0,395.0,443.0,428.0,567.0,672.0,690.0
      Government,280.0,321.0,309.0,318.0,327.0,336.0,320.0,315.0,305.0,305.0,282.0,265.0,259.0,279.0,298.0,306.0
        Federal Government,10.0,11.0,11.0,12.0,13.0,11.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Total State and Local Government,270.0,310.0,298.0,305.0,313.0,325.0,310.0,312.0,303.0,304.0,280.0,263.0,258.0,279.0,296.0,304.0
          State Government,50.0,49.0,56.0,61.0,66.0,63.0,60.0,61.0,52.0,50.0,50.0,46.0,42.0,49.0,60.0,60.0
          Local Government,220.0,261.0,242.0,244.0,248.0,262.0,250.0,251.0,250.0,252.0,232.0,218.0,215.0,231.0,238.0,244.0
