TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,15523.0,15036.0,14632.0,14412.0,14338.0,14322.0,14695.0,14858.0,14829.0,14942.0,14573.0,14544.0,14485.0,14754.0,14953.0,15241.0
  Civilian Employment,13323.0,12988.0,12832.0,12912.0,13131.0,13374.0,13798.0,14105.0,14214.0,14345.0,13208.0,13512.0,13821.0,13998.0,14134.0,14341.0
  Civilian Unemployment,2202.0,2049.0,1801.0,1500.0,1205.0,948.0,898.0,756.0,615.0,596.0,1367.0,1033.0,666.0,756.0,819.0,900.0
"Total, All Industries",11463.0,11122.0,10897.0,11087.0,11352.0,11636.0,12052.0,12428.0,12532.0,12852.0,11876.0,12111.0,12392.0,12549.0,12734.0,12794.0
  Total Farm,332.0,326.0,328.0,325.0,316.0,312.0,342.0,352.0,328.0,318.0,299.0,290.0,280.0,301.0,251.0,301.0
  Total Nonfarm,11132.0,10796.0,10569.0,10762.0,11036.0,11324.0,11711.0,12076.0,12203.0,12534.0,11577.0,11821.0,12112.0,12248.0,12483.0,12493.0
    Total Private,6094.0,6187.0,6336.0,6603.0,6838.0,6979.0,6979.0,7253.0,7390.0,7425.0,6854.0,7229.0,7462.0,7530.0,7707.0,7717.0
    Goods Producing,1002.0,1052.0,1181.0,1217.0,1337.0,1408.0,1314.0,1373.0,1451.0,1489.0,1258.0,1427.0,1615.0,1642.0,1648.0,1687.0
"     Mining, Logging and Construction",384.0,378.0,423.0,446.0,526.0,565.0,506.0,538.0,614.0,642.0,651.0,757.0,856.0,825.0,853.0,870.0
      Mining and Logging,139.0,142.0,160.0,151.0,116.0,118.0,126.0,128.0,157.0,227.0,228.0,260.0,287.0,289.0,351.0,360.0
      Construction,245.0,236.0,263.0,295.0,410.0,447.0,380.0,411.0,458.0,416.0,422.0,497.0,569.0,536.0,502.0,510.0
      Manufacturing,618.0,673.0,758.0,771.0,811.0,842.0,812.0,833.0,839.0,848.0,608.0,668.0,762.0,819.0,799.0,814.0
        Durable Goods,229.0,243.0,278.0,265.0,255.0,268.0,220.0,232.0,246.0,259.0,188.0,186.0,196.0,190.0,169.0,170.0
     Non-Durable Goods,389.0,430.0,479.0,506.0,556.0,574.0,591.0,603.0,595.0,589.0,420.0,484.0,568.0,628.0,628.0,649.0
     Service-Providing,10129.0,9744.0,9388.0,9545.0,9699.0,9917.0,10397.0,10702.0,10754.0,11048.0,10322.0,10393.0,10496.0,10608.0,10835.0,10807.0
