TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,102717.0,100275.0,100717.0,101492.0,101167.0,101108.0,99950.0,100333.0,99942.0,96225.0,91517.0,90133.0,89917.0,90767.0,91483.0,93457.0
  Civilian Employment,88300.0,86542.0,88425.0,90925.0,92300.0,93817.0,93217.0,94408.0,94808.0,91208.0,82850.0,83883.0,85783.0,86058.0,86075.0,87714.0
  Civilian Unemployment,14408.0,13733.0,12275.0,10558.0,8867.0,7283.0,6742.0,5925.0,5142.0,5017.0,8667.0,6250.0,4100.0,4717.0,5400.0,5729.0
"Total, All Industries",74033.0,72500.0,74167.0,77275.0,78933.0,80892.0,82917.0,84600.0,85583.0,83475.0,76750.0,78300.0,80200.0,80275.0,80608.0,81414.0
  Total Farm,2767.0,2717.0,2800.0,2900.0,2908.0,3025.0,3125.0,3100.0,3083.0,2875.0,2942.0,2925.0,2825.0,2725.0,2708.0,2500.0
  Total Nonfarm,71267.0,69783.0,71367.0,74375.0,76025.0,77867.0,79792.0,81500.0,82500.0,80600.0,73808.0,75375.0,77375.0,77550.0,77900.0,78914.0
    Total Private,54300.0,54075.0,55575.0,58392.0,59908.0,61608.0,63458.0,64967.0,66058.0,64033.0,58550.0,60567.0,61708.0,61633.0,61825.0,62471.0
    Goods Producing,6058.0,6000.0,6325.0,6867.0,7133.0,7550.0,7825.0,8067.0,8592.0,8517.0,8200.0,8333.0,8542.0,8417.0,8000.0,8057.0
"      Mining, Logging, and Construction",2383.0,2333.0,2392.0,2875.0,3150.0,3375.0,3558.0,3775.0,4317.0,4400.0,4233.0,4192.0,4208.0,4267.0,4117.0,4057.0
      Manufacturing,3675.0,3667.0,3933.0,3992.0,3983.0,4175.0,4267.0,4292.0,4275.0,4117.0,3967.0,4142.0,4333.0,4150.0,3883.0,4000.0
     Service-Providing,65208.0,63783.0,65042.0,67508.0,68892.0,70317.0,71967.0,73433.0,73908.0,72083.0,65608.0,67042.0,68833.0,69133.0,69900.0,70857.0
    Private Service Providing,48242.0,48075.0,49250.0,51525.0,52775.0,54058.0,55633.0,56900.0,57467.0,55517.0,50350.0,52233.0,53167.0,53217.0,53825.0,54414.0
"        Trade, Transportation, and Utilities",12675.0,12542.0,12833.0,12975.0,13292.0,13750.0,14142.0,14675.0,14742.0,14500.0,13642.0,14467.0,14325.0,13633.0,13292.0,13000.0
        Wholesale Trade,1717.0,1758.0,1817.0,1742.0,1800.0,1817.0,1900.0,1950.0,2050.0,2167.0,2133.0,2450.0,2300.0,2167.0,2042.0,2086.0
        Retail Trade,9358.0,9208.0,9458.0,9733.0,10025.0,10392.0,10650.0,11142.0,11117.0,10725.0,9817.0,10142.0,9908.0,9392.0,9200.0,8900.0
"        Transportation, Warehousing, and Utilities",1600.0,1575.0,1558.0,1500.0,1467.0,1542.0,1592.0,1583.0,1575.0,1608.0,1692.0,1875.0,2117.0,2075.0,2050.0,2014.0
      Information,1000.0,1075.0,1075.0,1000.0,1017.0,1058.0,1000.0,900.0,900.0,800.0,625.0,617.0,675.0,675.0,600.0,586.0
      Financial Activities,3125.0,2967.0,2967.0,3075.0,3275.0,3517.0,3550.0,3442.0,3275.0,3150.0,2992.0,2875.0,2692.0,2567.0,2500.0,2500.0
        Finance and Insurance,1700.0,1600.0,1675.0,1783.0,1950.0,2167.0,2167.0,2075.0,1908.0,1850.0,1733.0,1675.0,1442.0,1300.0,1292.0,1300.0
      Professional and Business Services,4925.0,5125.0,5542.0,5817.0,5575.0,5542.0,5758.0,5767.0,5600.0,5783.0,5350.0,5483.0,5083.0,5092.0,5283.0,5286.0
      Private Education and Health Services,15842.0,15525.0,15725.0,17108.0,17750.0,18083.0,18792.0,19400.0,19942.0,18408.0,17492.0,17633.0,18400.0,19500.0,20208.0,21157.0
      Leisure and Hospitality,7117.0,7167.0,7433.0,7808.0,8042.0,8350.0,8642.0,8892.0,9217.0,9025.0,7183.0,8033.0,8400.0,8133.0,8217.0,8157.0
      Other Services,3558.0,3675.0,3675.0,3742.0,3825.0,3758.0,3750.0,3825.0,3792.0,3850.0,3067.0,3125.0,3592.0,3617.0,3725.0,3729.0
