TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,21043.0,20590.0,20148.0,20203.0,20228.0,20558.0,16289.0,16424.0,16513.0,16632.0,16905.0,17043.0,17468.0,17748.0,17578.0,17824.0
  Civilian Employment,17975.0,17698.0,17650.0,18177.0,18589.0,19241.0,15107.0,15428.0,15663.0,15815.0,15251.0,15798.0,16649.0,16830.0,16520.0,16696.0
  Civilian Unemployment,3070.0,2892.0,2498.0,2027.0,1640.0,1315.0,1181.0,997.0,851.0,817.0,1654.0,1245.0,818.0,918.0,1058.0,1130.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",7923.0,7833.0,7807.0,8240.0,8546.0,9018.0,9338.0,9668.0,9938.0,10187.0,9982.0,10380.0,10971.0,10722.0,10422.0,10396.0
  Total Farm,58.0,58.0,70.0,77.0,96.0,89.0,82.0,245.0,288.0,280.0,268.0,258.0,215.0,152.0,108.0,107.0
  Total Nonfarm,7866.0,7776.0,7737.0,8163.0,8450.0,8928.0,9256.0,9422.0,9650.0,9907.0,9713.0,10122.0,10756.0,10570.0,10314.0,10289.0
    Total Private,5318.0,5329.0,5353.0,5717.0,5964.0,6347.0,6658.0,6787.0,6946.0,7207.0,7037.0,7520.0,8048.0,7796.0,7488.0,7454.0
    Goods Producing,894.0,891.0,894.0,962.0,973.0,1029.0,1079.0,1130.0,1274.0,1254.0,1224.0,1301.0,1310.0,1328.0,1315.0,1294.0
"     Mining, Logging and Construction",573.0,580.0,582.0,641.0,648.0,702.0,762.0,815.0,917.0,898.0,920.0,986.0,979.0,996.0,1009.0,1001.0
      Manufacturing,321.0,311.0,312.0,322.0,325.0,328.0,316.0,316.0,358.0,357.0,308.0,318.0,332.0,328.0,307.0,291.0
        Durable Goods,155.0,163.0,162.0,167.0,158.0,164.0,161.0,147.0,163.0,163.0,148.0,129.0,137.0,138.0,135.0,139.0
        Non-Durable Goods,166.0,148.0,149.0,155.0,168.0,163.0,155.0,169.0,195.0,195.0,158.0,192.0,198.0,189.0,169.0,154.0
Service-Providing,6972.0,6885.0,6842.0,7201.0,7477.0,7899.0,8177.0,8293.0,8379.0,8652.0,8490.0,8820.0,9444.0,9246.0,8998.0,8994.0
    Private Service Providing,4424.0,4438.0,4459.0,4754.0,4991.0,5318.0,5579.0,5660.0,5674.0,5954.0,5812.0,6218.0,6740.0,6471.0,6174.0,6157.0
"      Trade, Transportation, and Utilities",1245.0,1273.0,1269.0,1353.0,1444.0,1552.0,1696.0,1653.0,1621.0,1680.0,1688.0,1858.0,2034.0,1947.0,1788.0,1787.0
        Wholesale Trade,86.0,116.0,112.0,124.0,139.0,158.0,196.0,142.0,131.0,175.0,125.0,115.0,140.0,132.0,111.0,110.0
        Retail Trade,898.0,914.0,902.0,972.0,1041.0,1127.0,1212.0,1248.0,1220.0,1217.0,1221.0,1316.0,1394.0,1365.0,1299.0,1294.0
"        Transportation, Warehousing, and Utilities",262.0,243.0,255.0,257.0,264.0,268.0,286.0,266.0,272.0,289.0,345.0,429.0,502.0,450.0,378.0,381.0
      Information,110.0,109.0,104.0,109.0,108.0,107.0,107.0,100.0,99.0,92.0,83.0,75.0,80.0,80.0,82.0,81.0
      Financial Activities,264.0,253.0,233.0,211.0,204.0,206.0,218.0,215.0,223.0,219.0,221.0,221.0,209.0,180.0,173.0,153.0
      Professional and Business Services,354.0,375.0,408.0,508.0,552.0,628.0,729.0,745.0,759.0,862.0,907.0,901.0,1007.0,917.0,889.0,874.0
      Private Education and Health Services,914.0,888.0,874.0,979.0,1042.0,1078.0,1132.0,1179.0,1158.0,1224.0,1348.0,1389.0,1451.0,1492.0,1535.0,1604.0
      Leisure and Hospitality,1202.0,1198.0,1228.0,1252.0,1291.0,1362.0,1332.0,1407.0,1443.0,1492.0,1231.0,1446.0,1590.0,1472.0,1332.0,1276.0
      Other Services,335.0,341.0,342.0,342.0,350.0,383.0,368.0,364.0,374.0,389.0,341.0,333.0,370.0,382.0,381.0,381.0
      Government,2548.0,2447.0,2381.0,2444.0,2483.0,2582.0,2597.0,2634.0,2703.0,2698.0,2679.0,2602.0,2705.0,2774.0,2825.0,2839.0
        Federal Government,158.0,130.0,134.0,129.0,124.0,120.0,128.0,129.0,128.0,125.0,147.0,122.0,117.0,125.0,123.0,111.0
        Total State and Local Government,2390.0,2317.0,2247.0,2315.0,2359.0,2462.0,2472.0,2508.0,2576.0,2572.0,2532.0,2479.0,2590.0,2652.0,2701.0,2724.0
          State Government,222.0,209.0,198.0,215.0,249.0,276.0,246.0,259.0,286.0,268.0,279.0,276.0,300.0,319.0,341.0,334.0
          Local Government,2168.0,2108.0,2048.0,2100.0,2110.0,2186.0,2226.0,2249.0,2290.0,2304.0,2252.0,2206.0,2290.0,2332.0,2361.0,2389.0
