TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,854203.2980088391,859543.4677027684,876017.4707166965,899717.8636836114,918973.6998220289,935937.3479910496,927435.6927988214,939357.0384802727,948525.4042269727,950877.8258778258,902159.1245193729,926949.4807252245,953114.2660865582,948275.8620689656,939811.1275457959,936714.5421903053
Civilian Unemployment per mil,145891.74547355415,140456.53229723166,123982.52928330355,100331.63391575508,81075.7366027289,63965.36628076661,72502.91607833508,60703.848027277156,51535.15412099558,49122.174122174125,97840.87548062703,73050.51927477556,46828.48637508587,51724.137931034486,60188.87245420412,63397.66606822263
"Total, All Industries per mil",376514.75550064154,380427.3919378339,387482.6285487393,407860.2187793892,422483.6859798299,438661.3483801926,573270.3051138805,588650.7549926935,601828.8621086418,612493.9874939875,590476.1904761905,609047.7028692132,628062.743302038,604124.4083840433,592900.2161793151,583258.5278276481
Total Farm per mil,2756.260989402652,2816.9014084507044,3474.2902521342066,3811.315151215166,4745.896776745106,4329.214904173557,5034.0720731782185,14917.194349732099,17440.80421486102,16835.016835016835,15853.297840875479,15138.179897905298,12308.220746507901,8564.345278341221,6144.043690977358,6003.14183123878
Total Nonfarm per mil,373806.01625243545,377659.0577950462,384008.33829660516,404048.90362817404,417737.78920308483,434283.49061192723,568236.2330407024,573672.6741354115,584388.0578937806,595658.9706589706,574563.7385388939,593909.5229713079,615754.5225555301,595560.063105702,586756.1724883376,577255.3859964093
Total Private per mil,252720.61968350518,258814.95871782416,265683.9388524916,282977.77557788446,294838.8372552897,308736.2583908941,408742.09589293384,413236.72674135416,420638.28498758556,433321.30832130834,416267.37651582377,441236.8714428211,460728.1886878864,439260.76177597477,425987.0292410968,418200.17953321367
Goods Producing per mil,42484.436629758115,43273.433705682364,44371.649791542586,47616.69059050636,48101.64128930196,50053.50715050102,66241.02154828413,68801.75353141743,77151.3353115727,75396.8253968254,72404.61401952084,76336.32576424339,74994.27524616443,74825.3324318233,74809.42086699282,72598.74326750448
"Mining, Logging and Construction per mil",27229.957705650337,28169.014084507042,28886.241810601547,31727.961193882096,32034.803243029466,34147.29059247008,46780.03560685125,49622.50365319045,55532.005086901234,53992.303992304,54421.76870748299,57853.664260986916,56045.34005037783,56118.99932386748,57401.29707589032,56160.23339317774
Manufacturing per mil,15254.47892410778,15104.419621175328,15485.407980941036,15938.226995990695,16066.838046272493,15954.859422122776,19399.59481858923,19240.13638577691,21679.88857263974,21464.646464646463,18219.461697722567,18658.68685090653,19006.182734142432,18480.955600631056,17465.013084537488,16326.301615798924
Durable Goods per mil,7365.8698854726035,7916.464303059739,8040.500297796308,8266.09909419393,7810.95511172632,7977.429711061388,9883.970777825527,8950.31660983926,9871.01071882759,9800.3848003848,8754.80627033422,7569.089948952649,7842.912754751546,7775.52400270453,7680.054613721698,7798.473967684022
Non-Durable Goods per mil,7888.609038635176,7187.955318115591,7395.274965257097,7672.127901796763,8305.319359303936,7928.78684696955,9515.624040763705,10289.819775937653,11808.877853812148,11724.386724386724,9346.347234545992,11265.622249603943,11335.012594458438,10649.087221095335,9614.290590510866,8640.035906642728
Service-Providing per mil,331321.5796226774,334385.6240893638,339587.0557871749,356432.2130376677,369636.14791378286,384229.9834614262,501995.2114924182,504931.80711154407,507418.39762611274,520202.02020202024,502218.27861579414,517514.5220911811,540645.752232654,520960.10818120354,511889.8623279099,504600.53859964095
Private Service Providing per mil,210236.18305374708,215541.52501214182,221312.289060949,235311.58738801169,246737.19596598772,258682.75124039303,342501.0743446498,344617.63273258647,343608.06637194933,357984.607984608,343803.6083998817,364841.8705626943,385848.40851843375,364604.462474645,351234.49766753893,345433.1238779174
"Trade, Transportation, and Utilities per mil",59164.567789763816,61826.129188926665,62983.918999404406,66970.25194278079,71386.19735020764,75493.72507053215,104119.34434280804,100645.39698002923,98165.0820565615,101010.101010101,99852.11475894706,109018.36531127148,116441.49301580033,109702.5016903313,101718.05666173626,100258.078994614
Wholesale Trade per mil,4086.8697429073804,5633.802816901409,5558.864403414731,6137.70232143741,6871.663041328851,7685.572526510361,12032.660077352813,8645.884072089626,7933.143583843033,10521.885521885522,7394.2620526471455,6747.638326585696,8014.655369819098,7437.457741717377,6314.711571282284,6171.454219030521
Retail Trade per mil,42674.5235945445,44390.48081593006,44768.71153464364,48111.66658417067,51463.318172829735,54820.50783150111,74406.04088648783,75986.36142230881,73881.18452128625,73172.19817219817,72227.15173025732,77216.45250249369,79803.06846805588,76910.07437457742,73899.19217203322,72598.74326750448
"Transportation, Warehousing, and Utilities per mil",12450.69619350853,11801.845556095193,12656.34306134604,12720.883037172698,13051.21613604904,13036.287576612513,17557.861133280127,16195.811008280565,16471.87064736874,17376.142376142376,20408.16326530612,25171.62471395881,28738.26425463705,25354.96957403651,21504.152918420754,21375.673249551164
Information per mil,5227.391531625719,5293.831957260806,5161.802660313679,5395.238330940949,5339.133873838244,5204.786457826637,6568.850144269139,6088.650754992694,5995.276448858475,5531.5055315055315,4909.790002957705,4400.633691251541,4579.803068468056,4507.55014649538,4664.922061667994,4544.434470377019
Financial Activities per mil,12545.739675901725,12287.518212724623,11564.423267818145,10443.993466316882,10085.030650583349,10020.430002918572,13383.264779912824,13090.599123234291,13504.511596923636,13167.388167388168,13073.055309080153,12967.200610221205,11964.735516372795,10141.987829614603,9841.847764250768,8583.931777378815
Professional and Business Services per mil,16822.696383595492,18212.72462360369,20250.14889815366,25144.780478146808,27288.90646628436,30547.718649674094,44754.12855301123,45360.44812469556,45963.78610791497,51827.80182780183,53652.76545400769,52866.279410901836,57648.271124341656,51667.793554203294,50574.58186369325,49035.00897666068
Private Education and Health Services per mil,43434.871453690066,43127.73190869354,43378.995433789954,48458.149779735686,51512.754597587504,52437.007491001066,69494.75105899687,71785.19240136386,70126.56694725368,73593.0735930736,79739.72197574681,81499.73596197853,83066.17815433936,84065.81023213883,87325.06542268745,89991.02333931778
Leisure and Hospitality per mil,57121.132918310126,58183.58426420592,60948.97756601152,61970.99440677127,63822.42436227012,66251.58089308298,81772.97562772423,85667.3161227472,87385.6961182099,89706.5897065897,72818.6926944691,84844.2175673297,91023.58598580261,82938.922695515,75776.53885538742,71588.86894075404
Other Services per mil,15919.783300860143,16561.437591063623,16974.389517569984,16928.17898331931,17302.74866521653,18630.216947173853,22591.933206458347,22162.688748173405,22648.822140132015,23388.648388648387,20171.54687962141,19538.81358915684,21181.589191664756,21523.551949515437,21674.82079872568,21375.673249551164
Government per mil,121085.39656893029,118844.09907722195,118175.50129045067,120972.1328515567,122750.64267352186,125595.87508512501,159432.7460249248,160375.06088650753,163689.21455822684,162217.4122174122,158473.82431233363,152672.65152848678,154854.59125257615,156299.3013297273,160712.2539538059,159279.62298025133
Federal Government per mil,7508.435109062396,6313.744536182613,6650.7841969426245,6385.190318269564,6130.116669962428,5837.1436910205275,7858.063723985512,7854.359473940574,7751.468539938231,7515.632515632516,8695.652173913044,7158.364137769172,6697.961987634532,7043.047103899031,6997.383092501992,6227.558348294434
Total State and Local Government per mil,113576.96145986789,112530.35454103934,111524.71709350805,114586.94253328713,116620.52600355943,119758.73139410448,151758.8556694702,152703.36093521674,155998.3043662569,154641.65464165463,149778.1721384206,145455.61227483425,148271.1243416533,149425.28735632185,153657.9815678689,152827.64811490127
State Government per mil,10549.826545644632,10150.558523555123,9827.278141751041,10641.983863782607,12309.669764682618,13425.430489347213,15102.216219534655,15769.605455431078,17319.687518924482,16113.516113516114,16503.99290150843,16194.331983805669,17174.26150675521,17973.856209150326,19399.24906132666,18738.779174147217
Local Government per mil,103027.13491422326,102379.79601748422,101647.80623386936,103944.95866950453,104310.8562388768,106333.30090475727,136656.63944993552,136933.75547978567,138678.6168473324,138528.13852813852,133215.02514049096,129437.30563867863,131096.86283489811,131395.0867703403,134315.62179997723,134032.7648114901
