TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,11547.0,11333.0,11246.0,11273.0,11092.0,11053.0,11273.0,11207.0,11238.0,11388.0,10999.0,11022.0,10632.0,11077.0,11292.0,11671.0
  Civilian Employment,9116.0,8924.0,8908.0,9122.0,9141.0,9347.0,9564.0,9657.0,9806.0,9970.0,9255.0,9682.0,9428.0,9707.0,9819.0,9934.0
  Civilian Unemployment,2431.0,2409.0,2340.0,2149.0,1950.0,1704.0,1710.0,1549.0,1435.0,1423.0,1745.0,1342.0,1207.0,1371.0,1472.0,1736.0
"Total, All Industries",8654.0,8467.0,8428.0,8733.0,8788.0,9079.0,9039.0,9198.0,9421.0,9714.0,9078.0,9592.0,9203.0,9497.0,9648.0,9619.0
  Total Farm,2422.0,2476.0,2277.0,2398.0,2348.0,2582.0,2616.0,2805.0,2939.0,3133.0,2851.0,2900.0,2408.0,2430.0,2398.0,2254.0
  Total Nonfarm,6232.0,5991.0,6152.0,6336.0,6441.0,6497.0,6423.0,6392.0,6482.0,6581.0,6227.0,6692.0,6795.0,7067.0,7250.0,7364.0
    Total Private,4143.0,3931.0,4060.0,4218.0,4299.0,4342.0,4212.0,4128.0,4240.0,4388.0,4257.0,4615.0,4602.0,4813.0,4954.0,5087.0
    Goods Producing,1288.0,978.0,1121.0,1142.0,1376.0,1452.0,1326.0,1342.0,1272.0,1368.0,1361.0,1369.0,1104.0,1118.0,1149.0,1109.0
"      Mining, Logging and Construction",556.0,118.0,152.0,93.0,81.0,89.0,105.0,114.0,119.0,129.0,103.0,119.0,129.0,135.0,140.0,140.0
      Manufacturing,732.0,860.0,969.0,1049.0,1295.0,1363.0,1220.0,1230.0,1152.0,1239.0,1259.0,1252.0,975.0,984.0,1009.0,970.0
        Durable Goods,41.0,28.0,32.0,42.0,48.0,50.0,51.0,62.0,92.0,99.0,172.0,168.0,129.0,130.0,143.0,141.0
        Non-Durable Goods,692.0,832.0,938.0,1008.0,1248.0,1313.0,1168.0,1170.0,1061.0,1142.0,1089.0,1085.0,846.0,854.0,864.0,827.0
