TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,789469.1261799601,787434.9245566046,792103.8591499199,809190.1002395103,824107.464839524,845652.7639554872,848398.8290605873,861693.5843669135,872575.1913151807,875482.9645240604,841440.1309209928,878424.9682453276,886756.9601203913,876320.3033312269,869553.6663124335,851169.5655899238
Civilian Unemployment per mil,210530.87382003985,212565.07544339538,208073.98186021697,190632.48469795086,175802.38009376125,154166.2896951054,151689.87847068216,138217.18568751673,127691.76009966186,124956.09413417632,158650.7864351305,121756.4870259481,113525.20692249812,123769.97381962625,130357.77541622387,148744.75194927596
"Total, All Industries per mil",749458.7338702693,747110.2091237978,749422.016717055,774682.8705757118,792282.7262892175,821405.9531348955,801827.3751441498,820737.039350406,838316.4264103933,853003.1612223394,825347.7588871716,870259.4810379242,865594.431903687,857362.1016520718,854410.2019128586,824179.5904378374
Total Farm per mil,209751.45059322767,218477.0140298244,202471.99004090345,212720.65998403265,211684.09664623154,233601.7370849543,232058.9018007629,250289.99732310165,261523.4027407012,275114.1552511416,259205.38230748253,263110.14334966434,226486.07975921745,219373.47657307936,212362.73467941905,193128.26664381803
Total Nonfarm per mil,539707.2832770416,528633.1950939733,547038.94718122,562050.9181229486,580688.7847097006,587804.2160499411,569768.4733433869,570357.8120817346,576793.0236696921,577889.0059711977,566142.376579689,607149.3376882599,639108.3521444695,637988.6250789925,642047.4672334397,630965.6413332191
Total Private per mil,358794.4920758638,346863.14303361863,361017.2505779833,374168.36689434934,387576.63180670753,392834.52456346696,373636.1217067329,368341.2153118586,377291.33297739807,385317.87846856343,387035.18501681974,418708.0384685175,432844.2437923251,434503.9270560621,438717.67623096,435866.67809099477
Goods Producing per mil,111544.12401489564,86296.65578399364,99679.8861817535,101304.00070966025,124053.37179949513,131367.0496697729,117626.18646323073,119746.58695458196,113187.39989321944,120126.44889357219,123738.52168378943,124206.13318816911,103837.47178329571,100929.85465378712,101753.45377258235,95021.84902750407
"Mining, Logging and Construction per mil",48151.034900840044,10412.070943263037,13515.916770407257,8249.800408054643,7302.5604038946985,8052.112548629331,9314.290783287503,10172.213794949585,10589.072788752446,11327.713382507904,9364.487680698245,10796.588640900018,12133.182844243793,12187.415365171075,12398.157987956074,11995.544512038387
Manufacturing per mil,63393.0891140556,75884.58484073062,86163.96941134626,93054.20030160561,116750.81139560044,123314.93712114358,108223.18814867383,109752.83305077183,102509.34329951947,108798.73551106428,114464.95135921448,113590.99981854473,91704.28893905191,88832.71643946918,89355.29578462629,83111.98697626595
Durable Goods per mil,3550.705811033169,2470.660901791229,2845.456162191001,3725.716313315,4327.44320230797,4523.658735185018,4524.084094739644,5532.256625323459,8186.51005516996,8693.36143308746,15637.785253204836,15242.242787152967,12133.182844243793,11736.02961090548,12663.832801983704,12081.22697283866
Non-Durable Goods per mil,59928.985883779336,73413.92393893938,83407.43375422373,89417.19151956002,112513.52326000722,118791.27838595856,103610.39652266479,104399.03631658785,94411.81704929704,100280.99754127151,99009.0008182562,98439.48466702958,79571.10609480813,77096.68682856369,76514.3464399575,70859.39508182675
Service-Providing per mil,428076.5566813891,442336.5393099797,447359.06099946646,460658.209882019,456635.41291020554,456346.6932054646,452319.70194269496,450611.2251271527,463605.6237764727,457850.36880927294,442494.7722520229,482852.47686445294,535364.936042137,536968.4932743523,540382.5717321999,536286.5221489161
Private Service Providing per mil,247250.36806096823,260566.487249625,261337.3643962298,272775.6586534197,263523.2600072124,261377.0017189903,256098.64277477158,248505.39841170696,264014.9492792312,265367.05303828587,263023.9112646604,294229.7223734349,329288.93905191874,333483.79525142186,337052.7807297202,340759.1466026904
"Trade, Transportation, and Utilities per mil",106001.55884645363,115415.15926939028,122265.69446914458,129069.45799698394,119365.30833032817,117162.76124129197,121085.78018273751,123315.78477737129,124399.35931660439,123814.54162276081,128920.81098281663,137996.73380511705,143905.19187358915,150582.28762300263,147449.52178533474,144289.26398766172
Wholesale Trade per mil,46851.99618948645,58413.48274949263,68379.8683976525,69812.82710902156,58871.25856473134,58083.778159775626,51450.368136254765,51753.368430445254,54547.07243281723,52511.41552511415,53550.32275661424,53347.849755035386,57562.07674943566,63013.45129547711,64204.74672334396,64004.79821780482
Retail Trade per mil,42608.46973239803,40765.90487955528,39391.78374533167,39652.26647742393,38946.98882077173,42793.811634850266,53047.10369910405,54251.80690639779,52322.47730912974,51896.733403582715,54186.744249477226,60061.69479223371,59255.07900677201,58950.979507086755,56854.410201912855,55950.646902579036
"Transportation, Warehousing, and Utilities per mil",16541.09292456915,16235.771640342362,14405.121821091945,19693.07194180786,21456.90587811035,16194.698271962363,16854.430941186907,17667.529222807174,17796.76098949991,19494.204425711276,21274.66133284844,24677.916893485755,27276.14747930775,28708.133971291867,26567.481402763016,23991.089024076773
Financial Activities per mil,15588.46453624318,14823.965410747374,15116.485861639694,14281.912534374169,13523.260007212404,12847.19080792545,11886.809190100239,11510.662978495582,12368.748887702439,12557.077625570775,12637.512501136467,11976.047904191617,12227.238525206923,11645.752460052361,11778.25008855827,11738.497129637562
Private Education and Health Services per mil,40703.21295574608,40942.38065825465,40103.147785879424,45861.79366628227,48323.11575910566,51388.7632317018,40716.75685265679,33728.919425359156,49830.930770599756,55145.767474534594,60369.124465860536,67592.08855017238,77125.65838976674,76916.13252685746,78108.39532412327,78228.08671065033
