TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,526017.0,527425.0,534275.0,536525.0,539042.0,544850.0,573783.0,579383.0,581733.0,582192.0,565042.0,567525.0,575400.0,582183.0,582267.0,585014.0
  Civilian Employment,467825.0,473108.0,486300.0,495858.0,505342.0,517333.0,548758.0,557675.0,563583.0,564617.0,515975.0,532633.0,555675.0,559625.0,555992.0,557657.0
  Civilian Unemployment,58167.0,54325.0,47958.0,40650.0,33700.0,27500.0,25042.0,21700.0,18133.0,17575.0,49092.0,34892.0,19733.0,22567.0,26275.0,27357.0
"Total, All Industries",318125.0,319167.0,327558.0,337833.0,344208.0,350767.0,364175.0,370325.0,372967.0,375217.0,345775.0,355892.0,374158.0,376283.0,,
  Total Farm,708.0,825.0,792.0,825.0,783.0,717.0,825.0,775.0,708.0,750.0,733.0,708.0,1050.0,1108.0,,
  Total Nonfarm,317417.0,318342.0,326767.0,337008.0,343425.0,350050.0,363350.0,369550.0,372258.0,374467.0,345042.0,355183.0,373108.0,375175.0,,
    Goods Producing,36725.0,35358.0,37208.0,37108.0,37075.0,37792.0,40208.0,41083.0,41783.0,42067.0,39325.0,39750.0,41208.0,42158.0,,
"     Mining, Logging and Construction",18258.0,17758.0,19642.0,21700.0,21800.0,22792.0,25350.0,25500.0,26100.0,26075.0,24300.0,25825.0,27217.0,28042.0,,
      Manufacturing,18467.0,17600.0,17567.0,15408.0,15275.0,15000.0,14858.0,15583.0,15683.0,15992.0,15025.0,13925.0,13992.0,14117.0,,
        Durable Goods,6900.0,6692.0,7008.0,6467.0,6575.0,6667.0,6550.0,6508.0,6392.0,6458.0,6350.0,6317.0,6500.0,6433.0,,
        Nondurable Goods,11567.0,10908.0,10558.0,8942.0,8700.0,8333.0,8308.0,9075.0,9292.0,9533.0,8675.0,7608.0,7492.0,7683.0,,
    Service Providing,280692.0,282983.0,289558.0,299900.0,306350.0,312258.0,323142.0,328467.0,330475.0,332400.0,305717.0,315433.0,331900.0,333017.0,,
"      Trade, Transportation & Utilities",55942.0,56508.0,57425.0,58717.0,60358.0,62467.0,64858.0,65233.0,64158.0,61942.0,58942.0,61858.0,64975.0,64275.0,,
        Wholesale Trade,7608.0,7883.0,8150.0,8658.0,9192.0,9550.0,10383.0,10600.0,9767.0,9008.0,8425.0,7967.0,8167.0,8450.0,,
        Retail Trade,40375.0,40533.0,41192.0,41133.0,41575.0,42342.0,43258.0,43117.0,42783.0,41450.0,38592.0,40867.0,42200.0,41442.0,,
"        Transportation, Warehousing, and Utilities",7958.0,8092.0,8083.0,8925.0,9592.0,10575.0,11217.0,11517.0,11608.0,11483.0,11925.0,13025.0,14608.0,14383.0,,
      Information,9608.0,8950.0,8433.0,8592.0,8325.0,8292.0,8117.0,7983.0,7817.0,7075.0,5925.0,5933.0,5858.0,5625.0,,
      Financial Activities,25342.0,24808.0,25333.0,25308.0,25017.0,26258.0,26950.0,27367.0,26992.0,27017.0,25608.0,24858.0,24883.0,23450.0,,
        Finance & Insurance,19175.0,18733.0,19033.0,18667.0,18192.0,19350.0,20025.0,20233.0,19725.0,19683.0,18783.0,17942.0,17300.0,15975.0,,
        Real Estate & Rental & Leasing,6167.0,6075.0,6300.0,6642.0,6825.0,6908.0,6925.0,7133.0,7267.0,7333.0,6825.0,6917.0,7583.0,7475.0,,
      Professional and Business Services,43775.0,45942.0,48142.0,52058.0,53158.0,50892.0,52108.0,54283.0,55267.0,56583.0,55933.0,56375.0,57625.0,54517.0,,
"        Professional, Scientific & Technical Services",22608.0,23642.0,24100.0,24650.0,24908.0,23342.0,23817.0,22975.0,23433.0,24408.0,24742.0,25275.0,25833.0,24617.0,,
        Management of Companies & Enterprises,5642.0,5825.0,5492.0,7967.0,8425.0,8492.0,8067.0,8367.0,8650.0,8892.0,8425.0,7308.0,7350.0,6408.0,,
        Administrative and Support and Waste and Remediatio,15525.0,16475.0,18550.0,19442.0,19825.0,19058.0,20225.0,22942.0,23183.0,23283.0,22767.0,23792.0,24442.0,23492.0,,
      Private Education and Health Services,53742.0,54342.0,56425.0,59508.0,61450.0,64117.0,67292.0,69342.0,70683.0,72408.0,69533.0,73383.0,77292.0,80667.0,,
        Private Educational Services,6275.0,6750.0,7000.0,6983.0,6633.0,6658.0,7217.0,7517.0,7625.0,7700.0,6858.0,6950.0,7508.0,7833.0,,
        Health Care & Social Assistance,47467.0,47592.0,49425.0,52525.0,54817.0,57458.0,60075.0,61825.0,63058.0,64708.0,62675.0,66433.0,69783.0,72833.0,,
      Leisure and Hospitality,31308.0,32258.0,33500.0,35350.0,36292.0,38258.0,40500.0,40742.0,41258.0,42958.0,31667.0,34633.0,39700.0,40958.0,,
"         Arts, Entertainment, and Recreation",5483.0,5508.0,5858.0,5883.0,5967.0,6125.0,6508.0,6350.0,6492.0,6958.0,4500.0,5083.0,6175.0,7133.0,,
        Accommodation & Food Services,25825.0,26750.0,27642.0,29467.0,30325.0,32133.0,33992.0,34392.0,34767.0,36000.0,27167.0,29550.0,33525.0,33825.0,,
      Other Services,11767.0,12350.0,12358.0,12142.0,12533.0,12683.0,12958.0,13042.0,13492.0,13675.0,10667.0,11800.0,13392.0,14125.0,,
      Government,49208.0,47825.0,47942.0,48225.0,49217.0,49292.0,50358.0,50475.0,50808.0,50742.0,47442.0,46592.0,48175.0,49400.0,,
        Federal Government,5258.0,4842.0,4617.0,4450.0,4508.0,4683.0,4708.0,4808.0,4683.0,4733.0,5117.0,4842.0,4775.0,4808.0,,
          State Government,1175.0,1158.0,1217.0,1300.0,1300.0,1358.0,1425.0,1417.0,1542.0,1608.0,1700.0,1658.0,1600.0,1600.0,,
          Local Government,42775.0,41825.0,42108.0,42475.0,43408.0,43250.0,44225.0,44250.0,44583.0,44400.0,40625.0,40092.0,41800.0,42992.0,,
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,889372.3967096121,897014.7414324312,910205.4185578588,924202.9728344439,937481.6804627469,949496.1916123704,956385.9507862729,962532.5561847689,968800.1196425165,969812.3643059335,913162.2074111305,938519.007973217,965719.4994786236,961252.7332471062,954874.6537241506,953237.0165500313
  Civilian Unemployment per mil,110580.07630932081,103000.42660093853,89762.76262224509,75765.34178276874,62518.31953725313,50472.6071395797,43643.67713926694,37453.63602314876,31170.65732904958,30187.63569406656,86882.03708750854,61480.992026782966,34294.403892944036,38762.72580958221,45125.3462758494,46762.98344996871
"Total, All Industries per mil",604780.8340795069,605141.9633123192,613088.7651490337,629668.7013652672,638555.0662100541,643786.3632192346,634691.1637326307,639171.3253581828,641130.8968203627,644490.1338390084,611945.6606765514,627094.8416369323,650257.2123740007,646331.1364296105,,
  Total Farm per mil,1345.9641038217396,1564.2034412475707,1482.382668101633,1537.6729882111738,1452.5769791593234,1315.958520693769,1437.825798254741,1337.6298579695988,1217.0531841927482,1288.2348091351307,1297.24870009663,1247.5221355887406,1824.817518248175,1903.1816456337613,,
  Total Nonfarm per mil,603434.8699756851,603577.7598710718,611608.2541762202,628131.028377056,637102.4892308948,642470.4046985409,633253.3379343759,637833.6955002132,639912.1246344973,643201.8990298733,610648.4119764548,625845.5574644288,648432.3948557526,644427.9547839769,,
    Goods Producing per mil,69817.13518764602,67038.91548561407,69642.03827616863,69163.59908671543,68779.42720604331,69362.20978250894,70075.27235906258,70908.19026447099,71825.04688577061,72256.23162118338,69596.5963592087,70040.96735826616,71616.26694473409,72413.65687421309,,
"     Mining, Logging and Construction per mil",34709.90481296232,33669.242072332556,36763.8388470357,40445.45920506966,40442.11768285217,41831.69679728366,44180.46543728204,44012.337262225505,44865.943654563176,44787.630197598046,43005.65267714612,45504.60332143958,47301.007994438645,48166.98529500174,,
      Manufacturing per mil,35107.23037468371,33369.67341328151,32880.071124420945,28718.139881645777,28337.309523191143,27530.51298522529,25894.80692178053,26895.853002245494,26959.103231207442,27468.601423585347,26590.94368206257,24536.36403682657,24316.996871741398,24248.389252176723,,
        Durable Goods per mil,13117.446774533904,12688.059913731811,13116.840578353844,12053.492381529286,12197.565310309772,12236.395338166467,11415.465428567943,11232.638858924061,10987.858691186508,11092.560529859566,11238.102654315962,11130.78718999163,11296.48939867918,11049.79018624728,,
        Nondurable Goods per mil,21989.783600149804,20681.613499549698,19761.358850779092,16666.51134616281,16139.74421288137,15294.117647058825,14479.34149321259,15663.21414332143,15972.963541693527,16374.3232473136,15352.84102774661,13405.576846834942,13020.507473062216,13196.881392964067,,
    Service Providing per mil,533617.7347880392,536536.9483812863,541964.3442047634,558967.4292903406,568323.0620248514,573108.1949160319,563178.0655753134,566925.5052357422,568087.0777487267,570945.6674086899,541051.8156172461,555804.5901061627,576816.1279110184,572014.2979097638,,
"      Trade, Transportation & Utilities per mil",106350.1749943443,107139.40370668816,107482.10191380842,109439.44830157029,111972.72197713722,114649.90364320455,113035.76439176482,112590.46261281398,110287.70930994116,106394.45406326435,104314.36955128999,108996.07946786485,112921.44595064303,110403.42984937727,,
        Wholesale Trade per mil,14463.410878355642,14946.20088164194,15254.316597257966,16137.1790690089,17052.47457526501,17527.75993392677,18095.69122821694,18295.32450900354,16789.489336173127,15472.558880919009,14910.396041356218,14038.148099202677,14193.6044490789,14514.33655740549,,
        Retail Trade per mil,76756.0744234502,76850.73707162155,77098.87230358897,76665.57942313964,77127.57076443023,77713.13205469395,75390.8707647316,74418.82140138734,73544.04855835925,71196.44378486823,68299.34765911207,72009.16259195631,73340.28501911713,71183.80303100572,,
"        Transportation, Warehousing, and Utilities per mil",15128.788613295766,15342.465753424658,15128.91301296149,16634.825963375424,17794.531780454956,19409.011654583832,19549.202398816276,19878.042676433375,19954.171415408786,19723.73375106494,21104.62585082171,22950.530813620546,25387.556482446995,24705.290260966052,,
      Information per mil,18265.56936372779,16969.23733232213,15784.00636376398,16014.165229952006,15444.065583015796,15218.86757823254,14146.46303567725,13778.450524092008,13437.4360746253,12152.348366174734,10485.946177452295,10454.16501475706,10180.743830378868,9661.910430225547,,
      Financial Activities per mil,48177.15016815046,47036.071479357255,47415.65673108418,47170.21574017986,46410.11275559233,48193.080664403045,46968.97607632154,47234.73073942452,46399.29314651223,46405.65311787176,45320.52484594066,43800.71362495044,43244.69933958985,40279.43103800695,,
        Finance & Insurance per mil,36453.194478505444,35517.846139261506,35623.97641663937,34792.41414659149,33748.76169203884,35514.361750940625,34899.95346672871,34921.63215006308,33907.307991810674,33808.43433094237,33241.77671748295,31614.466323069468,30066.041014946128,27439.825621840555,,
        Real Estate & Rental & Leasing per mil,11723.95568964501,11518.225340095749,11791.680314444808,12379.665439634686,12661.35106355349,12678.71891346242,12069.022609592825,12311.372615351158,12491.985154701555,12595.501140517217,12078.748128457708,12188.009338795648,13178.658324643726,12839.605416166396,,
      Professional and Business Services per mil,83219.74384858285,87106.223633692,90107.1545552384,97028.09747914823,98615.69228371815,93405.52445627237,90814.82023691884,93691.04720021127,95004.06543895567,97189.5869403908,98989.10169509523,99334.8310647108,100147.7233229058,93642.37705326332,,
"        Professional, Scientific & Technical Services per mil",42979.59951864673,44825.330615727355,45107.85644097141,45943.805041703556,46207.902167178065,42841.14894007525,41508.723681252326,39654.25288626004,40281.3661937693,41924.31362849369,43787.89541308434,44535.48301836924,44895.72471324296,42283.955388597744,,
        Management of Companies & Enterprises per mil,10725.889087234822,11044.224297293455,10279.350521735061,14849.261451004146,15629.579884313283,15585.941084702212,14059.322078207266,14441.224544040817,14869.364467891628,15273.311897106109,14910.396041356218,12876.965772432932,12773.722627737227,11006.848362112944,,
        Administrative and Support and Waste and Remediatio per mil,29514.25524270128,31236.668720671183,34719.947592531935,36236.89483248683,36778.2102322268,34978.434431494905,35248.51729660865,39597.29574392069,39851.61577562215,39991.961414790996,40292.58002060024,41922.38227390864,42478.27598192562,40351.57330255263,,
      Private Education and Health Services per mil,102167.80066043494,103032.65867184907,105610.40662580132,110913.7505242067,113998.53814730578,117678.26007157934,117277.78620140367,119682.48982106827,121504.19522358195,124371.34141314206,123058.10895473257,129303.55490947534,134327.42440041708,138559.52509777853,,
        Private Educational Services per mil,11929.272247855108,12798.028155661943,13101.867016049788,13015.236941428637,12305.163605062313,12219.877030375334,12577.925801217534,12974.146635299967,13107.387753488283,13225.877373787342,12137.150866661239,12246.15655697987,13048.314216197428,13454.532337770082,,
        Health Care & Social Assistance per mil,90238.52841257982,90234.63051618713,92508.53960975153,97898.51358277806,101693.37454224346,105456.54767367165,104699.86040018614,106708.34318576832,108396.80747009367,111145.46403935472,110920.95808807133,117057.39835249548,121277.37226277373,125103.27508704308,,
      Leisure and Hospitality per mil,59518.98893001556,61161.30255486562,62701.79214823826,65886.95773729091,67326.850226884,70217.49105258328,70584.17555068729,70319.63312696437,70922.5710076616,73786.65457443592,56043.6215360982,61024.62446588256,68995.48140424053,70352.44931576498,,
"         Arts, Entertainment, and Recreation per mil",10423.617487647738,10443.190975020145,10964.390997145663,10965.006290480407,11069.63835842105,11241.62613563366,11342.267024293156,10959.934965299293,11159.75885844537,11951.383735949654,7964.009755027059,8956.433637284701,10731.664928745222,12252.161262008682,,
        Accommodation & Food Services per mil,49095.37144236783,50718.11157984547,51737.4011510926,54921.9514468105,56257.21186846294,58975.86491694961,59241.90852639412,59359.69816166508,59764.53115088881,61835.27083848627,48079.61178107114,52068.19082859786,58263.8164754953,58100.28805375629,,
      Other Services per mil,22369.99944868702,23415.65151443333,23130.410369191897,22630.818694375845,23250.50738161405,23277.96641277416,22583.45053792113,22510.153042115493,23192.77056656576,23488.81468656388,18878.242679305255,20792.035593145676,23274.24400417101,24262.130635899706,,
      Government per mil,93548.30737409627,90676.39948807887,89732.81549763698,89883.9755836168,91304.57366958419,90468.936404515,87764.88672546938,87118.53816905225,87339.03698088299,87156.8142468464,83961.90017733195,82096.82392846131,83724.36565867222,84853.04448944746,,
        Federal Government per mil,9995.87465804337,9180.452196994835,8641.617144728838,8294.114906108756,8362.984702490716,8595.026153987335,8205.192555373722,8298.483041442363,8050.084832732542,8129.620468848764,9055.963981438548,8531.78274084842,8298.574904414321,8258.571617515454,,
          State Government per mil,2233.7681101561357,2195.5728302602265,2277.853165504656,2422.9998602115465,2411.6859168673313,2492.429108929063,2483.5172878945527,2445.7051725715114,2650.7005791316633,2761.97543078572,3008.625907454667,2921.457204528435,2780.674313521029,2748.276744597489,,
          Local Government per mil,81318.66460589676,79300.37446082382,78813.3451874035,79166.86081729649,80528.04790721317,79379.64577406626,77076.1768822011,76374.34995503837,76638.25156901879,76263.50070079973,71897.31028843873,70643.58398308445,72645.11644073688,73846.19612733454,,
