TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,889372.3967096121,897014.7414324312,910205.4185578588,924202.9728344439,937481.6804627469,949496.1916123704,956385.9507862729,962532.5561847689,968800.1196425165,969812.3643059335,913162.2074111305,938519.007973217,965719.4994786236,961252.7332471062,954874.6537241506,953237.0165500313
Civilian Unemployment per mil,110580.07630932081,103000.42660093853,89762.76262224509,75765.34178276874,62518.31953725313,50472.6071395797,43643.67713926694,37453.63602314876,31170.65732904958,30187.63569406656,86882.03708750854,61480.992026782966,34294.403892944036,38762.72580958221,45125.3462758494,46762.98344996871
"Total, All Industries per mil",604780.8340795069,605141.9633123192,613088.7651490337,629668.7013652672,638555.0662100541,643786.3632192346,634691.1637326307,639171.3253581828,641130.8968203627,644490.1338390084,611945.6606765514,627094.8416369323,650257.2123740007,646331.1364296105,,
Total Farm per mil,1345.9641038217396,1564.2034412475707,1482.382668101633,1537.6729882111738,1452.5769791593234,1315.958520693769,1437.825798254741,1337.6298579695988,1217.0531841927482,1288.2348091351307,1297.24870009663,1247.5221355887406,1824.817518248175,1903.1816456337613,,
Total Nonfarm per mil,603434.8699756851,603577.7598710718,611608.2541762202,628131.028377056,637102.4892308948,642470.4046985409,633253.3379343759,637833.6955002132,639912.1246344973,643201.8990298733,610648.4119764548,625845.5574644288,648432.3948557526,644427.9547839769,,
Goods Producing per mil,69817.13518764602,67038.91548561407,69642.03827616863,69163.59908671543,68779.42720604331,69362.20978250894,70075.27235906258,70908.19026447099,71825.04688577061,72256.23162118338,69596.5963592087,70040.96735826616,71616.26694473409,72413.65687421309,,
"Mining, Logging and Construction per mil",34709.90481296232,33669.242072332556,36763.8388470357,40445.45920506966,40442.11768285217,41831.69679728366,44180.46543728204,44012.337262225505,44865.943654563176,44787.630197598046,43005.65267714612,45504.60332143958,47301.007994438645,48166.98529500174,,
Manufacturing per mil,35107.23037468371,33369.67341328151,32880.071124420945,28718.139881645777,28337.309523191143,27530.51298522529,25894.80692178053,26895.853002245494,26959.103231207442,27468.601423585347,26590.94368206257,24536.36403682657,24316.996871741398,24248.389252176723,,
Durable Goods per mil,13117.446774533904,12688.059913731811,13116.840578353844,12053.492381529286,12197.565310309772,12236.395338166467,11415.465428567943,11232.638858924061,10987.858691186508,11092.560529859566,11238.102654315962,11130.78718999163,11296.48939867918,11049.79018624728,,
Nondurable Goods per mil,21989.783600149804,20681.613499549698,19761.358850779092,16666.51134616281,16139.74421288137,15294.117647058825,14479.34149321259,15663.21414332143,15972.963541693527,16374.3232473136,15352.84102774661,13405.576846834942,13020.507473062216,13196.881392964067,,
Service Providing per mil,533617.7347880392,536536.9483812863,541964.3442047634,558967.4292903406,568323.0620248514,573108.1949160319,563178.0655753134,566925.5052357422,568087.0777487267,570945.6674086899,541051.8156172461,555804.5901061627,576816.1279110184,572014.2979097638,,
"Trade, Transportation & Utilities per mil",106350.1749943443,107139.40370668816,107482.10191380842,109439.44830157029,111972.72197713722,114649.90364320455,113035.76439176482,112590.46261281398,110287.70930994116,106394.45406326435,104314.36955128999,108996.07946786485,112921.44595064303,110403.42984937727,,
Wholesale Trade per mil,14463.410878355642,14946.20088164194,15254.316597257966,16137.1790690089,17052.47457526501,17527.75993392677,18095.69122821694,18295.32450900354,16789.489336173127,15472.558880919009,14910.396041356218,14038.148099202677,14193.6044490789,14514.33655740549,,
Retail Trade per mil,76756.0744234502,76850.73707162155,77098.87230358897,76665.57942313964,77127.57076443023,77713.13205469395,75390.8707647316,74418.82140138734,73544.04855835925,71196.44378486823,68299.34765911207,72009.16259195631,73340.28501911713,71183.80303100572,,
"Transportation, Warehousing, and Utilities per mil",15128.788613295766,15342.465753424658,15128.91301296149,16634.825963375424,17794.531780454956,19409.011654583832,19549.202398816276,19878.042676433375,19954.171415408786,19723.73375106494,21104.62585082171,22950.530813620546,25387.556482446995,24705.290260966052,,
Information per mil,18265.56936372779,16969.23733232213,15784.00636376398,16014.165229952006,15444.065583015796,15218.86757823254,14146.46303567725,13778.450524092008,13437.4360746253,12152.348366174734,10485.946177452295,10454.16501475706,10180.743830378868,9661.910430225547,,
Financial Activities per mil,48177.15016815046,47036.071479357255,47415.65673108418,47170.21574017986,46410.11275559233,48193.080664403045,46968.97607632154,47234.73073942452,46399.29314651223,46405.65311787176,45320.52484594066,43800.71362495044,43244.69933958985,40279.43103800695,,
Finance & Insurance per mil,36453.194478505444,35517.846139261506,35623.97641663937,34792.41414659149,33748.76169203884,35514.361750940625,34899.95346672871,34921.63215006308,33907.307991810674,33808.43433094237,33241.77671748295,31614.466323069468,30066.041014946128,27439.825621840555,,
Real Estate & Rental & Leasing per mil,11723.95568964501,11518.225340095749,11791.680314444808,12379.665439634686,12661.35106355349,12678.71891346242,12069.022609592825,12311.372615351158,12491.985154701555,12595.501140517217,12078.748128457708,12188.009338795648,13178.658324643726,12839.605416166396,,
Professional and Business Services per mil,83219.74384858285,87106.223633692,90107.1545552384,97028.09747914823,98615.69228371815,93405.52445627237,90814.82023691884,93691.04720021127,95004.06543895567,97189.5869403908,98989.10169509523,99334.8310647108,100147.7233229058,93642.37705326332,,
"Professional, Scientific & Technical Services per mil",42979.59951864673,44825.330615727355,45107.85644097141,45943.805041703556,46207.902167178065,42841.14894007525,41508.723681252326,39654.25288626004,40281.3661937693,41924.31362849369,43787.89541308434,44535.48301836924,44895.72471324296,42283.955388597744,,
Management of Companies & Enterprises per mil,10725.889087234822,11044.224297293455,10279.350521735061,14849.261451004146,15629.579884313283,15585.941084702212,14059.322078207266,14441.224544040817,14869.364467891628,15273.311897106109,14910.396041356218,12876.965772432932,12773.722627737227,11006.848362112944,,
Administrative and Support and Waste and Remediatio per mil,29514.25524270128,31236.668720671183,34719.947592531935,36236.89483248683,36778.2102322268,34978.434431494905,35248.51729660865,39597.29574392069,39851.61577562215,39991.961414790996,40292.58002060024,41922.38227390864,42478.27598192562,40351.57330255263,,
Private Education and Health Services per mil,102167.80066043494,103032.65867184907,105610.40662580132,110913.7505242067,113998.53814730578,117678.26007157934,117277.78620140367,119682.48982106827,121504.19522358195,124371.34141314206,123058.10895473257,129303.55490947534,134327.42440041708,138559.52509777853,,
Private Educational Services per mil,11929.272247855108,12798.028155661943,13101.867016049788,13015.236941428637,12305.163605062313,12219.877030375334,12577.925801217534,12974.146635299967,13107.387753488283,13225.877373787342,12137.150866661239,12246.15655697987,13048.314216197428,13454.532337770082,,
