TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,10946.0,10852.0,10469.0,10305.0,9926.0,9860.0,9296.0,9234.0,9233.0,9143.0,8947.0,8865.0,8786.0,8950.0,8992.0,9046.0
  Civilian Employment,9487.0,9408.0,9048.0,9074.0,8913.0,9015.0,8551.0,8596.0,8672.0,8576.0,8032.0,8144.0,8298.0,8415.0,8429.0,8477.0
  Civilian Unemployment,1457.0,1446.0,1423.0,1230.0,1012.0,844.0,746.0,638.0,561.0,567.0,916.0,722.0,488.0,536.0,562.0,569.0
"Total, All Industries",8385.0,8306.0,7958.0,8082.0,7989.0,8128.0,8225.0,8344.0,8474.0,8481.0,8058.0,8194.0,8402.0,8552.0,8595.0,8547.0
  Total Farm,315.0,278.0,298.0,329.0,326.0,308.0,311.0,325.0,331.0,307.0,313.0,277.0,274.0,283.0,288.0,280.0
  Total Nonfarm,8070.0,8028.0,7661.0,7753.0,7663.0,7821.0,7914.0,8019.0,8143.0,8174.0,7745.0,7918.0,8128.0,8268.0,8307.0,8267.0
    Total Private,4159.0,4198.0,3901.0,4091.0,3989.0,3983.0,4098.0,4298.0,4378.0,4418.0,4162.0,4315.0,4448.0,4498.0,4546.0,4487.0
    Goods Producing,276.0,258.0,230.0,238.0,211.0,228.0,258.0,295.0,327.0,348.0,352.0,379.0,392.0,387.0,418.0,404.0
"     Mining, Logging and Construction",174.0,150.0,156.0,160.0,140.0,152.0,161.0,172.0,189.0,199.0,208.0,218.0,228.0,223.0,248.0,244.0
      Manufacturing,102.0,108.0,74.0,78.0,71.0,77.0,98.0,122.0,137.0,152.0,142.0,158.0,168.0,163.0,171.0,163.0
    Service-Providing,7794.0,7769.0,7431.0,7516.0,7452.0,7592.0,7658.0,7725.0,7816.0,7825.0,7393.0,7541.0,7737.0,7881.0,7891.0,7864.0
    Private Service Providing,3883.0,3939.0,3671.0,3853.0,3778.0,3755.0,3840.0,4003.0,4051.0,4072.0,3809.0,3938.0,4058.0,4114.0,4130.0,4083.0
"      Trade, Transportation & Utilities",1087.0,1114.0,1049.0,1061.0,1013.0,1016.0,1036.0,1020.0,1002.0,987.0,1008.0,1085.0,1148.0,1146.0,1146.0,1131.0
      Information,93.0,85.0,85.0,85.0,78.0,80.0,82.0,80.0,72.0,68.0,58.0,53.0,64.0,60.0,65.0,70.0
      Financial Activities,183.0,184.0,188.0,193.0,183.0,186.0,182.0,180.0,171.0,164.0,155.0,143.0,141.0,138.0,139.0,134.0
      Professional and Business Services,174.0,327.0,186.0,192.0,211.0,209.0,224.0,211.0,185.0,171.0,159.0,169.0,160.0,171.0,171.0,171.0
      Private Education and Health Services,1487.0,1387.0,1299.0,1424.0,1423.0,1402.0,1407.0,1522.0,1595.0,1637.0,1612.0,1585.0,1570.0,1678.0,1786.0,1776.0
      Leisure and Hospitality,761.0,731.0,738.0,766.0,748.0,763.0,817.0,887.0,920.0,951.0,717.0,797.0,842.0,812.0,704.0,674.0
      Other Services,98.0,112.0,125.0,132.0,121.0,98.0,94.0,107.0,106.0,98.0,106.0,109.0,135.0,112.0,118.0,124.0
      Government,3911.0,3830.0,3760.0,3662.0,3674.0,3838.0,3819.0,3721.0,3768.0,3756.0,3583.0,3602.0,3681.0,3769.0,3761.0,3781.0
        Federal Government,183.0,161.0,152.0,145.0,147.0,148.0,149.0,147.0,144.0,148.0,159.0,152.0,147.0,152.0,142.0,126.0
        State & Local Government,3728.0,3669.0,3608.0,3518.0,3528.0,3690.0,3671.0,3575.0,3622.0,3608.0,3423.0,3451.0,3533.0,3619.0,3618.0,3656.0
          State Government,1640.0,1615.0,1598.0,1536.0,1498.0,1568.0,1526.0,1394.0,1434.0,1401.0,1418.0,1403.0,1341.0,1314.0,1263.0,1249.0
          Local Government,2088.0,2054.0,2009.0,1982.0,2030.0,2122.0,2144.0,2182.0,2189.0,2209.0,2006.0,2048.0,2192.0,2302.0,2357.0,2409.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,866709.3002009867,866936.9701437523,864265.9279778393,880543.4255215914,897944.7914567802,914300.2028397565,919858.0034423408,930907.5157028374,939239.6837430954,937985.3439790003,897731.0830445959,918668.9227298364,944457.0908263145,940223.4636871509,937388.7900355872,937099.2703957551
  Civilian Unemployment per mil,133107.98465192763,133247.32768153335,135925.11223612571,119359.53420669578,101954.46302639533,85598.37728194727,80249.56970740104,69092.48429716266,60760.31625690458,62014.65602099967,102380.68626355202,81443.880428652,55542.90917368541,59888.26815642458,62500.0,62900.729604244974
"Total, All Industries per mil",766033.2541567696,765388.8684113527,760149.0113668927,784279.4759825328,804855.933910941,824340.7707910751,884789.156626506,903617.0673597575,917794.8662406586,927594.8813299793,900637.0850564435,924309.0806542584,956294.1042567722,955530.7262569832,955849.6441281139,944837.4972363475
  Total Farm per mil,28777.635665996713,25617.397714706967,28464.99188079091,31926.2493934983,32843.03848478742,31237.32251521298,33455.2495697074,35196.014728178474,35849.669663164736,33577.60034999453,34983.793450318546,31246.47490129724,31185.97769178238,31620.11173184358,32028.469750889682,30952.907362370108
  Total Nonfarm per mil,737255.6184907729,739771.4706966457,731779.5395930844,752353.2265890344,772012.8954261536,793204.8681541582,851333.9070567987,868421.052631579,881945.1965774938,894017.2809799847,865653.291606125,893175.4089114495,925108.1265649898,923798.8826815643,923821.1743772242,913884.5898739775
    Total Private per mil,379956.14836469945,386841.1352746038,372623.93733880983,396991.75157690444,401873.86661293573,403955.37525354966,440834.76764199656,465453.7578514187,474168.7425538828,483211.1998250027,465183.8605119034,486745.6288776086,506259.95902572275,502569.8324022346,505560.4982206405,496020.34048198094
    Goods Producing per mil,25214.690297825688,23774.41946185035,21969.62460597956,23095.58466763707,21257.304049969774,23123.732251521298,27753.872633390707,31947.151830192768,35416.44102675187,38061.90528272996,39342.796468089866,42752.397067117876,44616.43523787844,43240.22346368715,46485.76512455516,44660.623479991154
"     Mining, Logging and Construction per mil",15896.217796455327,13822.336896424622,14901.136689273093,15526.443474041727,14104.372355430183,15415.8215010142,17319.277108433736,18626.813948451374,20470.05307050796,21765.284917423163,23248.016094780374,24591.088550479413,25950.37559754154,24916.201117318436,27580.071174377226,26973.247844351095
      Manufacturing per mil,9318.472501370363,9952.082565425728,7068.487916706466,7569.141193595342,7152.931694539593,7809.330628803245,10542.168674698794,13212.042451808533,14838.08079714069,16624.740238433777,15871.241757013522,17822.89904117315,19121.32938766219,18212.290502793294,19016.903914590748,18019.013928808312
    Service-Providing per mil,712040.9281929472,715904.9023221526,709809.9149871048,729354.6821931101,750755.5913761838,769979.7160243408,823795.1807228916,836582.196231319,846528.7555507419,855846.0024062125,826310.4951380352,850648.6181613086,880605.5087639426,880558.6592178771,877557.8291814947,869334.512491709
    Private Service Providing per mil,354741.4580668737,362974.56690011057,350654.31273283024,373896.16690926737,380616.56256296596,380831.6430020284,413080.89500860585,433506.6060212259,438752.30152713094,445368.04112435743,425729.29473566555,444218.8381274676,461871.15866150695,459664.8044692738,459297.153024911,451359.71700198983
