TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,866709.3002009867,866936.9701437523,864265.9279778393,880543.4255215914,897944.7914567802,914300.2028397565,919858.0034423408,930907.5157028374,939239.6837430954,937985.3439790003,897731.0830445959,918668.9227298364,944457.0908263145,940223.4636871509,937388.7900355872,937099.2703957551
Civilian Unemployment per mil,133107.98465192763,133247.32768153335,135925.11223612571,119359.53420669578,101954.46302639533,85598.37728194727,80249.56970740104,69092.48429716266,60760.31625690458,62014.65602099967,102380.68626355202,81443.880428652,55542.90917368541,59888.26815642458,62500.0,62900.729604244974
"Total, All Industries per mil",766033.2541567696,765388.8684113527,760149.0113668927,784279.4759825328,804855.933910941,824340.7707910751,884789.156626506,903617.0673597575,917794.8662406586,927594.8813299793,900637.0850564435,924309.0806542584,956294.1042567722,955530.7262569832,955849.6441281139,944837.4972363475
Total Farm per mil,28777.635665996713,25617.397714706967,28464.99188079091,31926.2493934983,32843.03848478742,31237.32251521298,33455.2495697074,35196.014728178474,35849.669663164736,33577.60034999453,34983.793450318546,31246.47490129724,31185.97769178238,31620.11173184358,32028.469750889682,30952.907362370108
Total Nonfarm per mil,737255.6184907729,739771.4706966457,731779.5395930844,752353.2265890344,772012.8954261536,793204.8681541582,851333.9070567987,868421.052631579,881945.1965774938,894017.2809799847,865653.291606125,893175.4089114495,925108.1265649898,923798.8826815643,923821.1743772242,913884.5898739775
Total Private per mil,379956.14836469945,386841.1352746038,372623.93733880983,396991.75157690444,401873.86661293573,403955.37525354966,440834.76764199656,465453.7578514187,474168.7425538828,483211.1998250027,465183.8605119034,486745.6288776086,506259.95902572275,502569.8324022346,505560.4982206405,496020.34048198094
Goods Producing per mil,25214.690297825688,23774.41946185035,21969.62460597956,23095.58466763707,21257.304049969774,23123.732251521298,27753.872633390707,31947.151830192768,35416.44102675187,38061.90528272996,39342.796468089866,42752.397067117876,44616.43523787844,43240.22346368715,46485.76512455516,44660.623479991154
"Mining, Logging and Construction per mil",15896.217796455327,13822.336896424622,14901.136689273093,15526.443474041727,14104.372355430183,15415.8215010142,17319.277108433736,18626.813948451374,20470.05307050796,21765.284917423163,23248.016094780374,24591.088550479413,25950.37559754154,24916.201117318436,27580.071174377226,26973.247844351095
Manufacturing per mil,9318.472501370363,9952.082565425728,7068.487916706466,7569.141193595342,7152.931694539593,7809.330628803245,10542.168674698794,13212.042451808533,14838.08079714069,16624.740238433777,15871.241757013522,17822.89904117315,19121.32938766219,18212.290502793294,19016.903914590748,18019.013928808312
Service-Providing per mil,712040.9281929472,715904.9023221526,709809.9149871048,729354.6821931101,750755.5913761838,769979.7160243408,823795.1807228916,836582.196231319,846528.7555507419,855846.0024062125,826310.4951380352,850648.6181613086,880605.5087639426,880558.6592178771,877557.8291814947,869334.512491709
