TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,91225.0,89333.0,88800.0,88358.0,87825.0,87925.0,84783.0,85400.0,86342.0,87092.0,85850.0,87083.0,87417.0,88850.0,90250.0,91714.0
  Civilian Employment,79975.0,78883.0,79692.0,80783.0,81617.0,82883.0,80208.0,81458.0,83033.0,83817.0,78167.0,81750.0,84217.0,85192.0,86033.0,87229.0
  Civilian Unemployment,11233.0,10467.0,9108.0,7592.0,6217.0,5050.0,4575.0,3933.0,3300.0,3275.0,7633.0,5333.0,3208.0,3667.0,4192.0,4514.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",47550.0,47358.0,48242.0,50042.0,50942.0,48908.0,46808.0,56675.0,58642.0,59075.0,54683.0,56758.0,58842.0,59475.0,,
  Total Farm,292.0,292.0,375.0,517.0,542.0,483.0,258.0,317.0,317.0,325.0,333.0,308.0,342.0,342.0,,
  Total Nonfarm,47258.0,47067.0,47867.0,49525.0,50400.0,48425.0,46550.0,56358.0,58325.0,58750.0,54350.0,56450.0,58500.0,59133.0,,
    Goods Producing,4683.0,4642.0,4717.0,5050.0,5283.0,6333.0,6800.0,7417.0,8617.0,8892.0,8483.0,8825.0,9242.0,9275.0,,
      Mining and Logging,100.0,100.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,117.0,167.0,192.0,183.0,100.0,,
      Construction,2983.0,2992.0,3108.0,3325.0,3475.0,3650.0,4083.0,4767.0,5983.0,6250.0,5858.0,6067.0,6308.0,6292.0,,
      Manufacturing,1600.0,1550.0,1508.0,1625.0,1708.0,2558.0,2617.0,2550.0,2533.0,2525.0,2458.0,2567.0,2750.0,2883.0,,
        Durable Goods,1200.0,1150.0,1075.0,1175.0,1242.0,1317.0,1300.0,1200.0,1208.0,1233.0,1242.0,1300.0,1458.0,1475.0,,
        Nondurable Goods,400.0,400.0,433.0,450.0,467.0,1242.0,1317.0,1350.0,1325.0,1292.0,1217.0,1267.0,1292.0,1408.0,,
    Service Providing,42575.0,42425.0,43150.0,44475.0,45117.0,42092.0,39750.0,48942.0,49708.0,49858.0,45867.0,47625.0,49258.0,49858.0,,
"      Trade, Transportation & Utilities",6725.0,6767.0,6817.0,7008.0,7000.0,7108.0,7450.0,7542.0,7833.0,7933.0,8008.0,8342.0,8433.0,8267.0,,
        Wholesale Trade,742.0,842.0,892.0,900.0,850.0,875.0,850.0,883.0,892.0,900.0,833.0,833.0,992.0,800.0,,
        Retail Trade,5500.0,5433.0,5400.0,5417.0,5433.0,5542.0,5842.0,6000.0,6208.0,6242.0,6350.0,6600.0,6475.0,6267.0,,
"        Transportation, Warehousing, and Utilities",483.0,492.0,525.0,692.0,717.0,692.0,758.0,658.0,733.0,792.0,825.0,908.0,967.0,1200.0,,
      Information,500.0,400.0,500.0,500.0,500.0,517.0,600.0,600.0,600.0,592.0,533.0,567.0,592.0,567.0,,
      Financial Activities,3467.0,3508.0,3708.0,3900.0,3967.0,4158.0,4092.0,4292.0,4225.0,3525.0,3467.0,3508.0,3450.0,3408.0,,
        Finance & Insurance,2733.0,2775.0,2950.0,3075.0,3092.0,3233.0,3208.0,3317.0,3225.0,2525.0,2542.0,2550.0,2517.0,2350.0,,
        Real Estate & Rental & Leasing,733.0,733.0,758.0,825.0,875.0,925.0,883.0,975.0,1000.0,1000.0,925.0,958.0,933.0,1058.0,,
      Professional and Business Services,5717.0,5608.0,5583.0,5425.0,5342.0,4975.0,5442.0,6125.0,6167.0,6442.0,5842.0,6383.0,6117.0,5892.0,,
"        Professional, Scientific & Technical Services",2975.0,2725.0,2800.0,2867.0,2808.0,1983.0,2033.0,2367.0,2550.0,2933.0,2292.0,2592.0,2700.0,2583.0,,
        Management of Companies & Enterprises,117.0,200.0,125.0,100.0,100.0,300.0,300.0,367.0,383.0,400.0,342.0,300.0,300.0,300.0,,
        Administrative and Support and Waste and Remediatio,2625.0,2683.0,2658.0,2458.0,2433.0,2692.0,3108.0,3392.0,3233.0,3108.0,3208.0,3492.0,3117.0,3017.0,,
      Private Education and Health Services,6475.0,6725.0,7025.0,7558.0,7583.0,3883.0,375.0,7983.0,8492.0,8808.0,8442.0,8508.0,8733.0,9108.0,,
      Leisure and Hospitality,7208.0,7358.0,7517.0,8042.0,8392.0,8767.0,9033.0,9650.0,9475.0,9525.0,7483.0,8367.0,9525.0,9600.0,,
"         Arts, Entertainment, and Recreation",1717.0,1917.0,1950.0,2058.0,2050.0,2017.0,1892.0,1942.0,1908.0,1967.0,1450.0,1550.0,1858.0,1883.0,,
        Accommodation & Food Services,5492.0,5442.0,5567.0,5983.0,6342.0,6750.0,7142.0,7708.0,7567.0,7558.0,6033.0,6817.0,7667.0,7717.0,,
      Other Services,1658.0,1600.0,1692.0,1750.0,1833.0,1858.0,1850.0,1942.0,1983.0,2000.0,1742.0,1708.0,1908.0,2050.0,,
      Government,10825.0,10458.0,10308.0,10292.0,10500.0,10825.0,10908.0,10808.0,10933.0,11033.0,10350.0,10242.0,10500.0,10967.0,,
        Federal Government,942.0,817.0,750.0,717.0,708.0,708.0,717.0,692.0,667.0,667.0,692.0,625.0,592.0,633.0,,
          State Government,608.0,575.0,542.0,558.0,567.0,592.0,583.0,600.0,592.0,583.0,625.0,650.0,675.0,708.0,,
          Local Government,9275.0,9067.0,9017.0,9017.0,9225.0,9525.0,9608.0,9517.0,9675.0,9783.0,9033.0,8967.0,9233.0,9625.0,,
