TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,876678.5420663196,883021.9515744462,897432.4324324324,914269.2229339732,929313.976658127,942655.6724481093,946038.7105905665,953840.7494145199,961675.6619026662,962396.086896615,910506.6977285964,938759.5741993272,963393.847878559,958829.4879009567,953274.2382271469,951097.9784983754
Civilian Unemployment per mil,123135.10550835847,117168.34764308821,102567.56756756756,85923.17616967337,70788.49985767152,57435.3141882286,53961.2894094335,46053.86416861827,38220.10145699659,37603.913103384926,88910.8910891089,61240.42580067292,36697.66750174451,41271.8064153067,46448.75346260388,49218.22186361952
"Total, All Industries per mil",521238.6955330227,530128.8437643425,543265.7657657658,566355.0555693881,580039.851978366,556246.8012510663,552091.8108583088,663641.6861826698,679182.7847397559,678305.6997198365,636959.8136284217,651769.0019866105,673118.5009780705,669386.6066404051,,
Total Farm per mil,3200.8769525897505,3268.668912943705,4222.972972972973,5851.196269720908,6171.363506974097,5493.318168893944,3043.0628781713317,3711.943793911007,3671.4461096569453,3731.686033160336,3878.8584740827027,3536.855643466578,3912.282507978997,3849.1840180078784,,
Total Nonfarm per mil,518037.81858043297,526871.3689230183,539042.7927927928,560503.8592996673,573868.488471392,550753.4830821723,549048.7479801375,659929.7423887588,675511.338630099,674574.0136866762,633080.955154339,648232.1463431439,669206.2184700917,665537.4226223973,,
Goods Producing per mil,51334.612222526725,51962.88045850917,53119.36936936937,57153.85137735123,60153.71477369769,72027.29599090134,80204.75802932192,86850.11709601874,99800.79219846656,102098.92986726681,98811.88118811882,101340.10082335243,105723.14309573652,104389.42037141249,,
Mining and Logging per mil,1096.1907371882708,1119.4071619670221,1126.126126126126,1131.7594332148758,1138.627953316254,1421.6661927779357,1179.4817357253223,1170.9601873536299,1158.1848926362604,1343.406971937721,1945.2533488642982,2204.7931283947496,2093.414324444902,1125.4924029262802,,
Construction per mil,32699.369690326115,33492.6622860533,35000.0,37631.00115439462,39567.32137773982,41512.65282911572,48158.239269664904,55819.67213114754,69294.20212642747,71763.19294539107,68235.29411764706,69669.16619776536,72159.8773693904,70815.98199212155,,
Manufacturing per mil,17539.051795012332,17350.811010488847,16981.981981981982,18391.09078974173,19447.765442641616,29092.976969007676,30867.037023931684,29859.484777517562,29336.823330476476,28992.329949937997,28631.333721607458,29477.624794736057,31458.411979363285,32447.945976364663,,
Durable Goods per mil,13154.28884625925,12873.182362620757,12105.855855855856,13298.17334027479,14141.759180187873,14978.675007108332,15333.26256442919,14051.52224824356,13990.873503046027,14157.442704266752,14467.09376820035,14928.286806839451,16678.678060331513,16601.012943162634,,
Nondurable Goods per mil,4384.762948753083,4477.628647868089,4876.126126126126,5092.917449466941,5317.392541986906,14125.67529144157,15533.774459502496,15807.962529274006,15345.949827430451,14834.887245671243,14175.888177053,14549.337987896604,14779.733919031767,15846.933033202025,,
Service Providing per mil,466703.2063579063,474908.4884645092,485923.42342342343,503350.00792231597,513714.77369769424,478726.187091271,468843.9899508156,573091.3348946136,575710.5464316324,572475.0838194094,534269.0739662201,546892.0455197914,563483.0753743552,561148.0022509848,,
"Trade, Transportation & Utilities per mil",73718.8270759112,75750.28265030839,76768.01801801802,79313.7010796985,79703.95673213777,80841.62638612454,87871.3893115365,88313.81733021078,90720.62264019829,91087.585541726,93278.97495631916,95793.66810973438,96468.65026253475,93044.45694991559,,
Wholesale Trade per mil,8133.7352699369685,9425.408303762328,10045.045045045044,10185.834898933883,9678.337603188158,9951.663349445551,10025.59475366524,10339.578454332554,10331.009242315442,10333.899784136316,9702.970297029702,9565.586853920971,11347.907157646681,9003.939223410242,,
Retail Trade per mil,60290.490545354885,60817.39110966832,60810.81081081081,61307.408497249824,61861.65670367207,63030.99232300256,68905.32300107332,70257.61124121779,71900.11813485905,71671.33605842097,73966.22015142691,75789.76378856953,74070.26093322808,70534.60889138999,,
"Transportation, Warehousing, and Utilities per mil",5294.601260619348,5507.48323687775,5912.1621621621625,7831.775277846941,8163.962425277541,7870.344043218653,8940.471556797944,7704.918032786885,8489.49526302379,9093.831810039957,9609.78450786255,10426.834169700172,11061.921594197924,13505.908835115362,,
Information per mil,5480.953685941354,4477.628647868089,5630.630630630631,5658.797166074379,5693.139766581269,5880.011373329542,7076.890414351934,7025.76112412178,6949.1093558175635,6797.409635787443,6208.503203261503,6511.029707290746,6772.138142466569,6381.541924592009,,
Financial Activities per mil,38004.93285831735,39268.803241803136,41756.75675675675,44138.61789538016,45169.37090805579,47290.30423656525,48264.39262588019,50257.6112412178,48933.311713882,40474.440821200566,40384.391380314504,40283.40778337908,39466.007755928484,38356.78109172763,,
Finance & Insurance per mil,29958.89284735544,31063.54874458487,33220.720720720725,34801.602571357434,35206.37631653857,36769.97441000853,37837.77408206834,38840.74941451991,37351.4627875194,28992.329949937997,29609.78450786255,29282.408736492773,28793.026528020866,26449.071468767586,,
Real Estate & Rental & Leasing per mil,8035.0781035900245,8205.254497218273,8536.036036036036,9337.015324022726,9962.994591517221,10520.329826556725,10414.823726454597,11416.861826697892,11581.848926362605,11482.110871262572,10774.606872451952,11000.999046886303,10672.981227907614,11907.709622960045,,
Professional and Business Services per mil,62669.224445053434,62776.35364311061,62871.62162162162,61397.94925190702,60825.50526615428,56582.31447256185,64187.396058172046,71721.31147540984,71425.26232887818,73967.7582326735,68048.92253931276,73297.8882215817,69974.94766464189,66314.01238041643,,
"Professional, Scientific & Technical Services per mil",32611.674431351053,30503.845163601356,31531.531531531527,32447.54295027049,31972.672929120414,22553.312482229172,23978.8636872958,27716.62763466042,29533.71476222464,33677.03118541313,26697.72859638905,29764.70723332912,30886.44085246577,29071.46876758582,,
Management of Companies & Enterprises per mil,1282.543162510277,2238.8143239340443,1407.6576576576576,1131.7594332148758,1138.627953316254,3411.9988626670456,3538.445207175967,4297.423887587822,4435.848138796878,4592.844348505029,3983.692486895748,3444.9892631167963,3431.8267613850853,3376.4772087788406,,
Administrative and Support and Waste and Remediatio per mil,28775.00685119211,30033.69415557521,29932.432432432433,27818.64686842165,27702.81810418446,30617.003127665626,36658.29234634302,39718.96955503513,37444.1175789303,35686.400587884076,37367.50145602795,40099.67502267951,35656.68005079104,33956.105796285876,,
Private Education and Health Services per mil,70978.35023294053,75280.13164228224,79110.36036036036,85538.37796238031,86342.15769997153,44162.6386124538,4423.0565089699585,93477.75175644028,98353.06108267124,101134.43255408073,98334.30401863717,97699.89550199235,99900.47702391983,102509.8480585256,,
Leisure and Hospitality per mil,79013.42833653055,82365.97897753351,84650.9009009009,91016.09361914032,95553.65784230002,99709.9800966733,106542.58518806836,112997.6580796253,109738.01857728568,109367.106048776,87163.65754222481,96080.75054832746,108960.49967397646,108047.2706809229,,
"Arts, Entertainment, and Recreation per mil",18821.59495752261,21459.03529490782,21959.45945945946,23291.609135562147,23341.873042983207,22940.00568666477,22315.7944399231,22740.046838407492,22098.167751499852,22585.312083773482,16889.924286546302,17799.111192770117,21254.447075511627,21193.021947101857,,
Accommodation & Food Services per mil,60202.795286379835,60918.13775424535,62691.44144144144,67713.16688924601,72211.78479931683,76769.97441000854,84238.58556550252,90257.6112412178,87639.85082578583,86781.79396500254,70273.73325567851,78281.63935555734,87706.05259846483,86854.24873382103,,
Other Services per mil,18174.84242258153,17910.514591472354,19054.054054054053,19805.79008126033,20871.050384286933,21131.646289451237,21820.412110918463,22740.046838407492,22966.806420977045,22964.221742525144,20291.20559114735,19613.472204678295,21826.418202409142,23072.594259988746,,
Government per mil,118662.64730063031,117067.60099851119,116081.08108108108,116480.68086647501,119555.93509820667,123116.29229456923,128657.86773291815,126557.37704918033,126624.35431192235,126682.12924263997,120559.11473500292,117611.93344280744,120113.93664847799,123432.75182892516,,
Federal Government per mil,10326.11674431351,9145.556513270572,8445.945945945947,8114.71513615066,8061.485909479077,8052.317315894227,8456.884045150562,8103.044496487119,7725.0932338838575,7658.567951132137,8060.570762958649,7177.060964826659,6772.138142466569,7124.366910523354,,
State Government per mil,6664.839682104686,6436.5911813103785,6103.603603603604,6315.217637339007,6456.02049530316,6733.011088996304,6876.378519278629,7025.76112412178,6856.454564406662,6694.070637946081,7280.139778683751,7464.1434034197255,7721.6102131164425,7968.486212718064,,
Local Government per mil,101671.69087421212,101496.6473755499,101542.7927927928,102050.74809298535,105038.42869342442,108330.96388967871,113324.60516848897,111440.28103044497,112054.3883625582,112329.49065356175,105218.4041933605,102970.72907456105,105620.18829289498,108328.64378165448,,
