TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,440333.0,441808.0,438900.0,436925.0,438108.0,440425.0,439917.0,440433.0,441025.0,445517.0,440808.0,438842.0,445683.0,459017.0,469075.0,481386.0
  Civilian Employment,366150.0,368742.0,372242.0,378475.0,386758.0,395425.0,397392.0,402183.0,407200.0,412467.0,389008.0,398092.0,416258.0,424708.0,431817.0,439943.0
  Civilian Unemployment,74192.0,73083.0,66650.0,58458.0,51342.0,45025.0,42508.0,38250.0,33817.0,33058.0,51800.0,40767.0,29425.0,34275.0,37250.0,41457.0
"Total, All Industries",336517.0,339175.0,342517.0,351492.0,361475.0,371808.0,383275.0,390208.0,398342.0,407425.0,387333.0,399317.0,418658.0,426850.0,432042.0,489700.0
  Total Farm,46008.0,47850.0,48892.0,49242.0,48775.0,47267.0,46908.0,46117.0,44225.0,44133.0,40275.0,40500.0,40642.0,40733.0,36650.0,47450.0
  Total Nonfarm,290508.0,291325.0,293625.0,302250.0,312700.0,324542.0,336367.0,344092.0,354117.0,363292.0,347058.0,358817.0,378017.0,386117.0,395392.0,442250.0
    Goods Producing,36342.0,35542.0,36067.0,36492.0,38108.0,40675.0,41542.0,43275.0,44867.0,45433.0,44767.0,46575.0,49458.0,49642.0,50183.0,55350.0
"      Mining, Logging, and Construction",12208.0,11733.0,12408.0,13417.0,14150.0,15325.0,16358.0,17717.0,19008.0,19283.0,18967.0,20467.0,22492.0,22925.0,23475.0,25050.0
      Manufacturing,24133.0,23808.0,23658.0,23075.0,23958.0,25350.0,25183.0,25558.0,25858.0,26150.0,25800.0,26108.0,26967.0,26717.0,26708.0,30300.0
        Durable Goods,8042.0,7808.0,7708.0,7750.0,7992.0,8267.0,8167.0,8592.0,9050.0,9175.0,8867.0,9142.0,9383.0,8883.0,8583.0,10500.0
        Non-Durable Goods,16092.0,16000.0,15950.0,15325.0,15967.0,17083.0,17017.0,16967.0,16808.0,16975.0,16933.0,16967.0,17583.0,17833.0,18125.0,19800.0
    Service-Providing,254167.0,255783.0,257558.0,265758.0,274592.0,283867.0,294825.0,300817.0,309250.0,317858.0,302292.0,312242.0,328558.0,336475.0,345208.0,386900.0
