TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,831529.7740573612,834620.4686198529,848124.8575985419,866224.1803513189,882791.457814055,897825.9635579269,903334.0380117159,913153.6465251241,923303.6675925402,925816.5232752061,882488.5210794723,907141.9782062793,933977.7375399106,925255.4916266717,920571.3372062036,913909.0044164143
Civilian Unemployment per mil,168490.66501942847,165418.0096331438,151856.91501480975,133794.12942724724,117190.28184831137,102230.79979565192,96627.31833504957,86846.35347487587,76678.19284621054,74201.43339086948,117511.47892052775,92896.76010956107,66022.26246008935,74670.43704263677,79411.60795182007,86120.07827398386
"Total, All Industries per mil",764232.9782232991,767697.7329518705,780398.7240829347,804467.5859701321,825081.943265131,844202.7586989839,871243.8937344999,885964.4940320094,903218.6383991838,914499.3344810635,878688.6807861926,909933.4156712439,939362.7309096376,929921.9854602335,921051.0046367851,1017270.9634264394
Total Farm per mil,104484.56054849397,108304.96505269257,111396.67350193666,112701.26451908222,111330.99601011623,107321.33734461032,106629.20505458984,104708.32112943399,100277.76203163086,99060.19298926865,91366.30914139489,92288.34067842184,91190.37522185051,88739.63273691389,78132.49480360284,98569.54709941709
Total Nonfarm per mil,659746.1466662731,659392.7678991779,669002.050580998,691766.32145105,713750.9472550148,736883.6918885168,764614.6886799101,781258.4433954767,802940.8763675529,815439.141491795,787322.3716447977,817645.074992822,848174.5994350245,841182.3527233197,842918.5098331823,918701.4163270224
Goods Producing per mil,82532.99207645124,80446.70988302611,82175.89428115744,83520.0549293357,86983.11831785769,92353.97627291821,94431.44956889594,98255.58030392819,101733.46182189218,101978.15122655251,101556.68681149163,106131.59178018512,110971.25086664737,108148.49994662506,106982.8918616426,114980.49382408295
"Mining, Logging, and Construction per mil",27724.47216084191,26556.784847716655,28270.676691729324,30707.7873776964,32297.97218950579,34795.93574388375,37184.2870359636,40226.322732401975,43099.59752848478,43282.29899195766,43027.803488139965,46638.65354729037,50466.36286329073,49943.68400298899,50045.30192399937,52037.24246238985
Manufacturing per mil,54806.24890707715,53887.66160866259,53902.939166097065,52812.2675516393,54685.14612835192,57558.04052903445,57244.889376859726,58029.2575715262,58631.59684825123,58695.852234594866,58528.88332335166,59492.938232894754,60507.13175059403,58204.81594363607,56937.58993764323,62943.25136169311
Durable Goods per mil,18263.450615783964,17672.835258754934,17562.08703577125,17737.597985924356,18242.077296009204,18770.505761480388,18564.865645110327,19508.075008003485,20520.37866334108,20594.051405445807,20115.33366000617,20832.099024250187,21053.080328394844,19352.22442741772,18297.713585247562,21812.017798606525
Non-Durable Goods per mil,36545.06929982536,36214.82634990765,36340.85213032581,35074.66956571494,36445.35137454692,38787.53476755407,38682.29688782202,38523.45305642402,38111.218184910154,38101.800829149055,38413.5496633455,38663.117933105765,39451.8076749618,38850.41294766861,38639.87635239567,41131.233563086585
Service-Providing per mil,577215.425598354,578946.0580161519,586826.1562998404,608246.2665217142,626767.828937157,644529.7156155986,670183.2391110141,683002.8630915486,701207.4145456607,713458.745681983,685767.9533946753,711513.4832126369,737201.1048211396,733033.8527766946,735933.4861162928,803720.9225029395
"Trade, Transportation, and Utilities per mil",125246.1205496749,129789.41078477529,132394.6229209387,138792.69897579678,141328.165657783,143951.86467616507,150180.60224996987,152161.62276668643,156056.91287341987,157158.98607685007,157891.87129090214,167390.54147050646,171758.85102191468,166333.7087733134,164029.2064168843,173249.74137178896
Wholesale Trade per mil,25680.564481880756,27896.733422663237,28765.09455456824,30536.133203639067,30757.25620166717,30690.810013055572,31899.199167115617,31975.351529063446,32633.070687602747,32957.21599849164,32762.5632928622,33934.76467612489,35882.005820280334,34857.09679597923,33860.25688855727,37392.0305118969
