TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,13238.0,13118.0,13115.0,12961.0,12798.0,12968.0,12092.0,11969.0,11910.0,12125.0,11907.0,11722.0,11852.0,11968.0,12144.0,12211.0
Civilian Employment,11178.0,11081.0,11248.0,11378.0,11418.0,11836.0,11005.0,11004.0,11068.0,11312.0,10757.0,10832.0,11155.0,11170.0,11285.0,11297.0
Civilian Unemployment,2061.0,2038.0,1868.0,1582.0,1380.0,1135.0,1087.0,969.0,842.0,813.0,1150.0,890.0,700.0,800.0,858.0,916.0
Total Farm,1928.0,1988.0,2098.0,2199.0,2173.0,2272.0,2155.0,2214.0,2253.0,2442.0,2430.0,2251.0,2215.0,2212.0,2308.0,2129.0
Total Nonfarm,6270.0,6169.0,6207.0,6286.0,6368.0,6696.0,6901.0,6883.0,6978.0,7229.0,6983.0,7239.0,7594.0,7601.0,7674.0,7661.0
Total Private,4062.0,4039.0,4126.0,4233.0,4330.0,4657.0,4838.0,4799.0,4878.0,5072.0,4978.0,5184.0,5447.0,5313.0,5312.0,5259.0
Goods Producing,829.0,817.0,750.0,770.0,848.0,942.0,932.0,976.0,1042.0,1101.0,1101.0,1142.0,1212.0,1149.0,1047.0,1037.0
"Mining, Logging and Construction",261.0,259.0,228.0,225.0,243.0,290.0,287.0,314.0,333.0,360.0,379.0,357.0,357.0,327.0,308.0,293.0
Manufacturing,568.0,558.0,522.0,545.0,604.0,652.0,642.0,665.0,713.0,742.0,727.0,786.0,854.0,823.0,739.0,749.0
Durable Goods,357.0,332.0,310.0,323.0,359.0,372.0,375.0,380.0,412.0,418.0,458.0,515.0,553.0,485.0,442.0,451.0
Non-Durable Goods,212.0,225.0,212.0,222.0,245.0,280.0,268.0,284.0,301.0,324.0,268.0,272.0,302.0,336.0,299.0,297.0
Service-Providing,5441.0,5352.0,5457.0,5516.0,5520.0,5753.0,5971.0,5907.0,5937.0,6127.0,5883.0,6097.0,6382.0,6449.0,6628.0,6624.0
Private Service Providing,3232.0,3222.0,3376.0,3463.0,3482.0,3714.0,3906.0,3824.0,3834.0,3971.0,3878.0,4040.0,4235.0,4168.0,4267.0,4223.0
"Trade, Transportation, and Utilities",1291.0,1308.0,1380.0,1448.0,1494.0,1609.0,1713.0,1656.0,1636.0,1723.0,1715.0,1792.0,1873.0,1837.0,1841.0,1814.0
Wholesale Trade,261.0,240.0,237.0,278.0,345.0,366.0,348.0,321.0,328.0,340.0,337.0,334.0,331.0,308.0,319.0,329.0
Retail Trade,579.0,613.0,698.0,722.0,732.0,796.0,833.0,801.0,803.0,845.0,873.0,972.0,984.0,966.0,947.0,947.0
"Transportation, Warehousing, and Utilities",451.0,455.0,445.0,448.0,417.0,448.0,533.0,537.0,507.0,538.0,506.0,487.0,559.0,566.0,577.0,541.0
Financial Activities,167.0,164.0,136.0,128.0,138.0,148.0,160.0,161.0,158.0,153.0,150.0,159.0,162.0,164.0,156.0,151.0
Professional and Business Services,168.0,168.0,158.0,154.0,166.0,234.0,262.0,231.0,226.0,232.0,270.0,242.0,238.0,229.0,236.0,241.0
Private Education and Health Services,838.0,865.0,930.0,968.0,911.0,868.0,887.0,885.0,892.0,962.0,949.0,952.0,1022.0,994.0,1111.0,1089.0
Leisure and Hospitality,682.0,642.0,656.0,628.0,634.0,693.0,698.0,689.0,727.0,760.0,653.0,749.0,777.0,783.0,771.0,777.0
Government,2208.0,2130.0,2081.0,2052.0,2038.0,2039.0,2066.0,2085.0,2102.0,2158.0,2006.0,2056.0,2148.0,2285.0,2362.0,2401.0
Federal Government,291.0,278.0,268.0,238.0,231.0,224.0,211.0,207.0,196.0,195.0,195.0,177.0,178.0,177.0,175.0,161.0
Total State and Local Government,1918.0,1852.0,1812.0,1815.0,1807.0,1815.0,1854.0,1879.0,1906.0,1963.0,1812.0,1880.0,1970.0,2108.0,2185.0,2237.0
State Government,82.0,89.0,82.0,79.0,80.0,80.0,79.0,80.0,78.0,80.0,80.0,67.0,62.0,62.0,64.0,69.0
Local Government,1835.0,1763.0,1730.0,1736.0,1727.0,1735.0,1781.0,1800.0,1831.0,1884.0,1730.0,1814.0,1910.0,2046.0,2120.0,2171.0
