TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,844387.3696933072,844717.182497332,857643.9191765154,877864.3623177224,892170.6516643225,912708.2048118445,910105.8551108171,919375.0522182304,929303.1066330815,932948.4536082475,903418.1573864114,924074.39003583,941191.3601079986,933322.192513369,929265.4808959157,925149.4554090573
Civilian Unemployment per mil,155688.17041849223,155359.0486354627,142432.32939382386,122058.48314173288,107829.34833567745,87523.13386798273,89894.14488918294,80959.14445651266,70696.89336691856,67051.54639175258,96581.84261358864,75925.60996416994,59061.761727978395,66844.91978609626,70652.17391304347,75014.33134059454
Total Farm per mil,145641.3355491766,151547.49199573105,159969.50057186428,169662.83465781962,169792.15502422253,175200.49352251695,178217.002977175,184977.85947029828,189168.76574307305,201402.06185567012,204081.63265306124,192032.076437468,186888.28889638878,184826.20320855614,190052.70092226614,174350.99500450413
Total Nonfarm per mil,473636.5009820215,470269.858210093,473274.8760960732,484993.44186405366,497577.7465228942,516347.93337446015,570707.9060535891,575068.9280641658,585894.2065491184,596206.1855670103,586461.745191904,617556.7309332879,640735.7408032399,635110.2941176471,631916.9960474308,627385.1445418067
Total Private per mil,306843.9341290225,307897.545357524,314601.6012199771,326595.1701257619,338334.1147054227,359114.7439851943,400099.239166391,400952.4605230178,409571.7884130982,418309.27835051547,418073.4022003863,442245.3506227606,459584.8801889976,443933.82352941175,437417.65480895917,430677.2582098108
Goods Producing per mil,62622.75268167397,62280.835493215425,57186.4277544796,59408.996219427514,66260.35318018441,72640.34546576187,77075.75256367846,81543.98863731306,87489.5046179681,90804.12371134022,92466.61627614008,97423.64784166524,102261.22173472831,96006.01604278076,86215.41501976285,84923.42969453771
"Mining, Logging and Construction per mil",19715.969179634387,19743.863393810032,17384.6740373618,17359.77162255999,18987.3417721519,22362.739049969154,23734.70062851472,26234.438967332277,27959.69773299748,29690.721649484534,31830.015957000087,30455.55365978502,30121.498481268984,27322.860962566847,25362.318840579712,23994.75882401114
Manufacturing per mil,42906.78350203958,42536.9720994054,39801.753717117805,42049.22459686753,47194.87419909361,50277.606415792725,53092.95401918624,55560.1971760381,59865.659109991604,61195.87628865979,61056.52137398169,67053.40385599727,72055.34930813365,68766.71122994652,60853.096179183136,61338.13774465646
Durable Goods per mil,26967.81991237347,25308.736087818266,23637.0568051849,24920.91659594167,28051.258009063917,28685.99629858112,31012.239497188224,31748.6841005932,34592.77917716205,34474.22680412371,38464.768623498785,43934.482170278105,46658.791765102935,40524.73262032086,36396.574440052704,36933.912046515434
Non-Durable Goods per mil,16014.503701465479,17152.0048787925,16164.6969119329,17128.308000925856,19143.616190029694,21591.6101172116,22163.413827323853,23727.963906759127,25272.879932829554,26721.649484536083,22507.768539514575,23204.231359836205,25480.931488356397,28074.86631016043,24621.21212121212,24322.332323315044
Service-Providing per mil,411013.7483003475,407989.0227168776,416088.4483415936,425584.44564462616,431317.3933427098,443630.47501542256,493797.5521005624,493524.93942685274,498488.66498740553,505319.58762886596,494079.1131267322,520133.08309162257,538474.5190685117,538853.6096256684,545783.9262187089,542461.7148472689
Private Service Providing per mil,244145.64133554918,245616.7098643086,257415.17346549753,267186.1739063344,272073.76152523834,286397.28562615666,323023.48660271254,319492.0210543905,321914.35768261965,327505.1546391752,325690.77013521455,344651.08343286125,357323.65845426935,348262.0320855615,351366.930171278,345835.7218900991
"Trade, Transportation, and Utilities per mil",97522.28433298081,99710.3216953804,105223.02706824246,111719.77470874162,116736.99015471168,124074.64528069092,141663.91002315583,138357.42334363773,137363.5600335852,142103.09278350516,144032.9218106996,152874.93601774442,158032.39959500506,153492.64705882355,151597.49670619235,148554.5819343215
Wholesale Trade per mil,19715.969179634387,18295.471870712,18070.911170415555,21448.96227142967,26957.337083919363,28223.31893892659,28779.35825339067,26819.283148132676,27539.88245172124,28041.23711340206,28302.679096329888,28493.431155092985,27927.775902801215,25735.294117647056,26268.115942028984,26942.920317746295
Retail Trade per mil,43737.7247318326,46729.68440311023,53221.502096835684,55705.57827328138,57196.43694327239,61381.86304750154,68888.52133642077,66922.88411730302,67422.33417296389,69690.72164948453,73318.21617535903,82921.00324176761,83023.9622004725,80715.24064171124,77980.89591567853,77553.02596019983
"Transportation, Warehousing, and Utilities per mil",34068.59042151383,34685.165421558166,33930.61380099123,34565.23416403055,32583.216127519925,34546.57618753856,44078.7297386702,44865.90358425934,42569.269521410584,44371.134020618556,42496.010749979,41545.81129500085,47165.035437057035,47292.780748663106,47513.175230566536,44304.31578085333
Financial Activities per mil,12615.198670494034,12501.905778319866,10369.805566145635,9875.781189723015,10782.934833567746,11412.708204811845,13231.888852133643,13451.416158409223,13266.162888329136,12618.556701030928,12597.631645250693,13564.238184610136,13668.579142760715,13703.208556149732,12845.849802371542,12365.899598722464
Professional and Business Services per mil,12690.738782293398,12806.830309498398,12047.274113610369,11881.799243885502,12970.776683856853,18044.417026526837,21667.21799536884,19299.857966413234,18975.65071368598,19134.0206185567,22675.736961451246,20644.94113632486,20080.99898751266,19134.358288770054,19433.465085639,19736.303333060354
Private Education and Health Services per mil,63302.61368786826,65939.92986735783,70911.1704155547,74685.5952472803,71182.9973433349,66933.99136335595,73354.28382401587,73941.01428690784,74895.04617968094,79340.20618556702,79701.01620895271,81214.80975942672,86230.17212284847,83054.81283422459,91485.50724637682,89181.88518548849
Leisure and Hospitality per mil,51518.35624716725,48940.38725415459,50019.06214258483,48453.05146207855,49538.990467260504,53439.235040098705,57724.115117433015,57565.37722449662,61041.141897565074,62680.412371134014,54841.689762324684,63896.94591366661,65558.55551805602,65424.465240641715,63488.14229249011,63631.1522397838
Government per mil,166792.56685299895,162372.31285256898,158673.27487609605,158321.11719774708,159243.63181747147,157233.1893892659,170856.76480317567,174200.01670983373,176490.34424853063,177979.38144329897,168472.32720248593,175396.68998464424,181235.234559568,190925.80213903743,194499.34123847168,196625.99295716977
Federal Government per mil,21982.17253361535,21192.254916908063,20434.616850934046,18362.78064964123,18049.69526488514,17273.28809376928,17449.553423751244,17294.677917954716,16456.759026028547,16082.474226804123,16376.921138825901,15099.812318716942,15018.56226797165,14789.438502673796,14410.408432147562,13184.83334698223
Total State and Local Government per mil,144885.93443118295,141180.05793566094,138162.40945482271,140035.49108865057,141193.93655258632,139959.9012954966,153324.51207409857,156988.88796056478,160033.5852225021,161896.90721649484,152179.3902746284,160382.18734004436,166216.67229159636,176136.36363636365,179924.24242424243,183195.4794857096
State Government per mil,6194.289167547968,6784.570818722366,6252.382767823104,6095.208703032174,6250.976715111737,6169.031462060457,6533.245120740986,6683.933494861726,6549.11838790932,6597.938144329897,6718.736877467036,5715.7481658420065,5231.184610192373,5180.4812834224595,5270.092226613966,5650.642862992384
Local Government per mil,138616.10515183563,134395.48711693854,131910.0266869996,133940.2823856184,134942.95983747463,133790.86983343615,147287.46278531261,150388.50363438882,153736.35600335852,155381.44329896907,145292.68497522466,154751.7488483194,161154.23557205536,170955.88235294117,174571.80500658762,177790.51674719516
