TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,66100.0,64825.0,64083.0,62883.0,62308.0,62325.0,61375.0,61458.0,61433.0,61067.0,58658.0,57683.0,58083.0,59217.0,60200.0,60900.0
  Civilian Employment,59075.0,58008.0,57925.0,57750.0,58092.0,58808.0,58258.0,58808.0,59142.0,58783.0,53550.0,53983.0,55675.0,56483.0,57100.0,57671.0
  Civilian Unemployment,7025.0,6817.0,6150.0,5133.0,4217.0,3508.0,3108.0,2667.0,2275.0,2292.0,5100.0,3700.0,2400.0,2750.0,3108.0,3214.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",47708.0,46833.0,46775.0,47008.0,47658.0,48650.0,49733.0,50667.0,51400.0,51850.0,47817.0,48358.0,50167.0,51017.0,51775.0,51771.0
  Total Farm,800.0,858.0,867.0,808.0,817.0,867.0,883.0,850.0,883.0,1008.0,1217.0,1350.0,1050.0,883.0,833.0,771.0
  Total Nonfarm,46908.0,45975.0,45908.0,46200.0,46842.0,47783.0,48850.0,49817.0,50517.0,50842.0,46600.0,47008.0,49117.0,50133.0,50942.0,51000.0
    Total Private,33267.0,32475.0,32408.0,32758.0,33108.0,33858.0,34675.0,35500.0,36175.0,36367.0,33142.0,33933.0,35067.0,35150.0,35617.0,35671.0
    Goods Producing,4225.0,4208.0,4058.0,4017.0,4017.0,4100.0,4133.0,4375.0,4592.0,4742.0,4658.0,5092.0,5183.0,5233.0,5108.0,5057.0
"     Mining, Logging, and Construction",2100.0,2133.0,2058.0,1958.0,1942.0,2067.0,2067.0,2333.0,2492.0,2567.0,2542.0,2642.0,2792.0,2850.0,2925.0,2871.0
      Mining and Logging,375.0,383.0,358.0,358.0,342.0,317.0,317.0,383.0,408.0,392.0,350.0,350.0,350.0,333.0,350.0,343.0
      Construction,1725.0,1750.0,1700.0,1600.0,1600.0,1750.0,1750.0,1950.0,2083.0,2175.0,2192.0,2292.0,2442.0,2517.0,2575.0,2529.0
      Manufacturing,2125.0,2075.0,2000.0,2058.0,2075.0,2033.0,2067.0,2042.0,2108.0,2200.0,2100.0,2442.0,2400.0,2375.0,2225.0,2200.0
        Durable Goods,1258.0,1158.0,1100.0,1108.0,1083.0,1008.0,1000.0,1033.0,1058.0,1100.0,1058.0,1192.0,1225.0,1292.0,1225.0,1257.0
        Non-Durable Goods,867.0,917.0,900.0,950.0,992.0,1025.0,1092.0,1017.0,1058.0,1108.0,1017.0,1225.0,1133.0,1083.0,975.0,971.0
