TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,893721.6338880484,894839.953721558,903905.8720721564,918372.2150660751,932336.1366116711,943569.9959887685,949213.849287169,956881.1220671027,962707.3397034167,962598.4574320009,912918.953936377,935856.318152662,958542.0863247422,953830.8256075113,948504.9833887044,946978.6535303777
Civilian Unemployment per mil,106278.36611195159,105160.04627844195,95969.28982725527,81627.78493392491,67679.91269178917,56285.599679101484,50639.51120162933,43395.48960265547,37032.21395666824,37532.546219725875,86944.66227965495,64143.68184733804,41320.17974278188,46439.36707364439,51627.90697674418,52775.04105090311
"Total, All Industries per mil",721754.9167927383,722452.7574238334,729912.7693772139,747547.0317891958,764877.704307633,780585.6397914159,810313.6456211812,824416.674802304,836683.8669770319,849067.4177542699,815182.9247502473,838340.5856144791,863712.2738150578,861526.2509076785,860049.8338870432,850098.5221674878
Total Farm per mil,12102.874432677761,13235.634400308523,13529.329151256963,12849.259736335736,13112.280927007769,13910.950661853189,14386.965376782078,13830.583487910444,14373.382384060686,16506.460117575774,20747.383136145112,23403.77580916388,18077.57863746707,14911.258591282909,13837.20930232558,12660.098522167487
Total Nonfarm per mil,709652.0423600605,709217.1230235249,716383.440225957,734697.77205286,751781.4726840855,766674.6891295628,795926.6802443991,810586.0913143936,822310.4845929712,832560.9576366941,794435.5416141021,814936.8098053152,845634.6951775907,846598.1052738234,846212.6245847176,837438.4236453201
Total Private per mil,503282.9046898638,500964.13420748163,505719.14548320154,520935.7059936708,531360.3389612891,543249.0974729242,564969.450101833,577630.2515539067,588852.8966516368,595526.22529353,565003.921033789,588266.9070610058,603739.4762667217,593579.5464140365,591644.5182724253,585730.7060755336
Goods Producing per mil,63918.30559757943,64913.227921326645,63324.12652341495,63880.5400505701,64470.051999743206,65784.19574809466,67340.12219959266,71186.82677600962,74748.09955561343,77652.41456105589,79409.45821541818,88275.57512612034,89234.37150284936,88369.89378050223,84850.49833887043,83037.76683087027
"Mining, Logging, and Construction per mil",31770.04538577912,32903.97223293483,32114.601376340055,31137.19129176407,31167.747319766324,33164.861612515044,33678.20773930753,37960.88385564125,40564.51744176583,42035.79674783434,43335.94735585939,45802.05606504516,48069.14243410292,48128.071330867824,48588.03986710963,47142.857142857145
Mining and Logging per mil,5673.2223903177,5908.214423447744,5586.505001326404,5693.112605950734,5488.861783398601,5086.241476133173,5164.969450101833,6231.898206905529,6641.38166783325,6419.178934612803,5966.790548603772,6067.645580153598,6025.859545822357,5623.38517655403,5813.953488372093,5632.183908045977
Construction per mil,26096.822995461425,26995.75780948708,26528.096375013654,25444.078685813336,25678.885536367725,28078.62013638187,28513.238289205703,31728.985648735717,33906.857877687886,35616.61781322154,37369.15680725562,39734.41048489156,42043.28288828056,42504.6861543138,42774.08637873754,41527.093596059116
Manufacturing per mil,32148.260211800305,32009.255688391822,31209.525147074888,32727.446209627407,33302.30467997689,32619.334135579622,33678.20773930753,33225.94292036838,34313.80528380512,36026.00422486777,35800.743291622624,42334.830019243105,41320.17974278188,40106.72610905652,36960.13289036545,36124.794745484396
Durable Goods per mil,19031.77004538578,17863.478596220593,17165.238830891187,17620.024489925734,17381.395647428904,16173.285198555956,16293.279022403258,16808.226756484102,17222.014226881318,18013.002112433885,18036.755429779398,20664.667232980253,21090.508410378254,21818.059003326747,20348.837209302328,20640.39408866995
Non-Durable Goods per mil,13116.490166414524,14145.77709217123,14044.2863161837,15107.421719701668,15920.909032547988,16446.048937023665,17792.26069246436,16547.886361417553,17222.014226881318,18144.005764160676,17337.788536942957,21236.759530537594,19506.568186904944,18288.667105729775,16196.013289036544,15944.170771756979
Service-Providing per mil,645733.7367624812,644303.8951021982,653059.313702542,670817.23200229,687311.4206843423,700890.4933814681,728586.5580448066,739659.6049334505,747839.1092735175,754630.1603157189,714599.8840737836,726817.259851256,756383.1069331818,757806.0354290154,761627.9069767442,754170.7717569787
Private Service Providing per mil,439364.59909228445,436050.90628615505,442395.0189597865,457071.0684922793,466906.3362650061,477464.9017248295,497890.0203665988,506443.4247778971,514104.7970960233,517595.42797255475,485441.0310614068,499852.6428930534,514487.88802231295,504635.4931860784,506777.40863787377,502463.0541871922
"Trade, Transportation, and Utilities per mil",137927.38275340394,137554.95564982644,143048.85851161776,146303.45244342668,148584.45143480774,150421.17930204573,155470.4684317719,156074.06684239645,153012.22470007977,152013.36237247614,146748.95154966076,150252.2406948321,150508.754713083,141428.98154246248,137873.7541528239,134646.96223316912
Wholesale Trade per mil,14750.378214826022,15811.801002699576,16119.71973846418,15902.549178633335,15776.465301405917,14713.1969514641,15885.947046843175,16141.10449412607,17091.791056923805,18013.002112433885,18326.570970711582,19208.43229374339,19936.986725892257,18288.667105729775,17574.750830564783,16420.361247947454
