TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,9762.0,9644.0,9531.0,9362.0,9204.0,9083.0,8542.0,8304.0,8390.0,8455.0,8033.0,7963.0,7882.0,8150.0,8401.0,8479.0
Civilian Employment,8804.0,8706.0,8664.0,8624.0,8568.0,8557.0,8065.0,7920.0,8043.0,8133.0,7364.0,7460.0,7565.0,7823.0,8048.0,8100.0
Civilian Unemployment,958.0,939.0,870.0,742.0,637.0,528.0,478.0,386.0,348.0,322.0,671.0,502.0,319.0,326.0,353.0,377.0
"Total, All Industries",7651.0,7568.0,7527.0,7557.0,7552.0,7599.0,7530.0,7431.0,7618.0,7795.0,7116.0,7244.0,7365.0,7639.0,7903.0,7867.0
Total Farm,46.0,55.0,56.0,52.0,56.0,56.0,57.0,54.0,48.0,43.0,32.0,31.0,30.0,28.0,32.0,34.0
Total Nonfarm,7605.0,7513.0,7471.0,7505.0,7497.0,7543.0,7473.0,7377.0,7571.0,7752.0,7084.0,7213.0,7335.0,7612.0,7872.0,7833.0
Total Private,4413.0,4291.0,4235.0,4309.0,4381.0,4462.0,4442.0,4332.0,4479.0,4563.0,4007.0,4104.0,4242.0,4395.0,4562.0,4570.0
Goods Producing,470.0,458.0,441.0,458.0,599.0,612.0,538.0,522.0,555.0,554.0,542.0,522.0,547.0,608.0,627.0,633.0
"Mining, Logging and Construction",208.0,202.0,192.0,212.0,346.0,338.0,252.0,230.0,249.0,237.0,237.0,220.0,221.0,277.0,296.0,296.0
Mining and Logging,46.0,48.0,50.0,45.0,42.0,38.0,30.0,22.0,10.0,10.0,8.0,12.0,20.0,39.0,28.0,30.0
Construction,162.0,154.0,142.0,167.0,304.0,299.0,222.0,208.0,239.0,227.0,228.0,208.0,201.0,238.0,268.0,266.0
Manufacturing,263.0,258.0,252.0,248.0,252.0,272.0,284.0,292.0,308.0,322.0,306.0,306.0,328.0,332.0,332.0,333.0
Durable Goods,33.0,30.0,30.0,31.0,30.0,32.0,36.0,32.0,33.0,31.0,39.0,35.0,41.0,49.0,45.0,50.0
Non-Durable Goods,231.0,226.0,223.0,218.0,225.0,240.0,249.0,259.0,276.0,291.0,269.0,269.0,288.0,284.0,288.0,287.0
Service-Providing,7133.0,7058.0,7029.0,7049.0,6898.0,6932.0,6936.0,6858.0,7017.0,7198.0,6542.0,6690.0,6788.0,7007.0,7244.0,7204.0
Private Service Providing,3944.0,3832.0,3797.0,3852.0,3782.0,3852.0,3902.0,3811.0,3925.0,4008.0,3463.0,3583.0,3694.0,3788.0,3936.0,3941.0
"Trade, Transportation, and Utilities",1279.0,1236.0,1191.0,1216.0,1243.0,1225.0,1228.0,1226.0,1248.0,1237.0,1124.0,1130.0,1139.0,1178.0,1146.0,1149.0
Wholesale Trade,116.0,120.0,115.0,116.0,118.0,108.0,102.0,97.0,90.0,93.0,88.0,83.0,84.0,92.0,74.0,70.0
Retail Trade,966.0,922.0,878.0,908.0,941.0,942.0,947.0,952.0,970.0,951.0,840.0,848.0,848.0,871.0,861.0,861.0
"Transportation, Warehousing, and Utilities",201.0,193.0,196.0,192.0,188.0,177.0,180.0,177.0,189.0,193.0,197.0,202.0,205.0,214.0,209.0,220.0
Information,81.0,75.0,61.0,61.0,58.0,56.0,50.0,48.0,40.0,48.0,38.0,31.0,36.0,42.0,41.0,44.0
Financial Activities,152.0,151.0,151.0,141.0,141.0,152.0,155.0,161.0,158.0,162.0,150.0,138.0,134.0,129.0,127.0,124.0
Professional and Business Services,272.0,266.0,269.0,235.0,218.0,248.0,242.0,221.0,227.0,211.0,214.0,289.0,288.0,310.0,332.0,340.0
Private Education and Health Services,491.0,475.0,522.0,629.0,603.0,596.0,561.0,428.0,438.0,467.0,485.0,485.0,463.0,518.0,577.0,551.0
Leisure and Hospitality,1472.0,1452.0,1408.0,1389.0,1334.0,1389.0,1472.0,1532.0,1603.0,1684.0,1299.0,1360.0,1478.0,1456.0,1539.0,1559.0
Other Services,197.0,185.0,194.0,183.0,182.0,188.0,201.0,202.0,211.0,203.0,155.0,152.0,159.0,159.0,178.0,174.0
Government,3191.0,3227.0,3235.0,3196.0,3115.0,3079.0,3031.0,3046.0,3094.0,3188.0,3080.0,3107.0,3094.0,3219.0,3310.0,3264.0
Federal Government,434.0,402.0,391.0,367.0,343.0,298.0,288.0,286.0,295.0,302.0,296.0,282.0,279.0,302.0,299.0,276.0
Total State and Local Government,2757.0,2825.0,2845.0,2830.0,2772.0,2782.0,2746.0,2762.0,2798.0,2890.0,2782.0,2828.0,2817.0,2916.0,3012.0,2989.0
State Government,393.0,398.0,383.0,369.0,361.0,360.0,362.0,357.0,367.0,368.0,362.0,348.0,361.0,386.0,406.0,396.0
Local Government,2362.0,2425.0,2462.0,2460.0,2409.0,2422.0,2383.0,2407.0,2432.0,2522.0,2421.0,2479.0,2456.0,2530.0,2607.0,2594.0
