TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,901864.3720549068,902737.4533388636,909033.6795719231,921170.6900234993,930899.6088657106,942089.6179676318,944158.2767501756,953757.225433526,958641.2395709177,961916.0260201064,916718.5360388398,936832.8519402236,959781.7812737883,959877.3006134969,957981.1927151529,955301.3327043283
Civilian Unemployment per mil,98135.62794509322,97366.23807548734,91281.08278249922,79256.5691091647,69209.0395480226,58130.57359903116,55958.791852025286,46483.62235067438,41477.94994040525,38083.973979893555,83530.43694759118,63041.56724852443,40471.96143110886,40000.0,42018.80728484704,44462.79042339898
"Total, All Industries per mil",783753.3292358123,784736.6238075487,789738.7472458293,807199.3163853878,820512.8205128205,836617.8575360563,881526.5745726996,894869.9421965318,907985.6972586412,921939.68066233,885845.8857213992,909707.3967097828,934407.5107840649,937300.6134969326,940721.3426972979,927821.6770845619
Total Farm per mil,4712.149149764393,5703.027789299045,5875.563949218341,5554.368724631489,6084.311169056932,6165.363866563911,6672.910325450714,6502.890173410405,5721.096543504172,5085.74807806032,3983.567782895556,3893.0051488132613,3806.1405734585132,3435.58282208589,3809.070348768004,4009.9068286354527
Total Nonfarm per mil,779041.180086048,779033.5960182498,783863.1832966111,801644.9476607562,814537.1577574967,830452.4936694924,874853.6642472489,888367.0520231214,902383.7902264601,916853.9325842697,881862.3179385037,905814.3915609694,930601.3702106064,933987.7300613497,937031.3057969289,923811.7702559264
Total Private per mil,452059.004302397,444939.8589796765,444339.52365963697,460264.9006622517,475988.7005649718,491247.3852251459,520018.7309763521,521676.3005780347,533849.821215733,539680.6623299823,498817.3783144529,515383.649378375,538188.2770870337,539263.8036809816,543030.5915962385,538978.6531430593
Goods Producing per mil,48145.87174759271,47490.66777270842,46270.06610009443,48921.17069002349,65080.39982616254,67378.61939887702,62982.90798407867,62861.27167630058,66150.17878426699,65523.35895919574,67471.67932279348,65553.18347356524,69398.62978939356,74601.22699386503,74633.97214617308,74655.03007430122
"Mining, Logging and Construction per mil",21307.109198934646,20945.665698880133,20144.79068303431,22644.734031189917,37592.35115167318,37212.374766046465,29501.287754624213,27697.495183044313,29678.188319427893,28030.751034890596,29503.298892070212,27627.77847544895,28038.56889114438,33987.73006134969,35233.90072610404,34909.777096355705
Mining and Logging per mil,4712.149149764393,4977.187888842805,5246.039240373518,4806.6652424695585,4563.233376792698,4183.639766596939,3512.058066026692,2649.3256262042387,1191.8951132300358,1182.7321111768185,995.891945723889,1506.9697350244883,2537.4270489723417,4785.2760736196315,3332.9365551720034,3538.153084090105
Construction per mil,16594.960049170255,15968.477810037331,14898.751442660792,17838.068788720357,33029.11777488049,32918.63921611803,25989.22968859752,25048.169556840076,28486.293206197854,26848.018923713782,28382.920453130835,26120.808740424465,25501.141842172037,29202.45398773006,31900.964170932028,31371.624012265598
Manufacturing per mil,26941.20057365294,26752.384902530073,26440.03777148253,26490.066225165563,27379.400260756192,29946.053066167566,33247.48302505269,35163.776493256264,36710.3694874851,38083.973979893555,38092.86692393875,38427.72824312445,41613.803603146414,40736.1963190184,39519.10486846804,39273.499233400165
Durable Goods per mil,3380.454824830977,3110.7424305267523,3147.6235442241104,3311.2582781456954,3259.452411994785,3523.065066607949,4214.46967923203,3853.5645472061656,3933.253873659118,3666.4695446481373,4854.973235403959,4395.328393821424,5201.725450393302,6012.269938650306,5356.505177955005,5896.921806816842
Non-Durable Goods per mil,23663.18377381684,23434.259643301535,23397.33501206589,23285.62273018586,24445.893089960886,26422.987999559617,29150.08194802154,31189.788053949902,32896.30512514899,34417.50443524542,33486.86667496577,33781.238226798945,36538.94950520173,34846.62576687116,34281.63313891203,33848.331171128666
Service-Providing per mil,730690.4322884656,731854.0024885939,737488.1964117092,752937.4065370647,749456.7579313342,763183.970053947,811987.8248653711,825867.0520231214,836352.800953516,851330.5736250739,814390.6386157102,840135.6272761523,861202.740421213,859754.6012269938,862278.3002023569,849628.4939261705
Private Service Providing per mil,404015.5705797992,397345.49979261716,398384.2199139649,411450.54475539416,410908.3007388092,424088.95739293186,456801.68578787165,458935.4527938343,467818.8319427891,474039.0301596689,431096.7260052284,449956.04671606177,468662.77594519156,464785.2760736196,468515.65289846447,464795.37681330345
"Trade, Transportation, and Utilities per mil",131018.23396844909,128162.5881377022,124960.6547056972,129886.77632984405,135049.97827031725,134867.33458108554,143760.24350269255,147639.69171483623,148748.51013110846,146303.96215257244,139922.8183742064,141906.31671480596,144506.47043897488,144539.8773006135,136412.33186525415,135511.263120651
Wholesale Trade per mil,11882.81089940586,12442.96972210701,12065.89025285909,12390.51484725486,12820.51282051282,11890.344599801827,11940.997424490752,11681.11753371869,10727.056019070322,10999.408633944411,10954.811402962778,10423.207333919378,10657.193605683837,11288.343558282208,8808.47518152601,8255.690529543579
Retail Trade per mil,98955.13214505225,95603.4840315222,92120.44906095898,96987.82311471908,102238.15732290309,103710.2278982715,110863.96628424258,114643.54527938343,115613.82598331347,112477.82377291544,104568.65430100834,106492.5279417305,107586.9068764273,106871.16564417178,102487.79907153909,101544.99351338601
"Transportation, Warehousing, and Utilities per mil",20590.0430239705,20012.442969722106,20564.47382226419,20508.438367870112,20425.901781833985,19486.95364967522,21072.348396160152,21315.028901734106,22526.817640047677,22826.729745712597,24523.839163450764,25367.32387291222,26008.627251966507,26257.66871165644,24877.990715391024,25946.455949994106
Information per mil,8297.480024585127,7776.856076316881,6400.167873255692,6515.701773125401,6301.607996523251,6165.363866563911,5853.430110044486,5780.346820809248,4767.580452920143,5677.114133648729,4730.486742188473,3893.0051488132613,4567.368688150216,5153.374233128834,4880.371384359005,5189.291189998821
