TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,372092.0,380900.0,390842.0,392492.0,392333.0,390233.0,390500.0,386567.0,387742.0,391025.0,388608.0,388075.0,393033.0,401425.0,408108.0,412629.0
  Civilian Employment,313292.0,324417.0,339250.0,345950.0,350992.0,350242.0,349850.0,350858.0,356467.0,360417.0,339125.0,349533.0,365283.0,368658.0,372833.0,374443.0
  Civilian Unemployment,58800.0,56508.0,51600.0,46542.0,41342.0,40000.0,40650.0,35700.0,31292.0,30592.0,49500.0,38542.0,27733.0,32750.0,35283.0,38200.0
"Total, All Industries",274383.0,284750.0,299283.0,309158.0,315633.0,315900.0,317617.0,320175.0,327900.0,335158.0,319292.0,331442.0,346633.0,348800.0,354392.0,350357.0
  Total Farm,44575.0,48217.0,53758.0,59150.0,59817.0,58808.0,62125.0,61375.0,61492.0,62133.0,58367.0,60575.0,60350.0,57867.0,59100.0,54971.0
  Total Nonfarm,229808.0,236533.0,245525.0,250008.0,255817.0,257092.0,255492.0,258800.0,266408.0,273025.0,260925.0,270867.0,286283.0,290933.0,295292.0,295386.0
    Total Private,169175.0,176383.0,186742.0,191567.0,196125.0,195583.0,191692.0,193567.0,200342.0,205417.0,195400.0,206067.0,219033.0,221342.0,223067.0,222300.0
    Goods Producing,35542.0,38675.0,43017.0,43817.0,45650.0,42042.0,37067.0,36950.0,38400.0,38800.0,35700.0,35142.0,37025.0,36808.0,36550.0,35229.0
"      Mining, Logging, and Construction",22542.0,25575.0,29542.0,29758.0,31075.0,27892.0,23525.0,23558.0,25233.0,25875.0,23375.0,22942.0,24475.0,24025.0,23217.0,22286.0
      Mining and Logging,9825.0,11608.0,12842.0,12508.0,12900.0,11408.0,8983.0,8617.0,9308.0,9558.0,7950.0,7442.0,7800.0,7792.0,7183.0,6814.0
      Construction,12717.0,13967.0,16700.0,17250.0,18175.0,16483.0,14542.0,14942.0,15925.0,16317.0,15425.0,15500.0,16675.0,16233.0,16033.0,15471.0
      Manufacturing,13000.0,13100.0,13475.0,14058.0,14575.0,14150.0,13542.0,13392.0,13167.0,12925.0,12325.0,12200.0,12550.0,12783.0,13333.0,12943.0
        Durable Goods,5033.0,5058.0,5133.0,5358.0,5642.0,5283.0,4792.0,4767.0,4800.0,4892.0,4733.0,4775.0,4942.0,5367.0,5800.0,5700.0
     Non-Durable Goods,7967.0,8042.0,8342.0,8700.0,8933.0,8867.0,8750.0,8625.0,8367.0,8033.0,7592.0,7425.0,7608.0,7417.0,7533.0,7243.0
          Food Manufacturing,5542.0,5533.0,5833.0,6067.0,6050.0,5917.0,5908.0,5883.0,5650.0,5183.0,4842.0,4658.0,4733.0,4483.0,4300.0,4086.0
     Service-Providing,194267.0,197858.0,202508.0,206192.0,210167.0,215050.0,218425.0,221850.0,228008.0,234225.0,225225.0,235725.0,249258.0,254125.0,258742.0,260157.0
    Private Service Providing,133633.0,137708.0,143725.0,147750.0,150475.0,153542.0,154625.0,156617.0,161942.0,166617.0,159700.0,170925.0,182008.0,184533.0,186517.0,187071.0
"     Trade, Transportation, and Utilities",42308.0,43792.0,45392.0,47517.0,49433.0,50717.0,51142.0,51633.0,53292.0,52858.0,52792.0,59700.0,63192.0,61592.0,60842.0,60386.0
        Wholesale Trade,7458.0,7592.0,7758.0,8475.0,8675.0,8342.0,8108.0,8225.0,8250.0,8033.0,7525.0,7717.0,8167.0,8433.0,8483.0,8400.0
        Retail Trade,26008.0,27075.0,27925.0,28942.0,30300.0,31467.0,32075.0,31958.0,31808.0,31133.0,30100.0,32267.0,32917.0,32358.0,32008.0,32000.0
          Food and Beverage Retailers,5642.0,6058.0,5958.0,6067.0,6383.0,6617.0,6783.0,6508.0,6425.0,6425.0,6575.0,6783.0,6925.0,6942.0,6892.0,6857.0
          General Merchandise Retailers,5508.0,5633.0,5800.0,6033.0,6283.0,6833.0,6767.0,6967.0,6983.0,6917.0,7042.0,7683.0,7708.0,7517.0,7417.0,7600.0
            Department Stores,2750.0,2767.0,2708.0,2625.0,2642.0,2733.0,2592.0,2500.0,2442.0,2208.0,2017.0,2192.0,2250.0,2192.0,2175.0,2129.0
"          Clothing, Clothing Accessories, Shoe, and Jewelry",2217.0,2358.0,2375.0,2492.0,2942.0,3325.0,3133.0,2858.0,2808.0,2500.0,1692.0,2242.0,2408.0,2325.0,2350.0,2314.0
"        Transportation, Warehousing, and Utilities",8842.0,9125.0,9708.0,10100.0,10458.0,10908.0,10958.0,11450.0,13233.0,13692.0,15167.0,19717.0,22108.0,20800.0,20350.0,19986.0
      Information,2692.0,2617.0,2675.0,2542.0,2383.0,2683.0,2167.0,2033.0,2033.0,1908.0,1525.0,1542.0,1625.0,1717.0,1683.0,1600.0
