TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,841974.5654300549,851711.7353636124,867997.8098566685,881419.2391182496,894627.7779335412,897520.1994705728,895902.6888604354,907625.3275628804,919340.6956171888,921723.6749568442,872666.0284914362,900684.1461057785,929395.2416209326,918373.2951360777,913564.546639615,907456.819564306
Civilian Unemployment per mil,158025.43456994506,148353.8986610659,132022.65877259863,118580.76088175045,105374.77092164055,102502.86367375389,104097.31113956467,92351.39057394967,80703.14796952612,78235.40694329006,127377.71739130435,99315.85389422148,70561.50501357393,81584.35573270224,86455.05601458438,92577.10921917751
"Total, All Industries per mil",737406.3403674361,747571.5410868995,765739.0966170473,787679.7488866015,804502.8075639827,809516.3658634713,813359.795134443,828252.282269309,845665.4166946062,857126.7821750528,821630.0230566534,854066.8685176835,881943.7553589648,868904.5276203526,868377.9783782725,849084.7710655335
Total Farm per mil,119795.64193801532,126587.03071672356,137544.07151739064,150703.70861062134,152464.8704034583,150699.71017315294,159090.9090909091,158769.3724503126,158589.99025124955,158897.7686848667,150195.05517127799,156090.9617986214,153549.44750186373,144153.95154761162,144814.60789790936,133221.36834783788
Total Nonfarm per mil,617610.6984294207,620984.5103701759,628195.0250996567,636976.0402759801,652040.4860157061,658816.6556903183,654268.8860435339,669482.9098189964,687075.4264433567,698229.0134901861,671434.9678853755,697975.906719062,728394.307857101,724750.5760727408,723563.370480363,715863.4027176956
Total Private per mil,454659.06281242275,463069.0469939617,477794.0958238879,488078.7379105816,499894.22250995965,501195.43964759517,490888.6043533931,500733.3786898519,516688.9323312924,525329.5825075123,502820.3227931489,530997.8741222702,557289.0825961179,551390.6707355047,546588.1580365981,538740.6120267843
Goods Producing per mil,95519.38767831611,101535.8361774744,110062.37814769139,111637.94421287568,116355.23904438321,107735.63486429902,94921.89500640205,95584.98268088067,99034.92528537016,99226.3921744134,91866.3537549407,90554.66082587128,94203.28572918814,91693.34246745968,89559.62637341095,85376.93666707865
"Mining, Logging, and Construction per mil",60581.7915999269,67143.60724599633,75585.53072597111,75818.10584674336,79205.67477117653,71475.24683970859,60243.27784891165,60941.5702840646,65076.77785744129,66172.23962662235,60150.588768115944,59117.43863943825,62272.12473252882,59849.28691536401,56889.35281837161,54009.77633661231
Mining and Logging per mil,26404.76011309031,30475.190338671564,32857.26713096341,31868.165465792936,32880.231843867325,29233.81671975461,23003.841229193342,22291.090548339616,24005.653243651708,24443.44990729493,20457.633399209488,19176.70553372415,19845.661814656785,19410.848850968425,17600.733139267057,16513.62361831088
Construction per mil,34177.03148683659,36668.41690732476,42728.2635950077,43949.94038095044,46325.442927309196,42238.867548362134,37239.43661971831,38653.066609410525,41071.12461378958,41728.789719327404,39692.955368906456,39940.733105714105,42426.462917872035,40438.438064395596,39286.169347329625,37493.7292337669
Manufacturing per mil,34937.596078389215,34392.22893147808,34476.84742172029,35817.29054350152,37149.56427320669,36260.38802459044,34678.6171574904,34643.41239681608,33958.14742792888,33054.15254779106,31715.764986824768,31437.222186433035,31931.16099665931,31844.05555209566,32670.273555039355,31367.160330466355
Durable Goods per mil,13526.224697117917,13279.075872932528,13133.184253483505,13651.233655717824,14380.640935123989,13538.065719711045,12271.44686299616,12331.626858992102,12379.36566067127,12510.709033949235,12179.368412384716,12304.322618050635,12574.007780517159,13369.869838699631,14211.924294549483,13813.861846840624
Non-Durable Goods per mil,21411.3713812713,21113.15305854555,21343.66316823678,22166.0568877837,22768.9233380827,22722.32230487939,22407.170294494237,22311.785537823973,21578.78176725761,20543.443513841823,19536.396574440052,19132.899568382403,19357.153216142156,18476.676838761912,18458.34926048987,17553.298483625727
Service-Providing per mil,522093.99825849524,519448.67419270147,518132.64695196523,525340.6438857352,535685.2469713228,551081.0208260192,559346.9910371319,573897.9271381159,588040.5011579865,599002.6213157726,579568.6141304348,607421.2458931908,634191.0221279128,633057.2336052812,634003.744106952,630486.4660506168
Private Service Providing per mil,359139.6751341066,361533.21081648726,367731.7176761965,376440.79369770596,383538.9834655764,393462.367354888,395966.70934699103,405148.39600897126,417654.00704592234,426103.19033309893,410953.9690382082,440443.2132963989,463085.79686692974,459694.8371426792,457028.5316631872,453363.6753597057
"Trade, Transportation, and Utilities per mil",113703.06268342238,114969.80834864793,116139.00246135268,121064.88794676069,125997.55819673595,129965.94342354439,130965.42893725993,133568.0490057351,137441.90724760276,135178.057668947,135848.9789196311,153836.24299426656,160780.39248612712,153433.39353552967,149083.08584982407,146344.53710233647
