TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,59550.0,58900.0,58658.0,58067.0,57417.0,57733.0,55642.0,55808.0,55500.0,55775.0,54892.0,53858.0,54658.0,56833.0,58367.0,59357.0
  Civilian Employment,49842.0,49517.0,49875.0,50208.0,50500.0,51667.0,49858.0,50592.0,50917.0,51117.0,48117.0,48433.0,50617.0,52033.0,53183.0,53586.0
  Civilian Unemployment,9683.0,9367.0,8758.0,7858.0,6925.0,6092.0,5792.0,5192.0,4567.0,4658.0,6783.0,5425.0,4042.0,4800.0,5183.0,5757.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total All Industries,43158.0,42817.0,43217.0,44000.0,44592.0,46108.0,46433.0,47617.0,48208.0,48767.0,46300.0,46808.0,48883.0,50242.0,51767.0,51486.0
  Total Farm,6550.0,6233.0,6458.0,6867.0,6858.0,7425.0,7442.0,7808.0,7567.0,7517.0,7308.0,7283.0,7358.0,7575.0,7875.0,7914.0
  Total Nonfarm,36608.0,36583.0,36758.0,37133.0,37733.0,38683.0,38992.0,39808.0,40642.0,41250.0,38992.0,39525.0,41525.0,42667.0,43892.0,43571.0
    Total Private,21658.0,21800.0,22200.0,22858.0,23483.0,24158.0,24333.0,25092.0,25775.0,26125.0,24692.0,25533.0,27058.0,27575.0,28125.0,27886.0
    Goods Producing,4975.0,5208.0,5192.0,5283.0,5417.0,5792.0,5742.0,5792.0,5858.0,5925.0,5575.0,5525.0,5850.0,5842.0,5900.0,5800.0
"      Mining, Logging and Construction",858.0,883.0,792.0,808.0,775.0,917.0,917.0,925.0,1008.0,1008.0,983.0,1017.0,1150.0,1183.0,1158.0,1114.0
      Manufacturing,4117.0,4325.0,4400.0,4475.0,4642.0,4875.0,4825.0,4867.0,4850.0,4917.0,4592.0,4508.0,4700.0,4658.0,4742.0,4686.0
Service-Providing,31633.0,31375.0,31567.0,31850.0,32317.0,32892.0,33250.0,34017.0,34783.0,35325.0,33417.0,34000.0,35675.0,36825.0,37992.0,37771.0
    Private Service Providing,16683.0,16592.0,17008.0,17575.0,18067.0,18367.0,18592.0,19300.0,19917.0,20200.0,19117.0,20008.0,21208.0,21733.0,22225.0,22086.0
"      Trade, Transportation, and Utilities",5192.0,5325.0,5475.0,5742.0,5892.0,5950.0,6258.0,6675.0,6992.0,6892.0,6367.0,6500.0,6650.0,6550.0,6450.0,6286.0
        Wholesale Trade,500.0,550.0,600.0,592.0,600.0,600.0,592.0,592.0,567.0,600.0,608.0,600.0,600.0,625.0,700.0,700.0
        Retail Trade,3892.0,4008.0,4033.0,4150.0,4225.0,4208.0,4358.0,4400.0,4450.0,4258.0,4092.0,4350.0,4417.0,4400.0,4325.0,4200.0
"        Transportation, Warehousing, and Utilities",800.0,767.0,842.0,1000.0,1067.0,1142.0,1308.0,1683.0,1975.0,2033.0,1667.0,1550.0,1633.0,1525.0,1425.0,1386.0
      Information,200.0,200.0,200.0,200.0,200.0,217.0,200.0,200.0,200.0,200.0,150.0,200.0,200.0,200.0,200.0,200.0
      Financial Activities,942.0,958.0,1000.0,908.0,975.0,983.0,900.0,958.0,933.0,900.0,900.0,900.0,883.0,833.0,783.0,786.0
      Professional and Business Services,1650.0,1242.0,1333.0,1333.0,1383.0,1267.0,1275.0,1242.0,1200.0,1233.0,1208.0,1267.0,1742.0,1742.0,2000.0,2000.0
      Private Education and Health Services,5492.0,5550.0,5658.0,5875.0,5967.0,6083.0,5983.0,6250.0,6383.0,6658.0,6442.0,6533.0,6767.0,7608.0,7967.0,8214.0
      Leisure and Hospitality,2708.0,2775.0,2783.0,2942.0,3050.0,3250.0,3333.0,3300.0,3558.0,3642.0,3392.0,3892.0,4183.0,4100.0,4100.0,3900.0
      Other Services,500.0,542.0,558.0,575.0,600.0,617.0,642.0,675.0,650.0,675.0,658.0,717.0,783.0,700.0,725.0,700.0
      Government,14950.0,14783.0,14558.0,14275.0,14250.0,14525.0,14658.0,14717.0,14867.0,15125.0,14300.0,13992.0,14467.0,15092.0,15767.0,15686.0
        Federal Government,1200.0,1200.0,1142.0,1100.0,1117.0,1192.0,1200.0,1192.0,1200.0,1208.0,1300.0,1233.0,1200.0,1083.0,950.0,900.0
        State & Local Government,13750.0,13583.0,13417.0,13175.0,13133.0,13333.0,13458.0,13525.0,13667.0,13917.0,13000.0,12758.0,13267.0,14008.0,14817.0,14786.0
          State Government,5975.0,5875.0,5658.0,5408.0,5300.0,5425.0,5467.0,5358.0,5417.0,5500.0,5433.0,5258.0,5225.0,5433.0,5633.0,5543.0
          Local Government,7775.0,7708.0,7758.0,7767.0,7833.0,7908.0,7992.0,8167.0,8250.0,8417.0,7567.0,7500.0,8042.0,8575.0,9183.0,9243.0
          Local Government excluding Educational Services,3817.0,3758.0,3792.0,3775.0,3800.0,3842.0,3875.0,3958.0,3975.0,4092.0,3775.0,3600.0,3658.0,3925.0,4183.0,4071.0
               Special Districts plus Tribes,1900.0,1808.0,1850.0,1825.0,1808.0,1742.0,1758.0,1758.0,1825.0,1933.0,1692.0,1508.0,1517.0,1708.0,1908.0,1729.0
