TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,836977.3299748111,840696.0950764007,850267.6531760374,864656.3452563419,879530.4526533954,894930.109296243,896049.7465942992,906536.6972477065,917423.4234234234,916485.8807709548,876575.82161335,899272.1601247725,926067.5472940833,915542.0266394524,911182.6888481504,902774.735919942
Civilian Unemployment per mil,162602.85474391267,159032.25806451612,149306.14749906238,135326.43325813283,120608.87890346065,105520.23972424783,104094.02968980266,93033.25688073394,82288.28828828828,83514.11922904526,123569.91911389638,100727.83987522745,73950.74828936295,84457.97336054756,88800.17818287731,96989.40310325657
Total Farm per mil,109991.60369437448,105823.42954159594,110095.80960823757,118259.9411025195,119441.97711479179,128609.28758249182,133747.88828582727,139908.25688073394,136342.34234234237,134773.64410578215,133134.15433943016,135225.9645735081,134618.90299681656,133285.23920961414,134922.13065602139,133328.84074329902
Total Nonfarm per mil,614743.9126784216,621103.5653650254,626649.3913873641,639485.4220125028,657174.7043558528,670032.7369095664,700765.6087128428,713302.752293578,732288.2882882883,739578.6642761094,710340.3045981199,733874.2619480857,759724.1026016319,750743.4061196839,752000.2741275036,734049.9014438061
Total Private per mil,363694.37447523087,370118.8455008489,378465.00051143917,393648.7161382541,408990.3687061323,418443.5245007188,437313.54013155535,449612.9587155963,464414.4144144144,468399.82070820255,449828.75464548566,474079.9881169,495041.8968860917,485193.461545229,481864.7523429335,469801.37136310793
Goods Producing per mil,83543.24097397145,88421.05263157895,88513.07579528795,90981.1080303787,94344.88043610776,100323.90487242998,103195.42791416556,103784.40366972478,105549.54954954956,106230.38995965934,101563.0692997158,102584.57425080768,107029.16316001317,102792.3917442331,101084.51693593983,97713.8332462894
"Mining, Logging and Construction per mil",14408.060453400503,14991.511035653652,13501.994612840534,13914.960304475864,13497.744570423394,15883.4635303899,16480.356565184575,16574.684633027522,18162.16216216216,18072.61317794711,17907.891860380383,18882.988599650933,21039.920963079512,20815.37135115162,19839.978069799716,18767.794868339035
Manufacturing per mil,69135.18052057095,73429.5415959253,75011.08118244741,77066.14772590283,80847.13586568438,84440.44134204008,86715.07134898099,87209.71903669725,87387.38738738738,88157.77678171224,83655.17743933543,83701.58565115675,85989.24219693366,81959.42498196471,81244.53886614011,78946.03837795036
Service-Providing per mil,531200.67170445,532682.5127334464,538153.3635650722,548504.3139821241,562847.2403643521,569726.1531533092,597570.1807986773,609536.2672018348,626720.7207207207,633348.27431645,608777.2352984041,631289.687697278,652694.9394416189,647951.0143754509,650915.7571915637,636336.0681975167
Private Service Providing per mil,280151.13350125944,281697.79286926996,289951.92471615126,302667.6081078754,314662.90471463156,318136.9407444616,334136.0842529025,345828.5550458716,358864.86486486485,362169.43074854324,348265.68534576986,371495.41386609233,388012.7337260785,382401.06980099593,380780.23540699366,372087.5381168185
"Trade, Transportation, and Utilities per mil",87187.23761544921,90407.4702886248,93337.652153159,98885.7698865104,102617.6916244318,103060.64122772071,112468.99823874052,119606.50802752294,125981.98198198198,123567.90676826534,115991.40129709247,120687.73441271493,121665.62991693805,115249.94281491387,110507.64987064608,105901.5785838233
Wholesale Trade per mil,8396.305625524768,9337.86078098472,10228.783797606466,10195.119431002118,10449.866764198756,10392.669703635702,10639.445023543367,10607.798165137616,10216.216216216217,10757.507844016136,11076.2952707134,11140.406253481377,10977.350067693658,10997.131947987964,11993.078280535236,11793.04884006941
