TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,29894.0,29498.0,29431.0,29187.0,29262.0,29018.0,25410.0,25595.0,25343.0,25322.0,24964.0,24874.0,24772.0,25127.0,25971.0,26639.0
  Civilian Employment,25339.0,25210.0,25657.0,25973.0,26612.0,26804.0,23420.0,23862.0,23781.0,23806.0,22171.0,22672.0,23308.0,23447.0,24148.0,24697.0
  Civilian Unemployment,4555.0,4289.0,3776.0,3212.0,2649.0,2212.0,1989.0,1731.0,1563.0,1518.0,2795.0,2202.0,1466.0,1681.0,1824.0,1940.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,14616.0,14628.0,14899.0,15236.0,15708.0,15911.0,16332.0,16762.0,16782.0,17027.0,16025.0,16439.0,16974.0,17088.0,17702.0,17874.0
  Total Farm,1058.0,1148.0,1122.0,1094.0,1068.0,1055.0,1084.0,1035.0,978.0,1028.0,919.0,908.0,883.0,919.0,921.0,777.0
  Total Nonfarm,13558.0,13479.0,13778.0,14142.0,14641.0,14856.0,15248.0,15727.0,15804.0,15998.0,15106.0,15531.0,16091.0,16168.0,16781.0,17097.0
    Total Private,9447.0,9562.0,9831.0,10127.0,10577.0,10675.0,10928.0,11348.0,11476.0,11677.0,11184.0,11580.0,11925.0,11777.0,12276.0,12537.0
    Goods Producing,666.0,624.0,638.0,651.0,752.0,822.0,962.0,1045.0,1156.0,1235.0,1178.0,1222.0,1236.0,1224.0,1325.0,1326.0
"      Mining, Logging and Construction",382.0,343.0,362.0,377.0,447.0,495.0,627.0,716.0,798.0,863.0,830.0,883.0,885.0,882.0,977.0,990.0
      Manufacturing,283.0,281.0,276.0,274.0,306.0,327.0,337.0,331.0,358.0,372.0,348.0,342.0,349.0,346.0,352.0,336.0
        Durable Goods,82.0,86.0,79.0,78.0,78.0,72.0,88.0,79.0,82.0,80.0,76.0,78.0,78.0,69.0,68.0,63.0
        Non-Durable Goods,201.0,195.0,197.0,196.0,228.0,254.0,249.0,250.0,276.0,295.0,272.0,264.0,270.0,278.0,286.0,273.0
Service-Providing,12892.0,12855.0,13139.0,13491.0,13888.0,14034.0,14286.0,14683.0,14652.0,14763.0,13928.0,14310.0,14857.0,14946.0,15457.0,15777.0
    Private Service Providing,8781.0,8938.0,9192.0,9476.0,9824.0,9853.0,9967.0,10303.0,10322.0,10444.0,10005.0,10359.0,10692.0,10552.0,10950.0,11214.0
"      Trade, Transportation, and Utilities",2631.0,2672.0,2688.0,2777.0,2852.0,2865.0,2860.0,2883.0,2878.0,2940.0,2928.0,3200.0,3070.0,2910.0,2934.0,2989.0
        Wholesale Trade,145.0,173.0,168.0,167.0,150.0,147.0,123.0,100.0,92.0,94.0,104.0,112.0,114.0,85.0,80.0,79.0
        Retail Trade,1956.0,1937.0,1932.0,2029.0,2140.0,2190.0,2225.0,2237.0,2248.0,2278.0,2284.0,2312.0,2298.0,2206.0,2230.0,2191.0
"        Transportation, Warehousing, and Utilities",530.0,562.0,588.0,581.0,562.0,528.0,512.0,546.0,540.0,569.0,542.0,775.0,661.0,622.0,625.0,720.0
      Information,128.0,140.0,153.0,146.0,138.0,128.0,122.0,115.0,102.0,97.0,90.0,85.0,88.0,85.0,72.0,60.0
      Financial Activities,354.0,362.0,365.0,388.0,392.0,378.0,381.0,387.0,372.0,355.0,327.0,342.0,332.0,318.0,341.0,353.0
      Professional and Business Services,590.0,579.0,592.0,593.0,595.0,527.0,568.0,622.0,626.0,638.0,668.0,714.0,732.0,726.0,735.0,740.0
      Private Education and Health Services,3582.0,3579.0,3757.0,4028.0,4255.0,4353.0,4401.0,4594.0,4627.0,4693.0,4448.0,4337.0,4699.0,4767.0,5238.0,5523.0
      Leisure and Hospitality,1128.0,1110.0,1109.0,1025.0,1046.0,1074.0,1122.0,1162.0,1173.0,1191.0,1025.0,1152.0,1227.0,1171.0,1158.0,1183.0
      Other Services,367.0,497.0,528.0,520.0,546.0,528.0,518.0,549.0,547.0,536.0,523.0,536.0,546.0,582.0,478.0,370.0
      Government,4111.0,3917.0,3947.0,4015.0,4064.0,4181.0,4321.0,4380.0,4329.0,4322.0,3922.0,3952.0,4164.0,4393.0,4507.0,4560.0
        Federal Government,189.0,144.0,149.0,149.0,143.0,145.0,152.0,156.0,146.0,162.0,182.0,171.0,157.0,158.0,163.0,150.0
        Total State and Local Government,3922.0,3772.0,3798.0,3866.0,3921.0,4036.0,4169.0,4227.0,4184.0,4159.0,3739.0,3781.0,4008.0,4234.0,4344.0,4410.0
          State Government,178.0,176.0,170.0,171.0,188.0,204.0,201.0,202.0,198.0,196.0,203.0,197.0,203.0,193.0,184.0,170.0
          Local Government,3744.0,3597.0,3628.0,3695.0,3733.0,3832.0,3969.0,4024.0,3987.0,3964.0,3537.0,3585.0,3807.0,4042.0,4162.0,4240.0
               Special Districts plus Tribes,,,,,,,,,,,,,,,,1339.0
