TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,12118.0,11742.0,11440.0,10978.0,10810.0,10764.0,9758.0,9435.0,9271.0,9152.0,8836.0,8594.0,8112.0,7980.0,8171.0,8177.0
  Civilian Employment,10400.0,10150.0,10010.0,9802.0,9814.0,9985.0,9002.0,8852.0,8772.0,8672.0,8101.0,7982.0,7698.0,7534.0,7658.0,7647.0
  Civilian Unemployment,1719.0,1591.0,1431.0,1176.0,998.0,781.0,755.0,584.0,500.0,482.0,737.0,613.0,413.0,448.0,516.0,533.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",10592.0,10342.0,10202.0,10106.0,10188.0,10441.0,10184.0,10058.0,10034.0,10015.0,9503.0,9398.0,9088.0,8892.0,9080.0,8959.0
  Total Farm,437.0,560.0,728.0,646.0,672.0,716.0,615.0,614.0,659.0,607.0,260.0,246.0,289.0,310.0,447.0,296.0
  Total Nonfarm,10156.0,9782.0,9475.0,9460.0,9517.0,9725.0,9569.0,9444.0,9375.0,9408.0,9243.0,9152.0,8798.0,8582.0,8633.0,8663.0
    Total Private,3420.0,3311.0,3203.0,3386.0,3537.0,3583.0,3414.0,3304.0,3304.0,3325.0,3207.0,3304.0,3356.0,3445.0,3528.0,3506.0
    Goods Producing,182.0,197.0,182.0,207.0,213.0,220.0,231.0,228.0,252.0,245.0,282.0,289.0,304.0,274.0,255.0,233.0
"      Mining, Logging and Construction",169.0,171.0,162.0,189.0,200.0,201.0,224.0,222.0,246.0,240.0,262.0,248.0,251.0,234.0,230.0,217.0
      Mining and Logging,72.0,75.0,73.0,93.0,79.0,68.0,71.0,82.0,78.0,75.0,79.0,78.0,75.0,65.0,67.0,64.0
      Construction,97.0,96.0,89.0,96.0,121.0,133.0,153.0,140.0,168.0,165.0,183.0,170.0,176.0,169.0,163.0,153.0
      Manufacturing,13.0,26.0,20.0,18.0,13.0,19.0,10.0,10.0,8.0,10.0,20.0,45.0,53.0,41.0,27.0,20.0
Service-Providing,9973.0,9586.0,9292.0,9253.0,9303.0,9505.0,9341.0,9218.0,9126.0,9162.0,8962.0,8863.0,8494.0,8310.0,8380.0,8433.0
    Private Service Providing,3238.0,3114.0,3021.0,3179.0,3323.0,3363.0,3185.0,3078.0,3054.0,3081.0,2927.0,3015.0,3050.0,3172.0,3276.0,3274.0
"      Trade, Transportation, and Utilities",1018.0,951.0,955.0,939.0,972.0,1026.0,1048.0,1046.0,1052.0,1036.0,1027.0,1077.0,1046.0,1016.0,1032.0,1030.0
        Wholesale Trade,81.0,94.0,92.0,79.0,74.0,79.0,81.0,77.0,88.0,90.0,88.0,92.0,86.0,84.0,95.0,93.0
        Retail Trade,833.0,766.0,789.0,792.0,828.0,874.0,882.0,873.0,882.0,867.0,853.0,903.0,880.0,849.0,852.0,851.0
"        Transportation, Warehousing, and Utilities",104.0,91.0,74.0,68.0,70.0,72.0,85.0,96.0,82.0,78.0,82.0,84.0,83.0,85.0,88.0,83.0
      Information,93.0,83.0,77.0,91.0,82.0,89.0,114.0,102.0,92.0,95.0,62.0,55.0,55.0,54.0,50.0,50.0
      Financial Activities,152.0,138.0,148.0,148.0,152.0,147.0,148.0,149.0,142.0,134.0,128.0,128.0,123.0,111.0,107.0,106.0
      Professional and Business Services,158.0,176.0,188.0,216.0,199.0,172.0,157.0,177.0,187.0,213.0,238.0,242.0,238.0,248.0,282.0,263.0
      Private Education and Health Services,1022.0,1016.0,938.0,973.0,963.0,946.0,901.0,888.0,882.0,890.0,861.0,894.0,970.0,1092.0,1162.0,1176.0
      Leisure and Hospitality,617.0,609.0,584.0,609.0,661.0,672.0,617.0,580.0,563.0,580.0,470.0,472.0,478.0,497.0,484.0,480.0
      Other Services,178.0,141.0,131.0,202.0,294.0,311.0,204.0,139.0,139.0,138.0,140.0,150.0,145.0,157.0,164.0,177.0
      Government,6736.0,6472.0,6272.0,6074.0,5980.0,6142.0,6154.0,6142.0,6072.0,6084.0,6036.0,5849.0,5444.0,5139.0,5105.0,5157.0
        Federal Government,1862.0,1858.0,1911.0,1920.0,1824.0,1854.0,1900.0,1838.0,1764.0,1809.0,1925.0,1898.0,1686.0,1608.0,1625.0,1644.0
        Total State and Local Government,4874.0,4614.0,4361.0,4154.0,4156.0,4288.0,4257.0,4303.0,4308.0,4275.0,4110.0,3952.0,3758.0,3532.0,3480.0,3513.0
          State Government,2841.0,2704.0,2521.0,2376.0,2392.0,2505.0,2468.0,2488.0,2493.0,2521.0,2526.0,2372.0,2130.0,1798.0,1728.0,1749.0
          Local Government,2033.0,1910.0,1840.0,1778.0,1763.0,1782.0,1788.0,1817.0,1814.0,1756.0,1582.0,1578.0,1630.0,1733.0,1752.0,1764.0
