TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,858227.4302690213,864418.3273718277,875000.0,892876.6624157405,907863.0897317299,927629.1341508733,922525.1076040171,938208.7970323265,946176.2485168807,947552.4475524476,916817.5645088275,928787.5261810565,948964.4970414202,944110.275689223,937216.9869049076,935184.0528311116
Civilian Unemployment per mil,141855.09159927382,135496.5082609436,125087.4125874126,107123.33758425943,92321.92414431083,72556.67038275734,77372.41237958598,61897.19130895602,53931.61471254449,52666.08391608392,83408.78225441377,71328.83407028159,50912.22879684418,56140.350877192985,63150.16521845551,65182.829888712244
"Total, All Industries per mil",874071.6289816801,880769.8858797479,891783.2167832168,920568.4095463654,942460.6845513413,969992.5678186547,1043656.486985038,1066030.736618972,1082299.6440513427,1094296.3286713287,1075486.6455409687,1093553.642075867,1120315.5818540433,1114285.7142857143,1111247.0933790233,1095634.0956340956
Total Farm per mil,36062.05644495791,47692.04564810083,63636.36363636363,58844.96265257788,62164.662349676226,66518.02303976218,63025.21008403361,65076.84154742978,71081.86819113365,66324.3006993007,29425.079221367134,28624.621829183154,35626.23274161736,38847.117794486214,54705.6663811039,36199.09502262444
Total Nonfarm per mil,838092.0944050173,833077.8402316471,828234.2657342657,861723.4468937876,880388.5291396854,903474.5447788925,980631.2769010043,1000953.8950715422,1011217.7758602093,1027972.0279720279,1046061.5663196016,1064929.0202466836,1084566.0749506901,1075438.596491228,1056541.4269979193,1059435.0006114712
Total Private per mil,282224.7895692359,281979.2198943962,279982.51748251746,308435.05192202586,327197.0397779834,332868.8219992568,349866.77597868413,350185.4795972443,356380.11002049403,363308.56643356645,362947.03485740157,384454.2704212241,413708.0867850099,431704.26065162907,431770.8970750214,428763.6052341935
Goods Producing per mil,15018.980029707873,16777.380344064044,15909.090909090908,18855.8936053926,19703.977798334876,20438.498699368265,23672.88378766141,24165.341812400635,27181.533815122424,26770.104895104894,31914.893617021273,33628.112636723294,37475.34516765286,34335.83959899749,31207.930485864643,28494.55790632261
"Mining, Logging and Construction per mil",13946.195741871596,14563.106796116504,14160.839160839161,17216.25068318455,18501.387604070303,18673.35562987737,22955.523672883788,23529.41176470588,26534.35443857189,26223.776223776225,29651.42598460842,28857.342331859436,30941.814595660748,29323.30827067669,28148.329457838696,26537.850067261832
Mining and Logging per mil,5941.574517247071,6387.327542156361,6381.118881118881,8471.488431408272,7308.048103607771,6317.3541434411,7276.081164172986,8691.043985161632,8413.331895156942,8194.93006993007,8940.697148030784,9076.099604375146,9245.562130177515,8145.3634085213025,8199.730755109535,7826.831356243121
Construction per mil,8004.621224624526,8175.779253960144,7779.720279720279,8744.76225177628,11193.339500462534,12356.00148643627,15679.442508710801,14838.36777954425,18121.02254341495,18028.846153846152,20710.728836577637,19781.242727484292,21696.252465483234,21177.94486215539,19948.598702729163,18711.01871101871
Manufacturing per mil,1072.7842878362765,2214.2735479475386,1748.2517482517483,1639.6429222080526,1202.5901942645698,1765.1430694908954,1024.8001639680263,1059.8834128245894,862.9058354007119,1092.6573426573427,2263.4676324128563,5236.21131021643,6533.530571992111,5137.8446115288225,3304.369110268021,2445.884798825975
Service-Providing per mil,822990.5925070143,816385.6242548118,812237.7622377622,842867.553288395,860592.0444033303,883036.0460795243,957265.8331625334,977000.5299417063,984359.831733362,1001092.6573426573,1014259.8460842009,1031300.9076099604,1047090.7297830374,1041353.3834586466,1025578.2645942968,1031307.3254249725
Private Service Providing per mil,267205.809539528,265201.83955033217,264073.4265734266,289579.15831663326,307400.55504162813,312430.3232998885,326398.8522238164,326232.11446740857,329414.3026642218,336647.7272727273,331258.4880036216,350826.1577845008,375986.1932938856,397493.73433583963,400930.1187125199,400391.34156781214
"Trade, Transportation, and Utilities per mil",84007.26192440996,80991.31323454267,83479.02097902098,85534.70577518674,89916.74375578167,95317.72575250837,107399.05718384915,110863.80498145203,113472.11735519361,113199.3006993007,116229.06292440018,125319.99069117989,128944.7731755424,127318.29573934835,126300.33043691103,125963.06713953773
Wholesale Trade per mil,6684.271331902954,8005.4505195026395,8041.958041958042,7196.21060302423,6845.5134135060125,7339.279078409513,8300.881328141013,8161.1022787493375,9491.964189407832,9833.916083916083,9959.257582616568,10705.143123109146,10601.577909270218,10526.315789473683,11626.483906498594,11373.364314540784
Retail Trade per mil,68740.7162898168,65235.905297223646,68968.53146853147,72144.28857715431,76595.74468085106,81196.5811965812,90387.37446197993,92527.82193958665,95135.36835292849,94733.39160839161,96536.89452240833,105073.30695834303,108481.26232741617,106390.97744360902,104271.20303512421,104072.39819004525
