TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,4929942.0,4923042.0,4907342.0,4962783.0,4988483.0,4990742.0,5041358.0,5107300.0,5127142.0,5163992.0,4972650.0,4999683.0,5021833.0,5055258.0,5109750.0,5065600.0
Civilian Employment,4308642.0,4320342.0,4373192.0,4474825.0,4577575.0,4657033.0,4774450.0,4863467.0,4888783.0,4932292.0,4363217.0,4551625.0,4771758.0,4799025.0,4812583.0,4775486.0
Civilian Unemployment,621275.0,602692.0,534158.0,487933.0,410933.0,333733.0,266958.0,243842.0,238350.0,231708.0,609433.0,448058.0,250058.0,256250.0,297183.0,290129.0
"Total, All Industries",3932825.0,3954550.0,4044508.0,4122992.0,4199358.0,4292608.0,4402050.0,4455825.0,4521642.0,4566908.0,4172508.0,4309658.0,4536942.0,4553742.0,4594683.0,4588929.0
Total Farm,6250.0,5667.0,5425.0,5500.0,5217.0,4992.0,5342.0,5750.0,4658.0,4383.0,4425.0,4583.0,4817.0,4683.0,4758.0,4743.0
Total Nonfarm,3926575.0,3948883.0,4039083.0,4117492.0,4194142.0,4287617.0,4396708.0,4450075.0,4516983.0,4562525.0,4168083.0,4305075.0,4532125.0,4549058.0,4589925.0,4584186.0
Total Private,3347017.0,3383417.0,3482267.0,3566258.0,3637975.0,3719125.0,3820050.0,3863967.0,3926350.0,3975642.0,3597858.0,3744833.0,3962100.0,3966875.0,3998842.0,3984086.0
Goods Producing,487192.0,481708.0,486500.0,494917.0,494242.0,498567.0,498792.0,491592.0,491300.0,493025.0,463733.0,463783.0,474725.0,471342.0,463333.0,444429.0
"Mining, Logging and Construction",106658.0,106950.0,110808.0,117958.0,121667.0,129042.0,136500.0,140833.0,148300.0,151817.0,148300.0,150650.0,153025.0,152917.0,152542.0,146257.0
Mining and Logging,2967.0,2933.0,3167.0,3375.0,3175.0,2908.0,2442.0,2075.0,1975.0,1950.0,1742.0,1625.0,1683.0,1683.0,1683.0,1671.0
Construction,103692.0,104017.0,107642.0,114583.0,118492.0,126133.0,134058.0,138758.0,146325.0,149867.0,146558.0,149025.0,151342.0,151233.0,150858.0,144586.0
Manufacturing,380533.0,374758.0,375692.0,376958.0,372575.0,369525.0,362292.0,350758.0,343000.0,341208.0,315433.0,313133.0,321700.0,318425.0,310792.0,298171.0
Durable Goods,212233.0,209950.0,210575.0,210942.0,208967.0,208383.0,203675.0,201625.0,200167.0,201758.0,190292.0,186017.0,189508.0,190167.0,186100.0,178500.0
Non-Durable Goods,168300.0,164808.0,165117.0,166017.0,163608.0,161142.0,158617.0,149133.0,142833.0,139450.0,125142.0,127117.0,132192.0,128258.0,124692.0,119671.0
Service Providing,3439383.0,3467175.0,3552583.0,3622575.0,3699900.0,3789050.0,3897917.0,3958483.0,4025683.0,4069500.0,3704350.0,3841292.0,4057400.0,4077717.0,4126592.0,4139757.0
Private Service Providing,2859825.0,2901708.0,2995767.0,3071342.0,3143733.0,3220558.0,3321258.0,3372375.0,3435050.0,3482617.0,3134125.0,3281050.0,3487375.0,3495533.0,3535508.0,3539657.0
"Trade, Transportation, and Utilities",743658.0,753750.0,770583.0,785558.0,803267.0,820958.0,834008.0,843800.0,849300.0,848625.0,784642.0,813958.0,833533.0,822933.0,814008.0,805614.0
Wholesale Trade,201892.0,204025.0,209808.0,216592.0,220250.0,223175.0,222967.0,222675.0,224500.0,221917.0,201050.0,202600.0,204442.0,200167.0,195342.0,190829.0
Retail Trade,386200.0,392992.0,401100.0,405633.0,413658.0,420075.0,422008.0,422792.0,420975.0,413592.0,375675.0,396117.0,405525.0,404858.0,400050.0,395743.0
Food and Beverage Retailers,87850.0,88558.0,90242.0,91467.0,93150.0,94742.0,94150.0,94233.0,93583.0,93308.0,93775.0,93558.0,94000.0,96883.0,98100.0,98643.0
General Merchandise Retailers,64725.0,66808.0,68100.0,68033.0,69433.0,71750.0,71967.0,71767.0,73283.0,73858.0,68700.0,71550.0,72417.0,71967.0,70517.0,69129.0
"Clothing, Clothing Accessories, Shoe, and Jewelry",58350.0,60817.0,62158.0,62558.0,63033.0,62283.0,61350.0,61558.0,60825.0,58550.0,42808.0,50775.0,53650.0,53308.0,53050.0,53029.0
"Transportation, Warehousing, and Utilities",155567.0,156733.0,159675.0,163333.0,169358.0,177708.0,189033.0,198333.0,203825.0,213117.0,207917.0,215242.0,223567.0,217908.0,218617.0,219043.0
Information,192308.0,192783.0,192267.0,197192.0,198875.0,207383.0,228950.0,214267.0,214950.0,215558.0,191100.0,208842.0,234858.0,193067.0,189775.0,187914.0
Financial Activities,211325.0,210325.0,212592.0,213275.0,211342.0,215775.0,220092.0,221967.0,223750.0,224258.0,213217.0,213150.0,215708.0,210917.0,208742.0,202929.0
Finance and Insurance,139558.0,138625.0,140342.0,138492.0,134600.0,135742.0,138358.0,137775.0,136925.0,135892.0,132292.0,129017.0,126558.0,122583.0,119967.0,117071.0
Real Estate and Rental and Leasing,71767.0,71700.0,72250.0,74783.0,76742.0,80033.0,81733.0,84192.0,86825.0,88367.0,80925.0,84133.0,89150.0,88333.0,88775.0,85857.0
Professional and Business Services,519908.0,535717.0,562817.0,586500.0,592892.0,595267.0,604850.0,614433.0,633600.0,648375.0,601008.0,630842.0,666875.0,656825.0,657800.0,647971.0
"Professional, Scientific, and Technical Services",238333.0,247733.0,260683.0,269767.0,269725.0,269692.0,275650.0,282550.0,291525.0,301483.0,289500.0,300642.0,319483.0,316492.0,314442.0,309171.0
Management of Companies and Enterprises,57967.0,60350.0,62000.0,63275.0,63617.0,63317.0,62675.0,64017.0,65700.0,66925.0,63133.0,62783.0,62325.0,62742.0,63975.0,64071.0
Administrative and Support and Waste and Remediatio,223608.0,227633.0,240133.0,253458.0,259550.0,262258.0,266525.0,267867.0,276375.0,279967.0,248375.0,267417.0,285067.0,277592.0,279383.0,274729.0
Private Education and Health Services,671783.0,678417.0,701392.0,704192.0,722658.0,743383.0,769975.0,797533.0,818017.0,840108.0,821692.0,844400.0,871058.0,920317.0,969408.0,1008614.0
Private Educational Services,111158.0,113775.0,113900.0,117392.0,118600.0,119600.0,121942.0,125692.0,131342.0,133225.0,123017.0,125342.0,131067.0,139058.0,147325.0,152029.0
Health Care and Social Assistance,560625.0,564642.0,587492.0,586800.0,604058.0,623783.0,648033.0,671842.0,686675.0,706883.0,698675.0,719058.0,739992.0,781258.0,822083.0,856586.0
Leisure and Hospitality,384058.0,393700.0,414417.0,438917.0,464150.0,486717.0,510017.0,524683.0,536583.0,547275.0,393692.0,434158.0,512383.0,534067.0,537367.0,530886.0
"Arts, Entertainment, and Recreation",63092.0,63750.0,65833.0,69167.0,73300.0,77425.0,84542.0,87050.0,91575.0,95567.0,63692.0,72717.0,90475.0,94742.0,99275.0,98786.0
Accommodation and Food Services,320967.0,329950.0,348583.0,369750.0,390850.0,409292.0,425475.0,437633.0,445008.0,451708.0,330000.0,361442.0,421908.0,439325.0,438092.0,432100.0
Food Services and Drinking Places,277333.0,285650.0,303258.0,322925.0,341942.0,359583.0,375117.0,386100.0,391983.0,398317.0,297258.0,329192.0,378933.0,391858.0,389733.0,384086.0
Other Services,136783.0,137017.0,141700.0,145708.0,150550.0,151075.0,153367.0,155692.0,158850.0,158417.0,128775.0,135700.0,152958.0,157408.0,158408.0,155729.0
Government,579558.0,565467.0,556817.0,551233.0,556167.0,568492.0,576658.0,586108.0,590633.0,586883.0,570225.0,560242.0,570025.0,582183.0,591083.0,600100.0
Federal Government,51567.0,49033.0,48100.0,47175.0,46708.0,47367.0,47742.0,47992.0,47267.0,47342.0,50167.0,47675.0,47133.0,47900.0,48250.0,47771.0
Department of Defense,3433.0,3658.0,3600.0,3550.0,3417.0,3392.0,3300.0,3300.0,3358.0,3425.0,3450.0,3408.0,3317.0,3225.0,3125.0,3100.0
Total State and Local Government,527992.0,516433.0,508717.0,504058.0,509458.0,521125.0,528917.0,538117.0,543367.0,539542.0,520058.0,512567.0,522892.0,534283.0,542833.0,552329.0
State Government,80733.0,82675.0,83092.0,83608.0,85267.0,87417.0,89867.0,92517.0,91725.0,86517.0,89017.0,90667.0,95433.0,98492.0,100292.0,102257.0
State Government Educational Services,49842.0,51375.0,52675.0,53933.0,56100.0,58525.0,60583.0,62767.0,61567.0,55308.0,57842.0,57650.0,60300.0,62717.0,64175.0,66657.0
State Government Excluding Education,30892.0,31300.0,30417.0,29675.0,29167.0,28892.0,29283.0,29750.0,30158.0,31208.0,31175.0,33017.0,35133.0,35775.0,36117.0,35600.0
Local Government,447258.0,433758.0,425625.0,420450.0,424192.0,433708.0,439050.0,445600.0,451642.0,453025.0,431042.0,421900.0,427458.0,435792.0,442542.0,450071.0
Local Government Educational Services,234225.0,225925.0,220000.0,215617.0,217300.0,223908.0,226233.0,228725.0,230017.0,229342.0,212067.0,207733.0,214692.0,219558.0,224408.0,228386.0
Local Government excluding Educational Services,213033.0,207833.0,205625.0,204833.0,206892.0,209800.0,212817.0,216875.0,221625.0,223683.0,218975.0,214167.0,212767.0,216233.0,218133.0,221686.0
County Government,98225.0,95992.0,95683.0,95250.0,96550.0,98167.0,100850.0,103992.0,107517.0,107875.0,107958.0,106658.0,104217.0,104008.0,103433.0,105400.0
City Government,93625.0,90833.0,89100.0,88358.0,88508.0,89442.0,90858.0,92442.0,93617.0,94983.0,90367.0,87092.0,87933.0,91117.0,93175.0,94600.0
Special Districts plus Tribes,21150.0,21000.0,20842.0,21225.0,21833.0,22192.0,21108.0,20442.0,20492.0,20825.0,20650.0,20417.0,20617.0,21108.0,21525.0,21686.0
