TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,873974.1765724627,877575.6940525797,891152.8888754849,901676.5391515205,917628.6658689625,933134.3916395598,947056.3288701179,952257.9445107982,953510.3572321578,955131.6113580345,877443.0132826562,910382.7182643379,950202.4459992995,949313.5661918739,941843.1430109106,942728.6007580543
Civilian Unemployment per mil,126020.75237396301,122422.68093589289,108848.74133492225,98318.42335238111,82376.34567462694,66870.41726460714,52953.58909246278,47743.81767274294,46487.88740393771,44869.937831042334,122556.98671734387,89617.28173566204,49794.16878259393,50689.796643415626,58159.98825774255,57274.3603916614
"Total, All Industries per mil",797742.6509277391,803273.6669725751,824174.87919122,830782.2445591516,841810.6265973042,860114.1874294444,873187.3435689353,872442.3863881112,881903.0173145195,884375.4986452342,839091.4301227715,861986.2499282454,903443.4239450018,900793.1939378761,899199.1780419786,905900.3869235629
Total Farm per mil,1267.763393565279,1151.1175407400547,1105.48643237011,1108.2491416610399,1045.808916257708,1000.2520667267512,1059.6351221238406,1125.8394846592134,908.4983407910294,848.7619655491334,889.8675756387439,916.6581161245623,959.211507033388,926.3622153409382,931.1610157052694,936.3155401137082
Total Nonfarm per mil,796474.8875341738,802122.5494318351,823069.3927588499,829673.9954174905,840765.0181427902,859114.1357337246,872127.7084468113,871316.5469034519,880994.3239332946,883526.7366796851,838201.5625471328,861069.5918121209,902484.2124379684,899866.6339086947,898268.0170262733,904964.0713834491
Total Private per mil,678916.1008385088,687261.4533859349,709603.4879981872,718600.4304439666,729274.8116010418,745204.8212470211,757742.2591293855,756557.6723513402,765797.0073775995,769877.6450467003,723529.3052999909,749014.087493147,788974.8623659926,784702.7787701439,782590.5376975391,786498.3417561592
Goods Producing per mil,98823.06931805689,97847.6316066367,99137.17038673889,99725.69826244669,99076.61307054671,99898.37182527166,98940.00783122325,96252.81459871164,95823.36514182755,95473.6180846136,93256.71422682071,92762.48114130436,94532.21562724208,93237.97123707633,90676.25617691668,87734.72046746683
"Mining, Logging and Construction per mil",21634.73728494169,21724.372857269955,22580.044349874126,23768.51859128235,24389.578956167636,25856.275479678174,27076.037845358333,27574.84385095843,28924.49633733569,29399.1547624396,29823.132534966266,30131.910363117022,30471.941221462363,30249.09905686317,29853.12392974216,28872.591598231207
Mining and Logging per mil,601.8326381933093,595.7698512423823,645.359544943067,680.0619732920018,636.4660358670161,582.6788882294456,484.39329244223484,406.2812053335422,385.2048568188671,377.61483751330366,350.31622977687954,325.0206063064398,335.1365925549495,332.92069366192584,329.37032144429764,329.87207833228047
Construction per mil,21033.10748889135,21128.603006027573,21934.888581231957,23088.45661799035,23753.11292030062,25273.39622044177,26591.6445529161,27168.56264562489,28539.291480516826,29021.5399249263,29472.816305189386,29806.889756810582,30136.804628907412,29915.980549360687,29523.557904007044,28542.71951989893
Manufacturing per mil,77188.12919097223,76123.25874936675,76557.12603686476,75956.97817132041,74687.03411437906,74042.0963455935,71863.96998586491,68677.77494958196,66898.86880449187,66074.46332217401,63433.58169185444,62630.57077818733,64060.27440577972,62988.87218021315,60823.32795146533,58861.93145925458
Durable Goods per mil,43049.79652904638,42646.39627287356,42910.19456153657,42504.78008004783,41889.88917071583,41753.9115426123,40400.82057255208,39477.80627728937,39040.65851891755,39070.161224107236,38267.72445275658,37205.75884511078,37736.81840873641,37617.66461771091,36420.56852096482,35237.68161718256
Non-Durable Goods per mil,34138.332661925844,33476.862476493196,33646.931475328194,33452.39959111652,32797.14494366323,32288.1848029812,31463.14941331284,29199.968672292598,27858.210285574303,27004.302098066768,25166.05833911496,25425.011945757364,26323.45599704331,25371.207562502248,24402.759430500515,23624.249842072015
Service Providing per mil,697651.818216117,704274.9178251984,723932.2223721109,729948.2971550438,741688.4050722434,759215.7639084529,773187.8989748397,775063.7323047402,785170.958791467,788053.1185950715,744944.8483203122,768307.1106708166,807951.9968107262,806628.8604854589,807591.7608493565,817229.3509159824
Private Service Providing per mil,580093.031520452,589413.6186528574,610466.3176114484,618874.9336813638,630198.1985304952,645306.4494217493,658802.2512981622,660304.8577526286,669973.642235772,674404.0269620867,630272.5910731702,656251.6063518426,694442.6467387505,691464.8075330677,691914.0858163316,698763.6212886925
"Trade, Transportation, and Utilities per mil",150845.18235711494,153106.55484962347,157026.55327466477,158289.81440453875,161024.30338040643,164496.1811289784,165433.20272037812,165214.49689659898,165647.84045380447,164335.0725562704,157791.51961227917,162801.9216418321,165981.8237683332,162787.53725329155,159304.85835901953,159036.24447252054
Wholesale Trade per mil,40952.20592858901,41442.87211037403,42753.89813874802,43643.254198299626,44151.6990235308,44717.79947751256,44227.567254696056,43599.35778199832,43786.57739535983,42973.92404945631,40431.15843664847,40522.5691308829,40710.63295015983,39595.80302330761,38229.26757669162,37671.54927353127
Retail Trade per mil,78337.63561518573,79827.06627325139,81734.67429007393,81734.98619625319,82922.60392588288,84170.85074724359,83709.19105526725,82781.90041705011,82107.14663256839,80091.52609066784,75548.24892160116,79228.4230820234,80752.38662854779,80086.51586130717,78291.50154117128,78123.61813013266
Food and Beverage Retailers per mil,17819.682259953566,17988.47135571868,18389.180945611697,18430.58622551097,18673.011414492143,18983.549941070887,18675.523539490747,18450.649070937678,18252.468919331666,18068.96679932889,18858.1541029431,18712.78639065717,18718.264824815957,19164.798314942578,19198.59092910612,19473.112760581174
General Merchandise Retailers per mil,13128.957703762031,13570.47126553054,13877.166091134468,13708.638882659186,13918.660242001428,14376.619749127483,14275.320260929693,14051.847355745698,14293.14811253521,14302.500855926966,13815.57117432355,14310.907311523551,14420.431742752098,14236.068663557824,13800.4794755125,13646.75457991156
"Clothing, Clothing Accessories, Shoe, and Jewelry per mil",11835.839042325448,12353.540757929752,12666.327311200239,12605.427237096605,12635.705083088385,12479.707426270483,12169.340086540175,12052.94382550467,11863.334387851946,11338.127557130221,8608.689531738612,10155.64386782122,10683.350083525278,10545.060212554929,10382.112627819364,10468.453885028426
"Transportation, Warehousing, and Utilities per mil",31555.543655483165,31836.616465998057,32537.98084584282,32911.574009985925,33949.79996924917,35607.53090422226,37496.44441041481,38833.238697550565,39754.11642587625,41269.81606478089,41812.11225402954,43051.1294416066,44519.00332010244,43105.21836867674,42784.28494544743,43241.27447883765
Information per mil,39008.16683036028,39159.32466145932,39179.45804470119,39734.15722589522,39866.829254504824,41553.54053565582,45414.3506571047,41953.08675816968,41923.941252261,41742.5123818937,38430.21326656813,41771.048284461234,46767.38553432581,38191.32475533395,37139.781789715744,37096.09917877448
Financial Activities per mil,42865.61586322922,42722.56868822163,43321.21136044727,42974.87921595605,42365.98581171872,43235.05402603461,43657.2844063048,43460.7326767568,43640.29706998558,43427.2555031069,42877.9423446251,42632.70291336471,42954.03690246171,41722.301809324075,40851.70507363374,40060.210044219835
Finance and Insurance per mil,28308.24378866932,28158.402873670384,28598.373620587277,27906.116386712856,26982.15068588988,27198.76122628659,27444.58933485779,26976.093043290974,26705.91140249285,26315.300256080955,26603.923461333492,25805.036039284892,25201.554890415515,24248.61401732612,23478.056656392193,23110.983891345546
Real Estate and Rental and Leasing per mil,14557.372074559904,14564.165814551247,14722.83773985999,15068.76282924319,15383.835125828833,16036.292799748015,16212.496712195403,16484.639633465824,16934.385667492726,17112.148895660568,16274.018883291605,16827.666874079816,17752.4820120462,17473.4899781574,17373.648417241548,16949.028742893242
Professional and Business Services per mil,105459.25286747796,108818.28755472734,114688.76634234989,118179.6584698545,118852.16407472974,119274.24819796336,119977.59333893764,120304.85775262858,123577.61887616922,125556.93347317346,120862.71907333113,126176.39958373361,132795.13675584196,129929.07582560573,128734.28249914378,127915.94283006949
"Professional, Scientific, and Technical Services per mil",48343.976460574995,50321.122590463376,53121.01744691933,54358.0083997225,54069.543787159346,54038.45760810717,54677.72770749469,55322.77328529752,56859.16247297227,58381.771311806835,58218.45494856867,60132.21238226504,63618.802138581676,62606.49802641131,61537.64861294584,61033.44125078964
Management of Companies and Enterprises per mil,11758.150501567767,12258.680710016286,12634.130655658399,12749.902625200417,12752.7747413392,12686.891047463483,12432.166094929184,12534.411528596323,12814.156502784592,12959.934872091204,12696.047379164027,12557.396138915208,12410.80697028356,12411.235984394862,12520.182004990458,12648.25489576753
Administrative and Support and Waste and Remediatio per mil,45357.1259053352,46238.28112780675,48933.414463471265,51071.74744493161,52029.84554623119,52548.8995423927,52867.69953651378,52447.868736906,53904.29990041235,54215.227289275426,49948.21674559842,53486.79106255336,56765.52764697671,54911.53962864012,54676.4518812075,54234.24668351232
Private Education and Health Services per mil,136265.90333111424,137804.4306751801,142927.06723925093,141894.57810264928,144865.2826921531,148952.40026432942,152731.66476175663,156155.50290760284,159546.39056222746,162685.76713519308,165242.2752455934,168890.70767086634,173454.1949124951,182051.44030235452,189717.30515191547,199110.47062539484
Private Educational Services per mil,22547.52692830869,23110.710816604857,23210.120672249865,23654.469679613234,23774.762788607277,23964.37243199508,24188.32386035667,24610.263740136666,25617.00066040691,25798.83934754353,24738.72080279127,25069.989437330325,26099.4342105761,27507.597040546694,28832.13464455208,30012.042008843968
Health Care and Social Assistance per mil,113718.37640280554,114693.71985857525,119716.94656700104,118240.10842303601,121090.51990354584,124988.02783233435,128543.34090139999,131545.43496563743,133929.38990182054,136886.92778764956,140503.55444280212,143820.718233536,147354.95983239586,154543.64544796725,160885.17050736336,169098.62602653189
Leisure and Hospitality per mil,77903.14774494304,79970.87979342854,84448.36328912881,88441.70700189791,93044.31828273245,97523.97539283737,101166.5904305943,102731.9718833826,104655.3811070573,105979.05651286834,79171.46792957478,86837.10547248695,102031.07112482633,105645.84438618168,105165.02764323108,104802.19519898926
