TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,61717.0,61792.0,62367.0,62133.0,61783.0,59817.0,63617.0,63400.0,63867.0,64383.0,63300.0,64108.0,65558.0,68358.0,69642.0,71357.0
Civilian Employment,51350.0,51800.0,53308.0,54233.0,54775.0,53517.0,57950.0,58442.0,59542.0,60058.0,56442.0,58633.0,61592.0,63508.0,64392.0,65557.0
Civilian Unemployment,10367.0,9992.0,9042.0,7875.0,6992.0,6308.0,5667.0,4950.0,4350.0,4325.0,6867.0,5500.0,3975.0,4842.0,5267.0,5786.0
"Total, All Industries",43892.0,44350.0,46025.0,47117.0,47450.0,46233.0,48817.0,49667.0,50850.0,52217.0,50383.0,52308.0,54683.0,55225.0,58517.0,
Total Farm,10233.0,10833.0,11583.0,12067.0,11883.0,11383.0,12117.0,11967.0,12058.0,12300.0,11533.0,11958.0,12358.0,12442.0,13742.0,
Total Nonfarm,33658.0,33517.0,34442.0,35050.0,35567.0,34850.0,36700.0,37700.0,38792.0,39917.0,38850.0,40350.0,42325.0,42783.0,44775.0,
Goods Producing,4158.0,4325.0,4758.0,4883.0,5125.0,5100.0,5283.0,5308.0,5517.0,5592.0,5317.0,5450.0,5558.0,5575.0,5758.0,
"Mining, Logging and Construction",1133.0,1058.0,1125.0,1242.0,1317.0,1542.0,1783.0,1817.0,1917.0,1942.0,1983.0,2175.0,2217.0,2250.0,2417.0,
Manufacturing,3025.0,3267.0,3633.0,3642.0,3808.0,3558.0,3500.0,3492.0,3600.0,3650.0,3333.0,3275.0,3342.0,3325.0,3342.0,
Service Providing,29500.0,29192.0,29683.0,30167.0,30442.0,29750.0,31417.0,32392.0,33275.0,34325.0,33533.0,34900.0,36767.0,37208.0,39017.0,
"Trade, Transportation, and Utilities",4767.0,4608.0,4850.0,5150.0,5292.0,5417.0,5542.0,5542.0,5725.0,5767.0,5858.0,6125.0,6325.0,6617.0,6900.0,
Retail Trade,3350.0,3292.0,3400.0,3533.0,3617.0,3708.0,3758.0,3800.0,3892.0,3942.0,4033.0,4242.0,4242.0,4192.0,4158.0,
"Transportation, Warehousing, and Utilities",692.0,550.0,667.0,767.0,783.0,750.0,800.0,817.0,858.0,867.0,942.0,992.0,1125.0,1233.0,1342.0,
Information,400.0,400.0,367.0,400.0,400.0,383.0,317.0,300.0,308.0,300.0,283.0,300.0,300.0,300.0,300.0,
Financial Activities,708.0,700.0,758.0,808.0,800.0,775.0,775.0,733.0,708.0,783.0,733.0,742.0,800.0,758.0,800.0,
Professional and Business Services,2625.0,2617.0,2817.0,2767.0,2517.0,2217.0,2417.0,2483.0,2433.0,2700.0,2775.0,2900.0,3242.0,2992.0,3150.0,
Private Education and Health Services,6992.0,7117.0,7258.0,7550.0,7625.0,7692.0,7792.0,8267.0,8633.0,8800.0,8825.0,9100.0,9283.0,8983.0,9458.0,
Health Care and Social Assistance,6775.0,6767.0,6892.0,7375.0,7492.0,7608.0,7700.0,8192.0,8567.0,8717.0,8783.0,9025.0,9200.0,8892.0,9358.0,
Leisure and Hospitality,2533.0,2542.0,2725.0,2875.0,3017.0,3067.0,3258.0,3433.0,3542.0,3733.0,3317.0,3717.0,4125.0,4192.0,4308.0,
Other Services,842.0,825.0,808.0,900.0,1008.0,1042.0,967.0,900.0,942.0,1067.0,950.0,1075.0,1108.0,1183.0,1200.0,
Government,10633.0,10383.0,10100.0,9717.0,9783.0,9158.0,10350.0,10733.0,10983.0,11175.0,10792.0,10942.0,11583.0,12183.0,12900.0,
Federal Government,358.0,333.0,300.0,275.0,275.0,275.0,267.0,258.0,275.0,267.0,333.0,283.0,267.0,275.0,300.0,
State Government,2542.0,2417.0,2292.0,2225.0,2292.0,2342.0,2400.0,2500.0,2500.0,2542.0,2592.0,2500.0,2525.0,2617.0,2758.0,
Local Government,7733.0,7633.0,7508.0,7217.0,7217.0,6542.0,7683.0,7975.0,8208.0,8367.0,7867.0,8158.0,8792.0,9292.0,9842.0,
