TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,133100.0,134058.0,136517.0,137942.0,138617.0,138742.0,131933.0,131933.0,131967.0,131175.0,123475.0,121925.0,123650.0,125100.0,125375.0,126529.0
  Civilian Employment,122550.0,124292.0,127900.0,130742.0,132608.0,133808.0,127292.0,127825.0,128525.0,127892.0,114600.0,116017.0,120108.0,120750.0,120442.0,121400.0
  Civilian Unemployment,10558.0,9742.0,8608.0,7208.0,5992.0,4942.0,4650.0,4083.0,3442.0,3275.0,8875.0,5900.0,3542.0,4342.0,4933.0,5129.0
"Total, All Industries",100275.0,101992.0,105042.0,108900.0,110542.0,111950.0,114300.0,115525.0,116400.0,116617.0,104950.0,106608.0,110500.0,112025.0,112667.0,112529.0
  Total Farm,450.0,417.0,400.0,383.0,383.0,325.0,325.0,325.0,333.0,383.0,383.0,375.0,383.0,358.0,400.0,400.0
  Total Nonfarm,99825.0,101575.0,104642.0,108517.0,110158.0,111625.0,113975.0,115200.0,116067.0,116233.0,104567.0,106233.0,110117.0,111667.0,112267.0,112129.0
    Total Private,84817.0,85592.0,89167.0,93142.0,94725.0,96175.0,98467.0,99475.0,100058.0,100417.0,89808.0,91717.0,95308.0,96417.0,96392.0,95929.0
    Goods Producing,6958.0,7125.0,7733.0,8600.0,9475.0,10292.0,11017.0,11658.0,12450.0,12575.0,11892.0,11992.0,11975.0,11875.0,11617.0,11157.0
"      Mining, Logging and Construction",4842.0,4950.0,5308.0,5692.0,6075.0,6458.0,6800.0,7192.0,7717.0,7725.0,7292.0,7600.0,7758.0,7617.0,7467.0,7157.0
      Mining and Logging,142.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
      Construction,4700.0,4850.0,5208.0,5692.0,6075.0,6458.0,6800.0,7192.0,7717.0,7725.0,7292.0,7600.0,7758.0,7617.0,7467.0,7157.0
