TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,8720.0,8628.0,8352.0,8210.0,8086.0,8015.0,7068.0,7139.0,7118.0,7104.0,6733.0,6568.0,6772.0,7090.0,7342.0,7286.0
  Civilian Employment,7581.0,7492.0,7328.0,7336.0,7366.0,7441.0,6543.0,6687.0,6711.0,6752.0,5936.0,6010.0,6442.0,6708.0,6938.0,6850.0
  Civilian Unemployment,1142.0,1138.0,1026.0,872.0,720.0,573.0,525.0,451.0,409.0,352.0,799.0,559.0,331.0,382.0,405.0,437.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,5423.0,5373.0,5245.0,5317.0,5372.0,5478.0,5219.0,5393.0,5461.0,5585.0,4929.0,5014.0,5434.0,5680.0,5914.0,5769.0
  Total Farm,17.0,18.0,15.0,17.0,20.0,20.0,21.0,22.0,26.0,22.0,23.0,24.0,29.0,26.0,30.0,33.0
  Total Nonfarm,5407.0,5356.0,5230.0,5300.0,5352.0,5458.0,5198.0,5372.0,5435.0,5562.0,4906.0,4990.0,5405.0,5654.0,5884.0,5736.0
    Total Private,3222.0,3214.0,3177.0,3342.0,3410.0,3502.0,3225.0,3349.0,3404.0,3501.0,2966.0,3054.0,3437.0,3578.0,3745.0,3680.0
    Goods Producing,245.0,250.0,250.0,253.0,270.0,275.0,267.0,279.0,278.0,301.0,290.0,322.0,322.0,350.0,348.0,349.0
"      Mining, Logging and Construction",120.0,126.0,132.0,150.0,166.0,176.0,169.0,190.0,200.0,218.0,210.0,233.0,227.0,247.0,255.0,253.0
      Mining and Logging,12.0,14.0,14.0,17.0,22.0,18.0,18.0,18.0,19.0,21.0,18.0,18.0,18.0,26.0,31.0,21.0
      Construction,108.0,112.0,118.0,133.0,144.0,158.0,151.0,172.0,181.0,198.0,192.0,216.0,209.0,221.0,224.0,231.0
      Manufacturing,125.0,124.0,118.0,103.0,104.0,99.0,97.0,91.0,79.0,86.0,79.0,88.0,96.0,104.0,95.0,94.0
Service-Providing,5162.0,5106.0,4980.0,5047.0,5082.0,5182.0,4933.0,5093.0,5157.0,5260.0,4615.0,4669.0,5084.0,5305.0,5538.0,5389.0
    Private Service Providing,2978.0,2964.0,2927.0,3088.0,3140.0,3228.0,2959.0,3070.0,3123.0,3201.0,2674.0,2731.0,3116.0,3229.0,3398.0,3333.0
"      Trade, Transportation, and Utilities",331.0,333.0,329.0,351.0,395.0,390.0,408.0,445.0,469.0,441.0,389.0,383.0,383.0,408.0,399.0,387.0
        Wholesale Trade,10.0,10.0,16.0,22.0,20.0,11.0,10.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
        Retail Trade,273.0,279.0,271.0,288.0,332.0,338.0,369.0,393.0,412.0,391.0,348.0,348.0,338.0,335.0,322.0,304.0
"        Transportation, Warehousing, and Utilities",48.0,44.0,42.0,42.0,43.0,41.0,34.0,45.0,51.0,42.0,39.0,38.0,44.0,68.0,76.0,80.0
      Professional and Business Services,166.0,168.0,160.0,135.0,122.0,130.0,130.0,144.0,158.0,202.0,209.0,183.0,173.0,163.0,172.0,166.0
      Private Education and Health Services,242.0,242.0,281.0,367.0,378.0,390.0,421.0,448.0,465.0,468.0,485.0,498.0,483.0,497.0,516.0,507.0
      Leisure and Hospitality,2128.0,2084.0,1987.0,2011.0,2031.0,2096.0,1767.0,1802.0,1798.0,1837.0,1375.0,1446.0,1784.0,1862.0,2002.0,2083.0
      Private Service Providing - Residual,110.0,138.0,170.0,225.0,214.0,222.0,236.0,232.0,238.0,258.0,217.0,226.0,292.0,305.0,311.0,190.0
      Government,2184.0,2142.0,2053.0,1958.0,1942.0,1955.0,1975.0,2025.0,2032.0,2060.0,1941.0,1938.0,1966.0,2075.0,2138.0,2056.0
        Federal Government,848.0,826.0,798.0,729.0,705.0,692.0,706.0,688.0,658.0,640.0,620.0,619.0,620.0,643.0,644.0,556.0
        Total State and Local Government,1336.0,1316.0,1255.0,1229.0,1238.0,1263.0,1269.0,1336.0,1376.0,1420.0,1322.0,1318.0,1348.0,1435.0,1496.0,1501.0
          State Government,178.0,167.0,162.0,164.0,187.0,210.0,198.0,208.0,218.0,236.0,239.0,264.0,246.0,233.0,233.0,233.0
          Local Government,1158.0,1149.0,1092.0,1065.0,1051.0,1053.0,1072.0,1127.0,1158.0,1186.0,1086.0,1057.0,1102.0,1202.0,1264.0,1269.0
