TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,869380.7339449541,868335.6513676402,877394.6360153257,893544.4579780755,910957.2099925798,928384.2794759825,925721.5619694397,936685.8103375823,942821.017139646,950450.4504504504,881627.8033566019,915042.6309378806,951269.9350265801,946121.2976022568,944974.1214927812,940159.209442767
Civilian Unemployment per mil,130963.30275229356,131896.15206305054,122844.8275862069,106211.93666260657,89042.79000742023,71490.95446038678,74278.43803056027,63174.11402157165,57459.96066310762,49549.54954954955,118669.2410515372,85109.62241169305,48877.73183697578,53878.7023977433,55162.08117679106,59978.04007685973
Total Farm per mil,1949.5412844036698,2086.230876216968,1795.9770114942528,2070.645554202192,2473.4108335394512,2495.321272613849,2971.1375212224107,3081.664098613251,3652.711435796572,3096.846846846847,3416.010693598693,3654.0803897685746,4282.3390431187245,3667.1368124118476,4086.080087169709,4529.234147680483
Total Nonfarm per mil,620068.8073394495,620769.5873898934,626197.3180076629,645554.2021924482,661884.739055157,680973.1752963194,735427.2778720997,752486.3426250175,763557.1789828604,782939.1891891891,728649.9331650082,759744.2143727163,798139.3975191967,797461.2129760226,801416.5077635521,787263.2445786439
Total Private per mil,369495.4128440367,372508.1131200742,380387.9310344828,407064.55542021926,421716.5471184764,436930.75483468495,456281.8336162988,469113.3211934444,478224.2202865973,492820.9459459459,440516.85727016185,464981.72959805117,507531.0100413467,504654.442877292,510078.99754835194,505078.2322261872
Goods Producing per mil,28096.33027522936,28975.42883634678,29932.95019157088,30816.077953714983,33391.04625278259,34310.66749844042,37775.89134125637,39081.103796049865,39055.914582747966,42370.495495495496,43071.43918015743,49025.57856272838,47548.73006497342,49365.30324400564,47398.52901116862,47900.082349711774
"Mining, Logging and Construction per mil",13761.467889908257,14603.616133518775,15804.597701149427,18270.401948842875,20529.309918377443,21958.82719900187,23910.582908885117,26614.371760750804,28097.780275358247,30686.936936936934,31189.66285459676,35475.03045066992,33520.3780271707,34837.79971791255,34731.680740942524,34724.12846555037
Mining and Logging per mil,1376.1467889908258,1622.6240148354195,1676.2452107279694,2070.645554202192,2720.751916893396,2245.7891453524644,2546.6893039049237,2521.3615352290235,2669.2891261590335,2956.0810810810813,2673.399673251151,2740.5602923264314,2658.0035440047254,3667.1368124118476,4222.282756742032,2882.2399121603075
Construction per mil,12385.321100917432,12980.992118683356,14128.352490421456,16199.75639464068,17808.55800148405,19713.038053649405,21363.893604980192,24093.010225521783,25428.491149199213,27871.62162162162,28516.263181345614,32886.72350791717,30862.37448316598,31170.662905500703,30509.39798420049,31704.639033763382
Manufacturing per mil,14334.862385321101,14371.812702828001,14128.352490421456,12545.676004872106,12861.736334405145,12351.840299438552,13723.82569326542,12746.883316991176,11098.623208766508,12105.855855855856,11733.254121491163,13398.294762484775,14176.018901358535,14668.54724964739,12939.253609370744,12901.454844908043
Service-Providing per mil,591972.4770642202,591794.1585535465,596264.367816092,614738.1242387332,628493.6928023745,646537.7417342482,697934.3520090549,713405.2388289677,724501.2644001124,740427.9279279279,685429.9717807813,710870.8891595615,750738.3343177792,748236.9534555712,754290.3840915281,739637.6612681855
