TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,883163.9883740481,886129.0243483805,899233.5382128952,915537.2225495974,929134.4437834622,941577.9963862678,944043.8871473355,951879.3454963667,957633.1174789608,957498.4658893839,905564.0349660052,933355.7724671828,955867.6028084253,951086.6574965612,944703.2388885844,941200.2044274686
Civilian Unemployment per mil,116860.03218755254,113821.93561042592,100717.48659304062,84389.11805146336,70939.91671624033,58346.71752660108,55956.11285266458,48094.516179622566,42419.31678158509,42608.25484912356,94463.71583183017,66700.32536744082,44188.11991530146,48858.32187070151,55378.96640543651,58799.79557253141
Total Farm per mil,38384.8574379669,36902.63099821004,37466.02345911796,36854.25260263209,37849.49434860202,35133.507327845815,35632.183908045976,36018.610486695594,37883.75324436987,39006.42992449508,40210.90606354933,46617.30057219791,49621.0854786582,46602.47592847318,44034.635830547486,44947.144740027434
Total Nonfarm per mil,693137.3255506714,697937.8662678077,710458.6526924112,735194.4608131998,749380.3291691453,768319.6145352339,811677.1159874608,825213.0273406869,834884.5135411478,844107.6812251541,804107.1180796447,827639.4031190396,853867.1570266355,853810.1788170564,852249.6848797062,839309.250342954
Total Private per mil,517883.30811174365,525071.7210602456,540710.6300658716,563199.7642899234,575178.4651992861,589163.8225255973,622622.7795193312,636023.8381514978,647064.9922659466,652677.3565273072,621284.8619397808,648939.7509256143,665412.9053828152,660797.7991746905,654710.3633473996,637733.006966673
Goods Producing per mil,81165.47764886743,83588.7502145502,87861.49815118642,90380.08249852681,94189.9662899068,96767.71732583818,102115.98746081504,106801.19190757487,109010.82767480271,109949.04084736266,108450.11794089079,113093.2346011444,118048.59021508972,115955.98349381017,111305.96810434593,106087.09686096243
"Mining, Logging and Construction per mil",28584.46830486897,28835.544221857144,30854.372260450084,31059.713219406796,32594.68570295459,33677.976309977916,35684.43051201672,40357.57227246589,44254.51590068951,45036.15165016942,44484.52893020674,45719.73521822058,46584.1970355511,46822.55845942228,49076.560530498165,47798.36995992145
Mining and Logging per mil,6029.160961783286,6105.485128607508,7395.254303695178,7660.577489687685,8130.081300813009,7628.990162617948,7889.237199582027,8573.370275497935,8179.744645151141,7843.97428030202,7686.971000416262,7853.696847301694,7856.904045469742,7482.8060522696005,8165.725872746206,7504.639965570111
Construction per mil,22555.307343085682,22730.059093249638,23459.117956754904,23399.135729719113,24464.60440214158,26048.986147359967,27795.19331243469,31810.34032097862,36100.98838581129,37165.49718524052,36825.30872762592,37866.03837091888,38755.15435194472,39339.752407152686,40883.432893078316,40320.62834548242
Manufacturing per mil,52581.00934399846,54753.20599269303,57007.125890736344,59320.369279120016,61595.28058695221,63089.741015860265,66562.17345872518,66443.619635109,64782.52890438613,64886.20901256637,64021.09060635493,67373.49938292382,71547.97726512872,69078.40440165062,62256.8093385214,58342.52360330312
