TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,3821.0,3606.0,3603.0,3493.0,3366.0,3305.0,3127.0,3025.0,2986.0,3008.0,3012.0,3018.0,3012.0,3065.0,3122.0,3189.0
  Civilian Employment,3237.0,3029.0,3082.0,3062.0,3014.0,3022.0,2867.0,2764.0,2746.0,2779.0,2735.0,2789.0,2836.0,2862.0,2904.0,2956.0
  Civilian Unemployment,586.0,577.0,521.0,433.0,350.0,284.0,259.0,261.0,239.0,228.0,280.0,230.0,175.0,204.0,218.0,236.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",2775.0,2601.0,2657.0,2680.0,2652.0,2676.0,2730.0,2646.0,2645.0,2716.0,2719.0,2786.0,2837.0,2863.0,2915.0,2929.0
  Total Farm,320.0,330.0,360.0,387.0,373.0,386.0,386.0,362.0,361.0,382.0,362.0,347.0,345.0,335.0,318.0,276.0
  Total Nonfarm,2455.0,2271.0,2297.0,2293.0,2278.0,2290.0,2344.0,2284.0,2284.0,2334.0,2357.0,2439.0,2492.0,2528.0,2598.0,2653.0
    Total Private,1115.0,1006.0,1055.0,1098.0,1058.0,1062.0,1102.0,1055.0,1076.0,1132.0,1139.0,1216.0,1289.0,1332.0,1386.0,1430.0
    Goods Producing,123.0,85.0,62.0,90.0,91.0,94.0,95.0,83.0,99.0,102.0,102.0,113.0,106.0,115.0,98.0,94.0
"      Mining, Logging and Construction",112.0,72.0,62.0,72.0,76.0,81.0,83.0,63.0,73.0,88.0,91.0,102.0,94.0,108.0,92.0,84.0
Service-Providing,2332.0,2186.0,2234.0,2203.0,2188.0,2196.0,2250.0,2200.0,2185.0,2233.0,2256.0,2327.0,2388.0,2413.0,2499.0,2559.0
    Private Service Providing,992.0,921.0,992.0,1008.0,968.0,968.0,1010.0,972.0,978.0,1028.0,1039.0,1104.0,1184.0,1217.0,1288.0,1337.0
"      Trade, Transportation, and Utilities",405.0,382.0,416.0,397.0,375.0,372.0,348.0,323.0,302.0,312.0,324.0,342.0,342.0,338.0,329.0,326.0
      Private Education and Health Services,208.0,191.0,197.0,251.0,244.0,252.0,315.0,308.0,292.0,315.0,283.0,287.0,323.0,338.0,355.0,343.0
      Leisure and Hospitality,152.0,147.0,167.0,160.0,145.0,141.0,155.0,157.0,154.0,169.0,190.0,208.0,222.0,216.0,204.0,201.0
      Private Service Providing - Residual,227.0,202.0,213.0,200.0,203.0,203.0,193.0,185.0,230.0,235.0,242.0,266.0,297.0,328.0,401.0,471.0
      Government,1340.0,1265.0,1242.0,1196.0,1220.0,1228.0,1243.0,1229.0,1208.0,1204.0,1218.0,1225.0,1202.0,1196.0,1212.0,1221.0
        Federal Government,289.0,260.0,254.0,241.0,235.0,237.0,239.0,221.0,211.0,205.0,210.0,192.0,170.0,172.0,174.0,153.0
        Total State and Local Government,1051.0,1005.0,988.0,955.0,985.0,991.0,1002.0,1007.0,998.0,999.0,1009.0,1032.0,1032.0,1022.0,1039.0,1070.0
          State Government,82.0,86.0,78.0,76.0,70.0,75.0,72.0,74.0,79.0,79.0,79.0,70.0,63.0,69.0,68.0,66.0
          Local Government,969.0,919.0,910.0,879.0,915.0,916.0,929.0,934.0,920.0,921.0,931.0,962.0,970.0,957.0,970.0,1006.0
