TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,8896.0,8798.0,8378.0,8346.0,8232.0,8242.0,7922.0,8038.0,7942.0,7988.0,7395.0,7803.0,8099.0,8452.0,8210.0,8640.0
  Civilian Employment,7984.0,7912.0,7508.0,7628.0,7644.0,7737.0,7477.0,7664.0,7609.0,7677.0,6457.0,7247.0,7785.0,8125.0,7862.0,8293.0
  Civilian Unemployment,914.0,885.0,872.0,718.0,587.0,506.0,445.0,376.0,333.0,310.0,937.0,556.0,316.0,329.0,347.0,346.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,6977.0,6912.0,6476.0,6697.0,6765.0,6920.0,7218.0,7502.0,7500.0,7702.0,6452.0,7391.0,8071.0,8462.0,8180.0,8591.0
  Total Farm,28.0,30.0,39.0,43.0,44.0,41.0,43.0,45.0,31.0,34.0,49.0,48.0,51.0,48.0,46.0,49.0
  Total Nonfarm,6949.0,6882.0,6437.0,6653.0,6721.0,6879.0,7174.0,7458.0,7469.0,7668.0,6402.0,7342.0,8020.0,8414.0,8134.0,8543.0
    Total Private,5291.0,5289.0,4872.0,5072.0,5102.0,5220.0,5474.0,5755.0,5754.0,5937.0,4699.0,5623.0,6282.0,6594.0,6197.0,6584.0
    Goods Producing,362.0,374.0,335.0,348.0,345.0,356.0,381.0,441.0,459.0,501.0,509.0,535.0,561.0,607.0,654.0,623.0
"      Mining, Logging and Construction",319.0,315.0,278.0,292.0,292.0,298.0,326.0,377.0,354.0,378.0,411.0,427.0,432.0,467.0,505.0,481.0
      Manufacturing,46.0,59.0,60.0,58.0,54.0,56.0,57.0,66.0,107.0,125.0,103.0,115.0,131.0,144.0,149.0,144.0
Service-Providing,6587.0,6511.0,6101.0,6308.0,6377.0,6522.0,6794.0,7018.0,7012.0,7169.0,5894.0,6807.0,7460.0,7808.0,7481.0,7920.0
"      Trade, Transportation, and Utilities",728.0,692.0,688.0,722.0,698.0,675.0,642.0,628.0,623.0,623.0,563.0,618.0,615.0,588.0,611.0,601.0
        Wholesale Trade,10.0,11.0,12.0,15.0,11.0,19.0,16.0,12.0,13.0,9.0,7.0,8.0,4.0,5.0,0.0,0.0
        Retail Trade,637.0,592.0,586.0,612.0,582.0,572.0,579.0,574.0,576.0,588.0,532.0,583.0,562.0,533.0,554.0,551.0
"        Transportation, Warehousing, and Utilities",84.0,89.0,89.0,95.0,106.0,90.0,47.0,40.0,35.0,30.0,29.0,31.0,48.0,50.0,56.0,50.0
      Financial Activities,327.0,322.0,318.0,340.0,338.0,317.0,329.0,364.0,392.0,422.0,381.0,357.0,386.0,402.0,399.0,387.0
      Professional and Business Services,333.0,391.0,356.0,392.0,404.0,335.0,309.0,338.0,307.0,299.0,277.0,348.0,357.0,363.0,369.0,421.0
      Private Education and Health Services,62.0,67.0,68.0,102.0,95.0,95.0,93.0,105.0,107.0,112.0,111.0,116.0,128.0,137.0,138.0,124.0
      Leisure and Hospitality,3179.0,3196.0,2879.0,2958.0,2976.0,3197.0,3443.0,3602.0,3621.0,3703.0,2602.0,3391.0,3988.0,4258.0,3790.0,4189.0
      Private Service Providing - Residual,305.0,252.0,227.0,211.0,244.0,249.0,277.0,281.0,249.0,282.0,258.0,263.0,252.0,248.0,239.0,240.0
      Government,1658.0,1592.0,1565.0,1580.0,1618.0,1659.0,1702.0,1705.0,1716.0,1732.0,1703.0,1721.0,1737.0,1819.0,1936.0,1957.0
        Federal Government,234.0,218.0,221.0,232.0,225.0,223.0,217.0,216.0,211.0,213.0,218.0,207.0,195.0,196.0,200.0,186.0
        Total State and Local Government,1427.0,1378.0,1343.0,1348.0,1397.0,1437.0,1487.0,1490.0,1508.0,1518.0,1485.0,1515.0,1542.0,1620.0,1736.0,1776.0
          State Government,119.0,118.0,121.0,119.0,113.0,114.0,123.0,125.0,138.0,138.0,132.0,118.0,117.0,120.0,122.0,120.0
          Local Government,1309.0,1260.0,1222.0,1229.0,1281.0,1324.0,1363.0,1365.0,1369.0,1381.0,1354.0,1393.0,1425.0,1503.0,1616.0,1657.0
               Special Districts plus Tribes,,,,,,,,,,,,,,,,760.0
