TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,897482.0143884892,899295.2943850874,896156.6006206732,913970.7644380542,928571.4285714286,938728.463965057,943827.316334259,953471.0126897237,958071.0148577185,961066.5998998497,873157.53887762,928745.3543508906,961229.7814545005,961310.9323237103,957612.6674786846,959837.9629629629
Civilian Unemployment per mil,102742.80575539569,100591.04341895886,104082.11983767009,86029.23556194584,71307.09426627794,61392.86580926959,56172.68366574098,46777.80542423488,41928.98514228154,38808.212318477716,126707.23461798513,71254.64564910931,39017.16261266823,38925.69805963086,42265.52984165652,40046.29629629629
Total Farm per mil,3147.482014388489,3409.865878608775,4655.04893769396,5152.168703570573,5344.995140913508,4974.52074739141,5427.922241858117,5598.407564070664,3903.2989171493327,4256.384576865298,6626.098715348208,6151.480199923107,6297.073712804049,5679.129200189304,5602.923264311815,5671.2962962962965
Total Nonfarm per mil,781137.5899280576,782223.232552853,768321.7951778467,797148.3345315121,816448.0077745384,834627.5175928173,905579.3991416309,927842.7469519781,940443.2132963989,959939.9098647971,865720.0811359026,940920.1589132386,990245.7093468329,995504.0227165169,990742.9963459196,988773.1481481481
Total Private per mil,594761.6906474819,601159.3543987271,581523.0365242301,607716.2712676731,619776.48202138,633341.4219849551,690987.1244635193,715974.1229161483,724502.6441702342,743239.8597896845,635429.3441514537,720620.2742534922,775651.3149771576,780170.3738760056,754811.2058465286,762037.0370370371
Goods Producing per mil,40692.446043165466,42509.66128665605,39985.676772499406,41696.62113587347,41909.62099125364,43193.399660276635,48093.91567785912,54864.39412789251,57794.00654746915,62719.07861792689,68830.29073698445,68563.37306164295,69267.81084084454,71817.32134406058,79658.95249695492,72106.48148148147
"Mining, Logging and Construction per mil",35858.81294964028,35803.591725392136,33182.14370971592,34986.820033549004,35471.33138969873,36156.27274933269,41151.22443827316,46902.214481214236,44573.15537647947,47320.98147220831,55578.09330628803,54722.54261181597,53339.918508457835,55253.19451017511,61510.35322777101,55671.29629629629
Manufacturing per mil,5170.863309352518,6706.069561263924,7161.6137502984,6949.436855978912,6559.766763848396,6794.467362290707,7195.15273920727,8210.997760636974,13472.676907579955,15648.472709063597,13928.329952670723,14737.921312315777,16174.836399555501,17037.387600567912,18148.599269183924,16666.666666666668
Service-Providing per mil,740445.1438848921,740054.5578540578,728216.7581761758,755811.1670261202,774659.8639455783,791312.7881582141,857611.7142135825,873102.761881065,882901.03248552,897471.2068102153,797025.0169033131,872356.7858515956,921101.3705395728,923805.0165641268,911205.8465286236,916666.6666666666
"Trade, Transportation, and Utilities per mil",81834.53237410073,78654.23959990907,82119.83767008834,86508.50706925475,84791.0592808552,81897.59767046834,81040.14137843979,78128.8877830306,78443.71694787208,77991.98798197295,76132.52197430696,79200.30757400999,75935.30065440178,69569.33270231898,74421.43727161997,69560.18518518518
Wholesale Trade per mil,1124.1007194244603,1250.2841554898841,1432.3227500596802,1797.2681524083393,1336.248785228377,2305.2657122057753,2019.691996970462,1492.908683752177,1636.8672878368168,1126.6900350525789,946.5855307640297,1025.2466999871845,493.8881343375726,591.5759583530526,0.0,0.0
Retail Trade per mil,71605.21582733814,67288.02000454649,69945.09429458104,73328.54061826025,70699.70845481049,69400.6309148265,73087.6041403686,71410.79870614581,72525.8121380005,73610.41562343515,71940.50033806625,74714.85326156605,69391.28287442894,63061.99716043539,67478.68453105968,63773.148148148146
