TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,871336.2058990961,873366.4940639819,883830.2456631431,895947.3296483855,908281.25,918551.0206885812,921765.2866330192,926827.2490191659,935113.8082481367,935839.8597951694,887393.2531257373,915872.2592945662,938188.8099871352,929796.623000157,927361.7490686824,918874.4108435366
Civilian Unemployment per mil,128585.11480235297,126749.39851750211,116211.18927479652,104015.60465730449,91681.98529411764,81448.97931141879,78160.89832901207,73168.1515244898,64808.740181874506,64201.21583876444,112682.23637650389,84127.74070543375,61806.545697738686,70124.90652782009,72674.41860465116,81186.74348815571
"Total, All Industries per mil",785635.9370010229,787916.5758841445,798773.5258369858,818303.9664926124,836015.625,851831.8348577631,873979.2764280904,884475.4550012188,901549.9425947188,911842.5616590905,875324.3689549422,909556.720686368,936293.9294156986,922683.5055067808,925589.5330753373,905957.7423568006
Total Farm per mil,208731.55086153833,214517.16832702106,221676.9179772384,232086.84492176824,239774.8161764706,242556.09550548933,245859.43771394828,244769.26827249018,250728.95595283655,250219.07004764775,253753.24368954945,261239.27550047665,271111.8954843324,251105.51047350004,256076.1691200405,255039.77215643277
Total Nonfarm per mil,576904.3861394845,573399.4075571235,577096.6078597474,586217.1215708442,596240.8088235294,609275.7393522739,628119.838714142,639706.1867287287,650820.9866418821,661623.4916114428,621571.1252653928,648317.4451858914,665182.0339313663,671577.9950332808,669517.8849144634,650917.9702003677
Total Private per mil,425909.5558322187,426563.5068168017,433031.9325255055,446178.29525605444,455845.58823529416,466869.4150678093,480872.6782863839,486585.6855719654,493753.7586791318,503140.00401628425,462019.3441849493,488284.0800762631,505264.3311954003,509171.81340644934,505330.2108575355,491108.596988586
Goods Producing per mil,45740.44162227457,44386.85870840036,43888.8070420979,45905.8624028763,47564.33823529411,50189.389602121526,52284.11408114118,53583.66641063026,54179.65119457657,54616.901254176024,52016.985138004246,55014.29933269781,56581.691180910006,57315.75594760019,56625.0135628775,54104.110881539695
"Mining, Logging, and Construction per mil",20016.93919015861,18695.791245010823,19874.95856506206,21776.095407097153,23322.610294117647,25383.24485991582,27911.311231880714,28553.424985166756,30333.67958741093,31112.510725304415,30511.913187072423,31816.015252621546,33090.745273248285,34120.80759963442,35037.433541900245,33071.38894591773
Mining and Logging per mil,925.638806481323,927.1406518725923,920.7763986593495,926.642357748815,919.1176470588235,1374.04789930977,1074.9314904178855,956.6869196061025,1102.5458786652816,1369.187797798346,1061.5711252653928,953.2888465204957,1082.1254243742947,923.1820237996326,904.1918333393613,873.6333098908395
Construction per mil,19091.300383677288,17768.650593138234,18954.182166402712,20849.45304934834,22403.492647058825,24009.196960606045,26836.379741462828,27596.73806556065,29235.689683450877,29743.32292750607,29450.34206180703,30862.72640610105,32008.619848873986,33197.62557583478,34133.24170856088,32197.755636026894
