TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,70292.0,70492.0,71625.0,72583.0,73333.0,73750.0,73142.0,73558.0,74192.0,73808.0,69250.0,68767.0,71008.0,73033.0,74450.0,77329.0
  Civilian Employment,62983.0,63592.0,65542.0,67508.0,69125.0,70333.0,69992.0,70850.0,71975.0,71675.0,63108.0,64600.0,68692.0,70533.0,71533.0,74157.0
  Civilian Unemployment,7325.0,6900.0,6067.0,5083.0,4217.0,3417.0,3167.0,2700.0,2192.0,2125.0,6133.0,4158.0,2308.0,2492.0,2917.0,3186.0
"Total, All Industries",65375.0,66142.0,68358.0,71292.0,73467.0,75317.0,75642.0,77258.0,79325.0,79908.0,70783.0,73008.0,78083.0,80358.0,81817.0,84129.0
  Total Farm,4667.0,4800.0,4808.0,4950.0,4942.0,5008.0,4967.0,5025.0,5142.0,5158.0,4950.0,5258.0,5617.0,6217.0,6292.0,6900.0
  Total Nonfarm,60708.0,61342.0,63550.0,66342.0,68525.0,70308.0,70675.0,72233.0,74183.0,74750.0,65833.0,67750.0,72467.0,74142.0,75525.0,77229.0
    Total Private,50350.0,51275.0,53692.0,56342.0,58533.0,60158.0,60317.0,61708.0,63650.0,64558.0,56150.0,58308.0,63067.0,64667.0,65817.0,67271.0
    Goods Producing,13258.0,13317.0,13867.0,14825.0,15758.0,16175.0,15975.0,16850.0,17958.0,18417.0,16875.0,17775.0,18933.0,19383.0,19750.0,20657.0
"     Mining, Logging, and Construction",2583.0,2450.0,2658.0,3192.0,3692.0,4267.0,4042.0,4150.0,4725.0,4742.0,4108.0,4500.0,4425.0,4383.0,4208.0,4214.0
      Manufacturing,10675.0,10867.0,11208.0,11633.0,12067.0,11908.0,11933.0,12700.0,13233.0,13675.0,12767.0,13275.0,14508.0,15000.0,15542.0,16443.0
        Non-Durable Goods,9267.0,9458.0,9667.0,10108.0,10542.0,10442.0,10433.0,11225.0,11717.0,12217.0,11517.0,11833.0,12958.0,13475.0,13858.0,14686.0
          Beverage and Tobacco Product Manufacturing,7975.0,8217.0,8475.0,8942.0,9542.0,9533.0,9817.0,10558.0,11075.0,11583.0,10867.0,11025.0,11908.0,12092.0,12400.0,13086.0
     Service-Providing,47450.0,48025.0,49683.0,51517.0,52767.0,54133.0,54700.0,55383.0,56225.0,56333.0,48958.0,49975.0,53533.0,54758.0,55775.0,56571.0
    Private Service Providing,37092.0,37958.0,39825.0,41517.0,42775.0,43983.0,44342.0,44858.0,45692.0,46142.0,39275.0,40533.0,44133.0,45283.0,46067.0,46614.0
"     Trade, Transportation, and Utilities",8867.0,8700.0,9067.0,9525.0,9842.0,10067.0,10175.0,10083.0,10217.0,10317.0,9542.0,9750.0,10083.0,10017.0,9992.0,9843.0
        Wholesale Trade,1508.0,1367.0,1450.0,1583.0,1567.0,1675.0,1692.0,1692.0,1792.0,1775.0,1550.0,1467.0,1500.0,1492.0,1392.0,1400.0
        Retail Trade,5817.0,5725.0,5867.0,6083.0,6317.0,6408.0,6442.0,6400.0,6333.0,6417.0,6175.0,6167.0,6208.0,6158.0,6275.0,6214.0
"        Transportation, Warehousing, and Utilities",1542.0,1608.0,1750.0,1858.0,1958.0,1983.0,2042.0,1992.0,2092.0,2125.0,1817.0,2117.0,2375.0,2367.0,2325.0,2229.0
      Information,600.0,633.0,542.0,508.0,500.0,425.0,400.0,400.0,350.0,300.0,242.0,292.0,300.0,300.0,300.0,300.0
      Financial Activities,2258.0,2250.0,2267.0,2225.0,2267.0,2333.0,2358.0,2267.0,2200.0,2250.0,2142.0,2100.0,2125.0,2083.0,2075.0,2100.0
      Professional and Business Services,5158.0,5417.0,5992.0,6300.0,6408.0,6725.0,6725.0,6808.0,7192.0,7208.0,6708.0,6517.0,6717.0,6933.0,7158.0,7157.0
        Administrative and Support and Waste and Remediatio,3075.0,3133.0,3533.0,3683.0,3750.0,3958.0,3992.0,4117.0,4317.0,4192.0,3833.0,3733.0,3942.0,4192.0,4242.0,4157.0
      Private Education and Health Services,8992.0,9075.0,9350.0,9667.0,9917.0,9800.0,9900.0,10075.0,10100.0,10275.0,9858.0,9867.0,10125.0,10533.0,11100.0,11529.0
