TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,896019.4616741593,902116.5522328775,915071.5532286214,930080.0462918314,942617.92099055,953667.7966101696,956933.0890596374,963185.513472362,970118.0720293294,971100.6936917406,911306.8592057761,939404.074628819,967383.9567372691,965768.8989908672,960819.3418401611,958980.460111989
Civilian Unemployment per mil,104208.16024583166,97883.44776712252,84705.06108202443,70030.17235440806,57504.806840031095,46332.20338983051,43299.33553908835,36705.728812637644,29544.964416648694,28790.91697376978,88563.17689530687,60465.04864251748,32503.379900856242,34121.56148590363,39180.658159838815,41200.58451551165
"Total, All Industries per mil",930048.9387127981,938290.8698859444,954387.4345549737,982213.4659631043,1001827.2810330957,1021247.4576271187,1034180.0880479069,1050300.4431876885,1069185.3569117964,1082646.8675482334,1022137.1841155236,1061672.0229179694,1099636.660657954,1100297.1259567593,1098952.3169912694,1087935.9619289013
Total Farm per mil,66394.46878734422,68092.8332293026,67127.39965095987,68197.78736067675,67391.21541461552,67905.08474576271,67908.99893358126,68313.43973463117,69306.66379124434,69884.02341209626,71480.14440433214,76461.0932569401,79103.76295628662,85125.90198951159,84513.09603760914,89229.13783962032
Total Nonfarm per mil,863654.4699254538,870198.0366566419,887260.034904014,914015.6786024276,934436.0656184801,953328.813559322,966271.0891143256,981987.0034530575,999878.6931205521,1012762.8441361369,950657.0397111913,985210.9296610293,1020546.9806219018,1015184.9164076514,1014439.2209536601,998706.8240892809
Total Private per mil,716297.7294713481,727387.5049651024,749626.5270506109,776242.3708030806,798180.9008222765,815701.6949152543,824656.1483142381,838902.6346556458,857909.2085400043,874674.8319965315,810830.3249097472,847906.6994343217,888167.5304191076,885449.0435830378,884042.9818670249,869932.3668998694
Goods Producing per mil,188613.21345245547,188915.05419054645,193605.58464223385,204248.92881253187,214882.7949217951,219322.0338983051,218410.76262612452,229070.93721960904,242047.66012508087,249525.79666160847,243682.31046931408,258481.53911032906,266631.92879675527,265400.5723440089,265278.71054398926,267131.34787725174
"Mining, Logging, and Construction per mil",36746.71370853013,34755.716960789876,37109.94764397905,43977.23984955155,50345.68338946995,57857.62711864407,55262.36635585573,56418.06465646157,63686.11171015742,64247.778018642966,59321.29963898917,65438.36433172888,62316.92203695358,60013.96628921173,56521.15513767629,54494.432877704356
Manufacturing per mil,151866.49974392532,154159.33722975655,156481.67539267015,160271.6889629803,164550.74795794528,161464.40677966102,163148.39627026877,172652.87256314745,178361.54841492343,185278.01864296553,184361.0108303249,193043.1747786002,204315.0067598017,205386.60605479713,208757.55540631295,212636.91499954739
Non-Durable Goods per mil,131835.77078472657,134171.2534755717,134966.84118673648,139261.2595235799,143755.19888726767,141586.4406779661,142640.34344152472,152600.66885994724,157928.07849902954,165524.06243225667,166310.4693140794,172073.8144749662,182486.48039657503,184505.6344392261,186138.34788448625,189915.81424821218
Service-Providing per mil,675041.2564729984,681282.9824660955,693654.4502617801,709766.7497898957,719553.270696685,734006.7796610169,747860.326488201,752916.0662334485,757831.0329954711,763237.0474745284,706974.7292418772,726729.3905507001,753900.9689049121,749770.6516232388,749160.5104096709,731562.544452922
Private Service Providing per mil,527684.5160188926,538472.4507745559,556020.942408377,571993.4419905487,583298.1059004813,596379.6610169492,606245.3856881135,609831.6974360368,615861.5484149235,625162.5840017342,567148.0144404331,589425.1603239926,621521.5187021181,620034.7787986252,618764.2713230356,602801.0190226176
