TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,48956.0,48836.0,48231.0,48037.0,47798.0,48026.0,45350.0,45518.0,45687.0,45585.0,44111.0,44624.0,45393.0,46420.0,47698.0,48144.0
  Civilian Employment,43170.0,43416.0,43508.0,44108.0,44627.0,45416.0,43019.0,43499.0,43966.0,43935.0,40308.0,41920.0,43691.0,44510.0,45548.0,45837.0
  Civilian Unemployment,5786.0,5419.0,4720.0,3932.0,3172.0,2613.0,2331.0,2019.0,1722.0,1652.0,3802.0,2706.0,1705.0,1912.0,2150.0,2307.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,28263.0,28712.0,28683.0,29499.0,29984.0,30828.0,31508.0,32148.0,32696.0,33094.0,30528.0,31910.0,33712.0,34508.0,35670.0,35440.0
  Total Farm,81.0,88.0,87.0,73.0,71.0,73.0,68.0,69.0,84.0,86.0,121.0,142.0,178.0,172.0,163.0,147.0
  Total Nonfarm,28182.0,28624.0,28597.0,29426.0,29913.0,30754.0,31439.0,32079.0,32612.0,33008.0,30407.0,31768.0,33533.0,34335.0,35507.0,35293.0
    Total Private,22022.0,22498.0,22655.0,23464.0,23827.0,24243.0,24928.0,25546.0,25984.0,26348.0,24242.0,25699.0,27172.0,27743.0,28693.0,28269.0
    Goods Producing,3808.0,3978.0,3968.0,3920.0,4117.0,4088.0,4268.0,4326.0,4507.0,4474.0,4328.0,4577.0,4873.0,4945.0,5043.0,4826.0
"      Mining, Logging and Construction",2083.0,2202.0,2337.0,2488.0,2695.0,2726.0,2838.0,2903.0,3114.0,3143.0,3116.0,3268.0,3529.0,3619.0,3768.0,3634.0
      Manufacturing,1725.0,1776.0,1632.0,1432.0,1422.0,1362.0,1427.0,1423.0,1394.0,1333.0,1212.0,1309.0,1344.0,1326.0,1277.0,1197.0
Service-Providing,24374.0,24646.0,24628.0,25506.0,25797.0,26666.0,27172.0,27753.0,28107.0,28533.0,26079.0,27192.0,28662.0,29390.0,30466.0,30466.0
    Private Service Providing,18213.0,18519.0,18687.0,19544.0,19710.0,20155.0,20660.0,21220.0,21480.0,21872.0,19917.0,21122.0,22298.0,22799.0,23649.0,23441.0
"      Trade, Transportation, and Utilities",4482.0,4540.0,4609.0,4674.0,4679.0,4799.0,4898.0,4937.0,4897.0,4931.0,4748.0,5135.0,5166.0,5284.0,5298.0,5176.0
        Wholesale Trade,373.0,408.0,410.0,412.0,357.0,377.0,393.0,399.0,390.0,422.0,429.0,468.0,464.0,458.0,468.0,467.0
        Retail Trade,3672.0,3678.0,3721.0,3772.0,3840.0,3950.0,4029.0,4050.0,4008.0,3980.0,3805.0,4090.0,4028.0,4171.0,4145.0,4044.0
"        Transportation, Warehousing, and Utilities",437.0,453.0,478.0,491.0,482.0,472.0,478.0,489.0,503.0,530.0,516.0,578.0,675.0,656.0,687.0,664.0
      Information,331.0,298.0,298.0,304.0,295.0,292.0,285.0,278.0,310.0,272.0,223.0,225.0,255.0,289.0,297.0,280.0
      Financial Activities,1355.0,1348.0,1424.0,1476.0,1343.0,1294.0,1319.0,1327.0,1348.0,1333.0,1308.0,1370.0,1367.0,1183.0,1192.0,1113.0
      Professional and Business Services,2325.0,2257.0,2073.0,2084.0,2079.0,2161.0,2192.0,2212.0,2373.0,2445.0,2465.0,2672.0,2730.0,2802.0,3082.0,3007.0
      Private Education and Health Services,4288.0,4499.0,4670.0,4992.0,5028.0,5324.0,5438.0,5488.0,5394.0,5499.0,5176.0,5285.0,5557.0,5701.0,6028.0,5936.0
      Leisure and Hospitality,4380.0,4475.0,4362.0,4556.0,4619.0,4496.0,4656.0,4929.0,5084.0,5324.0,4223.0,4556.0,5174.0,5382.0,5526.0,5727.0
      Other Services,1052.0,1103.0,1251.0,1458.0,1666.0,1788.0,1875.0,2055.0,2075.0,2070.0,1775.0,1888.0,2058.0,2159.0,2225.0,2204.0
      Government,6161.0,6127.0,5942.0,5962.0,6087.0,6511.0,6512.0,6533.0,6626.0,6662.0,6164.0,6069.0,6366.0,6592.0,6814.0,7024.0
        Federal Government,433.0,382.0,365.0,358.0,355.0,365.0,373.0,367.0,350.0,332.0,352.0,301.0,308.0,338.0,364.0,329.0
        Total State and Local Government,5728.0,5745.0,5577.0,5604.0,5732.0,6146.0,6140.0,6168.0,6279.0,6330.0,5812.0,5768.0,6058.0,6255.0,6452.0,6699.0
          State Government,525.0,506.0,461.0,453.0,448.0,446.0,439.0,419.0,408.0,421.0,420.0,407.0,382.0,374.0,373.0,380.0
          Local Government,5202.0,5239.0,5116.0,5151.0,5284.0,5700.0,5700.0,5748.0,5871.0,5909.0,5392.0,5363.0,5677.0,5882.0,6079.0,6319.0
               Special Districts plus Tribes,,,,,,,,,,,,,,,,2400.0
