TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,901495.8080073202,909015.3977137043,920821.8013956426,933389.581419425,944399.4576054877,955162.7760252366,959625.7485122747,964838.2126348228,970487.4109240336,971843.0301263065,911548.5447678294,940464.8424357967,967946.5656855357,965274.5548178941,960804.3531963626,959615.2240310659
Civilian Unemployment per mil,98504.19199267986,90979.4108791129,79183.33341891358,66610.41858057506,55600.542394512246,44852.99684542587,40379.21108867581,35156.856702619414,29507.679618633356,28156.96987369358,88445.7422160155,59540.25507967416,32064.10310317409,34730.40888502823,39185.174096436385,40393.30920864564
"Total, All Industries per mil",894406.3656161069,903396.9972900855,917109.9723233496,940308.4803919685,958278.3760070193,977844.1640378549,985710.1497613501,999948.844375963,1015863.6840076882,1029573.8117527893,974127.6541720888,1013008.8594818885,1046597.5036289572,1043220.2022708941,1041967.8340038947,1029657.2746173298
Total Farm per mil,2420.769356244318,2087.594613395907,1797.1850946603063,1862.9776122367134,1754.8057749062775,1540.6940063091483,1513.918190142421,1314.637904468413,1207.1128217842443,1146.1194923187893,1185.13346240518,1263.546647364075,1056.210082256361,1065.334739715828,1026.9413472953001,957.5513990551266
Total Nonfarm per mil,891985.5962598627,901309.4026766896,915312.7872286893,938444.8621409379,956523.570232113,976304.1009463723,984196.8515213266,998633.590138675,1014657.1848680705,1028427.6922604705,972942.5207096835,1011745.3128345244,1045541.2935467007,1042155.4879940435,1040940.8926565993,1028699.7232182749
Total Private per mil,793016.0966540093,804440.9892745528,820414.9957124299,843197.8894795579,859387.0942011646,877623.3438485804,885252.8125587015,899907.5500770416,915716.2775512609,928646.541536856,873869.2988859619,912561.6799371986,946248.132177506,942596.6370912701,940423.2329000712,927345.5590277713
Goods Producing per mil,142922.87266363262,146068.0281997238,148797.29806058054,151863.42605939234,153907.3143495254,157492.11356466878,158443.75161574502,161844.06779661018,163924.93930683372,163681.45613038872,159789.8879614054,160767.99168085476,163839.333062639,162240.4914065893,160858.93448212772,155975.43158383633
"Mining, Logging and Construction per mil",44738.41718726747,45598.07606449804,46710.76616567993,50151.12669144658,52979.1816223977,57907.25552050473,60367.64281945874,62763.020030816646,65265.09842234589,65424.57680443224,64530.42181102613,65332.944222985716,66298.36334505436,65107.02984426382,65212.93169885175,62710.778639838165
Mining and Logging per mil,259.94838724771193,259.5703591415489,272.7870232966537,288.2874571893126,319.05559543750496,252.3659305993691,212.02294063419657,297.68875192604,306.84108332085515,276.2473334458785,227.25108706001842,244.0435531721839,203.96213709644522,186.1388595892536,246.41664002286745,243.80684890009587
Construction per mil,44478.46880001976,45338.505705356496,46437.97914238328,49862.83923425726,52660.1260269602,57654.88958990536,60155.619878824546,62465.331278890604,64958.25733902503,65148.329470986355,64303.170723966105,65088.90066981353,66094.40120795791,64920.890984674574,64966.51505882889,62466.97179093807
Manufacturing per mil,98184.45547636517,100469.95213522577,102086.53189490062,101712.29936794576,100928.1327271277,99584.85804416404,98076.10879628625,99080.43143297381,98659.84088448783,98256.8793259565,95259.46615037927,95435.04745786903,97540.96971758461,97133.4615623255,95645.38674167589,93264.65294399817
Durable Goods per mil,69622.62642752282,72220.26102395315,73904.10220334891,74180.84720636642,74143.41549014916,73238.4858044164,72012.1659011316,72454.85362095531,72767.3629095408,72918.86001933731,71317.4850033326,71009.66488933294,72835.19294504382,73079.97766333685,72246.27864670445,70660.71046534803
Non-Durable Goods per mil,28561.82904884235,28249.69111127262,28182.42969155169,27531.452161579356,26784.717236978544,26345.741324921135,26063.942895154654,26625.57781201849,25892.47797494704,25338.019306619193,23941.98114704669,24425.382568536097,24705.776772540798,24053.483898988645,23399.108094971438,22604.55199577239
Service Providing per mil,749062.7235962299,755241.3744769657,766515.4891681088,786581.4360815457,802616.2558825875,818811.9873817035,825753.0999055816,836790.1386748843,850732.245561237,864746.2361300818,813152.6327482782,850977.3211536697,881701.9604840617,879914.3761245889,880081.9581744716,872724.2916344384
Private Service Providing per mil,650093.2239903767,658372.9610748289,671617.6976518494,691334.4634201655,705479.7798516392,720131.2302839117,726809.0609429565,738063.4822804314,751791.3382444271,764964.471523504,714079.4109245564,751793.0510669099,782409.4266906735,780356.1456846808,779564.9144595437,771370.127443935
"Trade, Transportation, and Utilities per mil",158671.19583406713,159830.44864140876,159280.66382882584,160981.63801089342,162659.64744356702,163138.80126182965,161011.58500787028,161237.59630200308,161546.92091109708,160464.0955201891,154928.74599295395,160544.97537900027,162113.49959489983,162891.97741515172,160812.73136212342,157011.61069166174
Wholesale Trade per mil,49466.22848033523,49464.37656391141,48898.19716660933,50124.86050090266,50889.36747228204,50473.18611987382,49529.05489224337,49363.3281972265,49979.50301563417,49888.426771436025,48761.862443266575,49398.11086076646,49562.79931443619,50324.5020785506,49786.6339918202,48474.28721543931
Retail Trade per mil,91848.21353720219,92542.02444114501,92399.70423468156,93260.99240074263,94850.12363404322,95673.18611987382,94599.42852998048,94617.5654853621,93673.67328052393,92476.5573443423,87372.32995842193,91357.03508110148,91327.96923372366,90447.9741887448,89207.75202107847,87056.72105387949
Food and Beverage Retailers per mil,17720.031687708404,17602.114979286285,17928.84687469512,18370.317410896754,19058.466937863923,19211.35646687697,18773.94944802741,18854.853620955317,18548.543486745693,18375.358737856626,19154.47360903926,19041.13185233517,18748.827217711696,19229.38512130049,19133.020014575544,18842.61231724391
General Merchandise Retailers per mil,16929.138719507242,17175.121738498437,17880.707988231006,18418.365320428304,18340.591848129534,18722.397476340695,18345.563915927327,17884.129429892142,17766.09872427751,17598.18290642889,16382.391214650714,17379.34180880239,17399.539233842905,17021.157783706647,16864.138801564994,16239.364688113135
