TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,815732.0532402357,823868.1269052727,838118.8703769349,860403.010439427,883181.0323536677,896870.6448752058,902571.2125031509,910966.7558272831,924635.8454718177,922633.9509263895,891166.1694123752,905939.9391453896,934111.6478797639,929713.3042674065,929000.895484201,919777.8064849502
Civilian Unemployment per mil,184049.74907265985,175906.06300101613,161999.29103154907,139475.60087399854,117065.94220795258,102875.96604586342,97302.74766826318,88905.87186345688,75490.81697276757,77366.04907361041,109222.98612011934,94324.64611721126,66022.54428341385,70286.69573259346,71510.80977357042,80222.19351504973
Total Farm per mil,5673.139864717434,6548.492717624477,4490.133522391587,3763.049283806749,3828.1057051123735,3927.5307234258203,4285.354171918326,5222.264679658642,5193.160227992401,5257.8868302453675,7653.392139058244,7672.972615425321,7648.953301127214,7134.36385255648,7419.726237687092,8655.212504844336
Total Nonfarm per mil,708378.7911848134,714011.5163147792,726692.6621765331,757222.6268511774,784144.2331439862,801089.573039402,806402.8232921603,818749.2039230672,838378.7207093098,846269.4041061592,824880.0103774808,840322.794020373,871175.5233494363,868278.5044259479,872585.3908148906,851311.2001033458
Total Private per mil,408356.971416103,405103.30811787286,432234.43223443226,465404.2243262928,478389.7258582366,482452.8062840492,487522.0569700025,500827.9200101898,524255.85813806206,529168.7531296946,515631.0805551952,532345.5483529568,557165.8615136876,552781.0807240058,555967.7625687603,537527.4512336907
Goods Producing per mil,80951.34191577569,89307.89206277521,97601.32340777502,98324.83612527313,98666.33736725117,102622.57696693273,105495.33652634233,106483.25054133231,112729.57568081064,111542.3134702053,118951.87443248152,119195.66080169335,124530.32742887815,123265.95323028142,123832.67238070871,130474.09895362356
"Mining, Logging and Construction per mil",33275.1472834388,35113.46957208987,40411.20170152428,40301.04394270454,40503.82810570511,44723.17243126821,44113.94000504159,44325.56362246848,48511.71627612413,46569.85478217326,53054.87093008172,54769.14935838074,62533.54804079442,60113.621350244415,63707.30459255469,67949.87727683761
Mining and Logging per mil,4036.657211433559,4290.391780512588,3663.003663003663,4612.770089827628,3828.1057051123735,4307.614341821867,4537.433829089992,5094.892370398676,6079.797340088663,5508.262393590386,6745.362563237773,8599.021034528378,9393.45142243693,9248.249438499142,9722.399897658948,8526.03022865263
Construction per mil,29238.49007200524,30823.077791577285,36748.19803852062,35688.27385287691,36675.72240059274,40415.55808944634,39576.506175951596,39230.6712520698,42558.58138062064,41061.592388582874,46309.50836684395,46170.12832385236,53140.096618357486,50865.37191174528,53984.90469489574,59423.84704818499
Manufacturing per mil,47785.29347588916,54194.422490685334,57190.12170625074,58023.792182568584,58285.99654235614,57899.404535664515,61633.476178472396,62157.68691886384,63964.53451551615,64972.45868803204,66026.7220132313,64558.80407461305,62265.16371443908,63152.331880036996,60381.22041703978,63170.13305774448
Service-Providing per mil,627427.4492690377,624703.6242520041,629091.3387687581,658897.7907259044,685477.895776735,698466.9960724693,701033.5265944039,712265.9533817348,725649.1450284991,734852.2784176265,705798.4174341678,721259.4258499802,746376.8115942029,745012.5511956665,748624.792119739,721224.6479782973
Private Service Providing per mil,327405.6295003273,315795.41605509765,334633.1088266572,367079.38820101967,379723.38849098544,379830.22931711643,381900.68061507435,393962.5525410776,411652.9449018366,417751.6274411617,396419.7691010507,413017.594919963,432501.34192163177,429383.00964460295,431879.2375591659,407053.35228006716
"Trade, Transportation, and Utilities per mil",100370.93606807767,95630.57468668849,103273.0710150065,110463.70478271425,110150.65448258829,114278.47459774483,114066.04487017897,116290.91835434976,120075.99746675111,117300.95142714071,124270.33337657285,124487.36605371081,129495.43746645196,128550.66719513806,121402.07240629397,117168.32450587778
Wholesale Trade per mil,4582.151429194851,3951.676639945806,5789.909015715467,6919.1551347414415,7532.72412941467,7855.0614468516405,7310.310057978321,6113.870844478411,6459.784673844205,6885.327991987982,7783.11064988974,8334.435771927503,7648.953301127214,8059.188796406394,8059.357809901496,7750.93657150239
Retail Trade per mil,64477.416539384685,62097.77577057694,62861.86931348221,64578.78125758679,64460.36058285996,68795.13492968453,70204.18452230905,72984.33320596103,75744.14186193794,75237.85678517776,79128.29160721235,77788.06720465669,82528.18035426732,81384.59505879245,77523.34655238582,78413.64164836584
"Transportation, Warehousing, and Utilities per mil",31420.466943050404,29581.122276165745,34621.29268580882,38965.768390386016,38157.569770313654,37628.27822120866,37055.70960423494,37447.45892243027,38252.05826472451,35302.95443164747,37488.64963030224,38629.44833972748,39452.495974235106,39503.23688730348,36075.220672892414,31391.293114584674
Information per mil,7636.919048658085,6774.302811335667,7089.684509039348,7283.3211944646755,7532.72412941467,7221.588749524895,7310.310057978321,7642.338555598013,7599.7466751108295,7886.830245368052,4929.303411596835,4894.827358116153,5233.494363929146,5284.713964856652,4093.642062172189,3875.468285751195
Financial Activities per mil,22583.460615317475,22355.1992774077,21032.730710150066,22335.518329691673,21857.248703383553,21411.377169643987,21174.691202419966,21398.547955674436,22165.927802406586,19904.857285928894,17641.717473083412,21828.284164572033,25362.318840579712,23252.74144536927,23154.662914161443,21960.986952590105
Professional and Business Services per mil,29565.78660266201,28000.45162018742,30485.643388869197,31561.058509346927,33959.00222277105,36994.80552388192,37055.70960423494,38593.80970576996,40151.99493350222,41311.96795192789,44882.60474769749,43259.69043524275,40257.648953301126,46241.247192495706,48995.77843162339,44438.703009947036
Private Education and Health Services per mil,67313.9864717434,67517.21801964549,72787.42762613732,91284.29230395726,96814.02815510002,82984.92334980362,77514.49458028737,78333.97019487963,78404.05319822673,79494.24136204307,80295.75820469581,84534.99140097896,84004.29414922168,79138.59162372837,85838.55699117309,79188.73530551608
Leisure and Hospitality per mil,84878.900283657,80049.67822061645,84367.24565756824,87035.68827385287,90886.63867621635,97428.10084885341,104487.01789765566,104700.03821169278,115009.49968334388,120055.08262393592,94435.07588532883,100939.27768223309,112989.8013955985,109922.05046901836,111167.9672508635,102958.27412479008
Other Services per mil,15055.640410211652,15467.99141921644,15597.305919886565,17237.1934935664,18646.57940232156,19510.959077663752,20922.6115452483,27385.04649089288,28625.712476250792,32423.63545317977,30483.85004540148,33866.91361291176,35963.49973161567,38049.94054696789,37994.115389535626,37979.589200361705
Government per mil,300021.81976871047,309021.113243762,294458.22994210094,291818.4025248847,305754.50728574954,318636.76675535284,319006.8061507436,318048.6562221373,314249.5250158328,317225.8387581372,309378.64833311713,307977.2456674163,313741.27750939346,315497.42370194214,316489.70193168736,314042.1134220385
Federal Government per mil,51167.357626009165,48774.980241616795,49864.114380243416,49526.584122359796,49394.91232403063,49537.56493095148,48399.29417695992,46618.265189147874,44205.193160227995,41562.34351527291,44623.1677260345,42069.056753538825,39989.264626945784,39239.00118906065,41192.27325060765,36171.03733367782
Total State and Local Government per mil,248854.4621427013,260246.13300214522,244475.95415337352,242291.8184025249,256359.59496171895,269099.2018244014,270355.4323166121,271430.3910329894,270044.33185560483,275663.4952428643,265274.3546504086,265775.8962825771,274154.5893719807,276258.42251288146,275681.20762440836,278129.44064074405
State Government per mil,13855.553131136809,14113.130856949307,12761.432116270826,12138.868657441126,11978.266238577426,12162.675788673509,13360.221830098311,12482.486307476755,12412.919569347689,12143.21482223335,12712.414061486574,12567.799973541474,12077.294685990339,10833.663627956137,10362.031469873353,10722.12892391164
Local Government per mil,234998.90901156448,246133.0021451959,231714.5220371027,230152.94974508378,244381.32872314152,256936.52603572787,257373.32997227125,258820.53241625268,257631.41228625714,263520.280420631,252691.65909975354,253340.388940336,262211.486849168,265292.6410358039,265191.24984009215,267278.12944064074
Special Districts plus Tribes per mil,,,,,,,,,,,,,,,,118460.14726779486
