TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,977792.0,974758.0,984433.0,993858.0,1010250.0,1033858.0,1027775.0,1047600.0,1066267.0,1083967.0,1100492.0,1119000.0,1140450.0,1165550.0,1181358.0,1195271.0
Civilian Employment,841142.0,846242.0,869442.0,894483.0,926408.0,964383.0,963717.0,991375.0,1018292.0,1037750.0,988633.0,1036108.0,1091792.0,1110125.0,1118633.0,1130629.0
Civilian Unemployment,136633.0,128533.0,115008.0,99392.0,83850.0,69483.0,64075.0,56225.0,47975.0,46200.0,111867.0,82867.0,48650.0,55417.0,62717.0,64657.0
"Total, All Industries",549208.0,561825.0,573583.0,599492.0,628067.0,657867.0,688350.0,718417.0,748517.0,766517.0,733950.0,773167.0,813933.0,831958.0,,
Total Farm,12408.0,12433.0,12542.0,12050.0,11875.0,12583.0,12808.0,12292.0,12283.0,12925.0,11833.0,11425.0,11267.0,10875.0,,
Total Nonfarm,536800.0,549392.0,561042.0,587442.0,616192.0,645283.0,675542.0,706125.0,736233.0,753592.0,722117.0,761742.0,802667.0,821083.0,,
Goods Producing,73642.0,73075.0,75692.0,81967.0,87867.0,94475.0,101592.0,105542.0,112317.0,113758.0,110142.0,114975.0,119292.0,119675.0,,
Mining and Logging,400.0,400.0,400.0,333.0,300.0,300.0,300.0,392.0,400.0,467.0,400.0,400.0,500.0,400.0,,
Construction,35375.0,34108.0,35850.0,42592.0,47458.0,52925.0,58625.0,62233.0,67408.0,68125.0,66792.0,70925.0,73875.0,74075.0,,
Manufacturing,37867.0,38567.0,39442.0,39042.0,40108.0,41250.0,42667.0,42917.0,44508.0,45167.0,42950.0,43650.0,44917.0,45200.0,,
Durable Goods,26400.0,27458.0,27775.0,27242.0,28450.0,28567.0,29300.0,29117.0,30175.0,30408.0,28508.0,28658.0,29167.0,28608.0,,
Nondurable Goods,11467.0,11108.0,11667.0,11800.0,11658.0,12683.0,13367.0,13800.0,14333.0,14758.0,14442.0,14992.0,15750.0,16592.0,,
Service Providing,463158.0,476317.0,485350.0,505475.0,528325.0,550808.0,573950.0,600583.0,623917.0,639833.0,611975.0,646767.0,683375.0,701408.0,,
"Trade, Transportation & Utilities",117008.0,121592.0,123092.0,129700.0,136350.0,146108.0,152817.0,158942.0,163600.0,169583.0,173192.0,188142.0,197925.0,196683.0,,
Wholesale Trade,19092.0,19742.0,20683.0,22375.0,23075.0,23308.0,23817.0,23850.0,24925.0,25567.0,24433.0,25675.0,27333.0,27708.0,,
Retail Trade,78525.0,81617.0,81400.0,82408.0,85517.0,88742.0,91625.0,92675.0,92883.0,93758.0,87033.0,91408.0,92492.0,94442.0,,
