TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,860246.3509621678,868155.9935902039,883190.6285140787,900010.8667435388,917008.6612224698,932800.2491638117,937673.1288462941,946329.7059946544,955006.5790275794,957363.093156895,898355.4628293526,925923.1456657731,957334.3855495637,952447.3424563512,946904.3253611522,945918.5406489406
Civilian Unemployment per mil,139736.2629270847,131861.44663598554,116826.64030970112,100006.23831573525,82999.25760950259,67207.48884276177,62343.41173895064,53670.29400534555,44993.4209724206,42621.22370883985,101651.80664648175,74054.51295799822,42658.599675566664,47545.79383123847,53088.90277121753,54094.00880637111
"Total, All Industries per mil",561681.8300824715,576373.8281706844,582653.161769262,603196.8349603263,621694.6300420688,636322.3963058756,669747.7560750165,685774.1504390988,701997.7172696895,707140.5310309263,666928.9735863596,690944.5933869526,713694.5942391162,713790.0561966454,,
Total Farm per mil,12689.815420866606,12754.960718455248,12740.32869682345,12124.468485437557,11754.516208859193,12170.917089194067,12461.871518571672,11733.48606338297,11519.628760901349,11923.79472806829,10752.463443623397,10210.008936550492,9879.433556929282,9330.359057955471,,
Total Nonfarm per mil,548992.014661605,563618.8674522293,569913.8488856022,591072.3664748888,609940.1138332096,624150.5119658599,657285.8845564447,674040.664375716,690477.1506573869,695216.736302858,656176.5101427361,680734.5844504022,703816.0375290455,704459.6971386899,,
Goods Producing per mil,75314.5863332897,74967.3252232862,76888.92997288794,82473.55255982243,86975.50111358575,91381.02137817767,98846.53742307411,100746.46811760214,105336.65582823064,104945.99927857582,100084.32591967956,102747.98927613941,104600.81546757859,102676.8478400755,,
Mining and Logging per mil,409.0849587642362,410.3582632817581,406.3252654065843,335.0579257801416,296.9561989606533,290.1752465038719,291.89268079102914,374.188621611302,375.14056047875437,430.8249236369742,363.4737917222479,357.46201966041104,438.42342934806436,343.18562052250013,,
Construction per mil,36178.451040712134,34991.24911003552,36416.90191206512,42855.216741224605,46976.49096758228,51191.7497373914,57040.69470458029,59405.307369224895,63218.687251879695,62847.85422434447,60692.85374178095,63382.48436103664,64777.061686176516,63553.687100510484,,
Manufacturing per mil,38727.05033381332,39565.71784996892,40065.70279541624,39283.277892817685,39701.064093046276,39899.09639428239,41513.95003770281,40966.97212676594,41741.890164471006,41668.242667904095,39027.99838617636,39008.04289544236,39385.330352054014,38779.975119042516,,
Durable Goods per mil,26999.607278439587,28169.04298297629,28214.210616669698,27410.35439670456,28161.346201435288,27631.45422292036,28508.185157257183,27794.005345551737,28299.666031116034,28052.514513818223,25904.777136044606,25610.366398570153,25574.99232758999,24544.63557976921,,
Nondurable Goods per mil,11727.443055373738,11395.648971334424,11851.492178746546,11872.923496113126,11539.717891610988,12267.642171362024,13005.764880445622,13172.966781214203,13442.224133354966,13614.805616776157,13123.22125013176,13397.676496872207,13810.338024464028,14235.339539273304,,
Service Providing per mil,473677.4283283152,488651.54222894297,493024.91891271423,508598.81391506636,522964.6127196238,532769.4905876823,558439.3471333706,573294.1962581137,585141.4326805575,590269.8144869724,556092.1842230567,577986.5951742628,599215.2220614669,601782.8492986143,,
"Trade, Transportation & Utilities per mil",119665.53213771436,124740.70487238883,125038.47392356818,130501.54046151463,134966.59242761694,141323.08305395904,148687.21266814237,151720.1221840397,153432.48923581056,156446.64459342396,157376.88233989888,168134.04825737266,173549.9145074313,168746.94350306722,,
Wholesale Trade per mil,19525.625081816994,20253.232084271174,21010.063661010958,22513.276544536544,22840.880970056918,22544.682151707486,23173.359927999805,22766.323024054982,23375.94617483238,23586.511397487193,22201.887882874205,22944.593386952634,23966.855188741287,23772.467933593583,,
Retail Trade per mil,80308.49096740411,83730.52593566813,82687.19151023989,82917.27792099073,84649.3442217273,85835.77241748867,89148.88959159348,88464.10843833524,87110.45169737036,86495.25308427286,79085.536287406,81687.22073279714,81101.31965452235,81027.84093346489,,
"Transportation, Warehousing, and Utilities per mil",19832.438800890166,20756.946852449528,21340.202939153805,25070.985995987354,27476.367235832717,32942.6284847629,36364.963148549046,40489.69072164949,42946.091363607804,46364.880111663915,56088.549485139374,63501.34048257372,68481.73966416765,63946.63463600875,,
Information per mil,10482.802068333553,7891.189402908209,6493.077741197218,6321.828671701591,6243.9990101460035,6158.485981633841,6154.070686677532,5830.469644902634,5798.735213600346,5989.112214670742,4823.297216154229,4758.713136729223,4807.751326230874,4840.633177469864,,
Financial Activities per mil,19695.39533970415,19047.80468588101,19571.67222147165,20131.648585612835,20275.179411036872,20256.16670761362,20838.218481671574,20849.560901107292,20734.018777660756,19926.8058898472,19014.222729470093,19139.41018766756,19757.99026699987,18109.90519497233,,
Finance & Insurance per mil,11326.539795784789,11284.852240248349,11453.293418648094,11704.891443244407,11424.894828012868,11188.19025436762,11400.355136094962,11383.161512027491,11129.482578003444,10293.671301801623,10154.5490562403,9792.672028596962,10120.566443070718,8450.945905366565,,
Real Estate & Rental & Leasing per mil,8368.85554391936,7762.952445632659,8118.378802823555,8426.757142368426,8851.274437020538,9067.976453245996,9437.86334557661,9466.399389079801,9605.474051058505,9633.134588045577,8859.673673229792,9345.844504021448,9638.300670787847,9658.959289605764,,
Professional and Business Services per mil,51468.00137452546,53636.902697900405,54862.03733519701,57913.70598214232,60298.935906953724,60566.344701109825,63421.468706672174,63533.79152348225,66149.47288061996,67944.87286052066,64970.9402703518,68997.31903485255,68883.33552545049,65448.07172579468,,
"Professional, Scientific & Technical Services per mil",16422.71566959026,16704.65900254217,17446.59108339521,17625.254311984205,18683.49418460777,18506.409971195273,18503.07703534334,18502.290950744562,19225.95372453616,19365.90320554039,18339.978845825324,19206.43431635389,19538.77855232584,18967.869246278584,,
Management of Companies & Enterprises per mil,2965.865951040712,2829.420225327722,2836.1503525379585,3136.2629268970013,3233.853006681514,2885.309201070166,2878.0618325995474,2331.042382588774,2375.577599231712,2836.8022273740808,3005.9282575429897,3344.057193923146,3310.096891577886,3181.3307022435756,,
Administrative and Support and Waste and Remediatio per mil,32079.419753894486,34102.82347003051,34580.311712427356,37153.194923218405,38381.58871566444,39173.65827802271,42040.329838729296,42700.458190148915,44547.941556852085,45742.1674276062,43624.12448250419,46447.72117962467,46034.46008154676,43298.871777272536,,
Private Education and Health Services per mil,72774.1687393638,76241.48763077606,80190.32275431645,86028.38634895528,88633.50655778272,92098.7214878639,97451.290408893,102121.99312714777,107782.57228255211,106368.55181015658,108663.21608880392,111311.8856121537,115465.82489368232,123454.16327055897,,
Private Educational Services per mil,5591.168673910197,5736.808520678978,6483.935422725569,6975.845643945111,7283.34570650829,7375.287515306744,7986.183746442558,7795.914471172203,7737.274059874309,7518.679074178457,6996.870490653271,7335.1206434316355,8095.927046341357,8315.387585260178,,
Health Care & Social Assistance per mil,67184.0227778505,70504.67911009707,73705.37151842736,79052.54070501016,81349.17099727789,84723.43397255716,89465.10666245045,94327.0332187858,100045.29822267781,98849.87273597813,101666.34559815064,103976.76496872207,107369.89784734097,115138.7756852988,,
Leisure and Hospitality per mil,69212.0614609242,70692.41801554848,73460.56054601989,75421.2372391227,79683.24672110863,80660.98052150296,85832.98873780739,87016.03665521192,87892.61976596856,90224.1488901415,70483.929006299,79148.34673815907,88678.15336051559,89428.16695980438,,
"Arts, Entertainment, and Recreation per mil",10081.8988087446,9746.008752941756,9870.656509889448,10104.05913118373,10624.10294481564,10518.852685765356,11002.408114616526,11080.565101183658,11254.216814362631,11731.90696764754,8117.2784536371,9971.403038427168,11201.718619843045,11768.692891767836,,
Accommodation & Food Services per mil,59130.1626521796,60946.40926260672,63589.90403613045,65318.18428789626,69059.14377629299,70142.1278357376,74829.60764758824,75935.47155402826,76638.40295160592,78492.24192249395,62365.741868182595,69176.05004468275,77476.43474067254,77660.33203208786,,
Other Services per mil,18715.636863463806,19243.75075659805,19495.486234207918,20400.298634211325,21339.272457312545,20997.08083702017,21648.707158667996,21549.25544100802,21352.062851049504,21464.675585142355,18067.373502033635,19452.189454870422,21388.048577315974,21871.219595898932,,
Government per mil,111662.807631889,117157.28416694194,113915.31978306294,111879.16181184837,111523.88022766642,110709.59454780056,114405.3902848386,120672.9667812142,121998.52382189452,121905.92518037911,112692.32307004504,107044.68275245756,106683.32675698189,109883.745871048,,
Federal Government per mil,7798.182026443252,7215.124164151513,6932.9248409998445,6875.227648215338,6714.179658500371,6633.406135078511,6876.01858383401,6801.260022909508,6713.1403297673105,6695.775793912545,6989.601014818826,6657.730116175156,6532.509097286159,6527.390502337952,,
State Government per mil,16269.308810053673,16499.47987090129,15981.788501604477,15864.439386713193,15780.252412769116,15717.825852293061,16508.477049937974,16664.7575410462,16419.902332155078,16213.59321824373,16174.583731640028,15162.645218945487,13313.165855583324,13291.57908283643,,
Local Government per mil,87595.31679539206,93441.65423623094,90999.5906272951,89139.49477691985,89029.44815639693,88358.36256042898,91021.86762666926,97205.99465444827,98865.48115997213,98995.63363091311,89528.13832358617,85225.20107238606,86836.77495725371,90064.77628587361,,
