TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,683975.0,677392.0,679400.0,678408.0,678425.0,684842.0,725850.0,730858.0,737583.0,743508.0,741175.0,746867.0,749325.0,763575.0,774733.0,787157.0
  Civilian Employment,596900.0,595300.0,607725.0,617592.0,628258.0,643667.0,687917.0,697858.0,710033.0,716808.0,673983.0,696700.0,720142.0,730908.0,738208.0,748486.0
  Civilian Unemployment,87075.0,82083.0,71683.0,60825.0,50158.0,41192.0,37917.0,33008.0,27558.0,26708.0,67217.0,50175.0,29175.0,32667.0,36542.0,38671.0
"Total, All Industries",568525.0,565833.0,576558.0,587783.0,599800.0,621317.0,644008.0,648258.0,665467.0,681867.0,651592.0,678867.0,706442.0,718675.0,,
  Total Farm,2567.0,2467.0,2608.0,2617.0,2608.0,2742.0,2242.0,3233.0,2633.0,2433.0,2367.0,3017.0,3000.0,3358.0,,
  Total Nonfarm,565958.0,563367.0,573950.0,585167.0,597192.0,618575.0,641767.0,645025.0,662833.0,679433.0,649225.0,675850.0,703442.0,715317.0,,
    Goods Producing,42967.0,43100.0,44908.0,48125.0,49933.0,51892.0,54250.0,56742.0,59950.0,63500.0,64167.0,67392.0,69075.0,67800.0,,
      Mining and Logging,67.0,150.0,200.0,192.0,158.0,100.0,175.0,142.0,167.0,200.0,208.0,50.0,58.0,117.0,,
      Construction,23525.0,22583.0,23608.0,27083.0,28458.0,30958.0,32933.0,35533.0,38625.0,41517.0,42208.0,44933.0,45633.0,44200.0,,
      Manufacturing,19375.0,20367.0,21100.0,20850.0,21317.0,20833.0,21142.0,21100.0,21150.0,21792.0,21750.0,22408.0,23342.0,23567.0,,
        Durable Goods,12208.0,12933.0,13817.0,13992.0,14217.0,14167.0,13983.0,13775.0,13625.0,14200.0,14367.0,14692.0,15533.0,15567.0,,
        Nondurable Goods,7167.0,7433.0,7283.0,6858.0,7100.0,6667.0,7167.0,7325.0,7525.0,7592.0,7383.0,7717.0,7808.0,8017.0,,
    Service Providing,522992.0,520267.0,529042.0,537042.0,547258.0,566683.0,587517.0,588283.0,602883.0,615933.0,585058.0,608458.0,634367.0,647517.0,,
"      Trade, Transportation & Utilities",81658.0,82700.0,86400.0,87217.0,87533.0,90817.0,94125.0,96100.0,99375.0,99283.0,95183.0,101433.0,105500.0,106325.0,,
        Wholesale Trade,14133.0,14858.0,15900.0,15458.0,15183.0,15058.0,15667.0,16317.0,17750.0,17275.0,16242.0,16758.0,17725.0,18408.0,,
        Retail Trade,55600.0,56383.0,58258.0,59042.0,59317.0,62133.0,64100.0,64592.0,64267.0,63175.0,59142.0,62767.0,62867.0,62092.0,,
"        Transportation, Warehousing, and Utilities",11925.0,11458.0,12242.0,12717.0,13033.0,13625.0,14358.0,15192.0,17358.0,18833.0,19800.0,21908.0,24908.0,25825.0,,
      Information,13242.0,12600.0,11775.0,11000.0,10167.0,10017.0,9675.0,8500.0,8400.0,7967.0,6908.0,6883.0,7150.0,6642.0,,
      Financial Activities,32100.0,30567.0,31250.0,31533.0,31167.0,32692.0,33158.0,33350.0,33233.0,33358.0,33042.0,32817.0,32725.0,30292.0,,
        Finance & Insurance,24800.0,23167.0,23492.0,23533.0,23017.0,24358.0,24483.0,24200.0,23808.0,23817.0,23658.0,23192.0,22575.0,20808.0,,
        Real Estate & Rental & Leasing,7300.0,7400.0,7758.0,8000.0,8150.0,8333.0,8675.0,9142.0,9400.0,9542.0,9383.0,9625.0,10150.0,9483.0,,
      Professional and Business Services,76717.0,78275.0,83900.0,86133.0,88100.0,88408.0,94408.0,94850.0,95967.0,98850.0,95467.0,100817.0,99458.0,95117.0,,
"        Professional, Scientific & Technical Services",38633.0,37792.0,37850.0,37708.0,38325.0,39225.0,40417.0,40283.0,40700.0,42475.0,42775.0,46783.0,43875.0,43942.0,,
        Management of Companies & Enterprises,7408.0,7167.0,7208.0,7717.0,7633.0,7592.0,7950.0,9183.0,9992.0,10158.0,10050.0,10192.0,9525.0,9233.0,,
        Administrative and Support and Waste and Remediatio,30675.0,33317.0,38842.0,40708.0,42142.0,41592.0,46042.0,45400.0,45275.0,46192.0,42642.0,43875.0,46067.0,41925.0,,
      Private Education and Health Services,86417.0,87000.0,88375.0,91158.0,93267.0,101950.0,109492.0,106833.0,112167.0,116583.0,115550.0,118717.0,123175.0,132117.0,,
