TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,27942.0,28167.0,28608.0,28833.0,29175.0,29783.0,29858.0,30208.0,30675.0,31742.0,31883.0,32692.0,33800.0,34292.0,34392.0,34714.0
Civilian Employment,23683.0,24075.0,24850.0,25608.0,26392.0,27508.0,27842.0,28425.0,29092.0,30117.0,28692.0,30358.0,32117.0,32342.0,32225.0,32271.0
Civilian Unemployment,4267.0,4108.0,3750.0,3225.0,2750.0,2258.0,2050.0,1775.0,1583.0,1617.0,3217.0,2350.0,1675.0,1950.0,2175.0,2443.0
"Total, All Industries",14317.0,14242.0,14550.0,15483.0,16117.0,16058.0,16717.0,17008.0,17142.0,17583.0,16650.0,17458.0,18167.0,18108.0,,
Total Farm,1633.0,1592.0,1542.0,1675.0,1783.0,1842.0,2108.0,2233.0,2275.0,2358.0,2192.0,1983.0,1808.0,1700.0,,
Total Nonfarm,12683.0,12650.0,13008.0,13808.0,14333.0,14217.0,14608.0,14775.0,14867.0,15225.0,14458.0,15475.0,16358.0,16408.0,,
Goods Producing,3317.0,3383.0,3392.0,3492.0,3658.0,3258.0,3433.0,4783.0,4950.0,4775.0,4342.0,4625.0,4925.0,4817.0,,
Mining and Logging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Construction,808.0,725.0,717.0,817.0,892.0,1067.0,1217.0,1458.0,1600.0,1625.0,1542.0,1575.0,1642.0,1575.0,,
Manufacturing,2508.0,2658.0,2675.0,2675.0,2767.0,2192.0,2217.0,3325.0,3350.0,3150.0,2800.0,3050.0,3283.0,3242.0,,
Durable Goods,967.0,983.0,875.0,950.0,1000.0,1092.0,1100.0,992.0,1050.0,942.0,817.0,983.0,1092.0,1100.0,,
Nondurable Goods,1542.0,1675.0,1800.0,1725.0,1767.0,1100.0,1117.0,2333.0,2300.0,2208.0,1983.0,2067.0,2192.0,2142.0,,
Service Providing,9367.0,9267.0,9617.0,10317.0,10675.0,10958.0,11175.0,9992.0,9917.0,10450.0,10117.0,10850.0,11433.0,11592.0,,
"Trade, Transportation & Utilities",2675.0,2750.0,2875.0,3167.0,3308.0,3525.0,3542.0,2150.0,2133.0,2233.0,2075.0,2250.0,2483.0,2583.0,,
Wholesale Trade,358.0,317.0,367.0,383.0,317.0,400.0,400.0,308.0,333.0,375.0,342.0,392.0,400.0,400.0,,
Retail Trade,2017.0,2150.0,2217.0,2358.0,2542.0,2633.0,2642.0,1342.0,1300.0,1358.0,1275.0,1358.0,1483.0,1600.0,,
"Transportation, Warehousing, and Utilities",300.0,283.0,292.0,425.0,450.0,492.0,500.0,500.0,500.0,500.0,458.0,500.0,600.0,583.0,,
Information,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Financial Activities,300.0,300.0,300.0,375.0,375.0,375.0,400.0,300.0,300.0,300.0,308.0,375.0,333.0,300.0,,
Finance & Insurance,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,
Real Estate & Rental & Leasing,100.0,100.0,100.0,175.0,175.0,175.0,200.0,100.0,100.0,100.0,108.0,175.0,133.0,100.0,,
Professional and Business Services,692.0,683.0,942.0,1100.0,1175.0,1075.0,1100.0,1208.0,1117.0,1200.0,1275.0,1400.0,1442.0,1258.0,,
"Professional, Scientific & Technical Services",217.0,208.0,242.0,392.0,458.0,400.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,
Management of Companies & Enterprises,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Administrative and Support and Waste and Remediatio,475.0,475.0,700.0,708.0,717.0,675.0,700.0,908.0,817.0,900.0,975.0,1100.0,1142.0,958.0,,
Private Education and Health Services,1092.0,1058.0,1100.0,1200.0,1292.0,1367.0,1475.0,1425.0,1425.0,1517.0,1475.0,1492.0,1550.0,1700.0,,
Private Educational Services,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Health Care & Social Assistance,992.0,958.0,1000.0,1100.0,1192.0,1267.0,1375.0,1325.0,1325.0,1417.0,1375.0,1392.0,1450.0,1600.0,,
Leisure and Hospitality,1117.0,1083.0,1192.0,1233.0,1250.0,1267.0,1300.0,1433.0,1450.0,1600.0,1425.0,1608.0,1742.0,1842.0,,
Other Services,400.0,450.0,400.0,400.0,375.0,400.0,400.0,500.0,500.0,500.0,408.0,475.0,500.0,500.0,,
Government,2992.0,2842.0,2708.0,2742.0,2800.0,2850.0,2858.0,2875.0,2892.0,3000.0,3050.0,3150.0,3283.0,3308.0,,
Federal Government,192.0,167.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,117.0,100.0,100.0,100.0,,
State Government,208.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,133.0,200.0,,
Local Government,2592.0,2475.0,2408.0,2442.0,2500.0,2550.0,2558.0,2575.0,2592.0,2700.0,2733.0,2850.0,3050.0,3008.0,,
