TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,847577.1240426599,854723.6127383108,868638.1431767339,888148.9959421495,904610.1113967438,923614.1422959407,932480.4072610355,940975.9004237289,948394.4580277099,948805.998361792,899915.3153718283,928606.3868836412,950207.100591716,943135.4251720519,936991.1607350546,929624.9351846518
Civilian Unemployment per mil,152709.18330828144,145844.4278765932,131082.21476510068,111851.00405785038,94258.78320479863,75815.06228385321,68658.3160292049,58759.26906779661,51605.541972290135,50941.96963014302,100900.16623278863,71883.02948733636,49556.213017751485,56864.574827948214,63241.45150034892,70375.06481534828
"Total, All Industries per mil",512382.7929282084,505627.1523413924,508598.9932885906,536988.8669233171,552425.0214224508,539166.6386864991,559883.4483220577,563029.6610169492,558826.4058679707,553934.8497259152,522221.87372581,534014.4377829438,537485.2071005916,528053.1902484545,,
Total Farm per mil,58442.48801087968,56520.04118294458,53901.0067114094,58093.157146325386,61113.9674378749,61847.36258939664,70600.84399490923,73920.81567796611,74164.62917685411,74286.43437716589,68751.37220462316,60657.04147803744,53491.12426035503,49574.244721801006,,
Total Nonfarm per mil,453904.5164984611,449107.1111584478,454697.9865771812,478895.7097769916,491276.7780634105,477352.852298291,489249.1124656708,489108.84533898305,484661.77669111657,479648.4153487493,453470.50152118684,473357.3963049064,483964.49704142014,478478.94552665344,,
Goods Producing per mil,118710.18538400973,120105.08751375723,118568.2326621924,121111.22671938404,125381.31962296486,109391.26347245074,114977.56045280996,158335.5402542373,161369.19315403423,150431.60481381134,136185.42797101903,141471.91973571514,145710.05917159762,140470.08048524437,,
Mining and Logging per mil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Construction per mil,28917.042445064777,25739.34036283594,25062.919463087248,28335.58769465543,30574.121679520136,35825.806668233556,40759.59541831335,48265.36016949153,52159.73920130399,51194.00163820805,48364.33208920114,48176.92401810841,48579.88165680473,45929.0796687274,,
Manufacturing per mil,89757.3545200773,94365.74715092129,93505.31319910515,92775.63902472862,94841.47386461012,73599.03300540577,74251.45689597428,110070.18008474576,109209.45395273024,99237.6031756033,87821.09588181789,93294.99571760675,97130.1775147929,94541.00081651697,,
Durable Goods per mil,34607.40104502183,34898.995278162394,30585.850111856824,32948.35778448306,34275.92116538132,36665.21169794849,36841.047625427025,32838.98305084746,34229.828850855745,29676.768949656605,25624.941191230435,30068.518291936867,32307.69230769231,32077.452467047704,,
Nondurable Goods per mil,55185.74189392313,59466.751872758905,62919.463087248325,59827.281240245546,60565.55269922879,36933.82130745727,37410.40927054726,77231.19703389831,74979.6251018745,69560.83422594669,62196.15469058746,63226.477425669895,64852.071005917154,62463.54834946927,,
Service Providing per mil,335230.11953331897,329002.02364469063,336164.7091722595,357819.165539486,365895.4584404456,367928.01262465166,374271.5520128609,330773.3050847458,323292.5835370823,329216.81053493795,317316.43822726846,331885.47656919126,338254.4378698225,338038.0263618337,,
"Trade, Transportation & Utilities per mil",95734.02047097559,97631.98068661909,100496.36465324386,109839.420108903,113384.7472150814,118356.10918980627,118628.173353875,71173.19915254238,69535.45232273839,70348.4342511499,65081.70498384719,68824.1771687263,73461.53846153847,75323.69065671293,,
Wholesale Trade per mil,12812.253954620284,11254.30468278482,12828.579418344518,13283.390559428433,10865.467009425878,13430.48047543901,13396.744591064371,10195.974576271186,10855.745721271393,11814.000378048013,10726.719568422042,11990.701088951426,11834.319526627218,11664.52816983553,,
Retail Trade per mil,72185.24085605898,76330.45762772037,77495.80536912753,81781.29226927478,87129.39160239931,88406.13772957727,88485.49802398018,44425.31779661017,42379.788101059494,42782.43336903786,39989.96330332779,41539.21448672458,43875.73964497042,46658.11267934212,,
"Transportation, Warehousing, and Utilities per mil",10736.525660296329,10047.218376113891,10206.935123042505,14740.054798321367,15424.164524421594,16519.49098478998,16745.930738830466,16551.906779661018,16299.918500407497,15752.000504064015,14365.022112097355,15294.261593050287,17751.479289940828,17001.049807535284,,
Information per mil,3578.8418867654427,3550.2538431497856,3495.525727069351,3468.248187840322,3427.5921165381324,3357.6201188597524,3349.1861477660927,3310.3813559322034,3259.9837000814996,3150.4001008128034,3136.4677100649246,3058.8523186100574,2958.5798816568044,2916.1320424588826,,
Financial Activities per mil,10736.525660296329,10650.761529449355,10486.577181208055,13005.930704401206,12853.470437017995,12591.075445724071,13396.744591064371,9931.14406779661,9779.951100244498,9451.200302438408,9660.320546999968,11470.696194787715,9852.07100591716,8748.396127376647,,
Finance & Insurance per mil,7157.683773530885,7100.507686299571,6991.051454138702,6936.496375680644,6855.184233076265,6715.240237719505,6698.3722955321855,6620.762711864407,6519.967400162999,6300.800201625607,6272.935420129849,6117.704637220115,5917.159763313609,5832.264084917765,,
Real Estate & Rental & Leasing per mil,3578.8418867654427,3550.2538431497856,3495.525727069351,6069.434328720563,5998.2862039417305,5875.835208004566,6698.3722955321855,3310.3813559322034,3259.9837000814996,3150.4001008128034,3387.3851268701187,5352.9915575676005,3934.9112426035504,2916.1320424588826,,
Professional and Business Services per mil,24765.585856416863,24248.233748713035,32927.852348993285,38150.73006624354,40274.20736932305,36094.41627774233,36841.047625427025,39989.40677966102,36414.01792991035,37804.801209753634,39989.96330332779,42823.932460540804,42662.72189349112,36684.941094132744,,
"Professional, Scientific & Technical Services per mil",7766.08689428101,7384.527993751553,8459.17225950783,13595.532896334062,15698.371893744643,13430.48047543901,13396.744591064371,9931.14406779661,9779.951100244498,9451.200302438408,9409.403130194776,9176.556955830172,8875.739644970414,8748.396127376647,,
Management of Companies & Enterprises per mil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Administrative and Support and Waste and Remediatio per mil,16999.49896213585,16863.70575496148,24468.68008948546,24555.19716990948,24575.835475578406,22663.935802303327,23444.303034362652,30058.262711864405,26634.06682966585,28353.60090731523,30580.560173133017,33647.37550471063,33786.98224852071,27936.544966756097,,
Private Education and Health Services per mil,39080.953403478634,37561.68566052473,38450.782997762864,41618.97825408386,44284.490145672666,45898.667024812814,49400.49567954987,47172.9343220339,46454.76772616137,47791.56952933023,46262.89872345764,45638.07659366206,45857.98816568047,49574.244721801006,,
Private Educational Services per mil,3578.8418867654427,3550.2538431497856,3495.525727069351,3468.248187840322,3427.5921165381324,3357.6201188597524,3349.1861477660927,3310.3813559322034,3259.9837000814996,3150.4001008128034,3136.4677100649246,3058.8523186100574,2958.5798816568044,2916.1320424588826,,
Health Care & Social Assistance per mil,35502.11151671319,34011.43181737494,34955.25727069351,38150.73006624354,40856.89802913453,42541.04690595306,46051.30953178377,43862.5529661017,43194.78402607987,44641.16942851742,43126.431013392714,42579.224275052,42899.408284023666,46658.11267934212,,
Leisure and Hospitality per mil,39975.663875169994,38449.249121312176,41666.666666666664,42763.50015607117,42844.90145672665,42541.04690595306,43539.419920959204,47437.76483050847,47269.76365118175,50406.401613004855,44694.66486842518,49186.34528324972,51538.46153846154,53715.15222209262,,
Other Services per mil,14315.36754706177,15976.142294174035,13982.102908277404,13872.992751361287,12853.470437017995,13430.48047543901,13396.744591064371,16551.906779661018,16299.918500407497,15752.000504064015,12796.788257064894,14529.548513397775,14792.899408284024,14580.660212294413,,
Government per mil,107078.94925202205,100898.2142223169,94658.83668903803,95099.36531058162,95972.57926306769,95692.17338750293,95719.74010315492,95173.46398305085,94278.72860635698,94512.0030243841,95662.2651569802,96353.84803621682,97130.1775147929,96465.64796453984,,
Federal Government per mil,6871.37642258965,5928.923918060141,3495.525727069351,3468.248187840322,3427.5921165381324,3357.6201188597524,3349.1861477660927,3310.3813559322034,3259.9837000814996,3150.4001008128034,3669.667220775962,3058.8523186100574,2958.5798816568044,2916.1320424588826,,
State Government per mil,7443.991124472121,7100.507686299571,6991.051454138702,6936.496375680644,6855.184233076265,6715.240237719505,6698.3722955321855,6620.762711864407,6519.967400162999,6300.800201625607,6272.935420129849,6117.704637220115,3934.9112426035504,5832.264084917765,,
Local Government per mil,92763.58170496026,87868.78261795717,84172.25950782998,84694.62074706066,85689.8029134533,85619.31303092369,85672.18165985665,85242.31991525424,84498.77750611247,85060.80272194569,85719.6625160744,87177.29108038664,90236.68639053254,87717.25183716319,,
