TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,1516650.0,1518650.0,1536183.0,1539042.0,1539158.0,1549467.0,1593667.0,1601983.0,1608992.0,1611183.0,1569633.0,1571258.0,1609825.0,1636692.0,1648483.0,1674171.0
Civilian Employment,1352025.0,1361792.0,1395358.0,1417250.0,1438867.0,1468525.0,1519608.0,1538567.0,1556108.0,1560008.0,1425350.0,1471258.0,1554725.0,1575725.0,1577308.0,1599357.0
Civilian Unemployment,164608.0,156875.0,140825.0,121783.0,100325.0,80933.0,74025.0,63400.0,52908.0,51192.0,144300.0,100008.0,55083.0,60992.0,71175.0,74814.0
"Total, All Industries",1250992.0,1260050.0,1292575.0,1325733.0,1354075.0,1393883.0,1431500.0,1460942.0,1491425.0,1512750.0,1394967.0,1451075.0,1540583.0,1559825.0,1567108.0,1572586.0
Total Farm,10525.0,9792.0,9800.0,9750.0,9383.0,9083.0,8925.0,8700.0,9267.0,9692.0,9150.0,9025.0,9592.0,9358.0,9033.0,8914.0
Total Nonfarm,1240467.0,1250258.0,1282775.0,1315983.0,1344692.0,1384800.0,1422575.0,1452242.0,1482158.0,1503058.0,1385817.0,1442050.0,1530992.0,1550467.0,1558075.0,1563671.0
Total Private,1010000.0,1021300.0,1054942.0,1086500.0,1112775.0,1148650.0,1180333.0,1205958.0,1234067.0,1254483.0,1148725.0,1204150.0,1284408.0,1300925.0,1303400.0,1301214.0
Goods Producing,151492.0,152133.0,155700.0,160875.0,166725.0,176783.0,184975.0,189242.0,196358.0,199967.0,195400.0,198542.0,204683.0,205125.0,203250.0,199257.0
"Mining, Logging, and Construction",55808.0,55617.0,57375.0,61317.0,64317.0,70225.0,76583.0,79842.0,84017.0,84308.0,81625.0,84133.0,87800.0,89650.0,90633.0,89700.0
Mining and Logging,375.0,375.0,350.0,300.0,392.0,308.0,300.0,300.0,367.0,358.0,308.0,325.0,400.0,317.0,300.0,300.0
Construction,55433.0,55242.0,57025.0,61017.0,63925.0,69917.0,76283.0,79542.0,83650.0,83950.0,81317.0,83808.0,87400.0,89333.0,90333.0,89400.0
Manufacturing,95683.0,96517.0,98325.0,99558.0,102408.0,106558.0,108392.0,109400.0,112342.0,115658.0,113775.0,114408.0,116883.0,115475.0,112617.0,109557.0
Durable Goods,73783.0,74283.0,75217.0,75492.0,77300.0,80283.0,81233.0,81508.0,83717.0,86267.0,85400.0,83917.0,84608.0,84550.0,82917.0,81014.0
Non-Durable Goods,21900.0,22233.0,23108.0,24067.0,25108.0,26275.0,27158.0,27892.0,28625.0,29392.0,28375.0,30492.0,32275.0,30925.0,29700.0,28543.0
Service-Providing,1088975.0,1098125.0,1127075.0,1155108.0,1177967.0,1208017.0,1237600.0,1263000.0,1285800.0,1303092.0,1190417.0,1243508.0,1326308.0,1345342.0,1354825.0,1364414.0
Private Service Providing,858508.0,869167.0,899242.0,925625.0,946050.0,971867.0,995358.0,1016717.0,1037708.0,1054517.0,953325.0,1005608.0,1079725.0,1095800.0,1100150.0,1101957.0
"Trade, Transportation, and Utilities",199133.0,202792.0,209925.0,214225.0,216158.0,219258.0,220875.0,224700.0,225033.0,223967.0,207758.0,216833.0,222442.0,223542.0,222942.0,220286.0
Wholesale Trade,41933.0,43275.0,45383.0,45767.0,44858.0,44058.0,43708.0,43833.0,43775.0,44033.0,41308.0,42075.0,43742.0,43475.0,42933.0,42286.0
Retail Trade,130683.0,133442.0,137233.0,141258.0,144300.0,146833.0,147458.0,148917.0,147917.0,145617.0,133192.0,137642.0,138642.0,138783.0,137617.0,136300.0
Food and Beverage Retailers,27342.0,27625.0,27517.0,28833.0,30142.0,30842.0,31200.0,31525.0,31667.0,32100.0,32217.0,31883.0,31950.0,32783.0,33133.0,33257.0
General Merchandise Retailers,28633.0,27558.0,27250.0,26642.0,26617.0,27675.0,27658.0,27600.0,27908.0,27792.0,25933.0,26467.0,26733.0,26342.0,26508.0,26143.0
"Clothing, Clothing Accessories, Shoe, and Jewelry",16658.0,17725.0,18467.0,18592.0,18667.0,18292.0,17983.0,17267.0,17042.0,16217.0,11792.0,13092.0,14100.0,14675.0,14642.0,14700.0
"Transportation, Warehousing, and Utilities",26517.0,26075.0,27308.0,27200.0,27000.0,28367.0,29708.0,31950.0,33342.0,34317.0,33258.0,37117.0,40058.0,41283.0,42392.0,41700.0
Information,25083.0,24167.0,24392.0,24125.0,24142.0,23425.0,23233.0,23425.0,23625.0,23525.0,22050.0,21517.0,22075.0,21983.0,21117.0,20357.0
Financial Activities,67175.0,67417.0,69850.0,70958.0,69642.0,71383.0,72992.0,74642.0,76025.0,76542.0,74775.0,76208.0,76875.0,72475.0,71417.0,69857.0
Finance and Insurance,41258.0,41750.0,43700.0,43925.0,42125.0,43533.0,45058.0,46250.0,46717.0,46383.0,46167.0,46817.0,46067.0,42350.0,40967.0,40029.0
Real Estate and Rental and Leasing,25917.0,25667.0,26150.0,27033.0,27517.0,27850.0,27933.0,28392.0,29308.0,30158.0,28608.0,29392.0,30808.0,30125.0,30450.0,29829.0
Professional and Business Services,203300.0,204908.0,210933.0,218692.0,222550.0,229475.0,234708.0,239075.0,249025.0,255775.0,248300.0,265267.0,282508.0,275575.0,267317.0,263800.0
"Professional, Scientific, and Technical Services",112783.0,113333.0,115017.0,118350.0,121542.0,125008.0,129050.0,132433.0,138625.0,144975.0,142408.0,151292.0,159692.0,157042.0,152425.0,149300.0
Management of Companies and Enterprises,17058.0,17542.0,19017.0,20850.0,21750.0,22058.0,21817.0,22250.0,23767.0,23833.0,23708.0,23817.0,23117.0,22425.0,21950.0,21957.0
Administrative and Support and Waste and Remediatio,73458.0,74033.0,76900.0,79492.0,79258.0,82408.0,83842.0,84392.0,86633.0,86967.0,82183.0,90158.0,99700.0,96108.0,92942.0,92543.0
Private Education and Health Services,164558.0,167925.0,174583.0,181083.0,186083.0,192692.0,198733.0,204283.0,208850.0,216625.0,210942.0,216650.0,228275.0,244483.0,257308.0,266529.0
Private Educational Services,25433.0,27125.0,29067.0,29542.0,29725.0,29433.0,29742.0,29625.0,29325.0,30183.0,27633.0,26242.0,29292.0,29317.0,30892.0,31271.0
Health Care and Social Assistance,139125.0,140800.0,145517.0,151542.0,156358.0,163258.0,168992.0,174658.0,179525.0,186442.0,183308.0,190408.0,198983.0,215167.0,226417.0,235257.0
Leisure and Hospitality,153167.0,154308.0,160400.0,167233.0,175500.0,182400.0,190375.0,195583.0,199642.0,201667.0,144750.0,161625.0,193117.0,200933.0,202508.0,203629.0
"Arts, Entertainment, and Recreation",24050.0,24058.0,24767.0,25867.0,26617.0,27633.0,28858.0,29442.0,30283.0,30183.0,19100.0,22383.0,28467.0,30192.0,31458.0,33100.0
Accommodation and Food Services,129117.0,130250.0,135633.0,141367.0,148883.0,154767.0,161517.0,166142.0,169358.0,171483.0,125650.0,139242.0,164650.0,170742.0,171050.0,170529.0
Food Services and Drinking Places,101325.0,103283.0,108458.0,114183.0,121150.0,125992.0,131383.0,135258.0,138042.0,139350.0,105883.0,118783.0,137050.0,141067.0,140608.0,139786.0
Other Services,46092.0,47650.0,49158.0,49308.0,51975.0,53233.0,54442.0,55008.0,55508.0,56417.0,44750.0,47508.0,54433.0,56808.0,57542.0,57500.0
Government,230467.0,228958.0,227833.0,229483.0,231917.0,236150.0,242242.0,246283.0,248092.0,248575.0,237092.0,237900.0,246583.0,249542.0,254675.0,262457.0
Federal Government,46992.0,46733.0,46750.0,46533.0,45758.0,45975.0,46792.0,46867.0,47125.0,47550.0,48625.0,47650.0,46950.0,47075.0,46733.0,46429.0
Department of Defense,21517.0,22217.0,22100.0,22067.0,21458.0,21883.0,22667.0,22750.0,23017.0,23675.0,24183.0,24075.0,23317.0,23008.0,22650.0,22529.0
Total State and Local Government,183475.0,182225.0,181083.0,182950.0,186158.0,190175.0,195450.0,199417.0,200967.0,201025.0,188467.0,190250.0,199633.0,202467.0,207942.0,216029.0
State Government,42542.0,42925.0,42583.0,43075.0,44117.0,45650.0,47558.0,49292.0,50658.0,50433.0,48225.0,51025.0,55700.0,57908.0,60633.0,65029.0
State Government Educational Services,27867.0,28183.0,27900.0,28558.0,29300.0,30392.0,31567.0,32550.0,33550.0,32725.0,30467.0,31983.0,34642.0,36042.0,38125.0,42157.0
State Government Excluding Education,14675.0,14742.0,14683.0,14517.0,14817.0,15258.0,15992.0,16742.0,17108.0,17708.0,17758.0,19042.0,21058.0,21867.0,22508.0,22871.0
Local Government,140933.0,139300.0,138500.0,139875.0,142042.0,144525.0,147892.0,150125.0,150308.0,150592.0,140242.0,139225.0,143933.0,144558.0,147308.0,151000.0
Local Government Educational Services,77283.0,77092.0,75675.0,75708.0,76458.0,78025.0,80042.0,80908.0,80508.0,80433.0,73517.0,72267.0,75867.0,78492.0,81508.0,84443.0
Local Government excluding Educational Services,63650.0,62208.0,62825.0,64167.0,65583.0,66500.0,67850.0,69217.0,69800.0,70158.0,66725.0,66958.0,68067.0,66067.0,65800.0,66557.0
County Government,19550.0,18833.0,19017.0,19392.0,20117.0,20192.0,20375.0,20742.0,20725.0,20308.0,20858.0,21042.0,21942.0,20733.0,21092.0,21429.0
