TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,891454.8511522105,896712.2115036381,908327.9791535253,920865.0576137623,934840.3477745625,947761.3914978505,953529.1877161289,960414.0618221292,967132.2169407927,968237.6241556669,908078.5126204661,936356.7281757675,965772.6771543492,962749.8637495632,956823.9405562569,955312.8085482308
Civilian Unemployment per mil,108533.93993340587,103298.98264906331,91672.02084647467,79129.09459261021,65181.742225294605,52232.80005317958,46449.477839473366,39575.95055627931,32882.699230325576,31772.927097666743,91932.31793674063,63648.36328597849,34216.76269159691,37265.41096308896,43176.05944374313,44687.191451769264
"Total, All Industries per mil",824838.9542742228,829717.1830243967,841419.9349947239,861401.4432354673,879750.4869545557,899588.6972746112,898242.8575103832,911958.4914446658,926931.2712555439,938906.3812118177,888721.758525719,923511.6066234827,956987.8713524762,953035.1465028239,950636.4336180597,939322.207827038
Total Farm per mil,6939.636699304388,6447.831956013564,6379.448281877875,6335.109763086388,6096.19025467171,5862.015777038169,5600.29165440459,5430.769240372713,5759.506573059407,6015.4557241480325,5829.388143597899,5743.805282136988,5958.41162859317,5717.630439936164,5479.583350268094,5324.426238418895
Total Nonfarm per mil,817899.3175749184,823269.3510683831,835040.486712846,855066.3334723809,873654.2966998839,893726.681497573,892642.5658559786,906527.722204293,921171.7646824844,932890.9254876697,882892.3703821212,917767.8013413457,951030.0809094156,947317.5160628879,945156.8502677917,933997.1842780695
Total Private per mil,665941.3839712525,672505.1855266191,686729.3805490622,705958.6418044473,722976.4585572112,741319.4343603316,740639.66939141,752790.7599518846,766981.4393110718,778609.8785799006,731843.0486616936,766360.4576714963,797855.667541503,794850.2222776185,790666.3277692279,777228.8493827692
Goods Producing per mil,99885.93281244849,100176.47252493992,101355.11198861073,104529.31109092539,108322.21253438569,114092.78158231186,116068.7897785422,118129.84282604746,122037.89701875461,124111.91031682931,124487.69871683381,126358.62474526779,127146.11836690323,125329.01731052634,123295.1750184867,119018.30816565333
"Mining, Logging, and Construction per mil",36796.88787788877,36622.6582820268,37349.06583395338,39841.01798391467,41787.132964906785,45322.03654547015,48054.581038573306,49839.480194234275,52217.164535311545,52326.76859177387,52002.601882096,53544.99388388158,54540.08976130946,54775.11957045064,54979.638855845034,53578.75629192
Mining and Logging per mil,247.25546434576202,246.929839001745,227.83743863849554,194.92645424881192,254.6847042343931,198.7780314133828,188.24509762704503,187.26790484043838,228.09311668423462,222.1969819691494,196.2242129211096,206.8406334287558,248.47421303557837,193.68335642869886,181.98549818226817,179.19316485591972
Construction per mil,36549.632413543004,36375.72844302506,37121.22839531489,39646.09152966586,41532.44826067239,45123.25851405677,47866.335940946265,49652.21228939383,51989.07141862731,52104.57160980472,51806.37766917489,53338.15325045282,54291.615548273876,54581.436214021945,54797.65335766277,53399.56312706408
Manufacturing per mil,63088.385586654804,63554.472722483784,64006.04615465736,64688.29310701073,66535.0795694789,68770.7450368417,68014.20873996889,68290.36263181319,69821.35399057297,71784.52106309462,72485.09683473781,72812.99442866798,72606.02860559378,70553.89774007571,68315.53616264164,65439.55187373333
Durable Goods per mil,48648.6664688623,48913.83794817766,48963.56749163348,49051.29294717103,50222.26438091476,51813.300960911074,50972.3800517925,50879.44129244817,52030.712396332616,53542.645372996114,54407.62267358038,53407.52441674124,52557.265541285546,51659.0781894211,50298.9718425971,48390.516858791605
Non-Durable Goods per mil,14439.719117792503,14639.976294735456,15042.478663023872,15637.649914687187,16312.815188564138,16957.444075930624,17041.20120451763,17410.921339365024,17790.64159424037,18242.496352059326,18077.474161157417,19406.10644464499,20048.763064308234,18894.81955065461,18016.56432004455,17049.03501494172
Service-Providing per mil,718013.3847624699,723092.8785434432,733685.3747242354,750537.0223814555,765332.0841654983,779633.8999152612,776573.7760774365,788397.8793782456,799133.8676637298,808779.6358328011,758404.6716652873,791409.1765960777,823883.3413569798,821988.4987523615,821861.675249305,814978.8761124163
Private Service Providing per mil,566055.451158804,572328.713001679,585374.2685604515,601429.3307135218,614654.2460228255,627226.6527780198,624570.8796128677,634661.5413521867,644942.9207851873,654498.5889250321,607355.3499448597,640001.8329262286,670709.5491745997,669521.2049670921,667371.1527507411,658210.5412171158
"Trade, Transportation, and Utilities per mil",131297.92635083903,133534.38909557828,136653.64087481765,139193.7322048391,140439.12320892332,141505.43380401132,138595.4531279119,140263.66072548836,139859.61396949145,139007.79737621362,132360.87671449312,137999.6155946382,138177.75224015032,136581.5926270795,135240.70311917076,131579.15171150377
Wholesale Trade per mil,27648.43569709557,28495.70342080137,29542.704222088127,29737.33010535125,29144.506282006136,28434.293857177985,27426.05575694295,27361.71357623645,27206.474612676757,27329.608120244568,26316.979829042837,26777.906620045847,27171.897566505675,26562.72530201162,26043.9446448644,25257.873896991405
Retail Trade per mil,86165.56225892593,87868.83086952227,89333.7577619333,91783.07024759558,93752.55821689521,94763.554177017,92527.4853529627,92957.91528374521,91931.47013782542,90378.93274693191,84855.50443957282,87599.87220431017,86122.40460919664,84794.81783988679,83480.99434449733,81413.42789953954
Food and Beverage Retailers per mil,18027.8904163782,18190.498139795214,17912.57942575852,18734.381517853315,19583.43457916601,19904.909236531013,19577.490153212686,19678.73566698273,19681.266283486802,19923.248941926526,20525.18008986814,20291.384355720067,19846.877766216825,20030.036194959102,20099.085037576973,19864.756945377743
General Merchandise Retailers per mil,18879.108561632544,18146.380008560234,17738.772008282867,17310.76864698949,17293.22135869092,17860.980582355092,17354.94303389604,17228.64724532033,17345.020982080707,17249.437214767036,16521.69647299719,16844.464753719632,16606.152842700292,16094.659227270617,16080.238619385216,15615.489696094366
"Clothing, Clothing Accessories, Shoe, and Jewelry per mil",10983.41740019121,11671.550390149145,12021.354226677422,12080.242124646371,12128.059627406674,11805.34983965454,11284.038635423836,10778.516376266165,10591.724508263558,10065.275018418144,7512.584151836767,8332.177147228525,8758.716009504138,8966.25632678598,8882.105547949235,8780.465077940067
"Transportation, Warehousing, and Utilities per mil",17483.928394817525,17169.85480525467,17776.52792668582,17673.33185189228,17542.058710021975,18307.58576981633,18641.284534347516,19944.031865506688,20722.290726119212,21299.25650903715,21188.392445877475,23622.473203000398,24883.450064448,25223.438496675,25715.764129809046,24907.849914972845
Information per mil,16538.423499159333,15913.475784413788,15878.31658077195,15675.335695841959,15685.199310272239,15118.101902137962,14578.327843897127,14622.502236290897,14683.105944591396,14601.07262800067,14047.869788670345,13694.12279842012,13712.670631900983,13431.360329249486,12809.959217049856,12159.450856573194
Financial Activities per mil,44291.69551313751,44392.717215948374,45469.84311113975,46105.30446862399,45246.81676605001,46069.39031292697,45801.287219977574,46593.503177000006,47250.07955291263,47506.70780414143,47638.5244194025,48501.26459181115,47753.63781777523,44281.3919784541,43322.86107894349,41726.32305779995
Finance and Insurance per mil,27203.3758612732,27491.522075527606,28447.131624292157,28540.481676263546,27368.860117025022,28095.467667268807,28273.158696264654,28870.46866290092,29034.948588930212,28788.163728142616,29412.60791535346,29795.870569950956,28616.153929774973,25875.363232666867,24851.333013443265,23909.743986725367
Real Estate and Rental and Leasing per mil,17088.319651864305,16901.19514042077,17022.711486847595,17564.822792360443,17877.956649024985,17973.922645658153,17527.501040054165,17723.034514099087,18215.130963982418,18717.92341403801,18225.916504049037,18706.03045457843,19137.48388800025,18406.028745787236,18471.52806550022,17817.1763816241
Professional and Business Services per mil,134045.42907064912,134927.73186711883,137309.81269809653,142096.18710860392,144592.04318205148,148099.3141512533,147275.43457949496,149236.91449909267,154770.81303076708,158749.8130255843,158189.84437763478,168824.597869987,175489.88244063794,168373.15756415992,162159.3913919646,157570.52296330544
"Professional, Scientific, and Technical Services per mil",74363.23476082155,74627.4651828927,74871.93908538242,76898.48620115631,78966.55184198113,80678.06542507843,80976.76616256722,82668.16813911259,86156.42588651777,89980.46776809338,90726.94062879667,96287.17880831793,99198.36007019396,95950.85697247864,92463.79853477409,89178.46504329606
Management of Companies and Enterprises per mil,11247.156562160024,11551.048628716293,12379.384487395057,13547.388570292429,14131.102849739922,14235.863041936356,13689.810983097474,13889.036275665847,14771.359957041426,14792.236511929434,15104.167662122292,15157.91805037747,14359.945956858664,13701.417248938713,13315.272283669288,13115.147735804765
Administrative and Support and Waste and Remediatio per mil,48434.37839976263,48749.21805550983,50059.14008942945,51650.31233715519,51494.38849033042,53184.74030101964,52609.48491748903,52679.710084314254,53843.02718720789,53977.10874556149,52358.09899511542,57379.50101129159,61932.19759911791,58720.883342742556,56380.320573521225,55276.9101842046
Private Education and Health Services per mil,108500.97253815975,110575.18190498141,113647.26728521277,117659.55704912537,120899.21892359329,124360.18321138817,124701.70995571848,127518.8313483976,129801.7640858376,134450.89725996365,134389.37637014512,137883.14840719983,141801.12745174163,149376.30293298923,156087.74855427688,159200.58345294476
Private Educational Services per mil,16769.19526588204,17861.258354459555,18921.573796871857,19195.057704728006,19312.507227977894,18995.564281136674,18662.618978745246,18492.70560299329,18225.696585191225,18733.4399630582,17604.752193665656,16701.267392115107,18195.76662059541,17912.35003287118,18739.653366155428,18678.498194031552
Health Care and Social Assistance per mil,91731.77727227772,92713.92355052184,94726.3444524513,98465.14909924485,101586.71169561539,105363.97354703263,106039.718460632,109026.1257454043,111576.06750064637,115717.45729690544,116783.98708487909,121181.88101508473,123605.36083114624,131464.56388862414,137348.7018064487,140521.4879483637
Leisure and Hospitality per mil,100990.34055319289,101608.66559115003,104414.64330747053,108660.45241130522,114023.38161514282,117717.8991227306,119457.20153582901,122088.06210802487,124078.92643344405,125167.03565020238,92219.00915691757,102863.43808591587,119961.48649697949,122767.75349302129,122845.06421964923,121629.7498881536
"Arts, Entertainment, and Recreation per mil",15857.317113374871,15841.701511210615,16122.42812217034,16807.20864018006,17293.22135869092,17833.87448716236,18107.92342440422,18378.472181040623,18821.10041566397,18733.4399630582,12168.449567510366,14245.273532417974,17683.288556209525,18446.96497569488,19082.99933939264,19770.979189103145
Accommodation and Food Services per mil,85133.02343981802,85766.96407993941,88292.21518530019,91853.89352597264,96730.16025645191,99884.02463556823,101349.27811142479,103710.21415333371,105257.20451065015,106432.97502518336,80050.55958940722,88618.1645534979,102278.19794076997,104321.3995058325,103762.06488025657,101858.77069905045
Food Services and Drinking Places per mil,66808.4264662249,68009.74549764594,70602.265485297,74190.95775164031,78711.86713774674,81313.12251245105,82440.68553844687,84431.60757636005,85794.0872297687,86489.24423855019,67457.16992443457,75597.38757097816,85133.47724131505,86190.31558778316,85295.38976137455,83495.65247516533
Other Services per mil,30390.663633666307,31376.551542488396,32000.0937388319,32038.112020334727,33768.463016792295,34355.68489035262,34161.46535003863,34337.44303154278,34498.617768143034,35015.88584288688,28509.84911759628,30235.645578256404,33812.9920954141,34709.03505363257,34906.03178801359,34345.35659738461
Government per mil,151957.93360366597,150764.16554176406,148311.10616378387,149107.6916679337,150677.8381426728,152407.2471372414,152002.89646456882,153736.33802605895,154190.9468785426,154281.046907769,151049.32172042766,151407.34366984927,153173.79218238007,152467.29378526928,154490.52249856383,156768.33489530042
Federal Government per mil,30984.076748096133,30772.725776182793,30432.57216099905,30235.04231853322,29729.241572340205,29671.493487760632,29361.215360548973,29255.616320522753,29288.523497941565,29512.476236405175,30978.57906911998,30326.019024246812,29164.660755051013,28762.283923914823,28349.094288506465,27732.531503651655
Department of Defense per mil,14187.188870207365,14629.440621604714,14386.306839745004,14338.14021969511,13941.388733320426,14122.920978633298,14223.172093040766,14201.14945039991,14305.22960959408,14694.17192212182,15406.786172309068,15322.117691683987,14484.183063376455,14057.623547985815,13739.90511276125,13456.809370130051
Total State and Local Government per mil,120973.85685556984,119991.43976558126,117878.53400278481,118872.64934940048,120947.94686445447,122735.75364948076,122641.68110401985,124481.34593188568,124902.42338060102,124768.57067136384,120070.74265130766,121081.32464560244,124009.13142732906,123705.0098613545,126141.42821005736,129036.4007021983
State Government per mil,28049.97857119309,28265.23557106641,27720.00471298016,27988.19005589191,28663.074226297755,29461.74394162638,29841.867843156695,30769.365217982962,31484.308187983534,31301.844669413713,30723.742428962694,32473.97944831466,34600.03416520429,35381.12241032522,36781.08903761822,38842.50772471868
State Government Educational Services per mil,18374.04806646227,18557.929740229807,18161.89868004007,18555.698934791904,19036.382229764586,19614.486788037433,19807.776655976435,20318.567675187565,20851.564209144606,20311.162667431323,19410.269789180016,20355.0276275443,21519.10921994627,22021.247736287583,23127.323727329913,25180.82083610336
State Government Excluding Education per mil,9675.93050473082,9707.305830836598,9558.106032940086,9432.491121100009,9626.69199653317,9847.257153588944,10034.718670839015,10450.797542795399,10632.743978838926,10990.682001982395,11313.472639782674,12118.951820770364,13080.924945258026,13360.485662543717,13653.765310288307,13661.089578065801
Local Government per mil,92923.87828437674,91726.20419451487,90158.52928980466,90884.45929350857,92285.52234403485,93274.00970785438,92799.81326086316,93711.9807139027,93417.49368548756,93466.72600195013,89347.00022234497,88607.34519728777,89409.09726212476,88323.2764625232,89359.73255411186,90193.8929774796
Local Government Educational Services per mil,50956.38413608941,50763.5070621934,49261.70905419471,49191.63999423018,49675.212031513336,50356.02565269218,50225.04701421313,50504.905482767295,50036.296016387896,49921.70349364411,46837.06318610784,45993.08324921814,47127.482800925565,47957.70981956288,49444.24661946772,50438.694733094766
Local Government excluding Educational Services per mil,41967.49414828734,40962.697132321475,40896.82023560995,41692.81929927838,42609.660606643374,42917.9840551622,42574.76624665002,43207.075231135415,43381.19766909966,43544.4018463452,42509.937036237134,42614.26194806964,42282.23564673179,40366.177631466395,39915.48593464415,39755.19824438483
County Government per mil,12890.251541225727,12401.145754452968,12379.384487395057,12600.046002643203,13070.133150722668,13031.577955516315,12784.979547170142,12947.70294066791,12880.735267794991,12604.403100082363,13288.456601001637,13391.817257255014,13630.052956066653,12667.624696644207,12794.793758868002,12799.767765658347
City Government per mil,11890.020769459004,11583.97260724986,11321.56780800204,11397.999534775528,11673.2655127024,11831.8105516284,11791.672915358102,11870.912487835389,11803.66341162666,11983.741139274682,11966.49153018572,11975.75445916584,11926.762225707764,11929.550581294465,12197.881324830161,12645.661643882255
