TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,486192.0,492650.0,507942.0,514733.0,527883.0,541675.0,512900.0,519675.0,527092.0,538633.0,518667.0,497058.0,517142.0,517208.0,510383.0,512057.0
  Civilian Employment,442608.0,453050.0,473392.0,486358.0,504492.0,521875.0,494550.0,503125.0,513483.0,525792.0,474475.0,469800.0,502842.0,499542.0,490575.0,491886.0
  Civilian Unemployment,43567.0,39608.0,34525.0,28367.0,23375.0,19800.0,18375.0,16558.0,13608.0,12850.0,44183.0,27275.0,14300.0,17650.0,19808.0,20157.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",543525.0,557550.0,586442.0,607458.0,633458.0,675175.0,703550.0,719458.0,735142.0,762850.0,696500.0,699008.0,754450.0,743742.0,,
  Total Farm,250.0,175.0,133.0,142.0,150.0,158.0,125.0,150.0,183.0,367.0,225.0,300.0,267.0,208.0,,
  Total Nonfarm,543275.0,557375.0,586308.0,607317.0,633308.0,675017.0,703425.0,719308.0,734958.0,762483.0,696275.0,698708.0,754183.0,743533.0,,
    Goods Producing,22983.0,22767.0,24600.0,25158.0,26992.0,29433.0,32625.0,34300.0,36358.0,37875.0,36558.0,33800.0,34842.0,35892.0,,
"     Mining, Logging and Construction",14292.0,13867.0,15000.0,15883.0,16908.0,18642.0,20425.0,21108.0,23192.0,24108.0,23158.0,22058.0,22933.0,23300.0,,
      Manufacturing,8692.0,8900.0,9600.0,9275.0,10083.0,10792.0,12200.0,13192.0,13167.0,13767.0,13400.0,11742.0,11908.0,12592.0,,
        Durable Goods,3350.0,3733.0,3792.0,3875.0,4500.0,5275.0,6708.0,7833.0,7858.0,7833.0,7233.0,7558.0,8317.0,8783.0,,
        Nondurable Goods,5342.0,5167.0,5808.0,5400.0,5583.0,5517.0,5492.0,5358.0,5308.0,5933.0,6167.0,4183.0,3592.0,3808.0,,
    Service Providing,520292.0,534608.0,561708.0,582158.0,606317.0,645583.0,670800.0,685008.0,698600.0,724608.0,659717.0,664908.0,719342.0,707642.0,,
"      Trade, Transportation & Utilities",61667.0,62350.0,65317.0,68542.0,70667.0,75600.0,78842.0,81033.0,82575.0,84283.0,73233.0,70058.0,70592.0,66442.0,,
        Wholesale Trade,10375.0,11142.0,12017.0,13508.0,14050.0,14708.0,15625.0,14767.0,14575.0,14458.0,11033.0,10900.0,11583.0,10417.0,,
        Retail Trade,40433.0,40450.0,42408.0,43458.0,44767.0,47000.0,46983.0,47517.0,46400.0,45642.0,39125.0,36408.0,37275.0,35258.0,,
"        Transportation, Warehousing, and Utilities",10858.0,10758.0,10892.0,11575.0,11850.0,13892.0,16233.0,18750.0,21600.0,24183.0,23075.0,22750.0,21733.0,20767.0,,
      Information,19475.0,22733.0,25500.0,25742.0,28325.0,35242.0,39008.0,43000.0,46050.0,52517.0,54575.0,58225.0,67517.0,63883.0,,
      Financial Activities,48383.0,46992.0,47775.0,49342.0,50192.0,53625.0,56142.0,56333.0,59850.0,62017.0,60292.0,61008.0,61683.0,59233.0,,
        Finance & Insurance,36975.0,35625.0,35708.0,36358.0,36933.0,40000.0,42158.0,41533.0,44450.0,45658.0,45450.0,46608.0,46492.0,44508.0,,
        Real Estate & Rental & Leasing,11408.0,11367.0,12067.0,12983.0,13258.0,13625.0,13983.0,14800.0,15400.0,16358.0,14842.0,14400.0,15192.0,14725.0,,
      Professional and Business Services,122058.0,131700.0,144467.0,156767.0,168758.0,183375.0,190592.0,194700.0,195425.0,203083.0,200925.0,200558.0,217025.0,203808.0,,
"        Professional, Scientific & Technical Services",73333.0,80933.0,90317.0,98408.0,109025.0,118558.0,125017.0,128825.0,135725.0,144050.0,145450.0,147525.0,161908.0,152692.0,,
        Management of Companies & Enterprises,17792.0,19025.0,20042.0,21217.0,21867.0,22775.0,23417.0,23358.0,21792.0,20100.0,16758.0,14633.0,14875.0,12692.0,,
        Administrative and Support and Waste and Remediatio,30933.0,31742.0,34108.0,37142.0,37867.0,42042.0,42158.0,42517.0,37908.0,38933.0,38717.0,38400.0,40242.0,38425.0,,
      Private Education and Health Services,80367.0,79642.0,81942.0,82825.0,82967.0,85742.0,87725.0,89033.0,90325.0,94092.0,91525.0,93942.0,96525.0,99592.0,,
        Private Educational Services,18117.0,18167.0,19125.0,19667.0,19792.0,20167.0,19883.0,19908.0,19875.0,21808.0,19783.0,18125.0,18992.0,19242.0,,
        Health Care & Social Assistance,62250.0,61475.0,62817.0,63158.0,63175.0,65575.0,67842.0,69125.0,70450.0,72283.0,71742.0,75817.0,77533.0,80350.0,,
      Leisure and Hospitality,76775.0,79542.0,84675.0,86225.0,90208.0,93858.0,97267.0,96892.0,98517.0,101775.0,59108.0,56958.0,75617.0,81975.0,,
"         Arts, Entertainment, and Recreation",12050.0,12583.0,13583.0,13192.0,13392.0,13833.0,14875.0,14375.0,14492.0,14775.0,9992.0,9958.0,12542.0,14125.0,,
        Accommodation & Food Services,64725.0,66958.0,71092.0,73033.0,76817.0,80025.0,82392.0,82517.0,84025.0,87000.0,49117.0,47000.0,63075.0,67850.0,,
      Other Services,21617.0,21850.0,22867.0,24283.0,25750.0,26042.0,26883.0,27425.0,27675.0,28017.0,21825.0,22817.0,23858.0,24200.0,,
