TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,910356.4024,919618.3903,931980.423,944874.3329,955689.0447,963446.7162,964223.0454,968153.1727,974180.9779,976160.0199,914796.9699,945161.3293,972348.0205,965843.5291,961189.9299,960607.9011
Civilian Unemployment per mil,89608.63198,80397.84837,67970.35882,55110.12506,44280.64552,36553.2838,35825.69702,31862.22158,25817.1249,23856.68906,85185.6779,54872.87198,27651.97953,34125.53557,38810.07008,39364.75822
"Total, All Industries per mil",1117922.549,1131736.527,1154545.204,1180141.938,1199996.969,1246457.747,1371709.885,1384438.351,1394712.877,1416270.448,1342865.461,1406290.614,1458883.634,1437993.999,,
Total Farm per mil,514.2001514,355.2217599,261.8409188,275.8711798,284.153875,291.6878202,243.7122246,288.6419397,347.1879672,681.3544658,433.8043485,603.5512958,516.2991983,402.159286,,
Total Nonfarm per mil,1117408.349,1131381.305,1154281.394,1179868.009,1199712.815,1246166.059,1371466.173,1384149.709,1394363.792,1415589.093,1342431.657,1405687.063,1458367.334,1437589.906,,
Goods Producing per mil,47271.44832,46213.33604,48430.72634,48875.82494,51132.54263,54337.0102,63608.89062,66002.79021,68978.47055,70316.89481,70484.53054,68000.11266,67374.14482,69395.67833,,
"Mining, Logging and Construction per mil",29395.79425,28147.77225,29530.9307,30856.77429,32029.82479,34415.47053,39822.5775,40617.69375,43999.90893,44757.74785,44649.07156,44377.11494,44345.65361,45049.57387,,
Manufacturing per mil,17877.71086,18065.56379,18899.79565,18019.05065,19100.82348,19923.38579,23786.31312,25385.09645,24980.45882,25559.14695,25835.45897,23622.99772,23026.5575,24346.10447,,
Durable Goods per mil,6890.282028,7577.387598,7465.41928,7528.174801,8524.61625,9738.311718,13078.57282,15072.88209,14908.21337,14542.36929,13945.36379,15205.46898,16082.62334,16981.56254,,
Nondurable Goods per mil,10987.42883,10488.17619,11434.37637,10490.87585,10576.20723,10185.07408,10707.7403,10310.29009,10070.34825,11014.92111,11890.09519,8415.516901,6945.867866,7362.608467,,
Service Providing per mil,1070136.901,1085167.969,1105850.668,1130990.242,1148582.167,1191827.203,1307857.282,1318146.919,1325385.322,1345272.198,1271947.126,1337686.95,1390995.123,1368196.161,,
"Trade, Transportation & Utilities per mil",126836.7229,126560.4384,128591.4534,133160.2986,133868.6792,139567.0836,153718.0737,155930.1487,156661.4557,156475.7451,141194.6393,140945.3223,136504.0937,128462.8235,,
Wholesale Trade per mil,21339.30628,22616.46199,23658.21295,26242.73167,26615.74629,27152.81303,30464.02808,28415.83682,27651.71924,26842.02416,21271.83723,21929.03041,22398.10342,20140.83309,,
Retail Trade per mil,83162.61888,82106.9725,83489.84727,84428.23755,84804.77682,86767.89588,91602.65159,91435.99365,88030.1731,84736.73169,75433.75615,73246.98526,72078.84875,68169.8659,,
"Transportation, Warehousing, and Utilities per mil",22332.74097,21837.00396,21443.39314,22487.38666,22448.15613,25646.37467,31649.44434,36080.24246,40979.56334,44896.98923,44489.04596,45769.3066,42025.20778,40152.12448,,
Information per mil,40056.19179,46144.32153,50202.58218,50010.39374,53657.7234,65061.15291,76053.81166,82744.02271,87366.1524,97500.52448,105221.6547,117139.2473,130557.9512,123515.1042,,
Financial Activities per mil,99514.1837,95386.1768,94056.01427,95859.40672,95081.6753,98998.47695,109459.9337,108400.4426,113547.5401,115137.7654,116244.1412,122738.1915,119276.717,114524.524,,
Finance & Insurance per mil,76050.20239,72313.00112,70299.36489,70634.67856,69964.3671,73845.01777,82195.35972,79921.10454,84330.62919,84766.43652,87628.47839,93767.72932,89901.80647,86054.35337,,
Real Estate & Rental & Leasing per mil,23463.98131,23073.17568,23756.64938,25222.78541,25115.41383,25153.45918,27262.62429,28479.33805,29216.9109,30369.47235,28615.66284,28970.4622,29376.84427,28470.17061,,
Professional and Business Services per mil,251048.9683,267329.7473,284416.331,304559.8398,319688.2643,338533.2533,371596.8025,374657.2377,370760.7021,377034.0844,387387.2832,403490.136,419662.2978,394054.2296,,
"Professional, Scientific & Technical Services per mil",150831.3588,164280.9297,177809.6712,191182.6131,206532.5082,218872.9404,243745.3695,247895.3192,257497.7423,267436.2692,280430.411,296796.3497,313082.2869,295223.5851,,
