TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,311950.0,310183.0,311017.0,312375.0,311883.0,314508.0,331475.0,336667.0,338133.0,340658.0,347158.0,349450.0,356742.0,363350.0,368500.0,374686.0
  Civilian Employment,259950.0,259958.0,266183.0,273575.0,278617.0,286442.0,305400.0,313858.0,318258.0,321100.0,308783.0,320342.0,338258.0,341633.0,344708.0,349443.0
  Civilian Unemployment,52008.0,50225.0,44817.0,38817.0,33258.0,28050.0,26092.0,22825.0,19875.0,19567.0,38383.0,29100.0,18508.0,21717.0,23792.0,25243.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,208308.0,207817.0,212925.0,221383.0,226808.0,234908.0,242125.0,251225.0,257017.0,262400.0,257692.0,269750.0,286217.0,288542.0,292983.0,294000.0
Total Farm,15825.0,15617.0,15783.0,16167.0,15742.0,16700.0,16675.0,16358.0,15642.0,15433.0,14592.0,14158.0,13758.0,14492.0,14342.0,13243.0
  Total Nonfarm,192483.0,192200.0,197142.0,205217.0,211067.0,218208.0,225450.0,234867.0,241375.0,246967.0,243100.0,255592.0,272458.0,274050.0,278642.0,280757.0
    Total Private,154308.0,155675.0,161050.0,168158.0,172492.0,178625.0,184633.0,192442.0,197850.0,202058.0,200100.0,213558.0,229867.0,230858.0,233917.0,233129.0
    Goods Producing,25850.0,25975.0,26133.0,27392.0,28108.0,29667.0,30983.0,32100.0,33442.0,33650.0,33200.0,35300.0,37833.0,37500.0,38142.0,37443.0
"      Mining, Logging and Construction",7708.0,7475.0,7700.0,8883.0,9008.0,10217.0,11183.0,11783.0,12892.0,13175.0,13083.0,14008.0,14858.0,13992.0,14650.0,14314.0
      Mining and Logging,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,0.0,0.0,0.0,0.0
      Construction,7608.0,7375.0,7600.0,8783.0,8908.0,10117.0,11083.0,11683.0,12792.0,13075.0,12983.0,13917.0,14858.0,13992.0,14650.0,14314.0
        Specialty Trade Contractors,5117.0,4825.0,4992.0,5683.0,6283.0,7100.0,7825.0,8183.0,8892.0,8975.0,8983.0,9900.0,10650.0,9800.0,10292.0,10100.0
      Manufacturing,18142.0,18500.0,18433.0,18508.0,19100.0,19450.0,19800.0,20317.0,20550.0,20475.0,20117.0,21292.0,22975.0,23508.0,23492.0,23129.0
        Durable Goods,7342.0,7283.0,7225.0,7492.0,7767.0,7967.0,8442.0,9067.0,9308.0,9317.0,9075.0,9883.0,11217.0,11492.0,11200.0,10986.0
        Non-Durable Goods,10800.0,11217.0,11208.0,11017.0,11333.0,11483.0,11358.0,11250.0,11242.0,11158.0,11042.0,11408.0,11758.0,12017.0,12292.0,12143.0
          Food Manufacturing,6642.0,6792.0,6658.0,6642.0,6525.0,6442.0,6200.0,6025.0,5975.0,5733.0,5550.0,5608.0,5775.0,6050.0,6275.0,6171.0
Service-Providing,166633.0,166225.0,171008.0,177825.0,182958.0,188542.0,194467.0,202767.0,207933.0,213317.0,209900.0,220292.0,234625.0,236550.0,240500.0,243314.0
    Private Service Providing,128458.0,129700.0,134917.0,140767.0,144383.0,148958.0,153650.0,160342.0,164408.0,168408.0,166900.0,178258.0,192033.0,193358.0,195775.0,195686.0
"      Trade, Transportation, and Utilities",47133.0,48675.0,51242.0,53408.0,54667.0,56983.0,60275.0,64183.0,66817.0,69183.0,74008.0,80017.0,86717.0,86675.0,86958.0,86257.0
        Wholesale Trade,9575.0,9833.0,10308.0,10575.0,10658.0,10667.0,10808.0,11225.0,11750.0,11708.0,10625.0,10792.0,11550.0,12283.0,12392.0,12429.0
        Retail Trade,23742.0,24150.0,24917.0,25625.0,25708.0,25992.0,26467.0,26758.0,26675.0,26192.0,24608.0,26242.0,27025.0,27050.0,26958.0,26571.0
          General Merchandise Retailers,5425.0,5592.0,5975.0,6208.0,6300.0,6492.0,6692.0,6833.0,6908.0,6792.0,6192.0,6667.0,6958.0,6842.0,6617.0,6486.0
            Department Stores,2917.0,2767.0,2542.0,2450.0,2425.0,2408.0,2308.0,2267.0,2300.0,2258.0,1808.0,2000.0,2008.0,2000.0,2000.0,2014.0
"          Clothing, Clothing Accessories, Shoe, and Jewelry",2292.0,2292.0,2317.0,2225.0,2167.0,2058.0,2067.0,2067.0,1992.0,1842.0,1233.0,1783.0,1792.0,1850.0,1858.0,1714.0
"        Transportation, Warehousing, and Utilities",13817.0,14692.0,16017.0,17208.0,18300.0,20325.0,23000.0,26200.0,28392.0,31283.0,38775.0,42983.0,48142.0,47342.0,47608.0,47257.0
           Transportation and Warehousing,12692.0,13758.0,14958.0,16042.0,17100.0,19075.0,21725.0,24917.0,27042.0,29917.0,37325.0,41458.0,46525.0,45617.0,45817.0,45500.0
            Truck Transportation,5233.0,5783.0,6033.0,6342.0,6750.0,7042.0,6950.0,6708.0,6683.0,6750.0,7442.0,7583.0,8400.0,8667.0,8400.0,8800.0
          Warehousing and Storage,6092.0,6767.0,7158.0,7383.0,7667.0,9358.0,11742.0,14050.0,15583.0,18017.0,23800.0,27025.0,30258.0,29033.0,29542.0,29000.0
      Information,2117.0,2108.0,2133.0,2108.0,2092.0,1942.0,1950.0,1833.0,1750.0,1633.0,1225.0,1200.0,1192.0,1117.0,1000.0,900.0
      Financial Activities,7717.0,7458.0,7500.0,7625.0,7467.0,7350.0,7508.0,7800.0,7817.0,7933.0,7842.0,7967.0,8150.0,7925.0,7650.0,7343.0
        Finance and Insurance,5133.0,4917.0,4900.0,5000.0,4942.0,4825.0,4825.0,4933.0,4783.0,4725.0,4633.0,4667.0,4608.0,4217.0,4025.0,3900.0
          Credit Intermediation and Related Activities incl,2475.0,2300.0,2192.0,2108.0,2050.0,2000.0,2042.0,2083.0,2025.0,2017.0,1942.0,1850.0,1800.0,1583.0,1500.0,1500.0
      Professional and Business Services,15408.0,15167.0,16608.0,17392.0,18317.0,19417.0,19617.0,19183.0,19617.0,20192.0,21333.0,22508.0,24067.0,23058.0,22858.0,22086.0
        Administrative and Support and Waste Management and,9583.0,9025.0,10333.0,10975.0,11675.0,12633.0,12692.0,12500.0,12858.0,13117.0,14283.0,15250.0,16133.0,14992.0,15125.0,14986.0
      Private Education and Health Services,33508.0,33708.0,33967.0,35483.0,35925.0,36475.0,36383.0,38192.0,38750.0,39092.0,37250.0,37992.0,39708.0,41975.0,44767.0,46543.0
        Private Educational Services,4942.0,5400.0,5292.0,5367.0,5092.0,4650.0,4717.0,4867.0,4717.0,4600.0,4208.0,4108.0,4283.0,4392.0,4633.0,4729.0
        Health Care and Social Assistance,28567.0,28308.0,28675.0,30117.0,30833.0,31825.0,31667.0,33325.0,34033.0,34492.0,33042.0,33883.0,35425.0,37583.0,40133.0,41814.0
      Leisure and Hospitality,16033.0,16250.0,16933.0,18142.0,19017.0,19617.0,20400.0,21525.0,22042.0,22625.0,18492.0,21292.0,24292.0,24525.0,24367.0,24529.0
"Arts, Entertainment, and Recreation",1800.0,1792.0,1883.0,2150.0,2375.0,2383.0,2475.0,2492.0,2517.0,2550.0,1483.0,1817.0,2358.0,2533.0,2775.0,2871.0
        Accommodation and Food Services,14233.0,14458.0,15050.0,15992.0,16642.0,17233.0,17925.0,19033.0,19525.0,20075.0,17008.0,19475.0,21933.0,21992.0,21592.0,21657.0
          Food Services and Drinking Places,13350.0,13475.0,13992.0,14975.0,15550.0,16042.0,16700.0,17783.0,18233.0,18742.0,15950.0,18333.0,20092.0,20058.0,19683.0,19686.0
      Other Services,6542.0,6333.0,6533.0,6608.0,6900.0,7175.0,7517.0,7625.0,7617.0,7750.0,6750.0,7283.0,7908.0,8083.0,8175.0,8029.0
      Government,38175.0,36525.0,36092.0,37058.0,38575.0,39583.0,40817.0,42425.0,43525.0,44908.0,43000.0,42033.0,42592.0,43192.0,44725.0,47629.0
        Federal Government,4333.0,4008.0,3908.0,3492.0,3133.0,3008.0,3042.0,3092.0,3092.0,3183.0,3275.0,3117.0,3067.0,2983.0,3000.0,3000.0
          Federal Government excluding Department of Defense,2433.0,2200.0,2150.0,1875.0,1650.0,1608.0,1625.0,1700.0,1683.0,1683.0,1875.0,1758.0,1767.0,1725.0,1800.0,1800.0
          Department of Defense,1900.0,1808.0,1758.0,1617.0,1483.0,1400.0,1417.0,1392.0,1408.0,1500.0,1400.0,1358.0,1300.0,1258.0,1200.0,1200.0
        Total State and Local Government,33842.0,32517.0,32183.0,33567.0,35442.0,36575.0,37775.0,39333.0,40433.0,41725.0,39725.0,38917.0,39525.0,40208.0,41725.0,44629.0
          State Government,3908.0,3817.0,3633.0,4308.0,5808.0,6158.0,6392.0,6558.0,6700.0,6800.0,6750.0,5983.0,5483.0,5117.0,4758.0,4800.0
          Local Government,29933.0,28700.0,28550.0,29258.0,29633.0,30417.0,31383.0,32775.0,33733.0,34925.0,32975.0,32933.0,34042.0,35092.0,36967.0,39829.0
            Local Government Educational Services,17933.0,17642.0,17492.0,17933.0,17942.0,18292.0,19192.0,20217.0,21117.0,21858.0,20208.0,20183.0,21075.0,22125.0,23358.0,25586.0
Local Government excluding Education,12000.0,11058.0,11058.0,11325.0,11692.0,12125.0,12192.0,12558.0,12617.0,13067.0,12767.0,12750.0,12967.0,12967.0,13608.0,14243.0
               County Government,7558.0,6892.0,6975.0,7217.0,7475.0,7642.0,7508.0,7750.0,7675.0,7858.0,7867.0,7783.0,7817.0,7642.0,8025.0,8486.0
               City Government,3400.0,3183.0,3083.0,3108.0,3167.0,3200.0,3292.0,3425.0,3567.0,3792.0,3450.0,3508.0,3567.0,3683.0,3792.0,3971.0
            Special Districts plus Tribes,1067.0,1000.0,1000.0,1000.0,1050.0,1283.0,1392.0,1383.0,1375.0,1417.0,1450.0,1458.0,1583.0,1642.0,1792.0,1786.0
