TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,833306.6196505851,838079.4563209461,855847.1080358952,875790.3161264505,893338.2069558136,910762.2063667696,921336.4507127234,932250.5621281563,941221.3537276753,942587.580505962,889459.5544391891,916703.3910430677,948186.64469,940231.182055869,935435.5495251018,932628.9212834213
Civilian Unemployment per mil,166719.02548485334,161920.54367905398,144098.23257249605,124264.1056422569,106636.14239955369,89186.9205234843,78714.83520627498,67796.96257726479,58778.6462723248,57438.83895285008,110563.48982307767,83273.71583917586,51880.630820032406,59768.817944131006,64564.45047489824,67371.07871657869
Total Farm per mil,50729.28353902869,50347.697971842426,50746.422221293375,51755.102040816324,50474.05597611925,53098.808297404204,50305.452899917036,48588.07070488049,46259.903647381354,45303.500871842145,42032.73437454992,40515.095149520675,38565.68612610795,39884.4089720655,38919.94572591587,35344.26159504225
Total Nonfarm per mil,617031.5755730085,619634.2159305958,633862.4576791623,656957.1828731493,676750.5763379215,693807.4707161662,680141.7904819368,697624.0617583547,713846.3267412527,724970.4982709932,700257.519630831,731412.2192016025,763739.6213510043,754231.4572726022,756151.9674355496,749312.7578826003
Total Private per mil,494656.1949030293,501881.14758062176,517817.3540353099,538320.9283713487,553066.3742493178,567950.5767738817,557004.2989667396,571609.3350402623,585124.7881750672,593140.3342942189,576394.6099470558,611126.0552296466,644350.8193596492,635359.8458786294,634781.5468113975,622198.3207272222
Goods Producing per mil,82865.84388523802,83740.88844327381,84024.34593607423,87689.47579031612,90123.53991721255,94328.28417719103,93470.09578399577,95346.44025104925,98901.9113780672,98779.42100288266,95633.68840700775,101015.88210044356,106051.43212741982,103206.27494151644,103506.10583446405,99931.67612347406
"Mining, Logging and Construction per mil",24709.08799487097,24098.677232472444,24757.48914046499,28436.974789915967,28882.625856491057,32485.660142190343,33737.084244664,34998.975248539355,38127.00919460686,38675.15220543771,37686.01040448441,40085.84919158678,41649.14700259571,38508.325306178616,39755.76662143826,38202.65502313938
Mining and Logging per mil,320.5641929796442,322.39033086919653,321.52583299305184,320.12805122048815,320.6330579095366,317.9569359126,301.6818764612716,297.02940888177335,295.7416164645273,293.5495423562635,288.05327833436075,263.2708541994563,0.0,0.0,0.0,0.0
Construction per mil,24388.52380189133,23776.28690160325,24435.96330747194,28116.846738695476,28561.99279858152,32167.703206277743,33435.402368202725,34701.94583965759,37831.267578142324,38381.60266308145,37397.95712615005,39825.439977106886,41649.14700259571,38508.325306178616,39755.76662143826,38202.65502313938
Manufacturing per mil,58156.75589036705,59642.21121080136,59266.856795609245,59249.29971988795,61240.914060721494,61842.6240350007,59733.011539331776,60347.465002509896,60774.902183460355,60104.26879744494,57947.678002523346,60930.032908856774,64402.2851248241,64697.94963533783,63750.33921302578,61729.02110033468
Durable Goods per mil,23535.823048565475,23479.687797203587,23230.241433747993,23983.993597438974,24903.569607833706,25331.629084156844,25467.984010860546,26931.65650331039,27527.629660518196,27350.010861333067,26140.835008843238,28281.585348404635,31442.891501421196,31627.906976744183,30393.487109905018,29320.5510747666
Non-Durable Goods per mil,34620.93284180157,36162.52341359777,36036.61536186125,35268.507402961186,36337.34445288778,36510.99495084386,34265.027528471226,33415.808499199506,33247.272522942156,32754.257936111877,31806.84299368011,32645.585920732578,32959.39362340291,33072.79482592541,33356.852103120764,32408.470025568076
Service-Providing per mil,534165.7316877705,535893.327487322,549834.896484758,569267.7070828332,586623.83009013,599482.3661083343,586671.694697941,602277.6215073054,614944.4153631855,626191.0772681105,604623.8312238231,630396.3371011589,657688.1892235845,651025.1823310858,652645.8616010855,649381.0817591264
Private Service Providing per mil,411790.3510177913,418140.2591373479,433793.0080992357,450634.6538615446,462939.62800152623,473622.2925966907,463534.2031827438,476262.8947892131,486222.876797,494360.9132913362,480760.9215400481,510110.17312920303,538296.5840859781,532153.570937113,531275.4409769335,522266.64460374817
"Trade, Transportation, and Utilities per mil",151091.5210770957,156923.49355058145,164756.26734229963,170973.98959583836,175280.4737674064,181181.40079107686,181838.75103703144,190642.38550258862,197605.67587310317,203086.37988833376,213182.4702296937,228979.8254399771,243080.43347853632,238544.10348149168,235978.29036635006,230211.43037103067
Wholesale Trade per mil,30694.02147780093,31700.641234368097,33142.882864923784,33853.54141656663,34173.071311998414,33916.46635379704,32605.777207934236,33341.551146979065,34749.63993458195,34368.78041907133,30605.660823025828,30882.815853484044,32376.339203121584,33804.87133617724,33628.22252374492,33171.77583363136
Retail Trade per mil,76108.35069722711,77857.26490491098,80114.59180687873,82032.8131252501,82428.34652738366,82643.36678240298,79846.14224300475,79479.12922858492,78889.07619191265,76886.49613395253,70884.15073251948,75095.14952067535,75755.0274428018,74446.12632448053,73156.03799185889,70915.37981136204
General Merchandise Retailers per mil,17390.607469145696,18028.067302205473,19211.168521334846,19873.549419767907,20199.882648300805,20641.76427944599,20188.55117278829,20296.019508891575,20429.830865369542,19937.884916837414,17836.258994463617,19078.552010301904,19504.29161691082,18830.328883996146,17956.580732700135,17310.49465419044
"Clothing, Clothing Accessories, Shoe, and Jewelry per mil",7347.331303093445,7389.186383521986,7449.753550449011,7122.849139655862,6948.1183648996575,6543.553741081308,6235.764386454483,6139.597881586255,5891.172999973383,5407.182570202373,3551.6969218626678,5102.3036199742455,5023.2380824237125,5091.509563781478,5042.062415196743,4574.497045526121
"Transportation, Warehousing, and Utilities per mil",44292.35454399743,47365.58741130236,51498.79267049711,55087.63505402161,58675.849597445194,64624.74722423594,69386.83158609246,77821.70512702463,83966.95974660858,91831.1033353099,111692.65867414838,123001.86006581772,134949.06683261294,130293.1058208339,129194.02985074627,126124.27472603727
