TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,133692.0,133817.0,136967.0,137858.0,140083.0,138983.0,134533.0,135392.0,134875.0,134808.0,129292.0,130042.0,131150.0,132458.0,132342.0,134286.0
  Civilian Employment,120200.0,121042.0,125625.0,128367.0,132150.0,132375.0,128450.0,130275.0,130642.0,130692.0,118825.0,122875.0,126908.0,127708.0,126917.0,128486.0
  Civilian Unemployment,13483.0,12800.0,11333.0,9508.0,7917.0,6600.0,6092.0,5125.0,4258.0,4117.0,10475.0,7192.0,4233.0,4750.0,5400.0,5800.0
"Total, All Industries",100450.0,101175.0,105408.0,108600.0,112767.0,116583.0,118992.0,121733.0,123092.0,124683.0,114408.0,119250.0,123533.0,124275.0,123842.0,124171.0
Total Farm,4742.0,4733.0,5133.0,4542.0,4733.0,5042.0,4842.0,5225.0,5158.0,4950.0,4825.0,4950.0,5492.0,5675.0,5842.0,6271.0
  Total Nonfarm,95708.0,96442.0,100275.0,104058.0,108033.0,111542.0,114150.0,116508.0,117933.0,119733.0,109583.0,114300.0,118042.0,118600.0,118000.0,117900.0
    Total Private,74842.0,75867.0,79550.0,82558.0,85142.0,87975.0,90275.0,92367.0,93592.0,95275.0,86042.0,91142.0,94642.0,95375.0,95542.0,94743.0
    Goods Producing,10708.0,11158.0,11908.0,12558.0,13242.0,13742.0,14158.0,14725.0,15608.0,16108.0,15817.0,17000.0,17067.0,17192.0,17275.0,17171.0
"      Mining, Logging and Construction",4858.0,5142.0,5517.0,6050.0,6408.0,6725.0,7158.0,7450.0,7867.0,8267.0,8475.0,9133.0,8917.0,8742.0,8908.0,8771.0
      Manufacturing,5850.0,6017.0,6392.0,6508.0,6833.0,7017.0,7000.0,7275.0,7742.0,7842.0,7342.0,7867.0,8150.0,8450.0,8367.0,8400.0
        Durable Goods,2742.0,2942.0,3108.0,3200.0,3342.0,3325.0,3100.0,3083.0,3200.0,3208.0,2925.0,2958.0,2958.0,3133.0,3183.0,3200.0
        Non-Durable Goods,3108.0,3075.0,3283.0,3308.0,3492.0,3692.0,3900.0,4192.0,4542.0,4633.0,4417.0,4908.0,5192.0,5317.0,5183.0,5200.0
Service-Providing,85000.0,85283.0,88367.0,91500.0,94792.0,97800.0,99992.0,101783.0,102325.0,103625.0,93767.0,97300.0,100975.0,101408.0,100725.0,100729.0
    Private Service Providing,64133.0,64708.0,67642.0,70000.0,71900.0,74233.0,76117.0,77642.0,77983.0,79167.0,70225.0,74142.0,77575.0,78183.0,78267.0,77571.0
"      Trade, Transportation, and Utilities",19150.0,19300.0,20042.0,20517.0,20675.0,20950.0,21242.0,21308.0,21133.0,20792.0,19117.0,19717.0,20008.0,19867.0,19942.0,19343.0
        Wholesale Trade,2567.0,2492.0,2525.0,2617.0,2750.0,2833.0,2850.0,2783.0,2675.0,2700.0,2533.0,2567.0,2558.0,2450.0,2500.0,2471.0
        Retail Trade,12975.0,13275.0,13658.0,13817.0,13750.0,13900.0,14092.0,14267.0,14317.0,14042.0,12892.0,13450.0,13683.0,13508.0,13425.0,13129.0
"        Transportation, Warehousing, and Utilities",3608.0,3533.0,3858.0,4083.0,4175.0,4217.0,4300.0,4258.0,4142.0,4050.0,3692.0,3700.0,3767.0,3908.0,4017.0,3743.0
      Information,1183.0,1133.0,1225.0,1367.0,1408.0,1467.0,1325.0,1267.0,1183.0,1208.0,1125.0,1175.0,1275.0,1183.0,1108.0,1057.0
      Financial Activities,3817.0,3825.0,3850.0,3833.0,3808.0,3867.0,3758.0,3892.0,3858.0,3867.0,3792.0,3917.0,3950.0,3842.0,3725.0,3643.0
        Finance and Insurance,2333.0,2367.0,2375.0,2283.0,2200.0,2250.0,2217.0,2317.0,2283.0,2200.0,2283.0,2275.0,2142.0,1975.0,1825.0,1800.0
        Real Estate and Rental and Leasing,1483.0,1458.0,1475.0,1550.0,1608.0,1617.0,1542.0,1575.0,1575.0,1667.0,1508.0,1642.0,1808.0,1867.0,1900.0,1843.0
      Professional and Business Services,8025.0,8300.0,9083.0,9292.0,9417.0,10108.0,10475.0,10675.0,10850.0,11167.0,10508.0,10958.0,11075.0,11000.0,10783.0,10700.0
      Private Education and Health Services,14150.0,14183.0,14400.0,15408.0,16183.0,16450.0,16983.0,17442.0,17700.0,18217.0,16967.0,17542.0,18067.0,18508.0,18783.0,19286.0
      Leisure and Hospitality,14783.0,14925.0,15733.0,16192.0,16825.0,17575.0,18525.0,19075.0,19233.0,19842.0,15375.0,17425.0,19508.0,19892.0,19908.0,19714.0
        Accommodation and Food Services,13317.0,13492.0,14225.0,14750.0,15358.0,16000.0,16933.0,17458.0,17558.0,18067.0,14217.0,16025.0,17767.0,18017.0,17875.0,17643.0
          Accommodation,3542.0,3583.0,3675.0,3783.0,3900.0,3967.0,4325.0,4400.0,4350.0,4575.0,3725.0,3967.0,4458.0,4700.0,4825.0,4900.0
          Food Services and Drinking Places,9775.0,9908.0,10550.0,10967.0,11458.0,12033.0,12608.0,13058.0,13208.0,13492.0,10492.0,12058.0,13308.0,13317.0,13050.0,12743.0
      Other Services,3025.0,3042.0,3308.0,3392.0,3583.0,3817.0,3808.0,3983.0,4025.0,4075.0,3342.0,3408.0,3692.0,3892.0,4017.0,3829.0
      Government,20867.0,20575.0,20725.0,21500.0,22892.0,23567.0,23875.0,24142.0,24342.0,24458.0,23542.0,23158.0,23400.0,23225.0,22458.0,23157.0
        Federal Government,667.0,600.0,600.0,600.0,525.0,500.0,500.0,525.0,500.0,533.0,600.0,600.0,600.0,600.0,600.0,600.0
        State & Local Government,20200.0,19975.0,20125.0,20900.0,22367.0,23067.0,23375.0,23617.0,23842.0,23925.0,22942.0,22558.0,22800.0,22625.0,21858.0,22557.0
          State Government,9583.0,9658.0,9558.0,9492.0,9892.0,10175.0,10333.0,10617.0,10758.0,10808.0,10558.0,10158.0,10367.0,10433.0,10358.0,10714.0
            State Government Educational Services,3675.0,3850.0,3967.0,4058.0,4417.0,4725.0,4850.0,5092.0,5158.0,5158.0,4892.0,4567.0,4850.0,5042.0,5083.0,5414.0
            State Government Excluding Education,5908.0,5808.0,5592.0,5433.0,5475.0,5450.0,5483.0,5525.0,5600.0,5650.0,5667.0,5592.0,5517.0,5392.0,5275.0,5300.0
          Local Government,10617.0,10317.0,10567.0,11408.0,12475.0,12892.0,13042.0,13000.0,13083.0,13117.0,12383.0,12400.0,12433.0,12192.0,11500.0,11843.0
          Local Government excluding Educational Services,4733.0,4642.0,4617.0,4717.0,4825.0,4892.0,5008.0,5017.0,4983.0,5042.0,4917.0,5058.0,5183.0,5375.0,5450.0,5414.0
               Special Districts plus Tribes,450.0,400.0,400.0,417.0,492.0,508.0,583.0,533.0,517.0,500.0,500.0,500.0,500.0,500.0,500.0,529.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,899081.4708434312,904533.8036273419,917191.7323150833,931153.7959349476,943369.2882077054,952454.6167516891,954784.3280087414,962206.0387615222,968615.3846153846,969467.6873776037,919043.7150017016,944887.0364959013,967655.3564620663,964139.5763185312,959007.7224161641,956808.6025348882
  Civilian Unemployment per mil,100851.21024444245,95653.01867475732,82742.55842648228,68969.51936050139,56516.49379296559,47487.82225164229,45282.5700757435,37853.04892460412,31569.97219647822,30539.73057978755,81018.16044302819,55305.209086295195,32276.019824628285,35860.42368146884,40803.373078841185,43191.397465111775
"Total, All Industries per mil",751353.8581216527,756069.8565952008,769586.8347850213,787767.1226914651,805001.3206456172,838829.2093277595,884481.8743356648,899115.16190026,912637.6274328082,924893.1814135659,884880.7350802834,917011.4270774057,941921.4639725505,938221.9269504296,935772.4683018241,924675.6921793784
Total Farm per mil,35469.58681147713,35369.19823340831,37476.18039381749,32946.94540759332,33787.111926500715,36277.81815042128,35991.169452848,38591.64500118176,38242.81742354031,36718.889086701085,37318.62760263589,38064.62527491118,41875.71483034693,42843.76934575488,44143.20472714634,46698.83681098551
  Total Nonfarm per mil,715884.2713101757,720700.6583617927,732110.6543912037,754820.1772838718,771207.0700941584,802558.5863019218,848490.7048828169,860523.5168990783,874387.3957367934,888174.2923268649,847562.1074776475,878946.8018024947,900053.3739992374,895378.1576046747,891629.2635746778,877976.8553683929
    Total Private per mil,559809.113484726,566945.9037342041,580796.8342739493,598862.5977455062,607796.8061791938,632991.0852406409,671024.9529855129,682219.0380524698,693916.5894346617,706745.8904516053,665485.8769297405,700865.8741022131,721631.7194052612,720039.5597094928,721932.5686478971,705531.4775926009
    Goods Producing per mil,80094.54567214195,83382.52987288611,86940.6499375762,91093.734132223,94529.67169463818,98875.4020275861,105238.12001516357,108758.27227605767,115721.96478220574,119488.45765829922,122335.48866132475,130726.99589363438,130133.4349980938,129792.08503827627,130533.01295129285,127868.87687473006
"      Mining, Logging and Construction per mil",36337.25278999492,38425.611095750166,40279.775420356724,43885.7374980052,45744.30873125219,48387.21282459005,53206.27652694878,55025.407705034275,58328.081556997226,61324.25375348644,65549.29926058844,70231.1560880331,67990.85017155929,65998.2786996633,67310.45321968838,65315.81847698196
      Manufacturing per mil,43757.29288214703,44964.391669219905,46668.17554593442,47207.996634217816,48778.224338427935,50488.18920299605,52031.84348821479,53732.8645710234,57401.29749768304,58171.621862204025,56786.18940073632,60495.83980560127,62142.584826534505,63793.806338612994,63222.55973160448,62553.05839774809
        Durable Goods per mil,20509.828561170452,21985.248511026253,22691.597246051966,23212.290908035808,23857.284609838454,23923.7892404107,23042.673544780835,22770.91704088868,23725.671918443004,23796.807311138804,22623.20947931813,22746.49728549238,22554.327106366756,23652.78050400882,24051.321575916943,23829.736532475465
        Non-Durable Goods per mil,23247.464320976575,22979.143158193652,23969.27727116751,23995.705726182012,24928.078353547542,26564.39996258535,28989.169943433953,30961.94753013472,33675.62557924004,34367.39659367396,34162.97992141819,37741.652696821024,39588.25772016775,40141.025834604174,39163.68197548775,38723.32186527263
Service-Providing per mil,635789.7256380337,637310.6555968225,645170.0044536275,663726.4431516487,676684.5370244784,703683.1842743357,743252.5848676533,751765.2446230205,758665.4309545876,768685.8346685657,725234.353246914,748219.8059088602,769919.9390011438,765586.0725663984,761096.2506233848,750107.9784936628
    Private Service Providing per mil,479707.087933459,483555.9009692341,493856.184336373,507768.8636132832,513267.13448455563,534115.6832130548,565786.8329703492,573460.7657764121,578187.2103799814,587257.432793306,543150.3882684157,570138.8782085788,591498.2844071673,590247.4746712166,591399.5556966043,577655.1539252044
"      Trade, Transportation, and Utilities per mil",143239.68524668642,144226.8172205325,146327.21750494646,148827.05392505333,147591.07100790244,150737.86002604637,157894.34562523695,157380.0519971638,156685.82020389248,154234.17007892707,147859.10961235032,151620.24576675228,152558.13953488372,149987.16574310348,150685.34554412053,144043.31054614778
        Wholesale Trade per mil,19200.849714268617,18622.447073241816,18435.09750523849,18983.301658228032,19631.218634666588,20383.787945288273,21184.393420201734,20555.128811155755,19833.178869323445,20028.48495638241,19591.31268755994,19739.77637993879,19504.38429279451,18496.429056757614,18890.450499463514,18401.024678670896
        Retail Trade per mil,97051.43164886456,99202.64241464088,99717.4501887316,100226.31983635336,98156.09317333296,100012.23171179209,104747.53406227469,105375.50224533207,106150.13901760889,104162.95768797104,99712.27918200662,103428.12322172837,104330.91879527259,101979.49538721709,101441.71918211905,97768.94091714699
"        Transportation, Warehousing, and Utilities per mil",26987.40388355324,26401.72773264981,28167.36878226142,29617.432430471934,29803.759199902917,30341.84036896599,31962.41814276051,31449.420940675966,30709.916589434662,30042.727434573615,28555.517742783777,28452.346165085128,28722.836446816622,29503.69173624847,30353.17586253797,27873.34495032989
      Information per mil,8848.6970050564,8466.786731132815,8943.760175808773,9916.000522276547,10051.183940949295,10555.247764115036,9848.884660269227,9358.012290238714,8771.084337349397,8960.892528633316,8701.234415122359,9035.542363236493,9721.692718261533,8931.132887405818,8372.247661362228,7871.259848383302
      Financial Activities per mil,28550.69862071029,28583.81222116771,28108.960552541856,27803.97220328164,27183.883840294682,27823.54676471223,27933.666832673025,28746.159300401796,28604.263206672847,28685.241231974363,29328.960801905767,30121.03781855093,30118.185284025923,29005.420586148062,28146.771244200634,27128.665683690037
        Finance and Insurance per mil,17450.557998982735,17688.33556274614,17339.9431979966,16560.518794701795,15704.974907733274,16189.03031305987,16479.228144767454,17113.271094303946,16926.784059314177,16319.50626075604,17657.705039754972,17494.34797988342,16332.443766679375,14910.386688610728,13790.028864608363,13404.226799517446
        Real Estate and Rental and Leasing per mil,11092.660742602398,10895.476658421576,10769.017354545254,11243.453408579842,11478.90893256141,11634.51645165236,11461.871808403886,11632.88820609785,11677.479147358667,12365.734971218326,11663.52133155957,12626.689838667508,13785.74151734655,14095.033897537332,14356.742379592268,13724.438884172587
      Professional and Business Services per mil,60026.02997935554,62025.00429691295,66315.24381785393,67402.68972420898,67224.43123005646,72728.31929084852,77861.93721986427,78845.1311746632,80444.8563484708,82836.33018811939,81273.39665253843,84265.08358837914,84445.29165078154,83045.19168340153,81478.29109428602,79680.68153046483
      Private Education and Health Services per mil,105840.28962091972,105988.02842688149,105134.81349522149,111767.1807221924,115524.36769629434,118359.7993999266,126236.6854229074,128825.92767667217,131232.62279888787,135132.92979645124,131230.0838412276,134894.88011565496,137758.2920320244,139727.30978876323,141927.73269256926,143618.84336416307
      Leisure and Hospitality per mil,110575.0531071418,111532.91435318382,114867.08477224442,117454.19199466117,120107.36491936923,126454.31455645653,137698.55723131128,140887.20160718507,142598.70250231697,147187.11055723697,118916.87034000557,133995.17079097521,148745.71101791842,150175.9048151112,150428.43541732783,146806.07062538163
        Accommodation and Food Services per mil,99609.55030966699,100824.25999686138,103857.13347010594,106994.15340422753,109635.00210589435,115121.99333731463,125865.02939799157,128944.10304892459,130179.79610750696,134020.23618776334,109960.39971537296,123229.41818797003,135470.83492184523,136020.4744145314,135066.7210711641,131383.7630132702
          Accommodation per mil,26493.731861293123,26775.372336848082,26831.280527426312,27441.280157843576,27840.637336436255,28543.059223070446,32148.24615521842,32498.22736941621,32252.085264133457,33937.15506498131,28810.75395229403,30505.52898294397,33991.61265726268,35482.94553745338,36458.56946396458,36489.28406535305
          Food Services and Drinking Places per mil,73115.81844837387,74041.41476792934,77025.85294267962,79552.87324638397,81794.3647694581,86578.9341142442,93716.78324277315,96445.87567950839,97927.7108433735,100083.08112278202,81149.64576307892,92723.88920502608,101471.5974075486,100537.52887707802,98608.15160719953,94894.47894791714
      Other Services per mil,22626.634353588845,22732.53771942279,24151.802989041156,24605.028362517955,25577.69322473105,27463.790535533124,28305.322857588846,29418.28173008745,29842.44670991659,30228.176369354933,25848.467035856822,26206.917765029757,28150.972169271827,29382.898730163524,30353.17586253797,28513.769119640172
      Government per mil,156082.6377045747,153754.7546275884,151313.82011725454,155957.57953836556,163417.40253992277,169567.50106128087,177465.75189730403,178311.86480737416,180478.2205746061,181428.40187525965,182083.96497849826,178080.92770028143,178421.65459397636,175338.59789518185,169696.69492678062,172445.37777579197
        Federal Government per mil,4989.079376477276,4483.735250379249,4380.6172289675615,4352.304545256713,3747.778102981804,3597.5622917910823,3716.560249158199,3877.6294020326163,3707.136237256719,3953.771289537713,4640.658354731925,4613.893972716507,4574.914220358368,4529.737728185538,4533.708119871242,4468.075599839149
        State & Local Government per mil,151093.55832809742,149271.0193772092,146933.20288828696,151605.27499310885,159669.62443694097,165969.9387694898,173749.19164814582,174434.23540534152,176771.0843373494,177474.6305857219,177443.30662376637,173467.03372756494,173846.740373618,170808.86016699634,165162.98680690938,167977.30217595282
          State Government per mil,71679.68165634443,72173.19174693798,69783.23245745325,68853.4579059612,70615.27808513523,73210.39263794852,76806.43410910334,78416.74545024817,79762.74328081557,80173.28348465965,81660.11818209944,78113.22495809046,79046.89287075866,78764.5895302662,78266.91450937721,79784.93662779442
            State Government Educational Services per mil,27488.555784938515,28770.63452326685,28963.180912190524,29436.086407752904,31531.306439753575,33996.96365742573,36050.63441683453,37609.312219333486,38242.81742354031,38261.824224081654,37836.834452247625,35119.42295566048,36980.55661456347,38064.89604251913,38408.06395550921,40316.935495881924
            State Government Excluding Education per mil,44191.125871405915,43402.55722367113,40827.352573977674,39410.11765729954,39083.971645381665,39213.428980522796,40755.79969226881,40807.43323091468,41519.92585727526,41911.459260578005,43831.018160443025,43001.49182571784,42066.3362561952,40707.24305062737,39858.85055386801,39468.00113191248
          Local Government per mil,79413.87667175298,77097.82763027119,77149.9704308337,82751.81708714765,89054.34635180571,92759.54613154127,96942.75753904246,96017.48995509336,97000.92678405932,97301.34710106225,95775.45401107571,95353.80876947448,94799.84750285931,92044.27063673014,86896.07229753216,88192.3655481584
          Local Government excluding Educational Services per mil,35402.26789935075,34689.16505376746,33708.849576905384,34216.367566626526,34443.865422642295,35198.54946288395,37225.06745556852,37055.365161900256,36945.31974050046,37401.341166696344,38030.19521702812,38895.126190000155,39519.63400686237,40578.90048166212,41181.18208883045,40316.935495881924
               Special Districts plus Tribes per mil,3365.945606319002,2989.156833586166,2920.411485978374,3024.851658953416,3512.2034793658045,3655.12328845974,4333.50925051846,3936.7170881588277,3833.1788693234475,3708.9786956263724,3867.2152956099376,3844.9116439304225,3812.428516965307,3774.781440154615,3778.0900998927023,3939.35332052485
