TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,393225.0,398300.0,410858.0,416808.0,426325.0,434433.0,412200.0,415258.0,420208.0,427825.0,409858.0,410542.0,425417.0,422733.0,417333.0,419071.0
  Civilian Employment,360092.0,368342.0,384425.0,394658.0,408108.0,419542.0,398567.0,403042.0,410067.0,418325.0,379592.0,390675.0,414533.0,409633.0,402208.0,403300.0
  Civilian Unemployment,33125.0,29933.0,26433.0,22142.0,18208.0,14883.0,13633.0,12233.0,10133.0,9508.0,30258.0,19875.0,10900.0,13100.0,15142.0,15771.0
"Total, All Industries",317675.0,325925.0,339017.0,353508.0,369775.0,376875.0,392317.0,393467.0,403800.0,416575.0,385975.0,400467.0,424400.0,423167.0,,
  Total Farm,1733.0,1575.0,1608.0,1667.0,1775.0,1767.0,1783.0,1675.0,1442.0,1350.0,1350.0,1433.0,1567.0,1450.0,,
  Total Nonfarm,315942.0,324350.0,337408.0,351842.0,368000.0,375108.0,390533.0,391792.0,402358.0,415225.0,384625.0,399033.0,422833.0,421717.0,,
    Goods Producing,38983.0,39067.0,38350.0,40033.0,41242.0,42758.0,43475.0,44983.0,45108.0,46067.0,44092.0,44358.0,43458.0,40775.0,,
"     Mining, Logging and Construction",12692.0,13558.0,13942.0,14583.0,15742.0,17408.0,18100.0,18858.0,19308.0,20408.0,19642.0,19183.0,17775.0,17667.0,,
      Manufacturing,26292.0,25508.0,24408.0,25450.0,25500.0,25350.0,25375.0,26125.0,25800.0,25658.0,24450.0,25175.0,25683.0,23108.0,,
        Durable Goods,12692.0,12167.0,11800.0,11933.0,11542.0,10950.0,10775.0,10592.0,10692.0,11150.0,10692.0,10050.0,10542.0,9617.0,,
        Nondurable Goods,13600.0,13342.0,12608.0,13517.0,13958.0,14400.0,14600.0,15533.0,15108.0,14508.0,13758.0,15125.0,15142.0,13492.0,,
    Service Providing,276958.0,285283.0,299058.0,311808.0,326758.0,332350.0,347058.0,346808.0,357250.0,369158.0,340533.0,354675.0,379375.0,380942.0,,
"      Trade, Transportation & Utilities",68450.0,68483.0,70250.0,72342.0,74292.0,74092.0,76433.0,70833.0,71500.0,70642.0,62717.0,63642.0,64650.0,64900.0,,
        Wholesale Trade,11192.0,11125.0,11450.0,11200.0,11592.0,12208.0,12067.0,11958.0,11883.0,11533.0,10625.0,10817.0,11350.0,13325.0,,
