TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,915740.3522156526,924785.337685162,935663.9033437343,946858.025757663,957269.6886178384,965723.137975246,966926.2493934983,970582.1441128167,975866.7136275369,977794.659031146,926154.9121890996,951607.8744683857,974415.6909573431,969011.1725368021,963757.9582731297,962366.7588547048
Civilian Unemployment per mil,84239.30319791469,75151.89555611348,64336.09665626566,53122.78075276866,42709.20072714479,34258.44721740752,33073.75060650169,29458.79429174152,24114.2481818528,22224.040203354176,73825.56885555485,48411.611966619734,25621.919199279768,30988.82746319781,36282.776583687366,37633.24114529519
"Total, All Industries per mil",807870.8118761523,818290.2334923424,825143.9670153678,848131.5137905222,867354.7176449891,867510.0648431404,951763.7069383794,947524.189780811,960952.6710581427,973704.2014842518,941728.5986853983,975459.2709150342,997609.4044196635,1001026.6527571776,,
Total Farm per mil,4407.146035984487,3954.3057996485063,3913.760958774078,3999.4433888025183,4163.490294962763,4067.37057267749,4325.570111596313,4033.6369196981154,3431.6338575181812,3155.4958218897914,3293.823714554797,3490.507670347979,3683.444714245082,3430.0610550867805,,
Total Nonfarm per mil,803463.6658401678,814335.9276926939,821227.7721256493,844134.4695879158,863191.2273500264,863442.6942704628,947435.7108199904,943490.5528611129,957521.0372006245,970548.7056623619,938434.7749708436,971966.3274403106,993925.9597054184,997596.5917020909,,
Goods Producing per mil,99136.62661326212,98084.35852372584,93341.25172200616,96046.6209861615,96738.4037999179,98422.54156567296,105470.64531780689,108325.4266022569,107346.83775653962,107677.20446444223,107578.72238677787,108047.41049636822,102153.88665709175,96455.68242838861,,
"Mining, Logging and Construction per mil",32276.686375484773,34039.66859151394,33933.86522837574,34987.332296884895,36924.88125256553,40070.620786174164,43910.72295002426,45412.73136218929,45948.67303811446,47701.7472097236,47923.9151120632,46726.03533864988,41782.53337313741,41792.337007047,,
Manufacturing per mil,66862.48331108144,64042.17926186291,59407.3864936304,61059.2886892766,59813.522547352375,58351.920779498796,61559.92236778263,62912.695240067624,61398.164718425156,59973.119850406125,59654.80727471466,61321.375157718336,60371.35328395433,54663.345421341604,,
Durable Goods per mil,32276.686375484773,30547.326136078333,28720.38514523266,28629.488877372794,27073.242244766316,25205.26755564149,26140.22319262494,25507.034181159666,25444.54175075201,26062.058084497166,26087.083819273994,24479.833975573754,24780.391944844705,22749.58425294453,,
Nondurable Goods per mil,34585.79693559667,33497.36379613357,30687.001348397742,32429.799811903802,32740.280302586056,33146.653223857305,35419.69917515769,37405.66105890796,35953.62296767315,33911.06176590896,33567.72345544067,36841.54118214458,35593.311973898555,31916.12672774541,,
Service Providing per mil,704324.4961536016,716251.5691689681,727886.5204036431,748085.4494155583,766452.8235501085,765020.15270479,841965.0655021834,835162.7181174114,850174.1994440848,862871.5011979197,830856.0525840657,863918.9169439424,891772.0730483268,901140.9092737023,,
"Trade, Transportation & Utilities per mil",174073.36766482293,171938.237509415,170983.64885191477,173561.92779409225,174261.42027795696,170548.73824041913,185426.97719553614,170575.88294506064,170153.82858013175,165118.915444399,153021.29030054313,155019.46207696167,151968.53910398504,153524.80170698764,,
Wholesale Trade per mil,28462.076419352787,27931.20763243786,27868.509314653726,26870.885395673788,27190.523661525833,28100.99601089236,29274.623968947115,28796.55539447765,28278.852377870007,26957.283936188862,25923.612568255347,26348.095931719534,26679.704854295902,31521.078316573345,,
Retail Trade per mil,83519.61345285778,83354.25558624153,80908.73245744272,81692.2899752404,81803.78818976134,77496.4148671947,82282.8723920427,81113.42827832335,80752.86524768686,76451.82025360837,71041.6778494015,73154.51281476681,69031.0918463531,69034.11846248104,,
"Transportation, Warehousing, and Utilities per mil",62094.22086591646,60652.77429073563,62206.40707981833,64998.752423178055,65267.1084266698,64951.32736233206,73871.90684133915,60665.89927225965,61119.73118074858,61707.47385028926,56055.999882886266,55516.85333047533,56257.74240333602,52969.60492793324,,
Information per mil,44376.62915633543,44858.14712528245,50747.4601930594,57160.61112070785,62510.9951328212,64203.22581387694,76642.40659873847,83882.79093960863,93703.59441038725,106099.45655349734,123742.85728227826,133888.8591179465,141802.04364188548,127108.60046412276,,
Financial Activities per mil,47364.740288638815,48686.9194074818,49002.331705844845,49562.38843784189,50881.36984694775,49680.84837017446,54665.21106259097,54002.57189506283,55627.213189658454,55903.69894232455,55202.04558652021,55007.770215958415,55456.17594031268,53362.28777975696,,
Finance & Insurance per mil,33525.33536779197,33936.731107205625,33911.959849875144,34409.12842363871,36064.035653550694,34028.26212557517,37440.56283357593,37567.00653569588,39344.80067014431,38625.60626424356,40238.32644476868,39745.019997953925,39902.02554199762,37908.08855707976,,
Real Estate & Rental & Leasing per mil,13839.404920846842,14750.188300276175,15090.371855969703,15155.659200399225,14817.334193397057,15652.58624459928,17224.64822901504,16435.56535936695,16282.412519514146,17278.092678080993,14963.719141751533,15265.18602238017,15554.150398315063,15454.199222677198,,
Professional and Business Services per mil,152604.74283171212,160954.0547326136,169786.15482721524,170901.23030268133,176273.96938955024,175401.0399762449,198163.512857836,195582.02370574436,196212.351978068,199516.15730731023,200027.81451136735,213600.55731204117,217746.3524024663,226639.51004534776,,
