TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,902163.1163940214,906270.3283649632,915851.0993908781,927211.9044872534,938172.8585744362,946948.5642739433,949915.8770108145,954808.4707094495,961038.9610389611,963230.7775690128,917887.7893898861,941907.7495062159,963668.5744183805,959627.3150778321,955271.0169744232,952766.6278024511
Civilian Unemployment per mil,97799.22325526657,93885.2278191023,84148.90060912198,72825.0086515169,61978.83627069715,53088.26101766693,50313.34094336942,45076.53812187224,38883.5725677831,36696.95765284001,82190.89318608893,57976.06599279656,36294.70862802513,40486.3083740484,44652.17568098747,47424.72654129249
"Total, All Industries per mil",860265.9762269036,865929.4246306719,876968.5039370079,896066.4436497866,910283.9911373436,923817.6779812375,921722.0686461929,933691.4924933765,949683.2991569834,964283.1334007804,930227.0686574902,963555.2457302195,988108.2966546265,982352.0054539257,982040.6356033669,967643.3155032619
Total Farm per mil,87715.66435212427,85909.43801793139,87245.58015153767,89168.30084208098,96381.38842154619,96588.13673230774,95813.10484887661,100005.51957609656,104160.40100250626,108812.68969504265,116482.61115070953,125595.44556756127,134783.34702569727,131425.97432109987,134828.51630800648,134709.0078944792
Total Nonfarm per mil,772545.6043309403,780019.9866127406,789722.9237854703,806898.1428077057,813902.6027157974,827224.9380874784,825908.9637973163,833685.9729172799,845522.8981544771,855470.4437057378,813749.0858936026,837959.8001626582,853324.9496289293,850926.0311328259,847216.6373744538,832929.8575077654
Total Private per mil,592599.7410850888,602073.1396894533,614540.0014856633,632137.5014419195,637771.0970755073,649312.7479953233,651437.4257906873,655679.6438033559,667919.7994987469,677369.381413499,644734.2843125458,674567.2127338212,695979.0346194976,690603.3405294853,686784.1668436248,668342.8713831804
Goods Producing per mil,90464.86995410145,92471.08069123513,93202.16164017234,94626.83123774368,96454.93743736841,100809.23578313585,103148.07938276189,102535.32528701796,103590.79516974255,103013.44124873537,99163.18766257208,101582.43290345068,104262.3793503853,106387.91046471991,105420.3394884631,98663.18965440516
"Mining, Logging and Construction per mil",37462.63387077792,37394.76388456788,37684.779378992724,38989.50282616219,39914.13152402754,41198.294988998445,41525.1245799581,42164.96173093907,44962.406015037595,44749.963867610924,43969.67480954189,45776.6933891019,47424.53518631559,48099.07965003977,48944.35081980545,46343.35199409027
Mining and Logging per mil,4589.85524302695,5340.762319578395,5919.439904917545,5652.324374206944,5824.162690422999,5215.381924305613,4047.9890708879448,3909.699735060348,4707.222601959444,4629.462350050586,3239.8707754399284,2788.4280237016383,2717.0545659826603,2726.962845131235,2634.0401115061923,2225.0505086465464
Construction per mil,32872.778627750966,32054.001564989492,31765.339474075172,33337.178451955246,34094.565647093434,35982.91306469283,37477.135509070155,38255.26199587872,40250.62656641604,40120.50151756034,40729.80403410195,42988.26536540026,44712.07023953223,45372.11680490853,46310.31070829926,44118.30148544372
Manufacturing per mil,52997.52853948452,55071.60298290768,55517.38226117961,55637.3284115815,56540.805913340875,59610.940794137416,61622.9548028038,60370.3635560789,58632.946001367054,58263.47738112444,55193.5128530302,55805.73951434879,56833.25454487041,58288.83081468015,56475.988668657636,52319.837660314886
Durable Goods per mil,40169.47157820407,41401.51408019157,40855.74208884267,40258.39197139232,39992.277353338664,42349.08535181963,43244.259236337464,42624.92640565205,40934.15356573251,41475.46610781905,39378.3150820613,38921.807830835365,37942.38192057205,37686.62651971367,35241.01692924237,33059.80045747038
Service-Providing per mil,682085.4419206779,687548.9059215054,696520.762145298,712271.311569962,717447.6652784289,726415.7023043426,722760.8844145545,731150.647630262,741932.1029847346,752457.0024570024,714585.8982310306,736377.3672592076,749062.570278544,744538.1206681059,741791.7798068973,734266.6678533603
