TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,894904.8809758717,906940.4000675111,920954.2993172365,934654.1805329825,947791.3190184359,958360.7771496284,961164.2628315842,966775.3928479507,972840.1456109062,974042.0825092687,927243.6937049328,950657.7481393851,972205.9278166641,964625.3071433394,958697.8469790367,957986.5967365967
Civilian Unemployment per mil,105068.16243394287,93049.98600639647,79054.07172940591,65345.81946701752,52216.772684837255,41639.22285037154,38811.0638919429,33224.607152049306,27159.85438909384,25950.134882331826,72764.29052621074,49308.82764041211,27794.072183335844,35406.98510740109,41293.356802946146,42055.167055167054
"Total, All Industries per mil",927584.894389471,941194.8187347646,957211.395087242,981021.0768000412,1002342.5480975901,1015980.447823833,1046763.7543647026,1070306.987541017,1089826.2930297328,1106995.3002773528,1066451.7577783875,1101328.0556827253,1129499.567978058,1119782.722080169,,
Total Farm per mil,3800.879216145488,3650.087273084639,3470.845214115677,3448.6494853339527,3565.4067547515997,3636.9022638062556,3873.704406252406,3506.4438122472066,3437.003737998094,3178.2227051763102,3101.873799246488,3071.9896931859157,3005.3269494494693,2919.0237563324613,,
Total Nonfarm per mil,923784.0151733255,937544.7314616799,953741.5962539566,977573.459226582,998777.1413428383,1012343.5455600267,1042890.0499584501,1066800.5437287698,1086389.2892917348,1103817.0775721762,1063349.883979141,1098256.0659895393,1126494.2410286085,1116863.6983238366,,
Goods Producing per mil,195255.20882192155,196871.84209233214,196745.7556177571,196648.35023089027,198019.15103872184,200755.42498827365,206523.21952702315,206655.0992187569,212284.0878551709,214500.36140487753,213827.6903116345,217434.68097088244,225523.38071041848,223591.54412736063,,
Mining and Logging per mil,215.65272148343192,213.6428020535346,243.806733460643,275.52047055181487,303.438872744817,222.1838200804799,288.18386920400064,212.36346839454197,195.45088075053138,194.56520998936702,182.63928740737046,194.4681902709185,198.1752027332324,179.07520865197466,,
Construction per mil,34037.54729533748,33168.04501881125,35663.79783922358,37845.36800557232,39227.56600554079,42338.36127089145,47010.48712943206,46859.90763657075,47193.56966602331,50019.79701011642,48496.219965568,50752.146240079084,51641.48520423936,50950.32179717139,,
Manufacturing per mil,161003.08706870803,163490.15427146739,160837.10466424256,158527.46175476615,158488.1461604362,158194.8798973017,159224.5485283871,159582.8281137916,164895.06730839706,164285.99918477176,165148.83105865915,166488.06654053245,173683.72030344588,172462.14712153727,,
Durable Goods per mil,150417.77323469377,152986.40590850534,150207.96819002277,147872.97164822125,147673.58473581093,147184.43725775793,148096.90083908878,148735.65445625657,154064.15675160638,153747.37458569772,155559.76945532573,158671.86328886222,165352.4347805408,164306.88597997683,,
Nondurable Goods per mil,10585.313834014256,10503.74836296203,10629.136474219793,10654.490106544901,10814.561424625277,11010.442639543782,11127.647689298312,10846.195024040133,10830.910556790695,10538.624599074064,9589.061603333417,7816.2032516701975,8331.28552290509,8154.282588507677,,
Service Providing per mil,728528.8063514039,740672.8893693478,756995.8406361995,780925.1089956918,800757.9903041165,811588.120571753,836366.830431427,860145.4445100129,874105.201436564,889316.7161672988,849522.1936675067,880821.3850186568,900970.8603181901,893272.1541964759,,
"Trade, Transportation & Utilities per mil",132806.49373474933,133722.2344473381,135027.0751039841,136109.176276346,136150.9992747811,134347.1498753302,135488.85656141376,129147.3264222236,128672.15557890107,124862.22351067627,115771.35158062827,118192.09405778136,117856.77481748063,116219.81041513156,,
Wholesale Trade per mil,37326.25129795982,35998.81214602058,36222.56520260549,37140.57219513454,37280.49990542822,36339.398128718494,36919.11705199745,31911.281001885825,31182.233514939777,30198.466242449653,28776.167070036678,28266.76174000413,28272.6652979366,27962.15348213211,,
Retail Trade per mil,82846.22774868264,85091.79162990229,85698.59000183117,85124.4743698888,84811.16493217635,84067.44513293999,83921.70873295817,82662.23541420173,82504.70303681806,79511.99154030466,71658.47451283714,73305.39203571733,71425.31569309796,70781.67796406166,,
"Transportation, Warehousing, and Utilities per mil",12634.014688106861,12631.630671415234,13105.91989954744,13845.161623197379,14059.334437176522,13940.30661367171,14648.030776458141,14573.810006136033,14984.241772739488,15151.765727921957,15336.709997754435,16618.927426902246,18157.80295043242,17475.000415885046,,
Information per mil,49986.14431264469,54674.39768753031,56609.202919402516,60495.8336558058,66309.48539801572,69526.74846322858,73551.03716584982,82751.29106223815,90037.37998094353,97736.91476000867,105549.53965917313,108324.85911184757,104884.22604656326,95685.8531563718,,
Financial Activities per mil,33165.232036937,34227.713316996786,34460.45988437492,34345.122926502074,34136.87318379191,33788.727874194585,34707.40454896264,35035.07911762489,35604.30969192055,36546.15621835276,37650.63998602759,38539.13874900234,37430.34141623927,36810.2301850346,,
Finance & Insurance per mil,19516.57129425059,20483.00364688263,21032.254689094094,21128.39563501277,20836.135928477437,20596.93386328289,21046.304831422305,20983.85939776852,20864.381520119226,21215.39049724058,22680.206591980837,23464.81543753317,22046.991304072104,21398.01960433186,,
Real Estate & Rental & Leasing per mil,13648.660742686407,13744.709670114149,13428.205195280823,13216.727291489307,13300.73725531448,13190.806527266892,13661.09971754033,14051.219719856375,14739.928171801324,15329.792895062228,14970.433394046757,15074.323311469167,15383.350112167165,15412.210580702738,,
Professional and Business Services per mil,172756.16038955507,177350.2310546904,185444.84265048263,196123.1070866548,204087.92849361818,212498.58049226057,221154.4724754797,231136.59472731844,230485.45112506414,235350.94213338805,235784.32595623645,244334.08824804417,246604.26790116608,238946.02007795154,,
"Professional, Scientific & Technical Services per mil",113433.3315002852,116854.06701120129,122635.83331153373,129092.17552820989,134213.03634085084,139802.99701286198,145959.2081654728,150717.38728344065,154071.97478683636,159908.281960011,163277.5268844033,167475.60031925194,169803.44983392916,164959.58086615644,,
Management of Companies & Enterprises per mil,9677.415876569008,9578.675030070224,10220.001569571246,11110.595155173747,11826.024333774669,12450.193793665294,12665.28627909226,18765.297264817244,16515.599423419902,15394.972240408664,14953.466902866838,14821.109522053908,13740.477681508668,13496.203703431884,,
