TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,141883.0,140783.0,141675.0,141700.0,142200.0,143283.0,145258.0,144175.0,142475.0,142517.0,135675.0,132950.0,133875.0,135133.0,136092.0,138343.0
  Civilian Employment,122833.0,122375.0,124850.0,127017.0,129592.0,132517.0,135217.0,135992.0,135467.0,135583.0,122675.0,124008.0,127467.0,127667.0,128017.0,129329.0
  Civilian Unemployment,19033.0,18425.0,16825.0,14708.0,12608.0,10775.0,10042.0,8167.0,7017.0,6933.0,13000.0,8958.0,6383.0,7475.0,8067.0,9014.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",97633.0,96808.0,98592.0,101217.0,103683.0,106683.0,108933.0,110250.0,110417.0,111942.0,101850.0,103717.0,106425.0,106567.0,107483.0,107314.0
Total Farm,9617.0,8592.0,8433.0,8283.0,8483.0,8333.0,8392.0,8125.0,7900.0,8200.0,7967.0,7233.0,7067.0,6875.0,7417.0,6671.0
  Total Nonfarm,88017.0,88217.0,90158.0,92933.0,95200.0,98350.0,100542.0,102125.0,102517.0,103742.0,93883.0,96483.0,99358.0,99692.0,100067.0,100643.0
    Total Private,67683.0,67958.0,69750.0,72300.0,74150.0,76917.0,78808.0,80267.0,80525.0,81358.0,72833.0,76325.0,80558.0,80550.0,80975.0,80800.0
    Goods Producing,7933.0,7742.0,8033.0,8633.0,9033.0,9867.0,10958.0,11092.0,11292.0,11575.0,11275.0,12217.0,12950.0,13017.0,13325.0,13071.0
"      Mining, Logging and Construction",2958.0,2900.0,2958.0,3225.0,3383.0,3683.0,4408.0,4508.0,4442.0,4500.0,4442.0,4750.0,5033.0,5075.0,5100.0,5014.0
      Manufacturing,4975.0,4842.0,5075.0,5408.0,5650.0,6183.0,6550.0,6583.0,6850.0,7075.0,6833.0,7467.0,7917.0,7942.0,8225.0,8057.0
        Durable Goods,2367.0,2383.0,2467.0,2575.0,2750.0,2950.0,3142.0,3225.0,3408.0,3725.0,3692.0,4175.0,4258.0,4500.0,4875.0,4829.0
        Non-Durable Goods,2608.0,2458.0,2608.0,2833.0,2900.0,3233.0,3408.0,3358.0,3442.0,3350.0,3142.0,3292.0,3658.0,3442.0,3350.0,3229.0
Service-Providing,80083.0,80475.0,82125.0,84300.0,86167.0,88483.0,89583.0,91033.0,91225.0,92167.0,82608.0,84267.0,86408.0,86675.0,86742.0,87571.0
    Private Service Providing,59750.0,60217.0,61717.0,63667.0,65117.0,67050.0,67850.0,69175.0,69233.0,69783.0,61558.0,64108.0,67608.0,67533.0,67650.0,67729.0
"      Trade, Transportation, and Utilities",16392.0,16100.0,16167.0,16300.0,16575.0,16967.0,17308.0,17175.0,16775.0,16800.0,15708.0,16317.0,16650.0,16050.0,15583.0,15243.0
        Wholesale Trade,3542.0,3358.0,3350.0,3408.0,3475.0,3467.0,3383.0,3292.0,3375.0,3358.0,3258.0,3300.0,3508.0,3192.0,2892.0,2800.0
        Retail Trade,11375.0,11292.0,11417.0,11542.0,11767.0,12042.0,12383.0,12325.0,11842.0,11742.0,10750.0,11025.0,10992.0,10750.0,10583.0,10414.0
"        Transportation, Warehousing, and Utilities",1475.0,1450.0,1400.0,1350.0,1333.0,1458.0,1542.0,1558.0,1558.0,1700.0,1700.0,1992.0,2150.0,2108.0,2108.0,2029.0
      Information,900.0,900.0,808.0,800.0,825.0,808.0,800.0,758.0,667.0,617.0,583.0,608.0,658.0,700.0,700.0,700.0
      Financial Activities,3258.0,3092.0,3200.0,3408.0,3475.0,3542.0,3583.0,3550.0,3567.0,3433.0,3192.0,3217.0,3275.0,3250.0,3350.0,3300.0
        Finance and Insurance,1950.0,1867.0,1875.0,1967.0,2017.0,2050.0,2058.0,2033.0,2017.0,1925.0,1900.0,1900.0,1883.0,1892.0,1950.0,1900.0
        Real Estate and Rental and Leasing,1308.0,1225.0,1325.0,1442.0,1458.0,1492.0,1525.0,1517.0,1550.0,1508.0,1292.0,1317.0,1392.0,1358.0,1400.0,1400.0
      Professional and Business Services,9617.0,10058.0,10317.0,10258.0,10092.0,10333.0,10308.0,10642.0,10700.0,10933.0,10400.0,10600.0,10683.0,9883.0,9517.0,9314.0
      Private Education and Health Services,15050.0,15392.0,15783.0,16525.0,16867.0,17250.0,17333.0,17858.0,17783.0,17992.0,17058.0,17225.0,17692.0,18558.0,19400.0,19886.0
      Leisure and Hospitality,10875.0,11067.0,11658.0,12308.0,12967.0,13617.0,13875.0,14225.0,14467.0,14750.0,10267.0,11842.0,13950.0,14425.0,14358.0,14486.0
"         Arts, Entertainment, and Recreation",1958.0,1867.0,1967.0,1975.0,2067.0,2225.0,2275.0,2383.0,2492.0,2600.0,1417.0,1733.0,2333.0,2650.0,2858.0,3100.0
        Accommodation and Food Services,8917.0,9200.0,9692.0,10333.0,10900.0,11392.0,11600.0,11842.0,11975.0,12150.0,8850.0,10108.0,11617.0,11775.0,11500.0,11386.0
